type: bg512
name: AR0071SR
algorithm: astarbb
preprossessing [ms]: 782066

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
315	383	390	388	-0,00208	78,73000	78,72792	856	2
344	426	438	188	0,00227	397,61000	397,61227	8770	19
77	258	309	378	-0,00290	468,87000	468,86710	28634	82
235	300	195	338	0,00012	55,74000	55,74012	365	0
90	268	65	309	0,00382	113,05000	113,05382	1594	4
244	445	273	428	-0,00146	108,57000	108,56854	3541	8
100	340	338	363	-0,00364	366,29000	366,28636	17685	42
335	164	429	332	-0,00061	247,89000	247,88939	3518	8
427	161	377	390	-0,00100	336,53000	336,52900	4908	10
121	172	465	279	-0,00228	463,71000	463,70772	5532	14
266	157	164	144	-0,00185	191,21000	191,20815	2797	7
270	492	432	197	-0,00486	494,34000	494,33514	11834	26
454	308	493	402	0,00343	213,69000	213,69343	4200	8
193	334	436	244	-0,00335	502,64000	502,63665	25585	65
250	340	370	311	0,00227	408,61000	408,61227	24240	63
143	304	301	459	-0,00431	259,58000	259,57569	8554	18
214	312	86	379	-0,00297	195,27000	195,26703	6842	15
254	279	336	419	0,00316	326,07000	326,07316	14676	38
338	239	391	263	0,00113	62,94000	62,94113	1213	2
56	392	285	429	-0,00111	331,79000	331,78889	8520	18
259	120	315	443	0,00092	502,92000	502,92092	6975	15
165	312	349	129	-0,00447	490,70000	490,69553	6618	15
193	419	240	262	-0,00196	176,47000	176,46804	5335	13
358	116	334	76	0,00113	49,94000	49,94113	614	1
420	295	201	116	-0,00032	434,24000	434,23968	7144	18
215	423	374	406	0,00186	197,52000	197,52186	4227	9
172	231	313	315	0,00394	175,79000	175,79394	3392	9
234	271	75	376	-0,00134	254,31000	254,30866	9661	23
293	308	374	348	-0,00189	432,07000	432,06811	21199	54
248	290	328	434	0,00468	298,37000	298,37468	12944	33
217	434	420	364	0,00248	254,36000	254,36248	5858	12
123	341	184	264	-0,00398	212,07000	212,06602	7993	20
242	354	124	176	0,00153	300,03000	300,03153	16315	44
136	291	425	415	0,00170	421,64000	421,64170	14551	35
190	399	223	256	-0,00095	156,67000	156,66905	3776	8
391	203	199	420	-0,00127	477,91000	477,90873	11430	26
50	263	136	354	0,00237	126,62000	126,62237	865	1
432	447	210	328	-0,00470	377,22000	377,21530	12361	27
391	345	486	408	-0,00460	150,23000	150,22540	2515	5
72	291	232	431	-0,00010	217,99000	217,98990	4710	10
55	279	164	394	-0,00072	160,15000	160,14928	1965	2
230	353	278	426	0,00091	235,19000	235,19091	6514	14
221	444	418	429	0,00029	236,35000	236,35029	5403	11
225	341	479	288	0,00294	449,32000	449,32294	9736	20
447	335	345	238	-0,00292	208,14000	208,13708	5316	11
315	384	232	249	0,00423	411,14000	411,14423	16049	40
44	293	92	202	0,00225	110,88000	110,88225	1526	3
447	184	62	236	-0,00391	497,67000	497,66609	7294	18
82	320	265	284	-0,00117	257,92000	257,91883	7535	17
358	177	428	424	-0,00100	330,53000	330,52900	5387	12
249	140	235	155	-0,00101	20,80000	20,79899	146	0
264	304	90	376	-0,00494	218,74000	218,73506	9585	24
253	470	456	435	0,00186	241,52000	241,52186	5683	12
245	353	101	274	0,00287	176,72000	176,72287	6095	16
92	373	188	269	-0,00455	233,10000	233,09545	7733	18
69	244	93	206	-0,00309	48,53000	48,52691	348	0
123	170	148	368	-0,00212	268,59000	268,58788	6286	13
308	175	348	371	0,00485	394,98000	394,98485	8346	19
229	123	446	443	-0,00391	511,67000	511,66609	8745	20
273	108	95	311	-0,00139	384,17000	384,16861	4675	11
291	180	325	212	0,00483	47,25000	47,25483	331	1
340	388	196	368	-0,00431	250,58000	250,57569	6025	12
270	345	267	455	-0,00022	201,25000	201,24978	5121	11
443	340	393	375	-0,00253	64,50000	64,49747	877	1
244	134	340	160	-0,00404	119,20000	119,19596	1718	5
268	120	416	191	-0,00342	184,04000	184,03658	2588	5
201	324	333	374	0,00417	316,27000	316,27417	16961	40
367	107	376	172	0,00231	128,75000	128,75231	2286	5
277	498	366	191	-0,00284	431,74000	431,73716	10435	31
464	418	404	154	0,00007	382,60000	382,60007	8812	19
290	482	342	109	-0,00430	511,31000	511,30570	10853	23
425	412	346	121	0,00069	396,44000	396,44069	7708	16
427	174	469	276	-0,00078	185,28000	185,27922	2227	4
206	427	64	396	-0,00443	183,84000	183,83557	3678	7
101	266	77	319	0,00017	137,61000	137,61017	3031	6
452	325	230	294	-0,00189	456,07000	456,06811	14928	34
205	347	221	138	-0,00020	510,98000	510,97980	11008	25
227	313	150	375	-0,00303	122,40000	122,39697	4068	8
78	248	290	478	0,00485	342,98000	342,98485	8835	20
190	325	186	415	0,00326	104,08000	104,08326	1777	3
245	372	197	338	0,00326	62,08000	62,08326	941	1
409	400	429	431	0,00427	39,28000	39,28427	467	0
400	413	88	400	-0,00206	405,46000	405,45794	10153	21
255	465	222	371	-0,00241	142,24000	142,23759	3691	8
349	423	244	469	0,00382	124,05000	124,05382	2367	5
246	348	78	305	0,00242	211,49000	211,49242	11398	30
299	175	375	399	0,00378	369,91000	369,91378	5957	14
398	418	296	124	-0,00038	399,37000	399,36962	6683	14
358	343	187	219	0,00120	501,54000	501,54120	22180	55
38	256	313	205	-0,00133	442,04000	442,03867	5690	14
173	308	293	458	-0,00280	230,88000	230,87720	8064	17
433	248	205	317	-0,00127	511,91000	511,90873	12798	28
213	364	154	147	-0,00414	317,19000	317,18586	17558	45
