type: bg512
name: AR0300SR
algorithm: jpsplusbb
preprossessing [ms]: 956296

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
135	383	354	187	0,00085	450,32000	450,32085	123	0
310	369	382	372	0,00264	73,24000	73,24264	5	0
182	408	368	110	-0,00218	498,72000	498,71782	120	1
265	171	284	366	-0,00431	320,58000	320,57569	133	0
267	155	447	298	-0,00426	418,45000	418,44574	94	0
100	253	190	326	0,00388	124,92000	124,92388	30	0
217	179	154	278	-0,00482	330,48000	330,47518	62	0
193	428	142	410	0,00427	59,28000	59,28427	14	0
287	328	368	354	0,00483	98,25000	98,25483	23	0
170	87	160	319	-0,00364	399,29000	399,28636	59	0
181	40	285	140	-0,00128	365,18000	365,17872	49	0
339	91	430	189	0,00450	304,76000	304,76450	71	1
255	83	319	76	-0,00051	66,90000	66,89949	4	0
85	278	384	382	0,00405	357,53000	357,53405	54	0
196	329	204	285	0,00489	108,12000	108,12489	15	0
122	265	141	439	-0,00241	214,24000	214,23759	50	0
402	286	400	366	0,00483	105,25000	105,25483	23	0
334	189	407	400	-0,00387	271,81000	271,80613	51	0
160	157	343	175	-0,00359	211,43000	211,42641	29	0
406	374	180	411	0,00276	242,98000	242,98276	17	0
195	286	311	68	0,00316	374,07000	374,07316	72	0
192	400	365	174	0,00304	417,33000	417,33304	87	0
247	60	300	41	0,00006	60,87000	60,87006	4	0
351	217	349	59	-0,00297	204,27000	204,26703	23	0
401	404	159	386	-0,00089	263,54000	263,53911	44	0
264	151	415	292	0,00468	426,37000	426,37468	81	0
203	182	382	364	0,00462	346,50000	346,50462	79	0
285	277	237	339	-0,00274	411,75000	411,74726	121	0
156	289	249	50	-0,00335	491,64000	491,63665	65	0
97	205	362	417	-0,00150	360,43000	360,42850	68	0
151	417	405	355	0,00175	283,78000	283,78175	33	0
176	330	184	176	0,00349	273,56000	273,56349	38	0
322	345	307	94	0,00198	421,26000	421,26198	112	0
304	206	403	396	-0,00387	276,81000	276,80613	52	0
183	380	172	170	-0,00482	293,48000	293,47518	48	0
418	131	219	401	0,00265	460,97000	460,97265	106	1
164	175	228	345	-0,00292	203,14000	203,13708	34	0
179	430	443	312	0,00029	326,35000	326,35029	60	0
145	336	361	388	0,00439	240,02000	240,02439	51	0
139	206	360	413	-0,00206	318,46000	318,45794	57	0
113	189	321	376	0,00366	297,17000	297,17366	62	0
288	344	136	408	-0,00033	178,51000	178,50967	24	0
89	258	167	123	-0,00139	462,17000	462,16861	68	0
213	427	426	411	-0,00241	312,24000	312,23759	35	0
278	330	149	202	-0,00128	200,18000	200,17872	28	0
191	323	322	156	0,00411	379,40000	379,40411	74	0
178	370	268	164	-0,00482	340,48000	340,47518	52	0
71	211	150	130	-0,00033	196,51000	196,50967	36	1
201	103	390	154	0,00382	241,05000	241,05382	24	0
363	95	210	406	0,00468	486,37000	486,37468	131	0
335	74	223	82	0,00371	115,31000	115,31371	4	0
137	266	398	364	0,00237	308,62000	308,62237	15	0
198	449	180	419	0,00427	38,28000	38,28427	12	0
304	344	291	184	-0,00286	297,01000	297,00714	109	0
294	362	230	180	0,00462	285,50000	285,50462	65	0
355	160	414	133	0,00377	70,18000	70,18377	7	0
220	311	279	141	0,00242	265,49000	265,49242	45	0
269	90	300	358	0,00333	453,68000	453,68333	138	0
165	82	369	371	-0,00043	455,50000	455,49957	94	0
155	94	281	361	0,00265	352,97000	352,97265	61	0
249	64	202	427	-0,00240	486,97000	486,96760	78	1
164	98	386	138	0,00332	264,95000	264,95332	32	0
338	372	335	358	0,00264	15,24000	15,24264	5	0
414	335	128	436	-0,00027	338,38000	338,37973	67	0
261	71	389	84	0,00478	133,38000	133,38478	4	0
288	62	393	115	0,00332	126,95000	126,95332	11	0
339	221	414	377	-0,00499	242,87000	242,86501	51	0
172	307	380	363	0,00068	234,71000	234,71068	14	0
276	55	167	92	0,00439	140,02000	140,02439	14	0
172	400	164	82	-0,00465	415,09000	415,08535	66	0
198	393	278	63	-0,00290	482,87000	482,86710	101	0
195	19	160	413	0,00446	511,62000	511,62446	59	0
332	93	92	187	-0,00286	298,01000	298,00714	46	0
434	408	415	377	-0,00466	85,36000	85,35534	17	0
307	177	168	298	0,00462	395,50000	395,50462	70	0
264	309	150	214	0,00237	172,62000	172,62237	25	1
289	345	288	73	0,00019	463,34000	463,34019	154	0
405	288	166	364	0,00326	343,08000	343,08326	43	0
145	362	193	326	0,00169	62,91000	62,91169	18	0
190	381	183	414	-0,00365	37,56000	37,55635	11	0
210	394	371	380	0,00219	174,01000	174,01219	25	0
215	443	194	361	-0,00152	90,70000	90,69848	28	0
157	405	162	448	0,00107	45,07000	45,07107	6	0
174	339	152	267	0,00270	81,11000	81,11270	12	0
406	93	250	380	0,00153	449,03000	449,03153	96	0
273	333	340	143	0,00450	350,76000	350,76450	76	0
256	326	141	132	-0,00117	263,92000	263,91883	28	0
364	349	405	166	-0,00072	312,15000	312,14928	102	0
385	169	290	133	-0,00309	125,53000	125,52691	22	0
224	64	388	327	-0,00224	428,85000	428,84776	73	1
179	276	177	438	-0,00336	215,91000	215,90664	54	0
134	156	349	295	-0,00123	388,05000	388,04877	152	0
239	355	209	78	0,00271	359,84000	359,84271	48	0
164	240	224	314	0,00281	98,85000	98,85281	19	0
210	424	155	213	0,00085	255,32000	255,32085	23	0
343	171	160	385	-0,00111	436,79000	436,78889	151	0
301	203	190	15	-0,00167	353,82000	353,81833	57	0
372	173	228	316	0,00343	347,69000	347,69343	137	0
190	381	412	134	-0,00426	474,45000	474,44574	101	0
425	341	121	258	0,00299	372,46000	372,46299	120	1
167	257	359	163	0,00225	257,88000	257,88225	31	0
229	353	234	100	0,00058	370,70000	370,70058	57	0
343	194	234	348	0,00394	333,79000	333,79394	108	0
236	341	202	329	0,00056	38,97000	38,97056	11	0
242	174	207	101	-0,00437	265,71000	265,70563	56	0
442	319	397	325	-0,00128	244,18000	244,17872	65	0
203	358	358	169	-0,00499	391,87000	391,86501	100	0
269	360	144	114	0,00417	317,27000	317,27417	50	0
154	412	330	344	-0,00190	205,34000	205,33810	45	0
298	334	348	147	-0,00022	325,25000	325,24978	74	0
348	289	237	69	0,00349	388,56000	388,56349	58	0
404	148	426	395	0,00417	409,27000	409,27417	93	0
190	345	279	71	-0,00195	455,20000	455,19805	105	0
282	77	240	178	0,00439	285,02000	285,02439	52	0
266	308	273	314	-0,00472	9,49000	9,48528	9	0
152	339	70	159	0,00361	345,30000	345,30361	39	0
89	170	413	104	0,00035	375,22000	375,22035	25	0
401	379	288	170	0,00091	296,19000	296,19091	107	0
406	103	170	204	0,00450	280,76000	280,76450	55	0
180	431	174	411	-0,00472	22,49000	22,48528	9	0
380	365	239	349	-0,00258	147,63000	147,62742	15	0
317	82	167	345	0,00170	511,64000	511,64170	157	0
335	184	364	367	-0,00084	226,41000	226,40916	47	0
401	389	415	114	0,00108	369,80000	369,80108	69	0
382	371	213	296	-0,00398	200,07000	200,06602	76	0
340	161	406	405	-0,00280	306,88000	306,87720	54	0
221	407	355	394	0,00017	157,61000	157,61017	24	0
102	268	222	308	-0,00235	204,11000	204,10765	44	0
306	93	58	154	-0,00072	297,15000	297,14928	50	0
309	224	318	385	0,00136	277,42000	277,42136	64	0
302	266	379	159	-0,00297	148,27000	148,26703	28	0
279	99	285	344	-0,00358	439,16000	439,15642	132	0
274	357	240	86	-0,00195	405,20000	405,19805	85	0
450	317	170	264	-0,00325	350,65000	350,64675	90	0
269	382	330	356	-0,00466	72,36000	72,35534	15	0
372	98	280	127	-0,00460	169,23000	169,22540	40	0
156	86	47	178	0,00439	197,02000	197,02439	29	0
409	168	366	417	0,00141	372,29000	372,29141	84	1
141	407	142	324	0,00012	135,74000	135,74012	39	0
164	382	258	377	0,00163	101,04000	101,04163	27	0
