type: bg512
name: AR0414SR
algorithm: jpsbb
preprossessing [ms]: 1009785

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
175	307	137	180	-0,00039	154,64000	154,63961	20	0
150	284	403	289	0,00186	321,52000	321,52186	79	0
249	340	150	130	0,00287	316,72000	316,72287	41	0
396	166	366	278	-0,00359	130,43000	130,42641	29	0
347	153	150	218	0,00388	223,92000	223,92388	12	1
346	199	349	235	0,00264	37,24000	37,24264	5	0
308	173	294	208	-0,00101	40,80000	40,79899	5	1
230	355	351	341	-0,00101	126,80000	126,79899	9	0
269	237	81	259	0,00270	197,11000	197,11270	18	0
170	113	210	230	-0,00146	133,57000	133,56854	35	1
245	69	243	145	-0,00359	94,43000	94,42641	22	0
394	111	182	292	0,00159	395,90000	395,90159	160	4
296	117	273	181	-0,00309	73,53000	73,52691	10	0
341	109	336	103	0,00107	8,07000	8,07107	8	0
181	447	286	137	-0,00100	436,53000	436,52900	77	1
263	208	418	306	0,00029	197,35000	197,35029	33	1
317	231	387	157	0,00495	102,99000	102,99495	14	0
72	238	191	211	0,00377	130,18000	130,18377	20	0
343	203	300	365	0,00287	194,72000	194,72287	27	1
152	157	130	280	0,00113	132,94000	132,94113	14	0
355	211	241	279	0,00085	385,32000	385,32085	107	2
225	181	337	332	0,00462	216,50000	216,50462	17	1
110	155	384	170	0,00006	283,87000	283,87006	27	0
401	293	341	342	-0,00354	80,30000	80,29646	7	0
239	91	368	353	0,00355	315,43000	315,43355	56	1
305	211	372	96	0,00231	142,75000	142,75231	28	0
206	128	180	244	-0,00045	126,77000	126,76955	13	1
176	332	137	170	-0,00196	189,47000	189,46804	20	0
249	89	314	71	0,00483	82,25000	82,25483	32	0
355	194	177	89	0,00242	221,49000	221,49242	29	1
182	144	268	364	0,00248	339,36000	339,36248	183	3
368	336	372	314	-0,00315	23,66000	23,65685	6	0
199	151	363	214	-0,00455	190,10000	190,09545	9	1
389	175	129	275	-0,00235	306,11000	306,10765	44	1
236	208	225	245	-0,00365	41,56000	41,55635	7	0
69	213	223	80	-0,00437	242,71000	242,70563	32	1
411	189	200	347	-0,00185	325,21000	325,20815	47	1
329	346	82	260	0,00237	282,62000	282,62237	31	0
189	155	104	266	-0,00185	146,21000	146,20815	19	0
281	238	181	171	0,00231	127,75000	127,75231	17	1
318	250	214	120	-0,00179	173,08000	173,07821	24	1
277	190	159	328	-0,00286	250,01000	250,00714	30	1
364	302	357	165	-0,00051	139,90000	139,89949	8	0
214	141	216	333	0,00299	295,46000	295,46299	101	2
244	170	213	250	0,00062	92,84000	92,84062	10	0
