type: bg512
name: AR0511SR
algorithm: jpsplus
preprossessing [ms]: 299

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
114	382	273	240	-0,00167	217,82000	217,81833	24	0
137	356	316	361	-0,00437	231,71000	231,70563	44	1
193	419	193	176	-0,00499	286,87000	286,86501	35	0
175	224	132	351	0,00400	177,66000	177,66400	28	0
317	206	241	288	0,00180	114,65000	114,65180	18	0
433	265	307	307	-0,00303	143,40000	143,39697	24	0
287	232	255	277	0,00483	58,25000	58,25483	11	0
220	450	177	423	0,00377	54,18000	54,18377	11	0
334	309	26	335	-0,00393	346,94000	346,93607	53	0
234	156	286	301	-0,00089	166,54000	166,53911	26	0
348	76	354	191	-0,00472	117,49000	117,48528	8	0
321	154	61	364	0,00271	364,84000	364,84271	50	0
399	161	224	242	0,00130	208,55000	208,55130	28	0
347	151	348	141	0,00421	10,41000	10,41421	7	0
176	501	407	182	0,00322	466,94000	466,94322	57	0
219	277	160	381	-0,00140	128,44000	128,43860	14	0
60	303	280	212	-0,00150	302,43000	302,42850	38	0
203	310	315	280	-0,00202	125,60000	125,59798	25	0
170	271	174	465	0,00326	208,08000	208,08326	18	0
215	211	148	352	0,00231	168,75000	168,75231	18	0
223	281	351	351	0,00338	157,82000	157,82338	28	0
132	242	165	407	-0,00455	191,10000	191,09545	20	0
246	208	188	229	-0,00253	72,50000	72,49747	16	0
209	365	153	426	0,00068	171,71000	171,71068	36	0
317	115	234	448	-0,00307	444,26000	444,25693	170	0
151	281	327	125	-0,00117	276,92000	276,91883	53	0
255	174	325	318	0,00495	172,99000	172,99495	32	0
246	406	200	228	0,00382	197,05000	197,05382	27	0
310	112	230	81	0,00062	92,84000	92,84062	18	0
233	259	371	111	0,00040	208,09000	208,09040	30	0
406	189	201	463	-0,00408	437,06000	437,05592	164	0
151	413	110	388	0,00270	53,11000	53,11270	11	0
361	201	399	284	0,00012	98,74000	98,74012	11	0
213	235	318	348	0,00242	156,49000	156,49242	21	0
164	277	99	320	-0,00241	163,24000	163,23759	41	0
334	282	372	96	0,00118	214,81000	214,81118	25	0
455	252	174	437	-0,00016	421,12000	421,11984	101	0
205	436	59	336	-0,00179	191,08000	191,07821	24	0
365	208	235	341	-0,00173	238,95000	238,94827	63	1
70	311	324	229	0,00316	326,07000	326,07316	41	0
186	326	224	165	0,00012	176,74000	176,74012	19	0
393	253	158	401	0,00349	318,56000	318,56349	76	0
286	375	396	222	-0,00123	303,05000	303,04877	69	0
331	186	163	408	0,00473	293,24000	293,24473	34	0
384	228	57	326	0,00097	402,06000	402,06097	115	0
194	453	361	296	-0,00128	333,18000	333,17872	29	0
339	316	292	391	0,00394	230,79000	230,79394	54	0
