type: bg512
name: AR0516SR
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
453	413	311	246	-0,00449	260,97000	260,96551	8496	12
460	396	392	402	0,00214	72,14000	72,14214	1053	1
254	431	112	197	0,00248	303,36000	303,36248	8024	11
202	236	214	391	0,00056	159,97000	159,97056	2880	4
156	224	395	283	-0,00089	267,54000	267,53911	9507	14
197	263	356	309	-0,00297	203,27000	203,26703	6027	7
268	241	460	271	-0,00359	204,43000	204,42641	5678	8
352	449	316	432	0,00113	54,94000	54,94113	814	1
409	311	211	364	-0,00404	366,20000	366,19596	23378	38
100	173	426	301	-0,00066	379,02000	379,01934	14624	23
234	82	149	213	0,00338	173,82000	173,82338	3870	5
107	170	378	404	-0,00055	443,76000	443,75945	21385	35
103	181	396	247	-0,00190	320,34000	320,33810	8923	15
76	165	161	149	-0,00253	140,50000	140,49747	3555	4
217	479	130	205	0,00400	324,66000	324,66400	8954	18
439	271	389	413	-0,00033	180,51000	180,50967	6220	8
483	303	278	228	0,00444	236,89000	236,89444	9663	14
196	312	202	275	-0,00472	39,49000	39,48528	494	1
441	266	235	459	-0,00393	365,94000	365,93607	19248	32
351	227	399	392	0,00248	246,36000	246,36248	12532	19
459	275	452	391	-0,00208	119,73000	119,72792	925	0
343	247	301	425	0,00097	361,06000	361,06097	21161	32
265	225	235	239	-0,00101	35,80000	35,79899	512	1
402	405	298	433	-0,00202	115,60000	115,59798	2343	2
38	124	188	448	0,00310	407,20000	407,20310	10337	15
426	275	63	135	0,00462	424,50000	424,50462	18376	29
110	195	196	322	-0,00348	173,17000	173,16652	3777	4
244	425	329	238	0,00332	318,95000	318,95332	11766	16
44	120	221	86	0,00462	282,50000	282,50462	7106	9
172	259	166	119	0,00427	148,28000	148,28427	2633	2
350	211	319	458	0,00007	366,60000	366,60007	17708	27
266	428	233	416	0,00056	37,97000	37,97056	555	0
132	221	426	279	0,00281	326,85000	326,85281	12342	19
213	243	193	388	0,00427	153,28000	153,28427	2668	3
422	271	211	324	0,00118	306,81000	306,81118	14633	22
354	277	222	101	0,00355	324,43000	324,43355	14074	25
450	254	230	438	-0,00134	362,31000	362,30866	17828	29
308	437	447	366	-0,00084	168,41000	168,40916	3599	4
352	225	205	377	0,00377	283,18000	283,18377	9924	13
459	312	305	239	-0,00241	184,24000	184,23759	6051	8
453	338	93	185	0,00254	429,23000	429,23254	19112	31
294	255	353	422	-0,00381	346,68000	346,67619	19045	28
317	411	222	235	0,00444	281,89000	281,89444	6285	7
211	208	388	425	-0,00140	371,44000	371,43860	17974	28
394	238	450	337	-0,00404	122,20000	122,19596	2990	3
195	452	200	294	-0,00309	167,53000	167,52691	2079	2
406	319	390	417	0,00343	156,69000	156,69343	2887	3
270	255	243	435	0,00332	269,95000	269,95332	8886	12
264	247	417	407	0,00035	316,22000	316,22035	13599	20
445	335	183	431	-0,00342	339,04000	339,03658	12336	18
