type: bg512
name: AR0705SR
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
72	409	169	245	-0,00218	505,72000	505,71782	129	1
50	370	389	377	-0,00426	457,45000	457,44574	76	2
143	445	42	158	0,00242	330,49000	330,49242	29	0
205	219	254	363	-0,00410	171,33000	171,32590	28	0
218	196	499	293	0,00097	447,06000	447,06097	177	2
265	270	426	314	-0,00134	271,31000	271,30866	112	1
183	232	341	280	0,00225	177,88000	177,88225	35	1
223	469	265	447	0,00270	51,11000	51,11270	5	0
323	316	44	344	0,00097	428,06000	428,06097	165	1
171	120	478	308	0,00007	429,60000	429,60007	31	1
247	68	383	183	-0,00443	191,84000	191,83557	18	0
258	118	426	380	-0,00274	411,75000	411,74726	53	1
379	126	322	247	-0,00330	450,78000	450,77670	157	2
251	115	217	108	0,00371	62,31000	62,31371	11	0
157	506	30	171	-0,00488	387,61000	387,60512	45	0
252	280	105	408	-0,00179	386,08000	386,07821	144	1
268	310	245	202	0,00163	133,04000	133,04163	27	0
425	274	101	487	-0,00055	505,76000	505,75945	88	1
194	201	311	364	-0,00128	223,18000	223,17872	53	1
504	284	406	363	-0,00460	151,23000	151,22540	11	0
262	247	223	433	0,00444	301,89000	301,89444	124	1
180	198	408	226	-0,00268	464,62000	464,61732	192	2
69	383	120	449	0,00489	87,12000	87,12489	13	1
431	284	406	100	-0,00084	213,41000	213,40916	33	0
375	154	495	324	-0,00387	223,81000	223,80613	29	0
118	433	214	225	0,00035	441,22000	441,22035	101	2
258	93	379	71	0,00186	234,52000	234,52186	31	0
289	439	84	415	-0,00146	221,57000	221,56854	16	0
259	192	239	289	0,00427	105,28000	105,28427	15	1
220	280	280	326	0,00062	89,84000	89,84062	21	0
430	286	217	84	0,00411	332,40000	332,40411	42	0
156	260	148	455	0,00091	459,19000	459,19091	172	2
247	454	260	345	-0,00089	165,54000	165,53911	28	0
288	198	297	351	0,00287	191,72000	191,72287	55	1
453	317	291	227	0,00343	308,69000	308,69343	82	1
270	333	334	131	0,00468	410,37000	410,37468	192	2
484	260	121	428	-0,00319	511,52000	511,51681	73	1
299	400	169	217	0,00085	250,32000	250,32085	50	0
54	177	211	434	-0,00393	364,94000	364,93607	65	1
423	225	495	332	0,00338	136,82000	136,82338	15	0
225	473	479	303	0,00411	379,40000	379,40411	62	1
37	323	221	418	-0,00286	231,01000	231,00714	27	1
350	260	203	451	0,00130	298,55000	298,55130	89	1
345	246	83	388	0,00411	457,40000	457,40411	197	2
64	332	296	444	-0,00393	294,94000	294,93607	39	0
249	467	237	449	0,00056	22,97000	22,97056	6	0
195	318	236	258	-0,00146	77,57000	77,56854	19	1
219	312	246	197	0,00377	126,18000	126,18377	32	0
280	371	57	207	0,00040	511,09000	511,09040	212	2
438	262	386	175	-0,00460	113,23000	113,22540	14	0
433	294	270	253	-0,00494	292,74000	292,73506	75	1
264	106	399	113	-0,00348	174,17000	174,16652	20	1
221	275	60	360	-0,00212	473,59000	473,58788	172	1
