type: da2
name: ca_cave
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
90	192	87	188	0,00000	5,24264	5,24264	36	0
70	56	65	51	-0,00000	7,07107	7,07107	37	0
94	224	101	223	0,00000	7,41421	7,41421	51	0
127	89	127	95	0,00000	6,00000	6,00000	40	0
64	63	62	58	-0,00000	5,82843	5,82843	41	0
90	198	93	192	0,00000	7,24264	7,24264	52	0
130	194	126	200	0,00000	7,65685	7,65685	46	0
80	84	79	77	0,00000	7,41421	7,41421	51	0
117	197	111	194	0,00000	7,24264	7,24264	52	0
84	88	79	84	0,00000	6,65685	6,65685	40	0
68	49	74	57	-0,00002	10,48530	10,48528	76	0
126	64	117	70	-0,00002	11,48530	11,48528	97	0
27	90	36	86	-0,00005	10,65690	10,65685	86	0
91	229	97	222	0,00000	9,48528	9,48528	66	0
73	51	83	48	0,00004	11,24260	11,24264	97	0
36	71	44	72	0,00000	8,41421	8,41421	58	0
110	225	104	217	-0,00002	10,48530	10,48528	82	0
71	77	63	70	-0,00001	10,89950	10,89949	76	0
96	200	92	208	0,00000	9,65685	9,65685	76	0
100	153	91	159	-0,00002	11,48530	11,48528	97	0
107	145	116	155	0,00002	13,72790	13,72792	96	0
73	160	82	152	-0,00001	12,89950	12,89949	84	0
87	223	99	220	0,00004	13,24260	13,24264	120	0
100	213	106	224	-0,00002	13,48530	13,48528	126	0
78	60	75	49	0,00004	12,24260	12,24264	111	0
69	79	73	65	-0,00005	15,65690	15,65685	159	0
118	223	121	210	0,00004	14,24260	14,24264	132	0
115	207	103	214	-0,00001	14,89950	14,89949	134	1
134	170	133	184	0,00001	14,41420	14,41421	100	0
131	179	135	167	-0,00005	13,65690	13,65685	120	0
89	224	102	216	0,00001	16,31370	16,31371	153	0
39	73	35	89	-0,00005	17,65690	17,65685	128	0
100	160	84	164	-0,00005	17,65690	17,65685	178	0
107	220	120	228	0,00001	16,31370	16,31371	153	0
99	212	94	229	-0,00003	19,07110	19,07107	194	0
91	234	83	221	0,00001	16,31370	16,31371	152	0
123	202	110	212	0,00004	17,14210	17,14214	147	0
93	183	96	200	0,00004	18,24260	18,24264	168	0
77	35	72	52	-0,00003	19,07110	19,07107	149	0
83	71	64	72	0,00001	19,41420	19,41421	135	0
99	182	82	198	0,00002	23,62740	23,62742	161	0
127	227	120	206	-0,00001	23,89950	23,89949	259	1
122	225	106	212	-0,00002	21,38480	21,38478	191	0
78	53	59	64	0,00005	23,55630	23,55635	265	0
92	209	89	190	0,00004	20,24260	20,24264	200	0
119	208	113	227	-0,00002	21,48530	21,48528	238	0
126	87	125	66	0,00001	21,41420	21,41421	149	0
122	225	127	204	-0,00003	23,07110	23,07107	234	0
77	76	58	68	0,00001	22,31370	22,31371	250	0
116	153	103	137	-0,00002	21,38480	21,38478	157	1
120	75	124	95	0,00004	24,24260	24,24264	167	0
93	205	115	213	0,00001	25,31370	25,31371	314	0
57	67	79	81	-0,00001	27,79900	27,79899	319	0
99	207	120	197	0,00004	25,14210	25,14214	305	0
79	48	66	70	-0,00002	27,38480	27,38478	338	0
120	62	133	84	-0,00004	27,97060	27,97056	355	1
101	227	108	204	-0,00001	25,89950	25,89949	314	0
125	202	104	191	0,00005	25,55630	25,55635	306	0
101	202	104	227	0,00004	26,24260	26,24264	259	0
120	204	117	230	0,00004	27,24260	27,24264	279	0
30	77	59	71	-0,00002	31,48530	31,48528	260	0
46	64	28	87	0,00004	30,45580	30,45584	307	0
107	202	89	224	0,00004	29,45580	29,45584	290	0
81	80	64	58	0,00003	29,04160	29,04163	302	0
122	221	105	199	0,00003	29,04160	29,04163	302	0
109	141	95	164	-0,00001	28,79900	28,79899	352	0
88	222	94	195	-0,00002	29,48530	29,48528	368	1
101	222	109	197	0,00001	28,31370	28,31371	364	0
106	201	96	225	0,00004	28,14210	28,14214	362	0
118	156	139	176	-0,00003	29,28430	29,28427	181	0
119	164	94	142	-0,00000	34,11270	34,11270	307	0
59	57	87	68	0,00005	32,55630	32,55635	410	1
84	216	108	195	-0,00002	32,69850	32,69848	299	0
98	182	123	206	0,00003	34,94110	34,94113	226	0
148	73	165	51	-0,00001	32,79900	32,79899	238	0
105	223	95	195	0,00004	32,14210	32,14214	427	0
118	207	93	226	-0,00004	32,87010	32,87006	370	1
93	190	81	220	-0,00004	34,97060	34,97056	452	0
87	71	81	41	-0,00002	32,48530	32,48528	212	0
85	37	66	65	-0,00004	35,87010	35,87006	426	0
111	181	74	180	-0,00003	39,07110	39,07107	261	0
85	49	65	79	-0,00003	38,28430	38,28427	472	1
127	193	92	196	0,00004	36,24260	36,24264	351	0
110	128	124	160	0,00002	38,62740	38,62742	224	0
113	194	129	224	0,00000	37,21320	37,21320	527	0
132	169	108	193	0,00004	37,45580	37,45584	262	1
88	187	114	216	-0,00005	39,76960	39,76955	295	0
122	180	88	193	-0,00002	39,38480	39,38478	434	0
124	222	102	195	-0,00000	36,11270	36,11270	375	0
130	179	110	153	0,00002	38,62740	38,62742	425	0
87	226	129	224	0,00003	42,82840	42,82843	378	0
77	163	118	164	0,00001	41,41420	41,41421	283	0
82	78	84	36	-0,00005	43,65690	43,65685	409	0
90	230	126	215	0,00000	42,21320	42,21320	570	0
81	39	53	67	-0,00005	40,76960	40,76955	337	1
124	106	114	74	-0,00005	41,65690	41,65685	323	0
118	178	87	206	-0,00003	43,18380	43,18377	380	0
86	196	71	168	-0,00002	42,69850	42,69848	403	0
123	162	110	128	0,00000	40,21320	40,21320	363	1
33	75	72	79	0,00004	43,14210	43,14214	414	0
97	228	115	191	0,00004	44,45580	44,45584	699	0
87	182	117	215	-0,00005	47,76960	47,76955	518	1
85	233	122	215	0,00004	44,45580	44,45584	569	0
125	221	107	184	0,00004	44,45580	44,45584	703	1
115	179	83	209	-0,00001	45,01220	45,01219	374	0
82	58	45	74	-0,00001	44,79900	44,79899	718	1
129	158	124	191	-0,00001	47,79900	47,79899	676	0
119	159	76	168	0,00002	46,72790	46,72792	596	1
103	200	136	176	-0,00002	44,69850	44,69848	630	0
154	56	126	77	0,00001	46,31370	46,31371	368	1
92	197	75	156	0,00005	51,55630	51,55635	613	0
89	182	109	221	0,00004	48,45580	48,45584	730	1
34	67	83	65	0,00003	49,82840	49,82843	449	0
61	51	29	81	-0,00003	50,28430	50,28427	456	0
25	89	64	77	-0,00000	48,11270	48,11270	420	1
91	191	136	185	-0,00001	50,79900	50,79899	847	0
133	174	106	135	-0,00003	50,18380	50,18377	476	1
122	234	82	208	-0,00005	50,76960	50,76955	656	0
133	183	105	209	0,00002	48,62740	48,62742	558	1
113	183	112	160	0,00002	50,62740	50,62742	880	0
116	190	91	235	0,00004	55,35530	55,35534	975	1
101	185	124	160	0,00003	52,04160	52,04163	681	1
135	180	100	150	-0,00000	52,11270	52,11270	710	0
125	161	101	194	0,00004	54,35530	54,35534	775	0
116	214	79	181	-0,00005	54,76960	54,76955	1040	1
89	190	137	180	0,00004	52,14210	52,14214	663	1
40	67	84	39	-0,00002	55,59800	55,59798	374	0
110	113	114	163	-0,00002	52,48530	52,48528	388	0
125	160	126	198	0,00001	53,52690	53,52691	756	1
119	179	105	228	-0,00001	54,79900	54,79899	837	1
91	225	77	181	0,00004	58,24260	58,24264	1096	1
79	93	36	67	0,00004	58,45580	58,45584	589	0
