type: da2
name: ca_cavern1_haunted
algorithm: astarbb
preprossessing [ms]: 57730

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
185	484	190	479	-0,00000	7,07107	7,07107	32	0
134	197	138	195	-0,00000	4,82843	4,82843	26	0
210	90	210	94	0,00000	4,00000	4,00000	25	0
67	309	65	305	-0,00000	4,82843	4,82843	25	0
143	76	137	76	0,00000	6,00000	6,00000	38	0
70	267	75	268	0,00000	5,41421	5,41421	35	0
158	67	162	67	0,00000	4,00000	4,00000	23	0
143	197	143	202	0,00000	5,00000	5,00000	32	0
137	370	141	367	0,00000	5,24264	5,24264	29	0
155	357	152	363	0,00000	7,24264	7,24264	52	1
141	472	139	480	-0,00000	8,82843	8,82843	69	0
120	438	115	429	-0,00003	11,07110	11,07107	85	0
209	50	205	43	0,00000	8,65685	8,65685	65	0
183	205	178	211	-0,00000	8,07107	8,07107	36	0
161	291	157	285	0,00000	8,24264	8,24264	38	0
141	517	144	510	0,00000	8,24264	8,24264	55	0
109	540	101	542	-0,00000	8,82843	8,82843	45	0
148	89	141	81	-0,00002	11,48530	11,48528	71	0
127	517	133	508	-0,00002	11,48530	11,48528	66	0
159	55	162	62	0,00000	8,24264	8,24264	42	0
99	371	92	383	-0,00001	14,89950	14,89949	111	0
121	329	134	323	-0,00002	15,48530	15,48528	139	1
183	65	170	60	-0,00003	15,07110	15,07107	109	0
202	51	210	40	0,00001	14,31370	14,31371	114	0
127	326	134	339	-0,00001	15,89950	15,89949	144	0
138	511	150	515	-0,00005	13,65690	13,65685	112	0
96	395	85	384	0,00005	15,55630	15,55635	74	0
166	272	177	261	0,00005	15,55630	15,55635	79	0
176	256	169	268	-0,00001	14,89950	14,89949	120	0
164	68	177	62	-0,00002	15,48530	15,48528	128	1
154	508	138	507	0,00004	17,24260	17,24264	65	0
138	346	154	343	0,00004	17,24260	17,24264	151	0
137	274	147	287	0,00004	17,14210	17,14214	144	0
178	274	185	257	-0,00001	19,89950	19,89949	212	0
147	265	134	277	-0,00004	17,97060	17,97056	108	0
140	332	145	347	-0,00003	17,07110	17,07107	165	1
147	88	142	72	-0,00003	18,07110	18,07107	151	0
137	338	143	322	-0,00002	18,48530	18,48528	195	0
148	335	132	326	0,00002	19,72790	19,72792	193	0
154	86	138	77	0,00002	19,72790	19,72792	158	1
186	239	196	222	0,00004	23,14210	23,14214	118	0
160	370	160	349	0,00000	21,00000	21,00000	148	0
128	465	128	444	0,00003	21,82840	21,82843	86	0
89	354	103	340	0,00001	23,31370	23,31371	128	0
134	312	149	327	0,00000	21,21320	21,21320	91	0
155	92	146	72	0,00002	23,72790	23,72792	165	0
181	356	159	354	0,00003	22,82840	22,82843	151	1
217	227	213	208	0,00001	22,31370	22,31371	159	0
160	277	141	281	-0,00003	22,07110	22,07107	133	0
160	435	141	425	0,00004	23,14210	23,14214	180	0
