type: da2
name: ca_cavern1_haunted
algorithm: jpsbb
preprossessing [ms]: 57606

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
185	484	190	479	-0,00000	7,07107	7,07107	3	0
134	197	138	195	-0,00000	4,82843	4,82843	4	0
210	90	210	94	0,00000	4,00000	4,00000	4	0
67	309	65	305	-0,00000	4,82843	4,82843	5	0
143	76	137	76	0,00000	6,00000	6,00000	3	0
70	267	75	268	0,00000	5,41421	5,41421	4	1
158	67	162	67	0,00000	4,00000	4,00000	3	0
143	197	143	202	0,00000	5,00000	5,00000	4	0
137	370	141	367	0,00000	5,24264	5,24264	6	0
155	357	152	363	0,00000	7,24264	7,24264	5	0
141	472	139	480	-0,00000	8,82843	8,82843	4	0
120	438	115	429	-0,00003	11,07110	11,07107	4	0
209	50	205	43	0,00000	8,65685	8,65685	4	0
183	205	178	211	-0,00000	8,07107	8,07107	4	0
161	291	157	285	0,00000	8,24264	8,24264	7	0
141	517	144	510	0,00000	8,24264	8,24264	4	0
109	540	101	542	-0,00000	8,82843	8,82843	5	0
148	89	141	81	-0,00002	11,48530	11,48528	6	0
127	517	133	508	-0,00002	11,48530	11,48528	5	0
159	55	162	62	0,00000	8,24264	8,24264	5	0
99	371	92	383	-0,00001	14,89950	14,89949	8	0
121	329	134	323	-0,00002	15,48530	15,48528	4	0
183	65	170	60	-0,00003	15,07110	15,07107	6	0
202	51	210	40	0,00001	14,31370	14,31371	4	0
127	326	134	339	-0,00001	15,89950	15,89949	5	0
138	511	150	515	-0,00005	13,65690	13,65685	4	0
96	395	85	384	0,00005	15,55630	15,55635	3	0
166	272	177	261	0,00005	15,55630	15,55635	4	0
176	256	169	268	-0,00001	14,89950	14,89949	5	0
164	68	177	62	-0,00002	15,48530	15,48528	4	0
154	508	138	507	0,00004	17,24260	17,24264	7	0
138	346	154	343	0,00004	17,24260	17,24264	4	0
137	274	147	287	0,00004	17,14210	17,14214	6	0
178	274	185	257	-0,00001	19,89950	19,89949	5	0
147	265	134	277	-0,00004	17,97060	17,97056	9	0
140	332	145	347	-0,00003	17,07110	17,07107	6	0
147	88	142	72	-0,00003	18,07110	18,07107	6	0
137	338	143	322	-0,00002	18,48530	18,48528	5	0
148	335	132	326	0,00002	19,72790	19,72792	5	0
154	86	138	77	0,00002	19,72790	19,72792	5	0
186	239	196	222	0,00004	23,14210	23,14214	10	0
160	370	160	349	0,00000	21,00000	21,00000	3	0
128	465	128	444	0,00003	21,82840	21,82843	7	0
89	354	103	340	0,00001	23,31370	23,31371	11	0
134	312	149	327	0,00000	21,21320	21,21320	5	0
155	92	146	72	0,00002	23,72790	23,72792	8	0
181	356	159	354	0,00003	22,82840	22,82843	7	0
217	227	213	208	0,00001	22,31370	22,31371	14	0
160	277	141	281	-0,00003	22,07110	22,07107	10	0
160	435	141	425	0,00004	23,14210	23,14214	10	0
210	98	193	85	0,00001	25,31370	25,31371	8	0
140	333	147	356	-0,00001	25,89950	25,89949	6	0
211	38	192	55	0,00003	26,04160	26,04163	6	0
161	508	138	506	0,00004	25,24260	25,24264	8	0
144	356	140	331	-0,00005	26,65690	26,65685	4	0
154	157	174	168	0,00005	24,55630	24,55635	13	0
145	288	161	272	0,00005	25,55630	25,55635	10	0
122	332	147	330	0,00003	25,82840	25,82843	4	0
138	348	158	367	-0,00004	27,87010	27,87006	8	0
153	87	159	64	0,00004	27,14210	27,14214	9	0
85	428	65	408	0,00004	31,45580	31,45584	11	0
155	360	139	337	0,00002	29,62740	29,62742	5	1
156	371	146	347	0,00004	28,14210	28,14214	5	0
126	326	142	351	0,00002	31,62740	31,62742	6	0
139	488	146	515	0,00002	30,72790	30,72792	9	0
119	432	145	426	-0,00002	28,48530	28,48528	8	0
203	48	208	19	-0,00001	31,89950	31,89949	6	0
120	290	141	270	-0,00003	29,28430	29,28427	12	0
93	388	105	412	-0,00004	28,97060	28,97056	12	0
186	262	162	274	-0,00004	28,97060	28,97056	4	0
164	365	134	372	-0,00001	32,89950	32,89949	6	0
145	430	115	437	0,00005	34,55630	34,55635	14	0
217	149	226	121	0,00000	34,21320	34,21320	7	0
148	330	164	356	0,00002	32,62740	32,62742	14	0
140	360	131	331	0,00002	32,72790	32,72792	14	0
92	417	117	435	0,00000	34,21320	34,21320	5	0
186	394	186	362	0,00001	33,41420	33,41421	5	0
143	172	140	203	0,00004	32,24260	32,24264	7	0
151	344	139	374	-0,00004	34,97060	34,97056	6	1
143	252	150	279	-0,00003	33,07110	33,07107	19	0
119	278	155	284	-0,00002	38,48530	38,48528	4	0
165	279	145	262	-0,00005	38,65690	38,65685	16	0
98	336	83	366	0,00000	36,21320	36,21320	9	0
184	68	206	39	-0,00000	38,11270	38,11270	8	0
210	59	188	78	0,00005	36,55630	36,55635	15	0
150	90	167	60	0,00003	37,04160	37,04163	11	0
137	365	135	331	-0,00002	36,48530	36,48528	10	0
136	500	143	476	-0,00000	36,11270	36,11270	9	0
193	522	207	488	-0,00001	39,79900	39,79899	9	0
195	80	218	102	-0,00001	36,79900	36,79899	8	0
138	237	136	197	0,00003	40,82840	40,82843	6	0
91	390	91	352	0,00004	42,14210	42,14214	9	0
181	563	193	526	-0,00004	41,97060	41,97056	10	0
213	203	246	205	-0,00001	40,79900	40,79899	10	0
80	430	113	424	0,00004	42,45580	42,45584	13	0
110	343	140	321	-0,00003	40,28430	40,28427	8	1
83	303	72	275	0,00004	43,14210	43,14214	9	0
230	201	230	163	-0,00002	40,48530	40,48528	12	0
141	268	174	272	0,00001	42,31370	42,31371	19	0
227	193	232	221	-0,00003	41,28430	41,28427	13	0
132	430	134	471	0,00001	44,31370	44,31371	7	0
182	480	196	520	-0,00002	46,38480	46,38478	10	0
104	312	114	334	0,00002	44,72790	44,72792	10	0
161	478	144	509	0,00001	46,52690	46,52691	9	0
154	485	129	451	0,00001	45,52690	45,52691	14	0
146	93	177	72	-0,00001	47,79900	47,79899	13	0
144	327	136	368	0,00001	44,31370	44,31371	10	0
163	356	145	319	0,00004	44,45580	44,45584	5	0
90	379	98	338	-0,00002	45,48530	45,48528	11	0
105	513	139	489	-0,00000	45,11270	45,11270	11	0
177	404	150	430	0,00001	48,31370	48,31371	12	0
143	284	105	258	0,00004	49,35530	49,35534	9	0
167	269	170	293	-0,00003	49,28430	49,28427	19	0
94	377	109	343	-0,00003	48,07110	48,07107	11	0
225	223	183	213	-0,00004	50,87010	50,87006	12	0
205	229	205	195	-0,00004	50,87010	50,87006	19	0
81	432	90	388	0,00004	49,14210	49,14214	11	0
138	474	134	430	-0,00004	50,97060	50,97056	15	0
232	178	229	216	-0,00001	50,79900	50,79899	15	0
118	332	95	311	0,00002	48,72790	48,72792	10	0
147	492	171	509	0,00005	52,55630	52,55635	11	0
226	118	211	70	-0,00004	55,87010	55,87006	13	0
166	299	173	272	-0,00000	53,11270	53,11270	21	0
215	543	199	505	0,00004	52,24260	52,24264	9	0
161	509	206	492	0,00003	52,04160	52,04163	6	0
80	422	117	430	-0,00005	53,76960	53,76955	16	0
142	367	133	318	0,00002	52,72790	52,72792	12	1
106	336	138	364	-0,00002	54,38480	54,38478	16	0
145	323	150	375	-0,00003	54,07110	54,07107	8	0
171	278	160	304	-0,00001	52,79900	52,79899	16	0
159	303	171	261	0,00003	57,94110	57,94113	16	0
129	461	102	413	-0,00005	59,76960	59,76955	10	0
238	214	203	181	0,00003	57,94110	57,94113	21	0
183	357	132	338	-0,00004	58,87010	58,87006	13	0
235	120	206	78	0,00001	57,52690	57,52691	15	0
144	254	160	303	0,00004	56,45580	56,45584	22	0
227	126	203	77	0,00003	58,94110	58,94113	12	0
158	289	184	259	-0,00005	56,76960	56,76955	16	0
196	478	194	537	0,00003	59,82840	59,82843	4	0
152	340	183	376	-0,00004	59,87010	59,87006	17	0
155	478	123	437	-0,00004	61,87010	61,87006	15	1
111	341	91	387	0,00001	61,31370	61,31371	13	0
189	208	182	266	-0,00001	60,89950	60,89949	9	0
172	271	174	301	-0,00005	60,76960	60,76955	17	0
105	337	73	298	0,00003	61,04160	61,04163	11	0
69	413	87	395	0,00003	61,94110	61,94113	24	0
99	403	66	408	0,00002	61,84060	61,84062	19	0
186	233	214	201	0,00005	63,55630	63,55635	20	0
179	508	183	556	0,00004	61,45580	61,45584	13	0
191	54	154	88	-0,00005	61,76960	61,76955	21	0
158	429	102	412	0,00004	64,45580	64,45584	16	0
83	374	110	328	0,00003	67,04160	67,04163	14	0
187	392	147	427	-0,00004	67,87010	67,87006	17	0
65	413	96	396	-0,00003	64,18380	64,18377	20	0
198	492	214	542	0,00004	64,24260	64,24264	12	1
199	79	176	62	-0,00002	65,69850	65,69848	11	0
102	259	63	293	-0,00001	64,79900	64,79899	11	0
129	448	137	491	-0,00002	64,59800	64,59798	14	0
226	132	206	75	-0,00003	65,28430	65,28427	12	0
100	307	129	323	0,00003	67,04160	67,04163	13	0
105	306	67	269	0,00001	70,31370	70,31371	8	0
127	328	90	302	0,00004	70,45580	70,45584	13	0
133	513	202	512	-0,00003	71,07110	71,07107	9	0
177	62	194	79	-0,00002	69,69850	69,69848	14	0
96	544	137	510	0,00005	68,55630	68,55635	9	0
107	408	130	467	-0,00000	69,11270	69,11270	15	0
235	206	190	230	-0,00000	68,11270	68,11270	25	0
73	276	104	311	0,00003	68,04160	68,04163	12	0
242	212	185	237	-0,00004	70,87010	70,87006	22	1
92	384	68	419	0,00003	69,04160	69,04163	18	0
201	508	136	498	-0,00002	73,48530	73,48528	13	0
104	300	84	366	-0,00003	74,28430	74,28427	13	0
184	359	141	314	-0,00003	72,18380	72,18377	17	0
95	419	158	435	-0,00002	72,69850	72,69848	17	0
116	338	66	308	0,00001	75,31370	75,31371	12	0
166	279	100	258	0,00001	75,52690	75,52691	14	0
116	329	72	301	-0,00000	75,11270	75,11270	13	0
182	555	194	487	-0,00004	72,97060	72,97056	7	0
150	153	148	207	0,00002	72,62740	72,62742	30	0
94	376	129	326	-0,00004	73,87010	73,87006	17	0
162	290	181	240	-0,00002	78,59800	78,59798	26	0
143	329	97	309	0,00004	76,14210	76,14214	9	1
148	431	86	433	0,00004	79,35530	79,35534	19	0
167	272	175	209	0,00003	76,94110	76,94113	24	0
239	205	194	173	0,00001	77,42640	77,42641	28	0
220	133	228	197	0,00001	76,42640	76,42641	18	0
225	107	234	174	0,00002	79,84060	79,84062	16	0
182	244	145	258	-0,00004	79,87010	79,87006	15	0
105	299	95	373	0,00004	78,14210	78,14214	10	0
97	326	143	368	0,00003	78,04160	78,04163	18	0
96	324	99	404	-0,00003	82,07110	82,07107	16	0
131	516	200	490	-0,00004	83,87010	83,87006	15	0
70	412	131	435	-0,00004	83,98280	83,98276	23	0
63	286	104	339	0,00001	80,52690	80,52691	16	0
96	414	76	370	-0,00001	81,79900	81,79899	13	1
74	366	139	344	-0,00002	82,59800	82,59798	21	0
64	416	129	431	0,00000	82,32590	82,32590	21	0
225	16	173	64	0,00005	82,66900	82,66905	11	0
200	182	227	195	-0,00001	80,91170	80,91169	21	0
140	327	100	373	0,00004	81,45580	81,45584	19	0
135	495	192	529	-0,00001	84,79900	84,79899	15	0
142	287	69	267	0,00001	85,42640	85,42641	10	0
180	562	193	483	-0,00002	84,38480	84,38478	10	0
231	184	223	110	0,00003	87,25480	87,25483	14	0
230	121	211	43	0,00001	87,52690	87,52691	12	0
234	170	208	105	0,00004	87,56850	87,56854	14	0
148	326	185	388	-0,00002	86,69850	86,69848	22	1
99	304	143	319	-0,00003	85,28430	85,28427	13	0
178	305	109	268	-0,00001	84,91170	84,91169	23	0
68	267	143	285	-0,00002	86,59800	86,59798	16	0
98	260	171	300	0,00004	89,56850	89,56854	23	0
142	148	138	237	-0,00002	91,48530	91,48528	7	0
181	262	233	213	-0,00000	88,11270	88,11270	19	0
87	358	155	358	-0,00004	88,08330	88,08326	22	0
185	226	138	285	-0,00001	89,01220	89,01219	18	0
81	306	133	315	-0,00001	88,01220	88,01219	16	0
124	330	93	398	0,00003	89,04160	89,04163	15	0
162	62	211	6	-0,00003	89,18380	89,18377	17	1
151	286	189	220	-0,00003	90,18380	90,18377	21	0
99	375	79	295	-0,00004	88,87010	88,87006	15	0
232	127	203	47	-0,00001	92,01220	92,01219	13	0
183	68	217	111	-0,00000	94,11270	94,11270	14	0
141	279	194	219	0,00003	94,25480	94,25483	25	0
179	410	148	367	0,00002	94,62740	94,62742	36	0
