type: da2
name: ca_caverns2
algorithm: jpsplusbb
preprossessing [ms]: 34741

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
253	376	248	381	-0,00000	7,07107	7,07107	4	0
126	65	120	67	-0,00000	6,82843	6,82843	4	0
225	126	228	120	0,00000	7,24264	7,24264	4	1
213	313	208	308	-0,00000	7,07107	7,07107	3	0
170	70	166	71	0,00000	4,41421	4,41421	4	0
291	385	296	385	0,00000	5,00000	5,00000	2	0
219	124	224	124	0,00000	5,00000	5,00000	3	0
308	269	301	268	0,00000	7,41421	7,41421	3	0
346	271	343	277	0,00000	7,24264	7,24264	4	0
230	288	228	294	-0,00000	6,82843	6,82843	6	0
148	45	140	41	0,00000	9,65685	9,65685	4	0
230	103	221	96	-0,00001	11,89950	11,89949	4	0
255	386	251	377	-0,00005	10,65690	10,65685	4	0
217	110	215	100	0,00003	10,82840	10,82843	3	0
256	214	264	220	-0,00002	10,48530	10,48528	6	0
179	82	175	74	0,00000	9,65685	9,65685	5	0
151	37	142	41	-0,00005	10,65690	10,65685	5	0
261	385	265	393	0,00000	9,65685	9,65685	4	0
199	301	192	306	-0,00000	9,07107	9,07107	5	0
234	161	242	159	-0,00000	8,82843	8,82843	8	0
221	285	218	298	0,00004	14,24260	14,24264	7	0
204	124	206	111	0,00003	13,82840	13,82843	5	0
234	302	229	289	-0,00003	15,07110	15,07107	6	0
139	70	138	57	-0,00001	15,89950	15,89949	7	0
230	93	243	86	-0,00001	15,89950	15,89949	4	0
232	262	246	266	-0,00005	15,65690	15,65685	6	0
264	394	254	388	-0,00002	12,48530	12,48528	3	0
152	51	141	57	-0,00002	13,48530	13,48528	5	0
176	76	168	67	-0,00002	15,48530	15,48528	9	0
236	131	231	121	-0,00003	12,07110	12,07107	4	0
226	316	210	313	0,00004	17,24260	17,24264	4	0
100	49	99	68	0,00001	19,41420	19,41421	4	0
267	390	263	372	-0,00005	19,65690	19,65685	5	0
249	83	232	87	-0,00005	18,65690	18,65685	6	0
149	57	149	75	-0,00005	19,65690	19,65685	7	0
131	60	112	62	0,00003	19,82840	19,82843	3	0
168	60	153	68	0,00001	18,31370	18,31371	6	0
216	87	230	100	-0,00002	19,38480	19,38478	7	0
268	386	283	380	-0,00002	17,48530	17,48528	4	0
269	270	274	256	-0,00003	16,07110	16,07107	11	0
213	305	234	312	-0,00001	23,89950	23,89949	5	0
266	390	288	387	0,00004	23,24260	23,24264	5	0
262	220	278	233	0,00004	23,14210	23,14214	7	0
234	152	238	130	-0,00005	23,65690	23,65685	10	0
248	235	227	241	-0,00002	23,48530	23,48528	8	1
153	40	159	60	-0,00002	22,48530	22,48528	4	0
292	117	277	104	0,00005	21,55630	21,55635	7	0
204	138	212	121	0,00001	20,31370	20,31371	10	0
204	117	218	124	-0,00003	20,07110	20,07107	10	0
213	115	231	123	0,00001	21,31370	21,31371	6	0
133	45	134	69	0,00001	24,41420	24,41421	4	0
131	64	154	58	-0,00002	25,48530	25,48528	6	0
160	53	149	75	0,00005	26,55630	26,55635	9	0
228	313	228	334	-0,00002	25,48530	25,48528	7	0
293	113	270	106	-0,00001	25,89950	25,89949	6	0
263	366	248	387	0,00000	27,21320	27,21320	7	0
119	65	97	52	-0,00002	27,38480	27,38478	9	0
282	386	258	380	-0,00002	26,48530	26,48528	5	0
243	309	219	305	-0,00005	25,65690	25,65685	7	0
285	390	269	399	0,00001	24,31370	24,31371	5	0
159	59	154	32	0,00004	30,24260	30,24264	6	0
243	87	213	84	0,00004	31,24260	31,24264	5	0
227	295	202	283	-0,00004	29,97060	29,97056	9	0
290	421	278	445	-0,00004	28,97060	28,97056	5	0
213	97	223	124	0,00004	31,14210	31,14214	11	0
233	304	235	276	0,00003	30,82840	30,82843	8	0
283	384	303	402	-0,00002	30,38480	30,38478	7	0
219	137	208	111	0,00004	31,14210	31,14214	9	0
288	103	261	108	-0,00003	31,07110	31,07107	8	0
140	47	165	56	0,00002	28,72790	28,72792	3	0
218	134	204	122	-0,00004	32,97060	32,97056	10	0
234	237	264	227	0,00004	34,14210	34,14214	11	0
221	332	204	314	0,00005	32,55630	32,55635	16	0
217	125	230	97	-0,00004	33,97060	33,97056	7	0
234	298	206	285	-0,00002	33,38480	33,38478	10	0
288	385	264	370	-0,00001	34,89950	34,89949	8	0
226	319	222	288	-0,00005	32,65690	32,65685	10	0
234	237	234	269	0,00003	32,82840	32,82843	8	0
207	84	239	81	-0,00003	34,07110	34,07107	6	0
