type: da2
name: ca_caverns2prc
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
246	271	243	276	0,00000	6,24264	6,24264	43	0
248	116	254	116	0,00000	6,00000	6,00000	44	0
154	54	149	51	0,00000	6,24264	6,24264	43	0
140	58	136	56	-0,00000	4,82843	4,82843	34	0
189	295	184	292	-0,00000	6,82843	6,82843	34	0
126	61	125	65	0,00000	4,41421	4,41421	29	0
214	308	217	313	0,00000	6,24264	6,24264	43	0
226	293	221	295	-0,00000	5,82843	5,82843	29	0
252	181	255	175	-0,00000	7,82843	7,82843	44	0
222	95	216	95	0,00000	6,00000	6,00000	44	0
210	113	205	104	-0,00003	11,07110	11,07107	90	0
139	76	139	84	0,00000	8,00000	8,00000	51	0
208	345	207	353	0,00000	8,41421	8,41421	56	0
150	55	143	58	0,00000	8,24264	8,24264	65	0
226	292	220	286	0,00000	8,48528	8,48528	44	0
207	102	213	108	0,00000	8,48528	8,48528	44	0
220	103	213	97	0,00000	9,48528	9,48528	66	0
274	104	266	102	-0,00000	8,82843	8,82843	56	0
204	99	199	92	-0,00000	9,07107	9,07107	69	0
216	80	218	89	-0,00000	9,82843	9,82843	81	0
258	94	246	99	-0,00001	14,89950	14,89949	73	0
253	384	259	373	-0,00002	13,48530	13,48528	126	0
217	293	208	303	0,00002	13,72790	13,72792	96	0
121	63	108	65	0,00003	13,82840	13,82843	120	0
235	311	238	300	0,00004	12,24260	12,24264	91	0
218	99	222	87	-0,00005	13,65690	13,65685	130	0
222	98	231	108	0,00002	13,72790	13,72792	96	0
192	290	190	304	0,00003	14,82840	14,82843	129	0
234	91	245	83	-0,00002	15,48530	15,48528	113	0
287	100	276	96	-0,00005	12,65690	12,65685	112	1
159	70	148	55	0,00005	19,55630	19,55635	159	0
244	85	230	92	-0,00001	16,89950	16,89949	108	0
249	113	263	113	0,00003	16,82840	16,82843	116	0
143	47	143	63	0,00000	16,00000	16,00000	114	0
150	56	149	72	0,00001	16,41420	16,41421	114	0
267	231	269	214	-0,00002	19,48530	19,48528	214	0
206	108	206	90	0,00000	18,00000	18,00000	128	0
220	101	203	95	-0,00002	19,48530	19,48528	216	0
140	70	144	85	-0,00002	17,48530	17,48528	136	0
213	112	207	97	-0,00002	17,48530	17,48528	174	0
144	81	148	60	0,00004	23,24260	23,24264	169	0
212	285	205	300	0,00005	21,55630	21,55635	145	0
95	80	100	62	-0,00003	20,07110	20,07107	139	0
214	108	228	93	-0,00001	20,79900	20,79899	146	0
83	63	106	64	0,00001	23,41420	23,41421	163	0
178	89	197	85	-0,00005	20,65690	20,65685	109	0
225	98	233	116	0,00001	21,31370	21,31371	234	0
202	122	211	103	0,00002	22,72790	22,72792	255	0
206	126	220	110	-0,00001	21,79900	21,79899	177	0
249	271	232	278	-0,00002	20,48530	20,48528	203	0
198	118	224	121	0,00004	27,24260	27,24264	280	0
264	226	289	232	-0,00002	27,48530	27,48528	278	0
275	374	296	389	0,00000	27,21320	27,21320	267	1
299	387	288	367	0,00005	24,55630	24,55635	282	0
219	114	232	94	-0,00002	25,38480	25,38478	288	0
219	236	242	230	-0,00002	25,48530	25,48528	187	0
133	71	154	85	-0,00002	27,38480	27,38478	259	0
234	130	208	131	0,00001	26,41420	26,41421	173	0
160	69	142	50	0,00004	26,45580	26,45584	173	0
211	117	216	139	-0,00001	24,89950	24,89949	247	0
256	193	265	216	0,00004	28,14210	28,14214	167	1
231	115	229	84	0,00003	31,82840	31,82843	271	0
149	52	123	62	0,00004	30,14210	30,14214	356	0
222	99	207	121	0,00000	28,21320	28,21320	329	0
202	102	233	104	0,00003	31,82840	31,82843	271	0
229	83	231	112	0,00003	29,82840	29,82843	261	0
304	401	297	427	0,00001	30,31370	30,31371	197	0
205	107	230	116	0,00002	28,72790	28,72792	370	1
261	106	286	111	-0,00002	30,38480	30,38478	286	0
251	385	277	372	-0,00002	31,38480	31,38478	388	0
231	132	208	106	0,00001	35,52690	35,52691	295	0
218	107	227	77	0,00002	33,72790	33,72792	442	1
217	291	188	289	-0,00003	34,07110	34,07107	335	0
240	318	212	300	0,00004	35,45580	35,45584	241	0
215	108	234	81	-0,00004	34,87010	34,87006	424	0
232	143	214	116	0,00002	35,62740	35,62742	452	1
32	68	65	67	0,00001	33,41420	33,41421	171	0
232	135	206	122	0,00005	32,55630	32,55635	380	0
254	203	264	233	0,00004	34,14210	34,14214	388	0
211	122	231	147	-0,00004	35,87010	35,87006	306	0
