type: da2
name: dr_dungeon
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
228	221	235	220	0,00000	7,41421	7,41421	5	0
150	62	143	63	0,00000	7,41421	7,41421	5	0
171	104	176	106	-0,00000	5,82843	5,82843	9	0
64	141	58	140	0,00000	6,41421	6,41421	5	0
151	139	156	137	-0,00000	5,82843	5,82843	9	0
196	120	197	126	0,00000	6,41421	6,41421	6	0
173	117	167	113	0,00000	7,65685	7,65685	7	0
227	215	233	219	0,00000	7,65685	7,65685	6	0
183	140	188	137	0,00000	6,24264	6,24264	11	0
125	198	130	202	0,00000	6,65685	6,65685	7	0
227	62	217	66	-0,00005	11,65690	11,65685	6	0
184	118	175	115	0,00004	10,24260	10,24264	7	0
235	200	241	207	0,00000	9,48528	9,48528	7	0
163	114	166	121	0,00000	8,24264	8,24264	8	0
177	158	171	153	-0,00000	8,07107	8,07107	8	0
228	235	238	235	0,00000	10,00000	10,00000	4	0
159	143	150	139	-0,00005	10,65690	10,65685	7	0
153	65	162	58	-0,00001	11,89950	11,89949	7	0
217	215	226	213	-0,00000	9,82843	9,82843	5	0
241	137	249	132	-0,00003	10,07110	10,07107	6	0
77	131	89	134	0,00004	13,24260	13,24264	10	0
76	41	61	41	0,00000	15,00000	15,00000	6	0
82	104	91	113	0,00002	12,72790	12,72792	7	0
29	47	40	37	0,00004	15,14210	15,14214	14	0
262	150	276	150	0,00000	14,00000	14,00000	3	0
119	208	128	201	-0,00003	13,07110	13,07107	11	0
198	109	192	122	-0,00002	15,48530	15,48528	8	1
116	206	101	207	0,00001	15,41420	15,41421	8	0
124	20	122	35	0,00003	15,82840	15,82843	5	0
129	45	120	53	0,00001	12,31370	12,31371	8	0
92	125	79	139	-0,00004	19,97060	19,97056	13	0
186	119	169	124	-0,00003	19,07110	19,07107	13	0
137	51	129	35	0,00001	19,31370	19,31371	11	0
121	40	124	24	0,00004	17,24260	17,24264	9	0
202	116	185	115	0,00001	17,41420	17,41421	6	0
270	123	267	138	0,00004	16,24260	16,24264	7	0
128	201	114	206	-0,00003	16,07110	16,07107	7	0
