type: da2
name: dr_slavers
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
75	186	71	182	0,00000	5,65685	5,65685	30	0
281	68	282	63	0,00000	5,41421	5,41421	37	0
163	203	162	208	0,00000	7,41421	7,41421	43	0
203	128	207	126	-0,00000	4,82843	4,82843	33	0
240	59	245	60	0,00000	5,41421	5,41421	37	0
164	60	163	55	0,00000	5,41421	5,41421	37	0
231	227	231	231	0,00000	4,00000	4,00000	30	0
173	197	174	203	0,00000	6,41421	6,41421	43	0
91	124	96	126	-0,00000	5,82843	5,82843	41	0
167	196	167	202	0,00000	6,00000	6,00000	23	0
205	206	196	199	-0,00001	11,89950	11,89949	94	0
230	220	232	229	-0,00000	9,82843	9,82843	81	0
118	204	126	206	-0,00000	8,82843	8,82843	62	0
176	130	178	119	0,00003	11,82840	11,82843	96	0
189	133	180	137	-0,00005	10,65690	10,65685	86	0
161	54	155	63	-0,00002	11,48530	11,48528	95	0
107	121	99	122	0,00000	8,41421	8,41421	48	0
170	169	171	178	0,00000	9,41421	9,41421	38	0
164	56	163	64	0,00000	8,41421	8,41421	58	0
133	208	135	200	-0,00000	8,82843	8,82843	63	0
93	102	81	103	0,00001	12,41420	12,41421	72	0
181	142	188	131	-0,00001	13,89950	13,89949	121	0
25	13	31	2	-0,00002	13,48530	13,48528	126	0
49	45	37	46	0,00001	12,41420	12,41421	86	0
200	136	190	129	-0,00001	12,89950	12,89949	114	0
72	131	87	133	0,00003	15,82840	15,82843	128	0
173	100	168	113	-0,00003	15,07110	15,07107	106	0
223	227	219	216	-0,00005	12,65690	12,65685	118	0
278	93	286	102	0,00001	12,31370	12,31371	79	0
271	146	279	137	0,00001	12,31370	12,31371	85	1
296	128	281	118	0,00004	19,14210	19,14214	174	0
260	59	245	63	-0,00005	16,65690	16,65685	162	0
64	131	79	142	0,00005	19,55630	19,55635	174	0
286	148	271	157	0,00002	18,72790	18,72792	191	0
218	234	233	223	0,00005	19,55630	19,55635	187	0
216	229	235	230	0,00001	19,41420	19,41421	135	0
150	60	133	62	0,00003	17,82840	17,82843	145	0
285	142	303	141	0,00001	18,41420	18,41421	128	0
165	142	178	132	0,00004	17,14210	17,14214	147	0
157	159	170	147	-0,00004	17,97060	17,97056	125	0
172	131	158	116	-0,00001	20,79900	20,79899	146	0
263	137	270	155	-0,00001	20,89950	20,89949	192	0
78	111	60	121	0,00004	22,14210	22,14214	220	1
180	111	163	126	0,00000	23,21320	23,21320	190	0
144	44	124	52	0,00001	23,31370	23,31371	219	0
302	127	303	150	0,00001	23,41420	23,41421	163	0
239	201	237	222	0,00003	21,82840	21,82843	177	0
265	151	255	134	-0,00002	23,48530	23,48528	185	0
90	205	71	195	0,00004	23,14210	23,14214	239	0
174	138	154	129	0,00002	23,72790	23,72792	282	0
206	117	179	116	0,00001	27,41420	27,41421	191	0
82	45	107	39	-0,00002	27,48530	27,48528	326	1
164	64	188	58	-0,00002	26,48530	26,48528	250	0
65	105	84	120	0,00000	25,21320	25,21320	237	0
271	145	294	135	0,00004	27,14210	27,14214	299	0
281	125	288	149	-0,00001	26,89950	26,89949	300	0
32	33	54	40	0,00004	27,24260	27,24264	265	0
191	108	203	130	-0,00004	26,97060	26,97056	337	1
284	112	278	137	-0,00002	27,48530	27,48528	247	0
89	48	111	36	-0,00004	26,97060	26,97056	281	0
162	135	164	107	0,00003	28,82840	28,82843	271	0
154	120	178	109	0,00005	28,55630	28,55635	371	0
84	37	112	45	0,00001	31,31370	31,31371	377	1
263	122	249	132	-0,00001	31,89950	31,89949	321	0
98	106	71	101	-0,00003	29,07110	29,07107	284	0
72	117	56	142	0,00002	31,62740	31,62742	369	0
161	57	187	63	-0,00002	28,48530	28,48528	293	0
29	37	59	38	0,00001	30,41420	30,41421	184	0
150	54	135	33	0,00002	30,72790	30,72792	327	1
276	55	246	52	0,00004	31,24260	31,24264	302	0
114	123	97	141	0,00003	35,82840	35,82843	354	0
271	136	299	152	0,00002	34,62740	34,62742	419	0
158	56	127	50	-0,00002	33,48530	33,48528	327	1
302	125	269	123	0,00003	33,82840	33,82843	289	0
267	59	235	58	0,00001	32,41420	32,41421	226	0
54	106	72	133	0,00004	34,45580	34,45584	376	0
100	37	68	39	0,00003	32,82840	32,82843	280	0
287	131	262	148	0,00003	32,04160	32,04163	365	0
273	133	298	152	-0,00004	32,87010	32,87006	343	1
171	117	178	148	-0,00001	33,89950	33,89949	434	0
96	36	60	42	-0,00002	38,48530	38,48528	373	0
120	65	154	53	-0,00004	38,97060	38,97056	471	1
157	141	182	114	0,00004	37,35530	37,35534	301	0
94	103	57	100	0,00004	38,24260	38,24264	311	0
189	68	183	101	0,00003	37,82840	37,82843	231	0
178	124	209	106	0,00002	39,62740	39,62742	628	1
95	135	63	118	0,00003	39,04160	39,04163	556	0
