type: da2
name: ht_0_hightown_a2
algorithm: astarbb
preprossessing [ms]: 508177

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
256	400	256	404	0,00000	4,00000	4,00000	30	0
310	347	315	347	0,00000	5,00000	5,00000	32	0
79	164	85	167	0,00000	7,24264	7,24264	43	0
252	292	250	296	-0,00000	4,82843	4,82843	33	0
270	167	277	169	-0,00000	7,82843	7,82843	33	0
139	282	133	281	0,00000	6,41421	6,41421	43	0
176	424	173	427	0,00000	4,24264	4,24264	20	0
83	152	87	148	0,00000	5,65685	5,65685	26	0
256	254	260	253	0,00000	4,41421	4,41421	17	0
140	192	136	193	0,00000	4,41421	4,41421	26	0
338	186	330	188	-0,00000	8,82843	8,82843	62	0
361	294	350	294	0,00000	11,00000	11,00000	68	0
240	347	251	347	0,00000	11,00000	11,00000	68	0
234	393	228	398	-0,00000	8,07107	8,07107	44	0
350	239	345	245	-0,00000	8,07107	8,07107	36	0
282	107	280	118	0,00003	11,82840	11,82843	74	1
188	312	197	312	0,00000	9,00000	9,00000	55	0
315	181	308	176	-0,00000	9,07107	9,07107	60	0
288	140	297	142	-0,00000	9,82843	9,82843	62	0
270	151	268	142	-0,00000	9,82843	9,82843	70	0
240	425	250	420	-0,00003	12,07110	12,07107	91	0
286	115	290	101	-0,00005	15,65690	15,65685	125	0
269	377	258	384	-0,00001	13,89950	13,89949	121	0
166	252	172	240	-0,00002	14,48530	14,48528	133	1
279	136	292	133	0,00004	14,24260	14,24264	106	0
188	229	186	215	0,00003	14,82840	14,82843	110	0
169	294	184	292	0,00003	15,82840	15,82843	119	0
297	153	312	151	0,00003	15,82840	15,82843	100	0
160	215	153	226	-0,00001	13,89950	13,89949	112	0
294	268	303	274	0,00001	14,41420	14,41421	72	0
187	219	188	237	0,00001	18,41420	18,41421	109	0
283	361	295	349	0,00001	19,31370	19,31371	152	1
104	295	120	300	-0,00003	18,07110	18,07107	170	0
371	351	376	365	-0,00003	16,07110	16,07107	151	0
300	247	299	230	0,00001	17,41420	17,41421	98	0
304	181	307	165	0,00004	17,24260	17,24264	128	0
93	188	89	172	-0,00005	17,65690	17,65685	154	0
371	285	356	289	-0,00005	16,65690	16,65685	94	0
288	224	291	207	0,00004	18,24260	18,24264	172	1
328	342	312	351	0,00002	19,72790	19,72792	160	0
287	208	290	189	0,00004	20,24260	20,24264	161	0
288	136	296	118	0,00001	21,31370	21,31371	209	1
264	386	270	366	-0,00002	22,48530	22,48528	233	0
225	312	247	312	0,00000	22,00000	22,00000	155	0
123	278	115	296	0,00001	21,31370	21,31371	196	0
236	417	219	428	0,00005	21,55630	21,55635	185	0
344	361	362	347	-0,00001	23,79900	23,79899	198	1
365	353	373	334	0,00001	22,31370	22,31371	256	0
375	216	357	223	-0,00001	20,89950	20,89949	170	0
371	362	374	383	0,00004	22,24260	22,24264	222	0
343	273	341	298	0,00003	25,82840	25,82843	214	0
266	156	262	180	-0,00005	25,65690	25,65685	255	1
235	355	246	369	-0,00003	24,07110	24,07107	166	0
297	158	272	158	0,00000	25,00000	25,00000	151	0
271	297	269	273	0,00003	24,82840	24,82843	205	0
299	200	279	181	-0,00004	27,87010	27,87006	180	1
356	246	340	265	0,00002	25,62740	25,62742	184	0
267	387	267	411	0,00000	24,00000	24,00000	169	0
286	215	293	240	-0,00001	27,89950	27,89949	282	1
295	231	300	256	-0,00003	27,07110	27,07107	249	0
288	200	295	173	-0,00001	29,89950	29,89949	340	0
301	131	294	103	-0,00001	30,89950	30,89949	190	0
273	390	275	419	0,00001	30,41420	30,41421	154	0
253	411	229	427	0,00002	30,62740	30,62742	267	0
254	370	229	366	0,00004	29,24260	29,24264	380	1
313	146	287	132	-0,00001	31,79900	31,79899	341	0
356	306	352	279	-0,00005	28,65690	28,65685	258	1
217	411	243	406	-0,00003	28,07110	28,07107	276	0
74	204	95	184	-0,00003	29,28430	29,28427	179	0
111	198	90	178	0,00003	31,04160	31,04163	248	0
275	149	302	170	-0,00002	35,69850	35,69848	347	1
283	176	289	209	-0,00002	35,48530	35,48528	340	1
299	277	307	246	0,00001	34,31370	34,31371	352	0
262	276	259	310	0,00004	35,24260	35,24264	307	1
288	253	301	280	-0,00002	32,38480	32,38478	229	0
