type: da2
name: ht_0_hightown_a3
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
216	431	218	427	-0,00000	4,82843	4,82843	30	0
354	192	352	199	-0,00000	7,82843	7,82843	57	0
248	365	244	367	-0,00000	4,82843	4,82843	34	0
267	175	262	180	-0,00000	7,07107	7,07107	37	0
93	150	88	151	0,00000	5,41421	5,41421	37	0
203	212	199	213	0,00000	4,41421	4,41421	30	0
279	375	279	382	0,00000	7,00000	7,00000	50	0
304	175	306	171	-0,00000	4,82843	4,82843	30	0
68	178	70	172	0,00000	7,41421	7,41421	35	0
286	221	290	223	-0,00000	4,82843	4,82843	33	0
227	421	238	419	0,00003	11,82840	11,82843	96	0
286	262	290	254	0,00000	9,65685	9,65685	76	0
179	297	188	298	0,00000	9,41421	9,41421	65	0
292	94	284	96	-0,00000	8,82843	8,82843	72	0
268	151	269	162	0,00001	11,41420	11,41421	79	0
255	369	263	368	0,00000	8,41421	8,41421	58	0
178	279	186	286	-0,00001	10,89950	10,89949	76	0
365	353	362	363	0,00004	11,24260	11,24264	99	0
314	344	320	350	0,00000	8,48528	8,48528	44	0
244	375	237	369	0,00000	9,48528	9,48528	65	0
335	224	323	219	-0,00003	14,07110	14,07107	127	0
326	205	335	214	0,00002	12,72790	12,72792	65	0
306	140	295	145	-0,00003	13,07110	13,07107	109	1
288	93	277	89	-0,00005	12,65690	12,65685	113	0
353	358	361	369	0,00001	14,31370	14,31371	121	0
246	304	238	315	0,00001	14,31370	14,31371	76	0
167	327	180	327	0,00000	13,00000	13,00000	85	0
231	416	224	403	-0,00001	15,89950	15,89949	129	0
178	330	180	316	0,00003	14,82840	14,82843	106	0
257	286	246	292	-0,00002	13,48530	13,48528	127	0
236	390	226	405	0,00004	19,14210	19,14214	182	0
356	203	345	188	0,00005	19,55630	19,55635	94	0
181	269	186	254	-0,00003	17,07110	17,07107	173	0
145	184	144	202	0,00001	18,41420	18,41421	128	0
345	283	356	297	0,00005	18,55630	18,55635	164	0
246	291	262	286	-0,00003	18,07110	18,07107	174	1
166	308	175	295	0,00002	16,72790	16,72792	150	0
376	357	360	361	-0,00005	17,65690	17,65685	178	0
362	238	347	232	-0,00002	17,48530	17,48528	181	0
135	221	152	227	-0,00002	19,48530	19,48528	183	0
169	264	174	245	-0,00003	21,07110	21,07107	192	0
249	396	231	407	0,00005	22,55630	22,55635	240	0
295	274	278	289	0,00000	23,21320	23,21320	188	0
93	190	82	172	0,00005	22,55630	22,55635	241	1
96	154	78	161	-0,00001	20,89950	20,89949	227	0
301	318	313	300	-0,00004	22,97060	22,97056	194	0
297	275	281	287	-0,00004	20,97060	20,97056	202	0
313	304	303	286	0,00004	22,14210	22,14214	242	0
297	112	301	132	-0,00005	21,65690	21,65685	134	0
268	402	250	391	0,00005	22,55630	22,55635	240	0
316	182	303	163	-0,00002	24,38480	24,38478	218	1
290	125	311	140	0,00000	27,21320	27,21320	246	0
102	178	80	172	-0,00002	24,48530	24,48528	276	0
278	131	263	151	0,00000	26,21320	26,21320	200	0
101	198	74	197	0,00001	27,41420	27,41421	191	0
285	203	284	228	-0,00003	27,07110	27,07107	218	0
354	353	368	333	-0,00001	25,79900	25,79899	276	1
102	151	81	161	0,00004	25,14210	25,14214	310	0
149	283	124	283	0,00000	25,00000	25,00000	177	0
336	219	362	222	0,00004	27,24260	27,24264	280	0
262	285	290	290	-0,00003	30,07110	30,07107	331	0
166	334	182	313	0,00000	28,21320	28,21320	318	0
168	315	142	306	0,00002	29,72790	29,72792	364	1
284	153	286	122	0,00003	31,82840	31,82843	271	0
318	188	288	190	0,00003	30,82840	30,82843	229	0
276	258	279	229	0,00004	30,24260	30,24264	216	0
313	380	284	373	-0,00001	31,89950	31,89949	317	0
265	389	274	416	0,00002	30,72790	30,72792	402	0
140	150	137	179	0,00004	30,24260	30,24264	268	0
260	307	247	283	-0,00002	29,38480	29,38478	314	0
176	431	211	429	0,00003	35,82840	35,82843	208	0
271	376	262	407	0,00002	34,72790	34,72792	430	1
191	272	160	281	0,00002	34,72790	34,72792	467	0
281	421	256	396	0,00004	35,35530	35,35534	176	0
281	313	312	308	-0,00003	33,07110	33,07107	387	0
309	361	279	374	-0,00002	35,38480	35,38478	439	1
309	372	294	344	0,00000	34,21320	34,21320	470	0
244	426	266	406	0,00000	33,21320	33,21320	376	0
271	294	275	262	-0,00005	33,65690	33,65685	377	1
177	267	145	276	0,00002	35,72790	35,72792	357	0
264	187	266	149	0,00003	38,82840	38,82843	340	0
191	282	195	320	-0,00005	39,65690	39,65685	392	0
216	400	198	427	0,00005	38,55630	38,55635	402	0
292	143	265	168	0,00003	37,94110	37,94113	352	1
245	409	235	375	0,00004	38,14210	38,14214	485	0
188	293	215	312	0,00005	39,55630	39,55635	716	1
333	286	307	266	-0,00002	38,38480	38,38478	380	0
348	238	323	212	-0,00000	38,11270	38,11270	384	0
212	297	183	323	-0,00005	39,76960	39,76955	219	0
295	286	257	285	0,00001	38,41420	38,41421	268	0
223	284	189	308	0,00003	43,94110	43,94113	528	1
144	232	103	231	0,00001	41,41420	41,41421	289	0
395	237	365	219	-0,00002	40,38480	40,38478	488	0
356	236	326	207	-0,00001	42,01220	42,01219	212	0
297	300	260	295	0,00004	42,14210	42,14214	432	0
279	270	261	306	0,00004	43,45580	43,45584	623	1
177	200	139	187	-0,00002	43,38480	43,38478	337	0
274	407	258	371	0,00002	42,62740	42,62742	475	1
348	287	307	286	0,00004	42,24260	42,24264	283	0
171	202	139	183	0,00002	41,62740	41,62742	408	0
266	404	222	399	-0,00003	46,07110	46,07107	539	0
362	344	319	338	0,00004	47,24260	47,24264	675	1
90	202	78	159	-0,00004	47,97060	47,97056	768	0
184	298	164	260	-0,00003	46,28430	46,28427	738	1
188	211	147	225	-0,00001	46,79900	46,79899	479	1
282	277	277	233	-0,00003	46,07110	46,07107	455	0
131	230	142	189	0,00005	45,55630	45,55635	428	0
263	406	259	363	-0,00005	44,65690	44,65685	494	0
276	256	250	290	-0,00000	47,11270	47,11270	486	1
344	256	366	293	-0,00000	46,11270	46,11270	414	0
224	407	181	419	-0,00001	50,79900	50,79899	530	0
249	398	211	428	0,00001	50,42640	50,42641	610	1
227	429	262	399	-0,00001	48,01220	48,01219	547	0
233	344	239	391	-0,00002	49,48530	49,48528	495	0
240	395	283	379	0,00002	49,62740	49,62742	687	1
122	290	154	310	-0,00002	48,48530	48,48528	603	0
313	311	298	351	0,00001	50,31370	50,31371	389	1
333	236	341	280	0,00003	50,82840	50,82843	380	0
281	402	278	363	0,00000	49,21320	49,21320	725	0
376	371	342	335	-0,00004	50,08330	50,08326	383	0
181	250	199	294	0,00000	53,21320	53,21320	717	1
277	278	244	244	-0,00002	54,69850	54,69848	751	1
52	164	72	203	0,00001	54,31370	54,31371	276	0
131	311	147	281	0,00001	53,31370	53,31371	917	1
300	148	293	97	-0,00001	53,89950	53,89949	540	0
289	270	272	309	-0,00001	55,79900	55,79899	783	1
240	279	274	254	0,00002	53,72790	53,72792	661	0
346	255	361	208	0,00000	53,21320	53,21320	918	0
244	370	279	408	0,00001	55,42640	55,42641	627	1
120	319	172	317	-0,00005	53,65690	53,65685	391	0
187	276	166	324	-0,00002	56,69850	56,69848	1058	1
109	294	161	278	0,00002	58,62740	58,62742	759	1
294	327	318	374	0,00003	56,94110	56,94113	784	0
256	365	312	370	-0,00003	58,07110	58,07107	599	1
182	331	222	309	0,00003	59,25480	59,25483	942	1
306	132	309	189	0,00004	58,24260	58,24264	517	0
271	148	288	99	0,00003	56,04160	56,04163	799	1
275	272	330	283	0,00005	59,55630	59,55635	741	0
287	222	306	244	0,00002	59,62740	59,62742	1111	1
259	386	298	351	-0,00003	58,18380	58,18377	936	1
293	99	311	155	0,00004	63,45580	63,45584	806	1
329	196	357	248	-0,00002	63,59800	63,59798	1029	1
362	251	317	275	0,00000	62,21320	62,21320	782	1
350	252	360	194	0,00004	62,14210	62,14214	958	0
292	341	248	359	0,00004	60,24260	60,24264	525	1
150	329	149	306	0,00003	62,04160	62,04163	798	0
333	191	361	242	-0,00002	62,59800	62,59798	970	1
307	343	266	315	-0,00001	60,79900	60,79899	746	1
216	382	270	400	0,00004	61,45580	61,45584	976	1
286	281	240	313	0,00001	60,42640	60,42641	1032	1
283	259	244	250	0,00004	67,45580	67,45584	1224	1
