type: da2
name: ht_0_hightown_n
algorithm: astarbb
preprossessing [ms]: 510897

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
309	253	313	250	0,00000	5,24264	5,24264	36	0
271	343	267	343	0,00000	4,00000	4,00000	19	0
130	236	126	235	0,00000	4,41421	4,41421	24	0
293	220	293	225	0,00000	5,00000	5,00000	21	0
328	181	335	179	-0,00000	7,82843	7,82843	39	0
96	175	92	173	-0,00000	4,82843	4,82843	29	0
389	216	392	222	0,00000	7,24264	7,24264	43	0
77	197	79	201	-0,00000	4,82843	4,82843	27	0
176	317	173	323	0,00000	7,24264	7,24264	46	0
170	276	166	282	0,00000	7,65685	7,65685	47	0
174	469	176	478	-0,00000	9,82843	9,82843	69	0
136	210	129	205	0,00000	9,65685	9,65685	62	0
293	182	297	172	-0,00005	11,65690	11,65685	98	0
176	436	177	446	0,00001	10,41420	10,41421	61	0
282	102	290	101	0,00000	8,41421	8,41421	49	0
229	420	221	427	-0,00001	10,89950	10,89949	68	0
116	266	124	268	-0,00000	8,82843	8,82843	53	0
245	401	241	391	-0,00005	11,65690	11,65685	102	0
378	226	385	231	0,00000	9,65685	9,65685	58	0
283	419	274	425	-0,00002	11,48530	11,48528	81	1
266	407	262	393	-0,00005	15,65690	15,65685	152	0
77	184	73	196	0,00004	14,24260	14,24264	94	0
195	304	206	312	0,00001	14,31370	14,31371	123	0
269	140	261	150	0,00001	13,31370	13,31371	98	0
311	291	300	301	0,00004	15,14210	15,14214	97	0
314	295	301	302	-0,00001	15,89950	15,89949	144	0
294	85	282	83	0,00003	12,82840	12,82843	89	0
379	340	364	341	0,00001	15,41420	15,41421	91	0
103	201	93	190	0,00004	15,14210	15,14214	95	1
199	425	188	429	-0,00005	12,65690	12,65685	101	0
359	356	376	362	-0,00002	19,48530	19,48528	208	0
284	223	297	236	-0,00002	18,38480	18,38478	72	0
339	235	346	218	-0,00001	19,89950	19,89949	165	0
259	275	247	290	-0,00004	19,97060	19,97056	158	0
278	144	284	129	-0,00002	17,48530	17,48528	148	1
170	334	165	318	-0,00003	18,07110	18,07107	148	0
369	353	379	366	0,00004	17,14210	17,14214	147	0
177	466	170	449	-0,00001	19,89950	19,89949	183	0
274	297	288	304	-0,00001	16,89950	16,89949	139	0
92	186	99	172	-0,00001	16,89950	16,89949	150	0
288	188	310	184	-0,00005	23,65690	23,65685	235	0
359	355	367	335	0,00001	23,31370	23,31371	258	0
298	112	281	128	0,00002	23,62740	23,62742	134	0
270	166	289	171	-0,00003	21,07110	21,07107	169	1
354	181	368	197	-0,00001	21,79900	21,79899	156	0
240	342	252	323	-0,00004	23,97060	23,97056	203	0
271	300	256	314	0,00005	22,55630	22,55635	197	0
271	409	261	391	0,00002	22,72790	22,72792	201	1
201	318	184	305	-0,00002	22,38480	22,38478	201	0
365	332	343	330	0,00003	22,82840	22,82843	183	0
299	277	279	287	0,00004	24,14210	24,14214	251	0
195	299	169	295	-0,00005	27,65690	27,65685	288	1
145	265	120	267	0,00003	25,82840	25,82843	201	0
257	348	235	339	0,00002	25,72790	25,72792	273	0
226	422	248	430	0,00001	25,31370	25,31371	255	1
134	203	148	220	0,00005	24,55630	24,55635	204	0
291	138	281	115	0,00004	27,14210	27,14214	299	1
286	115	277	94	-0,00001	25,89950	25,89949	262	0
276	279	271	254	-0,00003	27,07110	27,07107	279	1
311	252	303	244	-0,00003	25,07110	25,07107	148	0
267	280	278	253	0,00005	31,55630	31,55635	329	0
314	311	288	303	0,00001	29,31370	29,31371	300	1
346	342	351	368	-0,00003	28,07110	28,07107	273	0
304	156	286	179	0,00004	30,45580	30,45584	264	1
308	251	309	279	0,00001	28,41420	28,41421	197	0
292	275	271	293	0,00004	28,45580	28,45584	243	0
138	316	168	319	0,00004	31,24260	31,24264	205	0
252	361	282	361	0,00000	30,00000	30,00000	211	0
166	255	168	283	0,00003	28,82840	28,82843	196	0
202	204	174	213	0,00002	31,72790	31,72792	303	1
359	207	336	187	0,00000	34,21320	34,21320	428	1
183	280	167	308	0,00002	34,62740	34,62742	457	0
344	226	369	244	0,00004	32,45580	32,45584	340	1
88	175	106	202	0,00004	34,45580	34,45584	340	0
350	238	361	207	0,00005	35,55630	35,55635	483	1
128	261	142	284	-0,00004	35,97060	35,97056	326	0
275	135	298	157	-0,00000	32,11270	32,11270	174	1
137	211	111	197	-0,00002	32,38480	32,38478	300	0
341	237	368	252	0,00000	33,21320	33,21320	392	1
181	272	180	239	0,00001	33,41420	33,41421	230	0
346	246	361	216	0,00000	36,21320	36,21320	495	0
156	207	130	232	0,00003	36,94110	36,94113	272	1
169	304	171	268	0,00003	36,82840	36,82843	293	0
225	397	262	397	0,00000	37,00000	37,00000	223	0
275	259	258	291	0,00003	39,04160	39,04163	394	1
138	185	108	203	0,00004	37,45580	37,45584	433	0
344	185	364	215	-0,00003	38,28430	38,28427	385	1
153	266	127	276	-0,00005	37,65690	37,65685	354	1
285	127	282	163	0,00004	37,24260	37,24264	358	0
197	321	170	297	0,00003	36,94110	36,94113	313	0
277	198	315	186	-0,00004	42,97060	42,97056	540	2
