type: da2
name: ht_bartrand_n
algorithm: jpsplus
preprossessing [ms]: 17

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
57	99	62	96	0,00000	6,24264	6,24264	9	0
34	140	35	145	0,00000	5,41421	5,41421	7	0
75	63	73	57	-0,00000	6,82843	6,82843	10	0
94	87	94	93	0,00000	7,41421	7,41421	9	0
124	56	125	51	0,00000	5,41421	5,41421	6	0
105	82	101	79	0,00000	5,24264	5,24264	6	0
33	150	30	146	0,00000	5,24264	5,24264	8	0
62	97	56	95	-0,00000	6,82843	6,82843	7	0
55	96	60	101	-0,00000	7,07107	7,07107	7	0
87	87	92	83	0,00000	6,65685	6,65685	10	0
53	115	44	114	0,00000	9,41421	9,41421	9	0
51	70	58	73	0,00000	8,24264	8,24264	11	0
23	80	26	88	0,00000	9,24264	9,24264	6	0
121	133	114	137	0,00000	8,65685	8,65685	8	0
51	92	57	97	-0,00000	8,07107	8,07107	11	0
83	141	84	132	0,00004	10,24260	10,24264	14	0
44	93	51	87	0,00000	9,48528	9,48528	11	0
113	127	118	134	-0,00000	9,07107	9,07107	8	0
53	85	63	84	0,00001	10,41420	10,41421	9	0
86	154	94	158	0,00000	9,65685	9,65685	7	0
54	94	62	85	0,00001	12,31370	12,31371	8	0
43	137	42	151	0,00001	14,41420	14,41421	6	0
115	144	127	138	-0,00002	14,48530	14,48528	6	0
55	140	41	144	-0,00005	15,65690	15,65685	11	0
43	83	47	97	-0,00005	15,65690	15,65685	7	0
47	97	53	86	-0,00002	13,48530	13,48528	7	0
34	146	26	136	0,00001	13,31370	13,31371	6	0
25	50	12	53	0,00004	14,24260	14,24264	8	0
78	119	65	119	0,00000	13,00000	13,00000	5	0
95	153	98	141	0,00004	13,24260	13,24264	6	0
81	145	97	154	0,00002	19,72790	19,72792	6	0
38	150	24	139	0,00005	18,55630	18,55635	10	0
51	110	62	101	-0,00003	17,07110	17,07107	18	0
119	92	114	77	-0,00003	17,07110	17,07107	14	0
56	127	70	115	0,00005	19,55630	19,55635	15	0
121	59	123	40	0,00003	19,82840	19,82843	7	0
64	89	59	75	-0,00003	16,07110	16,07107	12	0
43	91	60	87	-0,00005	18,65690	18,65685	11	0
54	114	48	102	0,00003	16,82840	16,82843	17	0
112	43	94	39	-0,00005	19,65690	19,65685	12	0
45	60	58	73	-0,00001	21,89950	21,89949	14	0
51	140	53	118	0,00003	22,82840	22,82843	10	0
56	158	38	149	0,00002	21,72790	21,72792	14	0
63	101	63	81	0,00000	20,00000	20,00000	6	0
113	41	94	37	-0,00005	20,65690	20,65685	10	0
45	100	39	81	-0,00002	21,48530	21,48528	14	0
50	67	46	49	0,00000	22,00000	22,00000	10	0
55	140	36	134	0,00003	23,82840	23,82843	14	0
52	152	32	145	-0,00001	22,89950	22,89949	11	0
25	81	12	97	-0,00002	21,38480	21,38478	10	0
64	85	42	71	-0,00001	27,79900	27,79899	12	0
19	136	44	142	-0,00002	27,48530	27,48528	10	0
55	84	32	88	0,00003	25,82840	25,82843	13	0
52	74	54	99	0,00003	25,82840	25,82843	11	0
127	52	107	40	-0,00004	24,97060	24,97056	13	0
25	48	16	68	-0,00003	26,07110	26,07107	12	0
42	96	52	114	0,00001	25,31370	25,31371	20	0
28	81	51	77	-0,00004	27,97060	27,97056	17	0
42	97	50	113	0,00002	24,72790	24,72792	24	0
8	46	22	66	0,00005	27,55630	27,55635	15	0
72	56	48	53	0,00003	31,04160	31,04163	25	0
48	63	34	45	-0,00005	29,65690	29,65685	15	0
61	118	85	130	-0,00004	28,97060	28,97056	20	0
16	82	38	76	-0,00002	30,48530	30,48528	21	0
68	119	58	103	0,00004	28,14210	28,14214	20	0
15	47	17	74	0,00004	31,14210	31,14214	12	0
59	86	47	61	-0,00001	30,79900	30,79899	15	0
57	123	78	132	0,00004	28,24260	28,24264	16	0
20	72	23	45	0,00004	28,24260	28,24264	12	0
95	131	93	153	0,00005	31,55630	31,55635	20	0
47	114	39	89	-0,00003	33,28430	33,28427	27	0
19	68	28	39	0,00001	33,31370	33,31371	14	0
63	60	50	56	0,00004	33,14210	33,14214	33	0
48	60	68	35	0,00003	35,04160	35,04163	23	0
28	118	17	87	0,00005	35,55630	35,55635	16	0
57	84	78	101	0,00004	32,14210	32,14214	17	0
12	86	24	114	-0,00004	32,97060	32,97056	16	0
40	98	55	122	-0,00001	34,89950	34,89949	23	0
104	38	71	36	0,00003	33,82840	33,82843	14	0
50	122	41	148	0,00000	32,21320	32,21320	19	0
86	92	58	95	0,00005	38,55630	38,55635	24	0
114	145	86	138	0,00001	38,31370	38,31371	18	0
24	38	23	73	0,00004	36,24260	36,24264	11	0
66	98	64	123	0,00000	38,21320	38,21320	30	0
58	68	40	99	0,00004	38,45580	38,45584	16	0
39	96	44	59	-0,00001	39,89950	39,89949	16	0
52	50	60	77	0,00002	37,62740	37,62742	21	0
70	101	40	84	0,00003	37,04160	37,04163	19	0
45	75	55	109	0,00004	38,14210	38,14214	16	0
75	88	70	80	-0,00003	38,07110	38,07107	32	0
91	85	67	93	0,00004	42,14210	42,14214	44	0
48	90	68	124	-0,00003	42,28430	42,28427	25	0
37	86	75	98	-0,00004	42,97060	42,97056	9	0
84	94	69	94	-0,00001	40,89950	40,89949	40	0
68	52	29	45	-0,00001	41,89950	41,89949	18	0
41	117	56	150	-0,00002	40,38480	40,38478	27	0
54	133	24	113	0,00000	41,21320	41,21320	25	0
61	121	99	123	-0,00002	40,48530	40,48528	22	0
94	115	79	95	0,00004	43,14210	43,14214	26	0
45	58	24	86	0,00005	42,55630	42,55635	25	0
