type: da2
name: ht_brothel_n
algorithm: jpsbb
preprossessing [ms]: 9282

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
22	86	25	81	0,00000	6,24264	6,24264	6	1
59	100	56	96	0,00000	5,24264	5,24264	5	0
27	43	30	38	0,00000	6,24264	6,24264	4	0
98	53	92	56	0,00000	7,24264	7,24264	4	0
84	40	78	36	0,00000	7,65685	7,65685	5	0
57	134	63	134	0,00000	6,00000	6,00000	2	0
111	83	116	78	-0,00000	7,07107	7,07107	4	0
84	40	82	35	-0,00000	5,82843	5,82843	4	0
24	44	20	40	0,00000	5,65685	5,65685	2	0
46	116	50	121	0,00000	6,65685	6,65685	3	0
61	93	65	83	-0,00005	11,65690	11,65685	5	0
92	56	99	61	-0,00000	9,07107	9,07107	4	0
94	39	86	38	0,00000	8,41421	8,41421	5	0
47	96	56	96	0,00001	10,41420	10,41421	8	0
118	100	115	92	0,00000	9,24264	9,24264	7	0
112	90	109	83	-0,00000	8,82843	8,82843	7	0
30	133	22	141	0,00001	11,31370	11,31371	6	0
87	87	87	95	0,00000	8,00000	8,00000	3	0
21	105	21	97	0,00000	8,00000	8,00000	4	0
24	45	27	52	0,00000	8,24264	8,24264	7	0
79	82	94	81	0,00001	15,41420	15,41421	5	0
52	70	64	70	0,00003	12,82840	12,82843	8	0
58	68	60	79	0,00003	13,82840	13,82843	6	0
49	158	34	157	0,00001	15,41420	15,41421	3	0
36	119	48	118	0,00001	12,41420	12,41421	5	0
19	101	25	114	-0,00002	15,48530	15,48528	9	0
79	94	69	102	0,00001	13,31370	13,31371	5	0
47	142	38	151	0,00002	12,72790	12,72792	6	0
60	125	47	119	-0,00002	15,48530	15,48528	4	0
19	47	25	58	-0,00002	13,48530	13,48528	7	0
90	94	95	80	-0,00003	16,07110	16,07107	5	0
30	70	24	60	-0,00003	17,07110	17,07107	9	0
36	96	42	90	0,00004	18,24260	18,24264	8	0
37	47	22	48	0,00004	16,24260	16,24264	6	0
106	38	90	37	0,00001	16,41420	16,41421	4	0
37	150	52	147	0,00004	16,24260	16,24264	3	0
28	61	17	74	-0,00001	19,89950	19,89949	8	0
19	70	21	52	0,00003	18,82840	18,82843	5	0
106	86	94	79	0,00004	17,24260	17,24264	7	0
41	133	54	128	0,00004	16,24260	16,24264	7	0
42	70	61	75	-0,00005	21,65690	21,65685	10	0
96	83	116	83	0,00003	22,82840	22,82843	6	0
26	136	46	132	-0,00005	21,65690	21,65685	5	0
24	99	32	116	0,00005	22,55630	22,55635	8	0
