type: da2
name: ht_chantry
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
33	86	29	90	0,00000	5,65685	5,65685	5	0
78	88	76	84	-0,00000	4,82843	4,82843	7	0
55	103	60	106	0,00000	6,24264	6,24264	11	0
71	122	75	126	0,00000	5,65685	5,65685	4	0
135	86	129	86	0,00000	6,00000	6,00000	6	0
141	65	139	61	-0,00000	4,82843	4,82843	8	0
127	75	123	80	0,00000	6,65685	6,65685	10	0
60	109	65	112	0,00000	6,24264	6,24264	11	1
26	45	33	45	0,00000	7,00000	7,00000	6	0
36	28	41	31	-0,00000	6,82843	6,82843	9	0
31	87	29	79	-0,00000	8,82843	8,82843	8	0
82	60	84	68	-0,00000	8,82843	8,82843	10	0
81	53	84	63	0,00004	11,24260	11,24264	12	0
66	104	58	100	0,00000	9,65685	9,65685	10	0
91	22	85	31	-0,00002	11,48530	11,48528	6	0
69	66	64	75	-0,00003	11,07110	11,07107	9	0
51	119	44	112	0,00000	9,89949	9,89949	8	0
89	72	95	65	0,00000	9,48528	9,48528	9	0
56	47	65	47	0,00000	9,00000	9,00000	4	0
74	22	84	26	-0,00005	11,65690	11,65685	8	0
69	64	58	67	0,00004	12,24260	12,24264	7	0
36	89	26	100	0,00002	15,72790	15,72792	9	0
60	117	72	119	0,00003	12,82840	12,82843	9	0
147	67	139	77	0,00001	13,31370	13,31371	7	0
32	30	42	24	0,00003	14,82840	14,82843	10	0
143	69	155	75	-0,00002	14,48530	14,48528	6	0
100	62	113	69	-0,00001	15,89950	15,89949	10	0
72	29	80	20	0,00001	12,31370	12,31371	8	0
70	25	58	28	0,00004	13,24260	13,24264	9	0
84	62	76	74	0,00001	15,31370	15,31371	10	0
63	103	54	117	0,00002	17,72790	17,72792	18	0
122	76	106	75	0,00001	16,41420	16,41421	9	0
90	78	86	63	-0,00005	16,65690	16,65685	9	0
76	123	59	119	-0,00005	18,65690	18,65685	5	0
28	60	29	76	0,00001	16,41420	16,41421	6	0
43	39	29	48	0,00002	17,72790	17,72792	10	0
132	73	121	61	0,00005	16,55630	16,55635	12	0
83	74	77	60	-0,00002	16,48530	16,48528	8	0
100	46	103	61	0,00003	16,82840	16,82843	11	0
140	64	125	74	0,00004	19,14210	19,14214	8	0
137	69	133	53	0,00002	20,72790	20,72792	11	0
59	67	53	49	0,00001	23,41420	23,41421	9	0
36	50	48	40	0,00003	20,82840	20,82843	17	0
100	56	82	49	-0,00001	20,89950	20,89949	14	0
96	80	95	59	0,00001	21,41420	21,41421	7	0
53	45	52	67	0,00001	22,41420	22,41421	8	0
79	78	60	85	-0,00005	23,65690	23,65685	15	0
52	69	51	90	0,00001	21,41420	21,41421	7	0
80	65	73	86	-0,00001	23,89950	23,89949	15	0
87	75	106	70	-0,00003	21,07110	21,07107	10	0
58	22	68	9	-0,00001	24,89950	24,89949	19	1
87	92	99	102	-0,00001	27,89950	27,89949	17	0
78	18	54	23	-0,00003	26,07110	26,07107	9	0
75	8	58	27	-0,00001	27,79900	27,79899	15	0
98	68	81	86	0,00000	26,21320	26,21320	18	0
92	82	72	94	-0,00004	24,97060	24,97056	12	0
124	73	102	61	-0,00004	26,97060	26,97056	11	0
42	20	66	24	-0,00005	25,65690	25,65685	12	0
101	62	123	67	-0,00003	24,07110	24,07107	11	0
84	74	89	50	-0,00003	26,07110	26,07107	14	0
110	72	134	85	-0,00002	29,38480	29,38478	17	0
62	60	55	86	0,00005	30,55630	30,55635	13	0
82	89	108	76	-0,00002	31,38480	31,38478	18	0
85	62	102	41	-0,00002	30,38480	30,38478	23	0
100	31	73	20	0,00005	31,55630	31,55635	12	0
45	85	29	73	0,00000	28,00000	28,00000	16	0
45	46	30	63	-0,00001	29,89950	29,89949	20	0
30	112	59	114	-0,00002	31,48530	31,48528	12	0
133	59	108	69	0,00004	29,14210	29,14214	13	0
60	85	83	74	0,00001	29,31370	29,31371	19	0
33	118	60	114	0,00002	33,72790	33,72792	17	0
78	67	112	68	0,00001	34,41420	34,41421	7	0
125	68	158	61	-0,00001	35,89950	35,89949	15	0
134	88	151	73	0,00004	34,14210	34,14214	19	0
27	113	60	106	-0,00001	35,89950	35,89949	17	0
82	73	114	64	0,00002	35,72790	35,72792	19	0
97	71	72	90	0,00003	34,04160	34,04163	17	0
102	70	74	84	-0,00004	34,97060	34,97056	23	0
74	8	73	37	-0,00002	34,48530	34,48528	16	0
86	112	53	108	-0,00005	34,65690	34,65685	15	0
50	48	89	47	0,00001	39,41420	39,41421	5	0
102	66	132	87	-0,00002	38,69850	38,69848	15	1
54	20	41	50	0,00004	37,14210	37,14214	29	0
80	75	118	79	-0,00005	39,65690	39,65685	16	0
54	23	89	29	-0,00002	37,48530	37,48528	14	0
101	54	82	83	-0,00004	36,87010	36,87006	20	0
82	100	50	116	0,00002	38,62740	38,62742	30	0
54	69	74	48	0,00001	38,31370	38,31371	19	0
89	68	126	71	0,00004	38,24260	38,24264	11	0
83	124	55	101	-0,00000	38,11270	38,11270	20	0
26	43	68	39	-0,00005	43,65690	43,65685	9	0
27	77	31	38	-0,00005	40,65690	40,65685	11	0
85	15	44	22	-0,00001	43,89950	43,89949	12	0
118	77	98	45	-0,00003	40,28430	40,28427	15	0
100	86	129	62	0,00004	42,45580	42,45584	21	0
86	111	45	118	-0,00001	43,89950	43,89949	13	0
55	53	54	93	0,00004	41,24260	41,24264	15	1
120	73	83	89	0,00002	43,62740	43,62742	20	0
107	77	79	49	0,00001	42,52690	42,52691	26	0
88	65	102	100	-0,00001	40,79900	40,79899	21	0
121	76	99	43	0,00004	44,45580	44,45584	17	0
77	56	61	74	0,00001	47,31370	47,31371	49	0
69	69	66	91	0,00005	44,55630	44,55635	17	0
97	40	67	22	-0,00002	44,48530	44,48528	14	0
46	85	31	112	0,00001	45,31370	45,31371	36	0
94	45	91	91	0,00004	47,24260	47,24264	8	0
41	30	85	36	-0,00002	46,48530	46,48528	27	0
90	73	125	53	-0,00002	47,38480	47,38478	21	0
49	39	81	7	-0,00002	47,59800	47,59798	30	1
51	32	94	31	0,00004	44,24260	44,24264	16	0
56	67	84	45	0,00005	49,55630	49,55635	17	0
97	89	52	81	-0,00005	50,65690	50,65685	22	0
127	73	83	62	0,00005	48,55630	48,55635	15	0
99	38	62	21	0,00002	48,72790	48,72792	22	0
103	72	151	63	0,00002	51,72790	51,72792	16	0
62	86	60	46	0,00002	50,72790	50,72792	19	0
46	51	85	37	0,00004	51,24260	51,24264	16	0
73	101	88	93	0,00001	48,31370	48,31371	37	0
69	55	57	87	0,00004	50,24260	50,24264	27	0
36	117	29	92	0,00002	50,62740	50,62742	28	0
31	117	29	88	0,00004	54,35530	54,35534	21	0
83	100	71	90	-0,00005	53,65690	53,65685	45	0
77	68	50	71	-0,00003	53,07110	53,07107	37	0
74	91	67	65	0,00000	52,21320	52,21320	54	0
101	38	130	69	0,00005	55,55630	55,55635	24	0
63	78	76	47	0,00004	53,45580	53,45584	21	0
74	53	77	40	0,00001	55,41420	55,41421	48	0
147	73	95	77	-0,00005	53,65690	53,65685	11	1
90	27	43	37	0,00001	52,31370	52,31371	31	0
71	92	65	48	-0,00002	54,38480	54,38478	32	0
72	99	89	68	0,00001	59,31370	59,31371	32	0
33	42	28	99	-0,00003	59,07110	59,07107	17	0
101	101	128	88	-0,00001	59,79900	59,79899	32	0
84	99	66	88	0,00001	56,41420	56,41421	43	0
75	15	99	45	-0,00004	58,97060	58,97056	22	0
132	83	87	47	-0,00001	59,91170	59,91169	26	0
37	44	33	96	0,00005	57,55630	57,55635	22	0
52	51	105	62	0,00005	57,55630	57,55635	19	0
97	38	68	11	-0,00005	57,65690	57,65685	23	1
102	73	52	78	-0,00004	59,97060	59,97056	39	0
33	40	44	89	0,00002	62,72790	62,72792	28	0
96	37	53	58	-0,00005	63,65690	63,65685	40	0
112	70	59	47	0,00001	62,52690	62,52691	28	0
87	23	100	45	0,00000	62,21320	62,21320	25	0
88	36	30	23	-0,00002	63,38480	63,38478	36	0
57	68	89	68	0,00004	60,14210	60,14214	48	0
87	85	67	64	0,00004	63,14210	63,14214	67	1
53	62	89	89	-0,00003	60,07110	60,07107	28	0
98	54	150	70	-0,00002	60,38480	60,38478	24	0
88	84	142	87	-0,00002	62,69850	62,69848	36	0
97	41	138	78	-0,00000	65,11270	65,11270	27	0
156	70	93	66	-0,00005	64,65690	64,65685	9	0
97	36	138	60	-0,00004	65,97060	65,97056	26	0
93	39	37	50	0,00004	65,24260	65,24264	33	0
92	49	63	77	0,00002	67,62740	67,62742	70	1
89	103	129	84	-0,00002	64,69850	64,69848	30	0
87	103	131	69	0,00004	67,45580	67,45584	24	0
26	62	46	112	0,00001	64,52690	64,52691	36	0
154	66	88	68	0,00003	66,82840	66,82843	7	0
98	49	52	73	-0,00003	67,07110	67,07107	59	0
55	100	84	94	0,00001	70,31370	70,31371	79	1
