type: da2
name: ht_chantry_n
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
98	99	97	103	0,00000	4,41421	4,41421	30	0
26	60	30	62	-0,00000	4,82843	4,82843	30	0
75	116	75	112	0,00000	4,00000	4,00000	30	0
79	124	82	129	0,00000	6,24264	6,24264	43	0
102	71	104	65	-0,00000	6,82843	6,82843	49	0
153	68	155	63	-0,00000	5,82843	5,82843	41	0
73	14	76	17	0,00000	4,24264	4,24264	23	0
99	109	99	116	0,00000	7,00000	7,00000	32	0
84	112	85	108	0,00000	4,41421	4,41421	30	0
60	27	67	27	0,00000	7,00000	7,00000	51	0
76	52	66	48	-0,00005	11,65690	11,65685	104	0
126	73	126	64	0,00000	9,00000	9,00000	65	0
89	84	95	77	-0,00003	10,07110	10,07107	66	0
42	28	50	34	-0,00005	11,65690	11,65685	84	0
66	118	70	110	0,00000	9,65685	9,65685	76	0
102	31	93	28	0,00004	10,24260	10,24264	82	0
81	90	75	84	0,00000	8,48528	8,48528	44	0
81	119	84	127	0,00000	9,24264	9,24264	76	0
68	109	72	103	0,00000	9,41421	9,41421	78	0
93	24	85	25	0,00000	8,41421	8,41421	58	0
50	62	60	63	-0,00001	14,89950	14,89949	112	0
118	77	133	78	0,00001	15,41420	15,41421	107	1
55	100	68	106	-0,00002	15,48530	15,48528	125	0
134	76	133	84	-0,00005	12,65690	12,65685	128	0
129	75	137	65	0,00001	13,31370	13,31371	111	0
83	68	91	59	0,00001	12,31370	12,31371	84	0
80	23	92	25	0,00003	12,82840	12,82843	108	0
140	69	127	62	-0,00001	15,89950	15,89949	157	0
89	91	84	80	-0,00003	13,07110	13,07107	105	0
133	67	121	75	0,00001	15,31370	15,31371	135	0
85	126	74	112	0,00005	18,55630	18,55635	148	0
66	126	83	125	0,00001	17,41420	17,41421	118	0
136	67	120	68	0,00001	16,41420	16,41421	114	0
84	75	98	82	-0,00001	16,89950	16,89949	145	0
75	31	60	33	0,00004	17,24260	17,24264	128	0
91	80	99	95	0,00001	18,31370	18,31371	169	0
78	28	63	23	-0,00003	17,07110	17,07107	178	1
118	66	101	73	-0,00001	19,89950	19,89949	221	0
69	103	80	109	0,00001	16,41420	16,41421	162	0
70	31	79	39	0,00004	17,24260	17,24264	176	0
80	64	71	45	0,00002	22,72790	22,72792	174	0
95	86	94	64	0,00001	22,41420	22,41421	156	0
60	23	45	36	0,00004	22,14210	22,14214	235	0
97	32	76	25	-0,00001	23,89950	23,89949	196	0
42	96	36	84	0,00004	20,24260	20,24264	251	1
97	59	115	64	-0,00003	20,07110	20,07107	151	0
77	16	58	21	-0,00001	21,89950	21,89949	190	0
85	72	97	90	-0,00004	22,97060	22,97056	209	0
64	88	82	82	-0,00005	21,65690	21,65685	205	0
95	79	75	88	0,00002	23,72790	23,72792	213	0
101	100	105	77	-0,00005	26,65690	26,65685	170	0
26	80	46	92	0,00004	26,14210	26,14214	187	0
131	65	106	60	-0,00005	27,65690	27,65685	272	1
85	60	110	67	-0,00001	27,89950	27,89949	309	0
50	13	69	26	0,00002	26,72790	26,72792	169	0
97	42	74	39	0,00001	25,41420	25,41421	116	0
71	118	48	108	0,00004	27,14210	27,14214	321	0
74	51	81	76	-0,00001	27,89950	27,89949	255	0
50	35	30	45	0,00002	24,72790	24,72792	238	0
90	53	96	76	-0,00002	25,48530	25,48528	270	1
37	114	60	118	0,00002	29,72790	29,72792	310	0
91	86	113	68	0,00004	29,45580	29,45584	285	0
77	113	53	102	0,00004	29,14210	29,14214	346	0
84	121	72	100	0,00002	29,62740	29,62742	361	1
65	93	49	72	-0,00002	29,38480	29,38478	279	0
79	68	101	53	0,00000	28,21320	28,21320	282	0
84	29	57	36	-0,00003	31,07110	31,07107	285	0
61	48	89	46	0,00003	28,82840	28,82843	271	0
54	105	29	97	0,00001	28,31370	28,31371	251	0
44	61	69	71	-0,00002	31,48530	31,48528	272	1
79	46	106	61	0,00000	33,21320	33,21320	349	0
89	103	77	114	-0,00002	35,48530	35,48528	286	0
152	67	129	85	-0,00002	33,38480	33,38478	402	0
32	102	51	117	0,00004	32,24260	32,24264	285	1
64	50	44	63	0,00005	34,55630	34,55635	379	0
77	91	98	100	-0,00003	35,07110	35,07107	398	0
125	74	100	86	-0,00002	33,48530	33,48528	360	0
133	65	105	78	-0,00002	33,38480	33,38478	427	0
90	54	55	55	0,00001	35,41420	35,41421	247	0
58	119	35	118	-0,00004	32,97060	32,97056	358	0
77	67	114	68	0,00001	37,41420	37,41421	261	0
72	86	74	55	-0,00005	36,65690	36,65685	292	0
96	84	89	49	-0,00001	37,89950	37,89949	474	0
29	61	33	96	-0,00005	36,65690	36,65685	273	0
75	48	102	74	0,00003	38,94110	38,94113	335	0
61	100	28	110	0,00004	37,14210	37,14214	364	0
92	116	57	119	0,00004	36,24260	36,24264	287	1
155	64	120	70	-0,00002	37,48530	37,48528	412	0
114	64	152	60	-0,00005	39,65690	39,65685	369	0
70	113	37	101	0,00005	38,55630	38,55635	504	0
89	71	127	60	0,00005	42,55630	42,55635	596	1
53	68	83	54	0,00001	43,41420	43,41421	553	0
76	11	83	39	0,00004	43,14210	43,14214	806	1
59	49	50	88	0,00002	42,72790	42,72792	348	0
32	53	26	92	-0,00003	42,07110	42,07107	300	0
84	90	51	77	0,00001	41,31370	41,31371	495	0
127	60	101	49	0,00001	40,31370	40,31371	472	0
90	36	98	72	-0,00003	41,07110	41,07107	278	0
84	37	88	24	0,00001	42,31370	42,31371	444	1
135	71	100	56	-0,00004	42,97060	42,97056	616	0
115	64	79	91	-0,00003	47,18380	47,18377	567	1
74	86	64	53	-0,00003	46,07110	46,07107	564	0
74	22	35	25	0,00004	44,14210	44,14214	585	1
26	49	54	20	0,00003	47,04160	47,04163	534	0
128	68	90	85	0,00003	45,04160	45,04163	567	1
76	31	99	41	-0,00003	44,07110	44,07107	699	0
85	61	56	87	-0,00002	47,38480	47,38478	506	1
82	46	84	91	0,00003	45,82840	45,82843	366	0
89	23	46	26	0,00004	44,24260	44,24264	445	0
36	109	27	89	0,00002	47,62740	47,62742	547	0
72	123	29	113	0,00002	49,62740	49,62742	613	0
85	118	45	100	0,00003	48,04160	48,04163	738	1
74	53	119	69	0,00002	51,62740	51,62742	667	0
43	46	80	23	0,00004	49,45580	49,45584	604	1
27	38	30	86	0,00004	49,24260	49,24264	317	0
86	38	116	64	0,00004	50,14210	50,14214	361	0
64	44	105	63	-0,00004	48,87010	48,87006	555	1
107	76	155	67	0,00002	51,72790	51,72792	686	1
103	73	74	100	-0,00001	51,89950	51,89949	1086	1
92	71	52	90	0,00002	49,62740	49,62742	649	1
60	87	108	69	0,00004	55,45580	55,45584	710	0
73	20	31	45	0,00001	53,52690	53,52691	761	1
137	76	91	54	-0,00000	55,11270	55,11270	781	0
100	40	52	27	-0,00004	53,97060	53,97056	420	1
71	111	38	84	-0,00004	52,97060	52,97056	804	1
93	88	49	73	0,00001	54,31370	54,31371	793	0
80	119	102	101	-0,00002	54,38480	54,38478	890	1
93	72	50	55	-0,00004	52,97060	52,97056	618	1
69	54	58	91	-0,00002	54,48530	54,48528	748	0
26	38	27	91	0,00001	53,41420	53,41421	214	0
53	100	26	62	0,00000	56,21320	56,21320	598	1
126	56	80	50	-0,00004	56,87010	56,87006	631	0
85	121	38	97	0,00001	57,52690	57,52691	873	1
31	102	79	123	-0,00003	57,28430	57,28427	647	1
95	71	52	76	-0,00004	56,97060	56,97056	1072	1
141	64	84	59	-0,00003	59,07110	59,07107	613	0
92	70	148	76	-0,00002	58,48530	58,48528	760	1
50	108	98	93	0,00004	57,14210	57,14214	734	0
58	108	95	87	0,00002	56,72790	56,72792	881	1
94	36	82	7	-0,00002	59,38480	59,38478	612	1
86	109	29	98	0,00004	62,14210	62,14214	743	0
63	104	28	69	0,00003	60,04160	60,04163	706	1
43	93	28	43	-0,00002	61,48530	61,48528	553	0
92	56	42	63	-0,00001	62,89950	62,89949	1088	1
109	63	59	85	-0,00003	60,28430	60,28427	976	1
64	104	106	76	-0,00004	62,97060	62,97056	648	1
26	67	62	23	-0,00001	63,01220	63,01219	577	0
40	41	92	22	0,00003	61,04160	61,04163	854	1
137	86	81	72	-0,00001	61,79900	61,79899	570	0
60	67	96	57	0,00004	62,24260	62,24264	671	1
43	62	94	52	0,00004	65,14210	65,14214	741	1
43	44	38	96	0,00000	66,21320	66,21320	665	0
51	79	91	51	-0,00002	64,48530	64,48528	946	1
90	93	60	62	0,00002	65,62740	65,62742	1494	1
60	105	97	72	-0,00002	66,48530	66,48528	777	0
97	52	52	75	-0,00005	65,65690	65,65685	1299	1
75	59	122	86	0,00001	66,52690	66,52691	1427	2
97	98	95	116	-0,00001	65,79900	65,79899	1074	1
59	113	26	65	-0,00003	65,18380	65,18377	874	1
104	71	67	36	0,00005	65,55630	65,55635	1560	2
76	115	97	72	0,00005	71,55630	71,55635	1093	1
55	48	119	65	0,00003	71,04160	71,04163	881	0
100	55	62	64	-0,00005	68,65690	68,65685	1925	3
