type: da2
name: ht_keep_n
algorithm: astarbb
preprossessing [ms]: 28895

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
207	302	212	305	0,00000	6,24264	6,24264	33	0
233	282	234	276	0,00000	6,41421	6,41421	36	0
86	262	90	260	-0,00000	4,82843	4,82843	33	1
50	301	50	308	0,00000	7,00000	7,00000	43	0
58	298	54	303	0,00000	6,65685	6,65685	42	0
64	192	63	188	0,00000	4,41421	4,41421	27	0
237	242	237	248	0,00000	6,00000	6,00000	37	0
75	298	80	303	-0,00000	7,07107	7,07107	28	0
160	276	161	270	0,00000	6,41421	6,41421	35	0
170	277	167	273	0,00000	5,24264	5,24264	29	0
75	262	65	264	0,00003	10,82840	10,82843	85	0
32	337	41	341	-0,00005	10,65690	10,65685	73	0
49	283	38	285	0,00003	11,82840	11,82843	93	0
52	192	45	185	0,00000	9,89949	9,89949	48	0
215	283	211	293	-0,00005	11,65690	11,65685	74	0
32	318	29	325	0,00000	8,24264	8,24264	50	0
69	263	61	260	0,00000	9,24264	9,24264	63	0
247	284	256	277	-0,00001	11,89950	11,89949	83	0
247	261	245	271	0,00003	10,82840	10,82843	65	0
151	269	142	268	0,00000	9,41421	9,41421	42	0
62	268	72	273	-0,00003	12,07110	12,07107	89	0
88	265	101	268	0,00004	14,24260	14,24264	125	1
194	241	193	253	0,00001	12,41420	12,41421	66	0
113	265	126	263	0,00003	13,82840	13,82843	94	0
195	273	199	259	-0,00005	15,65690	15,65685	147	0
40	343	29	344	0,00003	12,82840	12,82843	64	0
95	284	84	289	-0,00003	13,07110	13,07107	91	0
76	231	65	226	-0,00003	13,07110	13,07107	58	0
49	194	38	191	0,00004	12,24260	12,24264	84	0
188	242	200	247	-0,00003	14,07110	14,07107	109	0
207	306	191	309	0,00004	17,24260	17,24264	133	0
67	304	86	302	0,00003	19,82840	19,82843	89	1
40	205	50	197	-0,00003	19,07110	19,07107	94	0
230	257	243	246	0,00005	17,55630	17,55635	114	0
199	311	182	307	-0,00005	18,65690	18,65685	128	0
51	246	67	255	0,00002	19,72790	19,72792	163	0
53	282	57	264	-0,00005	19,65690	19,65685	157	0
50	327	38	313	-0,00004	18,97060	18,97056	141	0
44	324	54	311	0,00004	17,14210	17,14214	124	0
149	274	164	279	-0,00003	17,07110	17,07107	137	1
52	267	37	284	0,00000	23,21320	23,21320	169	0
217	265	204	248	-0,00002	22,38480	22,38478	183	0
64	219	61	238	0,00004	20,24260	20,24264	152	0
208	303	229	300	0,00004	22,24260	22,24264	138	0
78	301	75	281	0,00004	21,24260	21,24264	139	0
69	254	77	262	-0,00003	23,07110	23,07107	131	1
194	270	212	283	-0,00002	23,38480	23,38478	217	0
44	295	62	300	-0,00003	20,07110	20,07107	168	0
224	256	245	253	0,00004	22,24260	22,24264	136	0
226	294	245	285	0,00002	22,72790	22,72792	201	0
194	252	215	257	0,00001	25,41420	25,41421	135	0
217	231	193	224	-0,00001	26,89950	26,89949	257	0
53	253	72	267	-0,00001	24,79900	24,79899	223	0
178	267	181	291	0,00004	25,24260	25,24264	96	0
110	270	87	264	-0,00002	25,48530	25,48528	258	0
64	292	81	295	-0,00003	27,07110	27,07107	127	1
72	241	45	240	0,00001	27,41420	27,41421	130	0
45	195	69	191	-0,00005	25,65690	25,65685	226	0
65	183	45	182	0,00001	26,31370	26,31371	220	0
39	271	61	263	0,00001	25,31370	25,31371	262	1
52	285	56	258	-0,00005	28,65690	28,65685	250	0
213	250	210	279	0,00004	30,24260	30,24264	239	0
48	317	63	296	-0,00004	28,97060	28,97056	206	0
227	270	207	250	0,00003	30,04160	30,04163	251	1
60	280	68	257	-0,00005	28,65690	28,65685	387	0
240	269	210	267	0,00003	30,82840	30,82843	247	0
38	273	64	260	-0,00002	31,38480	31,38478	335	1
176	275	187	251	0,00005	28,55630	28,55635	194	0
194	258	220	266	0,00001	29,31370	29,31371	311	0
212	282	183	286	-0,00005	30,65690	30,65685	255	0
232	241	260	258	0,00003	35,04160	35,04163	338	0
75	265	75	230	0,00003	35,82840	35,82843	165	0
111	263	86	282	0,00004	33,45580	33,45584	252	0
63	239	94	248	0,00002	34,72790	34,72792	261	1
61	193	88	199	-0,00001	32,89950	32,89949	323	0
233	266	261	256	0,00004	32,14210	32,14214	309	1
225	261	214	237	0,00001	34,41420	34,41421	188	0
91	245	115	261	0,00005	35,55630	35,55635	268	0
231	266	248	246	-0,00003	34,07110	34,07107	287	0
127	268	159	268	0,00000	32,00000	32,00000	171	1
205	240	228	262	0,00005	38,55630	38,55635	361	0
78	277	63	300	0,00004	36,24260	36,24264	242	0
213	297	205	264	0,00001	36,31370	36,31371	376	1
35	170	35	196	-0,00001	37,79900	37,79899	256	0
254	268	230	238	0,00003	39,94110	39,94113	248	0
88	182	61	204	-0,00003	37,28430	37,28427	270	1
57	252	80	247	-0,00004	36,97060	36,97056	363	0
75	256	48	279	-0,00004	38,87010	38,87006	390	1
201	274	189	240	-0,00004	38,97060	38,97056	471	0
247	251	259	284	-0,00004	37,97060	37,97056	421	1
215	295	197	261	0,00004	41,45580	41,45584	470	1
79	296	84	257	-0,00003	41,07110	41,07107	379	0
49	190	84	198	0,00003	41,82840	41,82843	498	1
210	275	172	274	0,00004	43,14210	43,14214	530	1
46	178	31	214	0,00000	42,21320	42,21320	336	0
182	249	156	258	0,00002	41,72790	41,72792	332	1
47	192	8	200	0,00002	43,72790	43,72792	430	0
70	235	100	264	-0,00003	43,18380	43,18377	337	1
86	245	61	215	0,00003	40,94110	40,94113	362	0
197	264	155	262	0,00003	42,82840	42,82843	272	0
67	230	65	262	-0,00004	44,97060	44,97056	434	1
219	276	263	276	-0,00005	45,65690	45,65685	258	0
112	263	78	278	0,00001	47,52690	47,52691	745	2
199	286	235	266	-0,00003	44,28430	44,28427	451	0
190	263	216	297	-0,00005	44,76960	44,76955	461	1
215	245	179	268	0,00001	45,52690	45,52691	535	1
54	252	79	286	0,00004	44,35530	44,35534	442	0
89	283	69	285	0,00005	47,55630	47,55635	887	1
24	191	54	170	0,00004	45,14210	45,14214	252	1
261	260	231	289	0,00004	44,35530	44,35534	431	0
32	172	69	199	0,00004	49,35530	49,35534	357	1
56	182	95	181	-0,00002	48,38480	48,38478	425	1
101	264	71	302	-0,00002	51,59800	51,59798	562	0
52	282	90	279	-0,00004	51,87010	51,87006	669	1
67	198	30	169	-0,00003	50,18380	50,18377	482	1
83	235	82	284	0,00003	50,82840	50,82843	394	0
50	232	57	196	0,00002	49,72790	49,72792	376	0
251	285	213	267	0,00001	51,31370	51,31371	456	1
60	199	31	167	-0,00000	48,11270	48,11270	492	0
101	285	80	244	-0,00002	49,69850	49,69848	597	1
223	294	249	257	0,00004	52,45580	52,45584	573	1
31	312	80	303	-0,00002	54,38480	54,38478	360	1
61	239	76	280	0,00001	55,41420	55,41421	284	0
180	264	233	266	0,00003	53,82840	53,82843	434	0
120	262	170	257	0,00002	53,72790	53,72792	484	1
77	296	50	327	0,00001	53,31370	53,31371	342	0
78	293	53	251	0,00004	52,35530	52,35534	302	1
226	279	264	254	0,00004	52,45580	52,45584	398	0
181	289	208	247	-0,00003	53,18380	53,18377	703	1
181	253	136	263	0,00004	55,24260	55,24264	232	0
81	295	46	283	0,00002	57,62740	57,62742	665	1
86	250	37	261	0,00002	58,72790	58,72792	518	1
257	257	223	295	-0,00003	56,18380	56,18377	751	1
35	302	75	283	0,00003	57,82840	57,82843	448	1
88	284	41	284	0,00002	59,62740	59,62742	791	1
246	263	189	268	-0,00003	59,07110	59,07107	588	0
259	276	210	283	0,00005	59,55630	59,55635	659	1
79	300	52	286	0,00002	57,62740	57,62742	534	1
247	262	216	236	0,00003	57,82840	57,82843	434	0
94	283	71	234	0,00001	58,52690	58,52691	570	1
198	294	247	272	0,00004	62,45580	62,45584	616	1
91	276	50	247	0,00002	63,74010	63,74012	829	1
77	266	49	301	0,00004	61,24260	61,24264	507	0
254	252	200	257	-0,00004	61,97060	61,97056	543	1
231	279	210	275	-0,00003	62,07110	62,07107	435	1
62	233	36	200	-0,00003	60,07110	60,07107	588	1
215	290	245	280	0,00004	60,24260	60,24264	574	0
85	197	72	232	0,00004	62,14210	62,14214	409	1
253	274	194	268	-0,00002	61,48530	61,48528	460	0
52	166	12	197	0,00000	62,21320	62,21320	499	0
84	186	40	213	0,00003	65,04160	65,04163	895	2
255	247	207	280	-0,00005	65,76960	65,76955	677	1
208	283	256	285	0,00003	64,04160	64,04163	619	1
194	269	128	265	-0,00005	67,65690	67,65685	628	0
67	230	116	271	0,00002	67,74010	67,74012	842	2
58	231	52	261	0,00005	65,55630	65,55635	642	1
233	287	228	237	-0,00003	67,18380	67,18377	630	1
38	258	74	235	0,00002	65,72790	65,72792	907	1
75	294	23	319	-0,00004	65,87010	65,87006	494	1
247	258	200	292	0,00004	66,35530	66,35534	645	1
89	185	42	212	-0,00003	70,28430	70,28427	1002	2
57	232	94	281	-0,00005	70,76960	70,76955	940	1
89	268	40	234	-0,00004	71,87010	71,87006	750	1
85	194	49	232	-0,00001	71,79900	71,79899	715	1
40	199	83	237	0,00003	71,04160	71,04163	692	1
41	274	70	235	-0,00003	68,28430	68,28427	1253	3
164	269	231	265	-0,00005	68,65690	68,65685	679	0
68	239	43	285	-0,00003	71,18380	71,18377	666	1
214	292	260	280	0,00005	69,55630	69,55635	517	1
213	250	152	256	-0,00000	70,11270	70,11270	1214	2
243	248	208	238	-0,00004	73,97060	73,97056	781	1
93	247	155	268	-0,00001	74,79900	74,79899	689	1
104	267	175	272	-0,00003	73,07110	73,07107	686	1
53	313	78	262	0,00001	73,31370	73,31371	571	1
62	193	92	255	0,00001	74,42640	74,42641	697	1
115	271	184	276	-0,00002	74,48530	74,48528	812	1
90	283	71	220	0,00004	73,35530	73,35534	924	2
52	298	100	259	-0,00003	75,18380	75,18377	786	1
94	273	38	294	0,00004	74,35530	74,35534	1059	1
83	283	32	326	0,00003	75,25480	75,25483	579	1
223	240	229	291	-0,00002	76,59800	76,59798	971	2
48	324	73	270	0,00004	77,14210	77,14214	654	0
46	273	52	240	-0,00001	78,79900	78,79899	1589	3
194	279	240	256	0,00000	76,21320	76,21320	1372	3
255	248	193	244	-0,00005	78,76960	78,76955	765	1
83	280	68	211	0,00003	76,04160	76,04163	646	1
9	194	68	218	-0,00004	77,87010	77,87006	723	1
189	262	260	275	-0,00002	76,38480	76,38478	1002	2
161	276	90	261	0,00000	77,21320	77,21320	839	2
192	264	119	272	0,00001	76,31370	76,31371	820	1
74	302	139	268	-0,00002	82,59800	82,59798	794	1
162	275	239	261	-0,00001	82,79900	82,79899	1023	2
52	238	42	214	0,00004	83,45580	83,45584	1048	2
50	174	81	238	-0,00003	82,49750	82,49747	933	1
90	281	44	237	0,00003	80,04160	80,04163	1456	3
107	264	48	310	0,00002	82,74010	82,74012	1005	1
190	285	122	262	0,00003	81,04160	81,04163	874	2
82	242	30	196	0,00004	83,35530	83,35534	972	2
42	311	66	277	-0,00004	80,97060	80,97056	869	1
88	286	47	231	-0,00002	83,69850	83,69848	1314	2
198	284	230	248	-0,00001	85,01220	85,01219	1654	3
99	288	62	219	0,00000	84,32590	84,32590	1047	4
71	263	141	268	-0,00003	87,18380	87,18377	1119	4
183	275	245	246	0,00000	86,21320	86,21320	1885	8
56	282	43	311	-0,00004	86,87010	86,87006	823	1
57	190	79	265	-0,00000	84,11270	84,11270	904	2
85	264	169	256	0,00001	87,31370	87,31371	814	1
79	258	150	265	0,00003	86,04160	86,04163	723	1
49	196	72	266	0,00001	87,52690	87,52691	904	2
77	256	51	322	-0,00001	87,89950	87,89949	693	1
227	280	208	239	-0,00004	88,87010	88,87006	993	1
234	248	185	274	-0,00004	89,87010	89,87006	1118	2
86	277	59	198	-0,00003	90,18380	90,18377	991	2
187	277	228	282	0,00004	90,14210	90,14214	2157	4
113	271	69	204	0,00003	90,15430	90,15433	1097	2
174	273	87	263	0,00004	91,14210	91,14214	1113	1
120	261	205	257	0,00004	89,14210	89,14214	892	2
191	279	229	256	0,00004	88,45580	88,45584	2241	3
55	241	30	174	-0,00001	91,01220	91,01219	1064	3
40	239	32	190	-0,00002	90,69850	90,69848	1022	1
175	276	250	252	0,00005	92,55630	92,55635	1548	3
219	246	207	242	0,00004	93,45580	93,45584	1062	2
107	266	36	315	-0,00000	94,22540	94,22540	1083	2
78	292	160	267	-0,00000	94,11270	94,11270	927	1
64	235	61	293	0,00002	93,72790	93,72792	1794	3
36	319	56	277	0,00001	94,52690	94,52691	1048	1
99	272	190	269	0,00004	92,24260	92,24264	437	1
239	257	170	262	-0,00003	95,07110	95,07107	725	1
245	250	181	296	-0,00001	92,91170	92,91169	1013	1
37	266	49	300	-0,00001	93,89950	93,89949	1563	3
118	269	38	266	-0,00003	97,18380	97,18377	1721	3
174	264	83	281	0,00003	98,04160	98,04163	1244	2
166	259	80	242	0,00001	99,52690	99,52691	1227	1
43	205	75	260	-0,00003	99,28430	99,28427	905	2
172	260	246	287	0,00005	96,55630	96,55635	1934	4
112	267	209	266	0,00001	97,41420	97,41421	680	0
187	249	224	248	-0,00003	98,28430	98,28427	2319	4
161	269	81	299	-0,00003	98,28430	98,28427	1030	1
40	261	123	266	0,00004	99,35530	99,35534	1834	4
244	255	160	264	0,00003	97,82840	97,82843	562	0
52	193	68	278	-0,00031	103,91200	103,91169	1374	3
31	317	68	286	0,00048	103,69800	103,69848	1339	2
240	250	162	261	0,00014	103,14200	103,14214	940	1
47	311	86	235	0,00027	103,28400	103,28427	1090	2
72	231	53	309	0,00014	101,14200	101,14214	1259	1
158	276	79	263	-0,00002	103,59800	103,59798	1645	3
80	234	13	198	0,00019	100,01200	100,01219	1199	3
220	246	187	248	-0,00009	103,52700	103,52691	1134	2
87	255	41	325	-0,00023	100,18400	100,18377	1092	1
33	321	111	267	0,00046	103,29600	103,29646	1249	2
236	245	165	257	0,00006	107,87000	107,87006	1206	2
183	292	236	238	-0,00024	104,98300	104,98276	2418	4
53	292	59	231	-0,00016	106,45600	106,45584	1067	2
53	327	97	250	-0,00023	107,18400	107,18377	1341	2
77	238	167	263	-0,00030	104,11300	104,11270	894	1
163	275	261	252	-0,00009	107,52700	107,52691	1571	3
122	271	216	295	-0,00023	106,18400	106,18377	1316	2
