type: da2
name: ht_keep_n
algorithm: jpsplus
preprossessing [ms]: 29

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
207	302	212	305	0,00000	6,24264	6,24264	7	0
233	282	234	276	0,00000	6,41421	6,41421	5	0
86	262	90	260	-0,00000	4,82843	4,82843	11	0
50	301	50	308	0,00000	7,00000	7,00000	6	0
58	298	54	303	0,00000	6,65685	6,65685	9	0
64	192	63	188	0,00000	4,41421	4,41421	9	0
237	242	237	248	0,00000	6,00000	6,00000	4	0
75	298	80	303	-0,00000	7,07107	7,07107	5	0
160	276	161	270	0,00000	6,41421	6,41421	7	0
170	277	167	273	0,00000	5,24264	5,24264	6	0
75	262	65	264	0,00003	10,82840	10,82843	9	0
32	337	41	341	-0,00005	10,65690	10,65685	6	0
49	283	38	285	0,00003	11,82840	11,82843	7	0
52	192	45	185	0,00000	9,89949	9,89949	9	0
215	283	211	293	-0,00005	11,65690	11,65685	9	0
32	318	29	325	0,00000	8,24264	8,24264	9	0
69	263	61	260	0,00000	9,24264	9,24264	11	0
247	284	256	277	-0,00001	11,89950	11,89949	7	0
247	261	245	271	0,00003	10,82840	10,82843	9	0
151	269	142	268	0,00000	9,41421	9,41421	10	0
62	268	72	273	-0,00003	12,07110	12,07107	8	0
88	265	101	268	0,00004	14,24260	14,24264	9	0
194	241	193	253	0,00001	12,41420	12,41421	8	0
113	265	126	263	0,00003	13,82840	13,82843	9	0
195	273	199	259	-0,00005	15,65690	15,65685	13	0
40	343	29	344	0,00003	12,82840	12,82843	14	0
95	284	84	289	-0,00003	13,07110	13,07107	11	0
76	231	65	226	-0,00003	13,07110	13,07107	13	0
49	194	38	191	0,00004	12,24260	12,24264	10	0
188	242	200	247	-0,00003	14,07110	14,07107	7	0
207	306	191	309	0,00004	17,24260	17,24264	7	0
67	304	86	302	0,00003	19,82840	19,82843	7	0
40	205	50	197	-0,00003	19,07110	19,07107	12	0
230	257	243	246	0,00005	17,55630	17,55635	6	0
199	311	182	307	-0,00005	18,65690	18,65685	6	0
51	246	67	255	0,00002	19,72790	19,72792	9	0
53	282	57	264	-0,00005	19,65690	19,65685	10	0
50	327	38	313	-0,00004	18,97060	18,97056	13	0
44	324	54	311	0,00004	17,14210	17,14214	9	0
149	274	164	279	-0,00003	17,07110	17,07107	6	0
52	267	37	284	0,00000	23,21320	23,21320	8	0
217	265	204	248	-0,00002	22,38480	22,38478	13	0
64	219	61	238	0,00004	20,24260	20,24264	10	0
208	303	229	300	0,00004	22,24260	22,24264	8	0
78	301	75	281	0,00004	21,24260	21,24264	12	0
69	254	77	262	-0,00003	23,07110	23,07107	15	0
194	270	212	283	-0,00002	23,38480	23,38478	15	0
44	295	62	300	-0,00003	20,07110	20,07107	8	0
224	256	245	253	0,00004	22,24260	22,24264	8	0
226	294	245	285	0,00002	22,72790	22,72792	7	0
194	252	215	257	0,00001	25,41420	25,41421	11	0
217	231	193	224	-0,00001	26,89950	26,89949	7	0
53	253	72	267	-0,00001	24,79900	24,79899	12	0
178	267	181	291	0,00004	25,24260	25,24264	8	0
110	270	87	264	-0,00002	25,48530	25,48528	10	0
64	292	81	295	-0,00003	27,07110	27,07107	15	0
72	241	45	240	0,00001	27,41420	27,41421	6	0
45	195	69	191	-0,00005	25,65690	25,65685	10	0
65	183	45	182	0,00001	26,31370	26,31371	15	0
39	271	61	263	0,00001	25,31370	25,31371	10	0
52	285	56	258	-0,00005	28,65690	28,65685	13	0
213	250	210	279	0,00004	30,24260	30,24264	7	0
48	317	63	296	-0,00004	28,97060	28,97056	15	0
227	270	207	250	0,00003	30,04160	30,04163	16	0
60	280	68	257	-0,00005	28,65690	28,65685	12	0
240	269	210	267	0,00003	30,82840	30,82843	8	0
38	273	64	260	-0,00002	31,38480	31,38478	16	0
176	275	187	251	0,00005	28,55630	28,55635	16	0
194	258	220	266	0,00001	29,31370	29,31371	18	0
212	282	183	286	-0,00005	30,65690	30,65685	11	0
232	241	260	258	0,00003	35,04160	35,04163	10	0
75	265	75	230	0,00003	35,82840	35,82843	12	0
111	263	86	282	0,00004	33,45580	33,45584	19	0
63	239	94	248	0,00002	34,72790	34,72792	19	0
61	193	88	199	-0,00001	32,89950	32,89949	20	0
233	266	261	256	0,00004	32,14210	32,14214	12	0
225	261	214	237	0,00001	34,41420	34,41421	13	0
91	245	115	261	0,00005	35,55630	35,55635	21	0
231	266	248	246	-0,00003	34,07110	34,07107	16	0
127	268	159	268	0,00000	32,00000	32,00000	6	0
205	240	228	262	0,00005	38,55630	38,55635	15	0
78	277	63	300	0,00004	36,24260	36,24264	23	0
213	297	205	264	0,00001	36,31370	36,31371	9	0
35	170	35	196	-0,00001	37,79900	37,79899	24	0
254	268	230	238	0,00003	39,94110	39,94113	11	0
88	182	61	204	-0,00003	37,28430	37,28427	23	0
57	252	80	247	-0,00004	36,97060	36,97056	26	0
75	256	48	279	-0,00004	38,87010	38,87006	18	0
201	274	189	240	-0,00004	38,97060	38,97056	21	0
247	251	259	284	-0,00004	37,97060	37,97056	11	0
215	295	197	261	0,00004	41,45580	41,45584	12	0
79	296	84	257	-0,00003	41,07110	41,07107	8	0
49	190	84	198	0,00003	41,82840	41,82843	23	0
210	275	172	274	0,00004	43,14210	43,14214	17	0
46	178	31	214	0,00000	42,21320	42,21320	18	0
182	249	156	258	0,00002	41,72790	41,72792	18	0
47	192	8	200	0,00002	43,72790	43,72792	22	0
70	235	100	264	-0,00003	43,18380	43,18377	26	0
86	245	61	215	0,00003	40,94110	40,94113	22	0
197	264	155	262	0,00003	42,82840	42,82843	11	0
67	230	65	262	-0,00004	44,97060	44,97056	28	0
219	276	263	276	-0,00005	45,65690	45,65685	11	0
112	263	78	278	0,00001	47,52690	47,52691	34	0
199	286	235	266	-0,00003	44,28430	44,28427	15	0
190	263	216	297	-0,00005	44,76960	44,76955	20	0
215	245	179	268	0,00001	45,52690	45,52691	19	0
54	252	79	286	0,00004	44,35530	44,35534	16	0
89	283	69	285	0,00005	47,55630	47,55635	41	0
24	191	54	170	0,00004	45,14210	45,14214	24	1
261	260	231	289	0,00004	44,35530	44,35534	17	0
32	172	69	199	0,00004	49,35530	49,35534	28	0
56	182	95	181	-0,00002	48,38480	48,38478	24	0
101	264	71	302	-0,00002	51,59800	51,59798	25	0
52	282	90	279	-0,00004	51,87010	51,87006	33	0
67	198	30	169	-0,00003	50,18380	50,18377	26	0
83	235	82	284	0,00003	50,82840	50,82843	18	0
50	232	57	196	0,00002	49,72790	49,72792	18	0
251	285	213	267	0,00001	51,31370	51,31371	17	0
60	199	31	167	-0,00000	48,11270	48,11270	18	0
101	285	80	244	-0,00002	49,69850	49,69848	32	0
223	294	249	257	0,00004	52,45580	52,45584	16	0
31	312	80	303	-0,00002	54,38480	54,38478	23	0
61	239	76	280	0,00001	55,41420	55,41421	17	0
180	264	233	266	0,00003	53,82840	53,82843	11	0
120	262	170	257	0,00002	53,72790	53,72792	11	0
77	296	50	327	0,00001	53,31370	53,31371	25	0
78	293	53	251	0,00004	52,35530	52,35534	18	0
226	279	264	254	0,00004	52,45580	52,45584	18	0
181	289	208	247	-0,00003	53,18380	53,18377	21	0
181	253	136	263	0,00004	55,24260	55,24264	19	0
81	295	46	283	0,00002	57,62740	57,62742	38	0
86	250	37	261	0,00002	58,72790	58,72792	27	0
257	257	223	295	-0,00003	56,18380	56,18377	21	0
35	302	75	283	0,00003	57,82840	57,82843	14	0
88	284	41	284	0,00002	59,62740	59,62742	32	0
246	263	189	268	-0,00003	59,07110	59,07107	14	0
259	276	210	283	0,00005	59,55630	59,55635	22	0
79	300	52	286	0,00002	57,62740	57,62742	39	0
247	262	216	236	0,00003	57,82840	57,82843	18	0
94	283	71	234	0,00001	58,52690	58,52691	28	0
198	294	247	272	0,00004	62,45580	62,45584	18	1
91	276	50	247	0,00002	63,74010	63,74012	42	0
