type: da2
name: ht_mansion2
algorithm: jpsplusbb
preprossessing [ms]: 63076

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
71	148	72	142	0,00000	6,41421	6,41421	4	0
139	153	135	157	0,00000	5,65685	5,65685	6	0
284	66	279	69	0,00000	6,24264	6,24264	7	0
167	128	163	127	0,00000	4,41421	4,41421	5	0
82	196	82	189	0,00000	7,00000	7,00000	3	0
280	51	275	47	0,00000	6,65685	6,65685	4	0
282	66	279	62	0,00000	5,24264	5,24264	4	0
248	58	250	62	-0,00000	4,82843	4,82843	5	0
301	94	299	88	0,00000	7,41421	7,41421	6	0
296	83	294	77	-0,00000	6,82843	6,82843	4	0
276	80	275	70	0,00001	10,41420	10,41421	5	0
81	96	90	102	-0,00002	11,48530	11,48528	4	0
227	76	219	79	0,00000	9,24264	9,24264	5	0
306	113	302	121	0,00004	10,24260	10,24264	9	0
283	73	275	72	0,00000	8,41421	8,41421	5	0
69	147	69	136	0,00000	11,00000	11,00000	4	0
167	233	175	234	0,00000	8,41421	8,41421	4	0
302	81	301	89	0,00000	8,41421	8,41421	4	0
82	190	76	196	0,00000	8,48528	8,48528	3	0
195	215	197	207	-0,00000	8,82843	8,82843	4	0
282	64	282	76	0,00000	12,00000	12,00000	4	0
203	122	198	110	-0,00003	14,07110	14,07107	5	0
258	55	268	48	-0,00003	14,07110	14,07107	8	0
177	196	190	189	-0,00001	15,89950	15,89949	9	0
278	59	283	47	-0,00003	14,07110	14,07107	5	0
284	58	276	48	0,00001	13,31370	13,31371	7	0
91	126	79	135	0,00002	15,72790	15,72792	7	0
275	77	287	72	-0,00003	14,07110	14,07107	7	0
263	70	260	57	0,00003	14,82840	14,82843	4	0
180	221	169	224	0,00003	12,82840	12,82843	6	0
85	138	103	135	0,00004	19,24260	19,24264	5	0
247	164	238	177	0,00002	16,72790	16,72792	5	0
120	119	115	112	-0,00005	17,65690	17,65685	9	0
310	89	299	77	0,00005	16,55630	16,55635	4	0
139	225	134	240	-0,00003	17,07110	17,07107	3	0
129	144	132	159	-0,00003	17,07110	17,07107	11	0
193	186	193	203	0,00000	17,00000	17,00000	3	0
180	221	181	239	0,00001	18,41420	18,41421	3	0
149	249	134	240	-0,00001	19,89950	19,89949	9	0
85	162	78	176	-0,00001	16,89950	16,89949	6	0
159	241	142	225	0,00002	23,62740	23,62742	7	0
175	248	178	227	0,00004	22,24260	22,24264	6	0
291	120	311	113	-0,00001	22,89950	22,89949	10	0
181	209	180	228	0,00004	20,24260	20,24264	5	1
82	205	72	188	0,00004	21,14210	21,14214	5	0
242	59	242	79	0,00000	20,00000	20,00000	3	0
93	217	73	214	0,00003	21,82840	21,82843	6	0
322	53	303	62	0,00002	22,72790	22,72792	4	0
76	129	75	150	0,00003	22,82840	22,82843	11	0
69	145	88	154	0,00002	22,72790	22,72792	8	0
297	65	322	64	0,00001	25,41420	25,41421	3	0
90	146	96	126	-0,00001	27,89950	27,89949	12	0
230	134	251	148	-0,00001	26,79900	26,79899	9	0
238	175	230	172	-0,00005	24,65690	24,65685	8	0
213	163	233	154	-0,00002	25,38480	25,38478	8	0
337	64	317	48	0,00002	26,62740	26,62742	6	0
142	222	159	239	0,00002	24,62740	24,62742	12	0
175	234	150	236	0,00003	25,82840	25,82843	7	0
277	42	290	62	-0,00004	25,97060	25,97056	8	0
261	71	285	75	-0,00005	25,65690	25,65685	8	0
224	74	249	62	-0,00004	29,97060	29,97056	8	0
279	36	263	55	0,00005	28,55630	28,55635	9	0
118	135	112	109	0,00001	29,31370	29,31371	6	0
169	146	141	146	-0,00002	30,48530	30,48528	23	0
88	194	95	214	-0,00005	30,65690	30,65685	11	0
95	230	123	233	0,00004	29,24260	29,24264	6	0
349	48	323	56	0,00001	29,31370	29,31371	10	0
207	145	216	168	-0,00005	29,65690	29,65685	9	0
84	156	79	127	-0,00003	31,07110	31,07107	4	0
233	167	227	138	-0,00002	31,48530	31,48528	5	0
166	128	161	143	-0,00004	32,97060	32,97056	15	0
109	122	83	134	0,00001	33,31370	33,31371	9	0
158	112	157	136	0,00001	32,31370	32,31371	14	0
74	160	85	133	0,00004	32,14210	32,14214	18	0
129	158	111	180	-0,00004	32,97060	32,97056	14	0
183	150	192	120	-0,00002	35,48530	35,48528	11	0
309	103	279	108	0,00002	33,72790	33,72792	8	0
313	59	325	89	-0,00004	34,97060	34,97056	5	0
245	67	215	59	0,00001	33,31370	33,31371	4	0
145	126	169	145	0,00003	33,04160	33,04163	19	0
167	147	182	121	-0,00003	38,07110	38,07107	9	1
326	68	326	104	0,00000	36,00000	36,00000	2	0
139	140	110	120	0,00002	39,62740	39,62742	12	0
171	118	141	135	-0,00002	39,38480	39,38478	13	0
72	190	77	155	-0,00001	37,89950	37,89949	6	0
342	46	315	70	-0,00003	39,28430	39,28427	15	0
292	65	259	56	0,00002	36,72790	36,72792	4	0
177	119	151	138	0,00005	38,55630	38,55635	11	0
77	183	85	216	0,00001	36,31370	36,31371	4	0
181	240	173	207	0,00004	37,14210	37,14214	11	0
143	176	168	196	-0,00002	41,48530	41,48528	13	0
230	79	191	88	0,00002	42,72790	42,72792	4	0
266	46	232	58	-0,00002	42,48530	42,48528	7	0
279	55	240	63	0,00001	42,31370	42,31371	5	0
298	62	285	37	-0,00002	40,38480	40,38478	9	0
307	108	321	81	0,00004	41,14210	41,14214	12	0
89	137	119	133	-0,00001	41,89950	41,89949	12	0
119	123	150	138	-0,00003	43,07110	43,07107	20	0
133	143	159	116	0,00003	43,04160	43,04163	19	0
109	166	144	147	-0,00004	42,87010	42,87006	18	0
250	147	233	160	0,00005	45,55630	45,55635	5	0
115	150	151	146	-0,00004	46,87010	46,87006	28	0
213	159	242	184	-0,00002	46,38480	46,38478	11	0
113	151	91	161	-0,00005	45,65690	45,65685	14	0
131	145	157	114	-0,00004	47,87010	47,87006	21	0
275	72	264	35	0,00001	47,31370	47,31371	13	0
165	145	195	131	0,00004	44,14210	44,14214	14	0
115	136	159	141	-0,00003	46,07110	46,07107	18	0
173	114	152	139	0,00004	44,14210	44,14214	14	0
241	136	218	168	0,00000	46,21320	46,21320	11	0
144	241	97	231	0,00004	51,14210	51,14214	5	0
268	77	288	40	-0,00002	49,38480	49,38478	18	0
160	149	191	169	0,00002	51,62740	51,62742	15	0
156	148	177	125	-0,00001	49,79900	49,79899	35	1
309	64	263	57	-0,00001	48,89950	48,89949	5	0
181	124	157	103	0,00002	51,72790	51,72792	14	0
119	128	71	137	0,00002	51,72790	51,72792	13	0
232	55	276	67	-0,00004	48,97060	48,97056	11	0
230	148	239	176	-0,00003	48,07110	48,07107	12	0
154	191	151	178	0,00001	49,41420	49,41421	7	0
314	50	277	80	-0,00003	55,28430	55,28427	14	0
145	142	102	166	-0,00003	55,28430	55,28427	34	0
