type: da2
name: ht_mansion2b
algorithm: astarbb
preprossessing [ms]: 80880

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
139	149	145	151	-0,00000	6,82843	6,82843	40	0
293	157	294	164	0,00000	7,41421	7,41421	50	0
151	106	158	105	0,00000	7,41421	7,41421	50	0
272	63	279	62	0,00000	7,41421	7,41421	44	0
278	192	280	185	-0,00000	7,82843	7,82843	51	0
183	203	180	208	0,00000	6,24264	6,24264	28	0
271	35	266	35	0,00000	5,00000	5,00000	32	0
141	229	135	225	0,00000	7,65685	7,65685	47	0
87	152	81	150	-0,00000	6,82843	6,82843	45	0
225	56	230	56	0,00000	5,00000	5,00000	26	0
308	81	300	86	-0,00003	10,07110	10,07107	69	0
72	111	74	102	-0,00000	9,82843	9,82843	68	0
313	50	309	43	0,00000	8,65685	8,65685	69	0
140	225	146	230	-0,00000	8,07107	8,07107	37	0
180	214	189	209	-0,00003	11,07110	11,07107	82	0
320	65	320	55	0,00000	10,00000	10,00000	71	0
272	171	279	166	-0,00000	9,07107	9,07107	69	0
252	168	242	170	0,00003	10,82840	10,82843	67	0
82	144	73	151	-0,00001	11,89950	11,89949	88	0
81	128	80	136	0,00000	8,41421	8,41421	49	0
296	106	308	107	0,00001	12,41420	12,41421	73	0
72	186	78	173	-0,00002	15,48530	15,48528	81	0
113	125	111	139	0,00003	14,82840	14,82843	102	0
143	137	146	148	0,00004	12,24260	12,24264	86	0
169	248	166	235	0,00004	14,24260	14,24264	103	0
197	165	186	174	0,00002	14,72790	14,72792	114	0
230	74	240	79	-0,00003	12,07110	12,07107	101	0
333	49	330	59	0,00003	13,82840	13,82843	78	0
164	227	174	238	0,00004	15,14210	15,14214	90	0
154	153	143	155	0,00001	12,41420	12,41421	95	0
267	69	283	78	0,00002	19,72790	19,72792	184	0
285	47	271	52	-0,00003	16,07110	16,07107	134	1
160	120	166	106	-0,00002	16,48530	16,48528	98	0
149	247	156	230	-0,00001	19,89950	19,89949	143	0
235	134	227	150	-0,00001	19,89950	19,89949	131	0
77	204	80	186	0,00004	19,24260	19,24264	160	0
237	142	252	134	0,00001	18,31370	18,31371	159	0
316	48	309	62	-0,00001	16,89950	16,89949	148	0
85	138	72	152	-0,00002	19,38480	19,38478	125	0
198	191	190	179	-0,00005	17,65690	17,65685	85	1
110	148	127	134	-0,00004	23,97060	23,97056	200	0
290	192	294	170	-0,00005	23,65690	23,65685	223	0
179	199	193	211	-0,00001	21,89950	21,89949	169	0
157	230	176	226	-0,00005	20,65690	20,65685	178	0
169	79	185	87	-0,00005	21,65690	21,65685	100	1
181	133	183	111	0,00003	22,82840	22,82843	125	0
147	151	136	135	0,00005	20,55630	20,55635	188	0
160	126	143	135	-0,00002	22,48530	22,48528	126	0
