type: da2
name: ht_mansion_n
algorithm: astarbb
preprossessing [ms]: 15141

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
86	83	88	77	-0,00000	6,82843	6,82843	47	0
39	89	40	94	0,00000	5,41421	5,41421	37	0
26	36	25	41	0,00000	5,41421	5,41421	21	0
48	48	53	47	0,00000	5,41421	5,41421	32	0
119	132	120	136	0,00000	4,41421	4,41421	29	0
25	39	32	41	-0,00000	7,82843	7,82843	38	0
25	87	31	83	0,00000	7,65685	7,65685	50	0
22	86	18	82	0,00000	5,65685	5,65685	27	0
114	44	114	40	0,00000	4,00000	4,00000	25	0
120	84	122	80	-0,00000	4,82843	4,82843	32	0
103	43	111	48	-0,00003	10,07110	10,07107	58	1
47	150	56	152	-0,00000	9,82843	9,82843	58	0
122	136	114	131	-0,00003	10,07110	10,07107	67	0
15	90	25	94	-0,00005	11,65690	11,65685	93	0
59	121	62	111	0,00004	11,24260	11,24264	78	0
112	133	123	135	0,00003	11,82840	11,82843	83	0
19	91	19	102	0,00000	11,00000	11,00000	68	0
82	84	88	89	-0,00000	8,07107	8,07107	43	0
78	156	86	154	-0,00000	8,82843	8,82843	64	0
25	103	22	95	0,00000	9,24264	9,24264	58	0
24	43	14	38	-0,00003	12,07110	12,07107	87	0
69	39	78	48	0,00002	12,72790	12,72792	65	0
55	88	62	76	-0,00001	14,89950	14,89949	134	0
45	118	31	116	0,00003	14,82840	14,82843	89	0
54	115	53	128	0,00001	13,41420	13,41421	77	1
29	84	38	77	-0,00005	15,65690	15,65685	138	0
62	116	75	117	-0,00005	15,65690	15,65685	93	0
47	111	56	102	-0,00001	13,89950	13,89949	72	0
13	52	24	57	-0,00003	13,07110	13,07107	56	0
54	129	48	119	-0,00002	12,48530	12,48528	85	0
97	127	112	137	0,00004	19,14210	19,14214	119	0
103	38	118	45	-0,00001	17,89950	17,89949	167	0
22	58	20	74	0,00003	16,82840	16,82843	94	0
26	41	12	50	0,00002	17,72790	17,72792	150	0
23	73	28	88	-0,00003	17,07110	17,07107	160	1
43	67	55	80	-0,00004	17,97060	17,97056	110	0
75	55	67	40	-0,00001	18,89950	18,89949	129	0
68	78	52	70	0,00001	19,31370	19,31371	177	0
33	156	44	145	-0,00003	19,07110	19,07107	113	0
27	45	8	43	0,00003	19,82840	19,82843	142	0
50	80	65	94	-0,00001	20,79900	20,79899	146	0
60	87	38	86	0,00001	22,41420	22,41421	155	0
124	134	120	155	-0,00005	22,65690	22,65685	216	1
91	82	109	78	0,00004	22,14210	22,14214	192	0
57	114	63	97	0,00004	23,14210	23,14214	206	0
73	101	54	89	-0,00004	23,97060	23,97056	104	0
108	139	126	132	-0,00001	20,89950	20,89949	190	0
97	42	115	50	0,00001	21,31370	21,31371	176	1
92	133	83	151	-0,00002	23,48530	23,48528	168	0
40	78	26	78	0,00005	21,55630	21,55635	202	0
73	101	50	110	-0,00001	27,89950	27,89949	147	0
81	127	57	122	-0,00003	26,07110	26,07107	210	0
