type: da2
name: ht_mansion_n
algorithm: jpsbb
preprossessing [ms]: 15086

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
86	83	88	77	-0,00000	6,82843	6,82843	6	0
39	89	40	94	0,00000	5,41421	5,41421	6	0
26	36	25	41	0,00000	5,41421	5,41421	4	0
48	48	53	47	0,00000	5,41421	5,41421	4	0
119	132	120	136	0,00000	4,41421	4,41421	4	0
25	39	32	41	-0,00000	7,82843	7,82843	5	0
25	87	31	83	0,00000	7,65685	7,65685	7	0
22	86	18	82	0,00000	5,65685	5,65685	3	0
114	44	114	40	0,00000	4,00000	4,00000	3	0
120	84	122	80	-0,00000	4,82843	4,82843	4	0
103	43	111	48	-0,00003	10,07110	10,07107	7	0
47	150	56	152	-0,00000	9,82843	9,82843	6	0
122	136	114	131	-0,00003	10,07110	10,07107	6	0
15	90	25	94	-0,00005	11,65690	11,65685	4	0
59	121	62	111	0,00004	11,24260	11,24264	5	0
112	133	123	135	0,00003	11,82840	11,82843	4	0
19	91	19	102	0,00000	11,00000	11,00000	4	0
82	84	88	89	-0,00000	8,07107	8,07107	7	0
78	156	86	154	-0,00000	8,82843	8,82843	5	0
25	103	22	95	0,00000	9,24264	9,24264	4	0
24	43	14	38	-0,00003	12,07110	12,07107	5	0
69	39	78	48	0,00002	12,72790	12,72792	6	0
55	88	62	76	-0,00001	14,89950	14,89949	4	0
45	118	31	116	0,00003	14,82840	14,82843	7	0
54	115	53	128	0,00001	13,41420	13,41421	3	0
29	84	38	77	-0,00005	15,65690	15,65685	9	0
62	116	75	117	-0,00005	15,65690	15,65685	8	1
47	111	56	102	-0,00001	13,89950	13,89949	7	0
13	52	24	57	-0,00003	13,07110	13,07107	7	0
54	129	48	119	-0,00002	12,48530	12,48528	5	0
97	127	112	137	0,00004	19,14210	19,14214	7	0
103	38	118	45	-0,00001	17,89950	17,89949	5	0
22	58	20	74	0,00003	16,82840	16,82843	8	0
26	41	12	50	0,00002	17,72790	17,72792	5	0
23	73	28	88	-0,00003	17,07110	17,07107	6	0
43	67	55	80	-0,00004	17,97060	17,97056	8	0
75	55	67	40	-0,00001	18,89950	18,89949	6	0
68	78	52	70	0,00001	19,31370	19,31371	7	0
33	156	44	145	-0,00003	19,07110	19,07107	13	0
27	45	8	43	0,00003	19,82840	19,82843	3	0
50	80	65	94	-0,00001	20,79900	20,79899	7	0
60	87	38	86	0,00001	22,41420	22,41421	3	0
124	134	120	155	-0,00005	22,65690	22,65685	4	0
91	82	109	78	0,00004	22,14210	22,14214	8	0
57	114	63	97	0,00004	23,14210	23,14214	11	0
73	101	54	89	-0,00004	23,97060	23,97056	5	0
108	139	126	132	-0,00001	20,89950	20,89949	4	0
97	42	115	50	0,00001	21,31370	21,31371	8	0
92	133	83	151	-0,00002	23,48530	23,48528	11	0
40	78	26	78	0,00005	21,55630	21,55635	10	0
73	101	50	110	-0,00001	27,89950	27,89949	8	0
81	127	57	122	-0,00003	26,07110	26,07107	4	0
56	117	31	116	0,00001	25,41420	25,41421	5	0
54	50	63	54	-0,00003	26,07110	26,07107	13	0
53	95	60	118	-0,00001	25,89950	25,89949	6	0
43	144	20	138	-0,00002	25,48530	25,48528	12	0
76	126	81	147	-0,00002	26,38480	26,38478	8	0
102	145	83	158	-0,00002	24,38480	24,38478	11	0
56	93	57	116	-0,00003	25,07110	25,07107	7	0
93	129	68	126	0,00004	26,24260	26,24264	5	0
58	125	56	152	-0,00003	30,07110	30,07107	7	0
29	113	14	88	-0,00001	31,79900	31,79899	9	0
38	111	19	97	-0,00001	28,89950	28,89949	13	0
51	139	57	110	-0,00002	31,48530	31,48528	9	0
20	103	17	75	0,00004	29,24260	29,24264	5	0
36	157	59	140	0,00000	31,21320	31,21320	12	0
118	85	89	78	-0,00001	31,89950	31,89949	7	0
52	41	70	61	0,00005	31,55630	31,55635	12	0
21	42	49	40	0,00001	31,31370	31,31371	6	1
63	84	78	101	0,00004	30,24260	30,24264	12	0
62	110	69	88	0,00004	34,45580	34,45584	15	0
86	89	119	90	-0,00001	35,89950	35,89949	9	0
73	71	56	92	0,00002	32,72790	32,72792	6	0
78	122	54	103	-0,00002	35,38480	35,38478	11	0
74	133	48	118	-0,00002	33,38480	33,38478	8	0
70	93	54	116	0,00005	32,55630	32,55635	10	0
123	143	94	129	-0,00001	34,79900	34,79899	8	0
84	134	116	130	-0,00005	33,65690	33,65685	6	0
17	97	45	81	0,00002	34,62740	34,62742	11	0
55	90	44	118	0,00005	32,55630	32,55635	7	0
93	54	79	88	-0,00001	39,79900	39,79899	10	0
63	40	47	71	0,00002	39,62740	39,62742	11	0
72	72	83	102	0,00001	36,31370	36,31371	11	0
46	78	74	99	0,00004	38,45580	38,45584	7	0
19	83	26	119	-0,00001	38,89950	38,89949	9	0
107	131	84	116	-0,00001	37,89950	37,89949	9	1
54	55	21	40	0,00000	39,21320	39,21320	6	0
47	99	73	116	-0,00004	37,87010	37,87006	14	0
57	76	83	79	0,00002	39,72790	39,72792	12	0
88	126	115	147	0,00002	38,62740	38,62742	8	0
50	53	53	89	0,00005	40,55630	40,55635	7	0
6	40	26	73	-0,00004	41,87010	41,87006	16	0
47	55	13	50	-0,00002	43,48530	43,48528	9	0
67	45	104	36	0,00002	40,72790	40,72792	8	0
79	94	57	68	-0,00001	43,89950	43,89949	12	0
49	109	40	103	-0,00001	40,79900	40,79899	19	0
47	75	41	37	-0,00002	40,48530	40,48528	8	0
49	158	64	125	0,00001	43,31370	43,31371	10	0
