type: da2
name: ht_playershouse_n
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
113	28	116	32	-0,00000	5,82843	5,82843	26	0
49	44	44	44	0,00000	5,00000	5,00000	36	0
39	23	38	29	0,00000	6,41421	6,41421	44	0
7	19	7	25	0,00000	6,00000	6,00000	44	0
46	48	51	51	0,00000	6,24264	6,24264	43	0
41	36	46	41	-0,00000	7,07107	7,07107	33	0
20	54	23	48	0,00000	7,24264	7,24264	52	0
13	51	15	46	-0,00000	5,82843	5,82843	45	0
112	22	108	21	0,00000	4,41421	4,41421	30	0
11	27	7	26	0,00000	4,41421	4,41421	30	0
75	21	78	29	0,00000	9,24264	9,24264	76	1
30	19	33	11	0,00000	9,24264	9,24264	64	0
61	17	72	15	0,00003	11,82840	11,82843	96	0
44	30	52	31	0,00000	8,41421	8,41421	55	0
103	25	103	14	0,00000	11,00000	11,00000	79	0
47	23	51	13	-0,00005	11,65690	11,65685	102	0
110	24	103	21	0,00000	8,24264	8,24264	67	0
103	23	112	28	-0,00003	11,07110	11,07107	90	0
59	28	67	26	-0,00000	8,82843	8,82843	62	0
15	25	21	30	-0,00000	8,07107	8,07107	44	0
50	61	42	52	0,00001	12,31370	12,31371	86	0
46	16	46	30	0,00000	14,00000	14,00000	100	0
39	25	41	38	0,00003	13,82840	13,82843	96	0
30	19	20	14	-0,00002	15,48530	15,48528	152	0
15	44	17	56	0,00003	12,82840	12,82843	107	0
19	61	9	53	0,00001	13,31370	13,31371	111	0
6	49	19	50	0,00001	13,41420	13,41421	93	0
6	62	15	54	0,00001	12,31370	12,31371	86	0
20	53	31	48	-0,00003	13,07110	13,07107	113	0
42	22	55	29	-0,00001	15,89950	15,89949	156	0
63	12	75	22	0,00004	16,14210	16,14214	124	0
30	44	15	53	0,00002	18,72790	18,72792	170	1
16	47	6	36	-0,00001	16,89950	16,89949	144	0
18	60	28	46	0,00004	18,14210	18,14214	169	0
50	36	34	37	0,00001	16,41420	16,41421	100	0
44	43	48	61	-0,00005	19,65690	19,65685	191	0
70	24	64	36	0,00003	16,82840	16,82843	197	0
30	17	35	33	-0,00003	18,07110	18,07107	185	0
78	17	64	28	0,00005	18,55630	18,55635	164	0
30	45	13	49	-0,00005	18,65690	18,65685	167	0
35	38	31	18	-0,00005	21,65690	21,65685	222	0
55	38	72	28	-0,00002	23,48530	23,48528	146	0
73	29	92	21	0,00001	22,31370	22,31371	158	1
46	43	35	27	0,00002	21,72790	21,72792	174	0
53	15	34	18	0,00004	20,24260	20,24264	185	0
27	15	44	30	0,00000	23,21320	23,21320	185	0
30	52	11	45	-0,00001	21,89950	21,89949	252	0
38	19	19	28	0,00001	23,31370	23,31371	237	0
8	61	30	61	0,00000	22,00000	22,00000	156	0
11	47	27	62	0,00000	22,21320	22,21320	155	0
77	37	64	18	0,00001	27,31370	27,31371	246	0
48	47	33	27	-0,00002	27,38480	27,38478	234	1
19	29	39	31	-0,00001	27,79900	27,79899	253	0
33	38	39	15	-0,00002	25,48530	25,48528	302	0
16	20	38	29	0,00002	25,72790	25,72792	251	0
28	12	17	12	0,00001	24,31370	24,31371	180	0
52	47	47	25	-0,00003	26,07110	26,07107	201	0
33	38	48	51	-0,00003	25,07110	25,07107	188	0
62	39	70	20	-0,00003	24,07110	24,07107	166	0
31	38	53	31	-0,00001	24,89950	24,89949	232	1
66	37	86	20	0,00000	28,21320	28,21320	222	0
62	36	36	26	0,00004	30,14210	30,14214	211	0
48	19	20	25	-0,00002	30,48530	30,48528	345	0
52	27	52	51	-0,00004	28,97060	28,97056	281	0
46	17	44	48	0,00003	31,82840	31,82843	269	0
20	31	36	33	-0,00002	28,38480	28,38478	227	0
44	50	30	28	-0,00002	30,38480	30,38478	273	1
13	17	39	31	-0,00001	31,79900	31,79899	329	0
53	58	36	38	0,00002	31,72790	31,72792	365	0
70	19	55	38	-0,00005	31,65690	31,65685	443	1
39	30	71	34	0,00001	35,31370	35,31371	327	0
44	24	38	55	0,00001	34,31370	34,31371	392	0
51	55	22	55	0,00001	34,31370	34,31371	383	0
28	37	52	15	-0,00000	33,11270	33,11270	161	0
51	38	28	15	0,00001	32,52690	32,52691	161	0
22	19	54	22	0,00004	33,24260	33,24264	220	0
50	57	32	36	0,00002	33,72790	33,72792	391	1
42	16	43	46	-0,00003	32,07110	32,07107	353	0
64	29	95	23	0,00001	34,31370	34,31371	308	0
39	23	47	55	0,00001	35,31370	35,31371	368	0
49	26	18	12	0,00005	38,55630	38,55635	551	1
19	56	44	48	-0,00002	37,48530	37,48528	532	0
50	58	45	24	-0,00003	36,07110	36,07107	310	1
43	49	20	52	-0,00002	38,48530	38,48528	436	0
51	59	61	37	0,00001	37,31370	37,31371	376	0
40	60	7	52	0,00001	36,31370	36,31371	301	0
51	37	77	18	0,00004	39,14210	39,14214	306	1
21	45	47	62	-0,00002	39,48530	39,48528	416	0
37	55	24	51	0,00003	37,82840	37,82843	375	0
53	31	48	61	-0,00005	36,65690	36,65685	300	0
69	35	28	37	0,00003	41,82840	41,82843	239	0
16	52	50	49	0,00002	43,62740	43,62742	592	1
12	48	46	56	0,00002	40,62740	40,62742	532	0
107	23	68	27	-0,00002	41,48530	41,48528	333	1
47	50	78	38	0,00004	43,24260	43,24264	391	0
51	26	51	62	0,00004	40,14210	40,14214	413	0
36	24	47	59	0,00004	40,14210	40,14214	462	0
24	47	49	50	0,00001	43,31370	43,31371	496	1
46	41	74	21	0,00004	42,14210	42,14214	481	0
44	40	75	24	0,00005	40,55630	40,55635	365	0
29	60	44	29	-0,00005	45,65690	45,65685	553	1
31	11	47	52	0,00002	47,62740	47,62742	612	0
70	13	48	39	-0,00003	45,07110	45,07107	570	1
111	22	69	33	0,00005	46,55630	46,55635	360	0
73	21	51	30	-0,00001	44,89950	44,89949	628	1
31	14	40	52	-0,00004	45,87010	45,87006	622	0
12	42	48	59	-0,00001	46,79900	46,79899	542	1
13	18	54	26	0,00001	44,31370	44,31371	500	0
60	22	46	44	-0,00004	44,97060	44,97056	461	0
38	47	15	50	0,00002	46,62740	46,62742	512	1
75	39	34	21	0,00004	48,45580	48,45584	357	0
38	31	73	22	0,00004	48,14210	48,14214	781	1
53	14	67	31	-0,00002	49,48530	49,48528	548	0
62	28	39	22	-0,00002	49,38480	49,38478	620	1
74	28	39	21	0,00002	48,62740	48,62742	708	0
41	55	13	41	-0,00002	48,38480	48,38478	566	1
40	52	15	39	-0,00001	51,79900	51,79899	813	1
38	59	29	24	0,00002	48,62740	48,62742	486	0
32	55	40	44	-0,00003	48,07110	48,07107	602	0
67	16	48	26	0,00003	49,82840	49,82843	627	1
38	19	77	28	0,00003	54,04160	54,04163	738	1
52	14	4	11	0,00003	55,04160	55,04163	608	0
95	22	48	39	0,00000	55,21320	55,21320	544	1
50	53	18	27	-0,00005	52,76960	52,76955	725	0
52	27	4	15	-0,00004	52,97060	52,97056	758	1
66	31	28	19	0,00003	54,04160	54,04163	656	0
45	43	22	43	-0,00002	53,48530	53,48528	1082	1
31	21	63	27	-0,00004	54,87010	54,87006	942	1
53	31	60	16	0,00002	52,72790	52,72792	929	1
46	47	5	51	-0,00002	55,38480	55,38478	780	1
21	53	47	28	0,00002	59,72790	59,72792	915	1
36	38	29	53	0,00001	59,31370	59,31371	1218	1
35	20	28	61	-0,00001	59,79900	59,79899	1116	1
120	17	68	29	-0,00004	56,97060	56,97056	512	0
49	13	78	27	0,00002	57,72790	57,72792	636	1
54	25	23	58	-0,00001	59,79900	59,79899	981	1
77	24	51	15	-0,00002	57,38480	57,38478	817	1
54	22	68	15	-0,00001	56,89950	56,89949	759	0
17	12	50	54	-0,00001	58,01220	58,01219	623	1
51	56	9	36	-0,00003	58,28430	58,28427	838	1
5	30	56	37	0,00001	60,52690	60,52691	696	0
3	17	47	47	0,00001	60,52690	60,52691	731	1
31	32	73	16	0,00002	60,72790	60,72792	990	1
12	50	47	36	0,00000	60,21320	60,21320	886	1
37	55	11	17	-0,00001	63,01220	63,01219	643	0
27	18	71	25	-0,00002	60,69850	60,69848	925	1
47	61	59	23	-0,00002	62,38480	62,38478	1035	1
49	50	7	16	-0,00005	60,76960	60,76955	730	1
12	22	48	61	-0,00004	63,87010	63,87006	837	1
17	58	45	27	-0,00003	60,07110	60,07107	921	0
66	39	9	27	-0,00000	66,11270	66,11270	748	1
81	20	30	22	-0,00003	65,18380	65,18377	801	1
74	38	28	61	-0,00001	64,89950	64,89949	670	0
40	29	30	49	-0,00002	66,38480	66,38478	1493	2
13	41	43	39	0,00002	64,62740	64,62742	907	1
65	39	9	31	-0,00005	66,76960	66,76955	813	1
52	48	5	35	-0,00002	67,59800	67,59798	1463	1
7	16	38	52	-0,00001	64,01220	64,01219	874	1
51	63	19	29	-0,00003	64,18380	64,18377	1226	1
11	20	40	62	0,00001	67,52690	67,52691	969	1
30	26	61	12	0,00003	69,04160	69,04163	1401	1
46	28	5	58	-0,00002	71,48530	71,48528	1412	2
11	58	62	36	0,00004	71,14210	71,14214	1061	1
11	50	43	28	0,00000	69,21320	69,21320	960	1
66	30	13	13	0,00003	71,94110	71,94113	988	1
17	28	69	27	-0,00002	68,69850	68,69848	1125	1
88	20	31	22	-0,00002	70,59800	70,59798	812	1
67	38	18	63	0,00002	68,72790	68,72792	798	0
46	27	8	57	-0,00001	69,89950	69,89949	1450	2
36	27	20	49	0,00000	69,21320	69,21320	1609	2
43	44	103	28	-0,00000	75,11270	75,11270	878	0
50	26	16	44	0,00003	74,04160	74,04163	1692	2
70	37	27	54	0,00002	72,72790	72,72792	1314	2
12	47	54	25	0,00004	75,35530	75,35534	1092	1
39	61	72	13	-0,00002	73,38480	73,38478	1048	1
34	63	74	18	0,00003	75,04160	75,04163	889	1
52	20	14	59	0,00005	72,55630	72,55635	1273	1
10	16	38	63	-0,00002	72,59800	72,59798	1039	1
74	30	11	24	-0,00003	73,28430	73,28427	1008	1
64	15	28	12	0,00004	74,35530	74,35534	829	1
100	26	52	47	-0,00002	76,69850	76,69848	974	1
94	22	29	22	-0,00005	77,76960	77,76955	870	0
22	46	29	24	-0,00003	77,28430	77,28427	1076	2
53	27	6	51	-0,00004	77,87010	77,87006	1689	1
19	23	79	16	-0,00005	79,76960	79,76955	1296	2
25	44	52	19	-0,00004	78,97060	78,97056	1152	1
78	38	20	61	-0,00001	76,89950	76,89949	837	0
23	12	64	22	0,00001	77,52690	77,52691	1318	2
9	44	54	31	-0,00000	77,11270	77,11270	1125	1
65	30	6	16	-0,00002	78,69850	78,69848	1088	1
15	50	54	15	-0,00000	81,11270	81,11270	1264	1
22	24	79	12	-0,00003	81,18380	81,18377	1345	2
31	30	13	41	0,00004	80,35530	80,35534	1746	2
61	15	16	19	0,00003	82,94110	82,94113	1020	1
111	20	40	30	-0,00003	81,28430	81,28427	996	1
21	13	76	17	-0,00005	81,76960	81,76955	1300	1
17	27	20	62	-0,00005	82,76960	82,76955	1397	1
7	14	63	30	0,00001	80,52690	80,52691	1326	1
103	21	54	17	-0,00003	83,28430	83,28427	1130	1
49	54	100	16	-0,00002	82,69850	82,69848	935	1
14	53	21	19	-0,00001	86,01220	86,01219	1183	1
66	22	28	54	-0,00004	86,97060	86,97056	1523	2
109	14	45	50	0,00004	85,35530	85,35534	952	1
17	53	62	24	-0,00002	87,69850	87,69848	1518	2
30	44	27	20	-0,00005	85,76960	85,76955	1143	1
116	29	47	45	0,00003	86,94110	86,94113	910	1
14	59	62	27	-0,00002	86,38480	86,38478	1480	1
44	49	109	12	-0,00002	85,59800	85,59798	877	1
16	37	31	26	-0,00005	86,76960	86,76955	1053	1
31	28	5	40	0,00005	86,66900	86,66905	1777	2
6	30	27	59	-0,00003	88,18380	88,18377	1353	2
63	29	7	58	-0,00004	91,97060	91,97056	1408	1
42	14	106	16	0,00004	91,35530	91,35534	1037	1
108	27	40	16	-0,00005	91,76960	91,76955	1177	1
111	24	34	26	0,00003	88,94110	88,94113	1069	1
36	19	14	38	0,00001	89,52690	89,52691	1812	2
59	22	6	29	0,00001	88,42640	88,42641	1221	1
15	29	15	58	-0,00002	90,59800	90,59798	1523	2
9	24	20	55	-0,00005	90,76960	90,76955	1514	1
40	28	117	17	0,00004	89,35530	89,35534	1066	1
113	19	42	16	-0,00000	95,11270	95,11270	1162	2
3	32	79	21	-0,00003	94,49750	94,49747	1328	1
6	26	67	13	-0,00004	92,87010	92,87006	1382	2
32	21	106	12	-0,00003	92,49750	92,49747	1195	1
21	44	59	28	0,00000	95,21320	95,21320	1614	2
31	13	6	47	0,00001	95,42640	95,42641	1768	1
18	19	20	43	-0,00003	94,18380	94,18377	1702	1
49	21	116	29	-0,00002	92,69850	92,69848	1012	3
5	54	29	14	0,00004	93,35530	93,35534	1262	1
105	19	29	14	-0,00003	94,49750	94,49747	1126	1
8	56	62	23	0,00004	96,45580	96,45584	1566	2
9	27	17	52	0,00003	96,25480	96,25483	1566	2
32	48	68	16	0,00002	98,62740	98,62742	1543	2
40	52	118	11	0,00005	99,66900	99,66905	1090	1
106	24	35	62	0,00003	98,94110	98,94113	1262	2
116	27	33	22	0,00002	97,84060	97,84062	1096	1
17	29	8	52	-0,00004	98,08330	98,08326	1715	1
64	30	14	38	-0,00003	98,28430	98,28427	2305	3
7	55	59	23	-0,00002	99,69850	99,69848	1673	2
30	18	113	21	0,00002	97,84060	97,84062	1177	1
6	29	13	62	-0,00002	101,59800	101,59798	1497	1
30	19	5	36	0,00026	100,08300	100,08326	1892	2
34	63	103	30	-0,00023	102,18400	102,18377	1274	2
11	49	11	16	-0,00031	101,91200	101,91169	1393	1
106	13	34	63	-0,00038	103,84100	103,84062	1279	1
20	23	6	39	-0,00010	102,32600	102,32590	1822	2
16	52	3	20	0,00019	102,01200	102,01219	1439	2
117	13	39	16	-0,00038	102,84100	102,84062	1184	1
