type: da2
name: ht_store
algorithm: jpsbb
preprossessing [ms]: 38

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
21	24	15	20	0,00000	7,65685	7,65685	6	0
11	26	11	21	0,00000	5,00000	5,00000	3	0
10	21	9	17	0,00000	4,41421	4,41421	3	1
15	15	17	10	-0,00000	5,82843	5,82843	3	0
12	6	6	8	-0,00000	6,82843	6,82843	4	0
11	12	14	9	0,00000	4,24264	4,24264	3	0
21	12	20	9	0,00000	4,00000	4,00000	4	0
17	24	10	23	0,00000	7,41421	7,41421	3	0
17	20	21	26	0,00000	7,65685	7,65685	3	0
15	23	9	24	0,00000	6,41421	6,41421	4	0
15	4	8	10	0,00000	9,48528	9,48528	6	0
10	12	17	8	0,00000	8,65685	8,65685	3	0
12	9	20	8	0,00000	8,41421	8,41421	3	0
7	28	9	19	-0,00000	9,82843	9,82843	3	0
20	22	19	14	0,00000	8,41421	8,41421	4	0
10	19	11	30	0,00001	11,41420	11,41421	4	0
10	28	17	20	-0,00001	10,89950	10,89949	6	0
9	26	17	27	0,00000	8,41421	8,41421	3	0
6	29	10	22	0,00000	8,65685	8,65685	3	0
9	17	17	13	0,00003	10,82840	10,82843	5	0
5	12	4	24	0,00001	12,41420	12,41421	4	0
18	13	6	9	-0,00005	13,65690	13,65685	3	0
4	16	16	21	-0,00001	14,89950	14,89949	5	0
16	21	19	8	0,00004	14,24260	14,24264	3	0
17	20	11	11	-0,00005	12,65690	12,65685	6	0
7	20	14	31	-0,00001	13,89950	13,89949	4	0
21	20	11	13	-0,00002	13,48530	13,48528	6	0
16	19	8	28	-0,00001	12,89950	12,89949	5	0
5	4	17	8	-0,00005	13,65690	13,65685	4	0
16	4	7	16	0,00002	15,72790	15,72792	6	0
9	28	20	14	0,00005	18,55630	18,55635	6	0
6	14	19	18	-0,00003	16,07110	16,07107	7	0
8	6	9	25	0,00001	19,41420	19,41421	3	0
21	31	21	14	0,00000	17,00000	17,00000	3	0
8	13	6	29	0,00003	16,82840	16,82843	4	1
5	21	18	30	0,00002	16,72790	16,72792	4	0
8	21	7	5	0,00001	16,41420	16,41421	3	0
15	26	12	8	0,00004	19,24260	19,24264	5	0
16	13	20	31	-0,00005	19,65690	19,65685	4	0
7	22	20	14	-0,00003	18,07110	18,07107	6	0
11	29	12	7	0,00001	22,41420	22,41421	5	0
14	26	11	5	0,00004	22,24260	22,24264	6	0
7	10	21	23	0,00002	21,72790	21,72792	7	0
18	31	9	12	0,00002	22,72790	22,72792	6	0
5	24	11	4	-0,00002	22,48530	22,48528	6	0
20	27	13	7	-0,00001	22,89950	22,89949	6	0
12	25	14	4	-0,00005	22,65690	22,65685	8	0
16	24	20	3	-0,00005	22,65690	22,65685	4	0
8	13	18	30	0,00004	21,14210	21,14214	6	0
12	10	7	28	-0,00003	20,07110	20,07107	5	0
4	28	18	6	-0,00001	27,79900	27,79899	7	0
12	5	21	26	0,00002	24,72790	24,72792	4	0
8	29	16	8	0,00001	24,31370	24,31371	6	0
6	5	11	30	-0,00003	27,07110	27,07107	5	0
19	31	4	11	0,00000	26,21320	26,21320	8	0
21	6	14	28	-0,00001	24,89950	24,89949	7	0
17	29	6	6	0,00005	27,55630	27,55635	6	0
16	22	4	3	0,00005	24,55630	24,55635	6	0
4	29	3	4	0,00004	26,24260	26,24264	7	0
10	5	21	27	0,00005	26,55630	26,55635	6	0
12	31	3	7	0,00001	28,31370	28,31371	7	0
12	31	8	3	-0,00005	29,65690	29,65685	4	1
19	8	3	28	-0,00004	28,97060	28,97056	9	0
3	3	19	26	-0,00001	30,79900	30,79899	8	0
3	28	18	6	-0,00001	28,79900	28,79899	8	0
13	30	8	4	-0,00003	28,07110	28,07107	4	0
19	8	3	28	-0,00004	28,97060	28,97056	9	0
4	3	15	30	0,00005	31,55630	31,55635	9	0
14	28	3	3	0,00005	29,55630	29,55635	7	0
19	30	9	5	0,00004	29,14210	29,14214	7	0
