type: da2
name: lt_0_lowtown_a2
algorithm: jpsplus
preprossessing [ms]: 56

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
229	350	226	344	0,00000	7,24264	7,24264	7	0
377	386	375	391	-0,00000	5,82843	5,82843	7	0
279	303	276	308	0,00000	6,24264	6,24264	6	0
167	230	169	236	-0,00000	6,82843	6,82843	6	0
235	364	230	363	0,00000	5,41421	5,41421	8	0
167	239	165	233	-0,00000	6,82843	6,82843	7	0
284	292	285	299	0,00000	7,41421	7,41421	7	0
265	373	259	377	0,00000	7,65685	7,65685	7	0
358	416	356	422	-0,00000	6,82843	6,82843	7	0
219	247	224	243	0,00000	6,65685	6,65685	6	0
130	246	132	238	-0,00000	8,82843	8,82843	8	0
185	279	179	270	-0,00002	11,48530	11,48528	6	0
243	212	252	205	-0,00001	11,89950	11,89949	9	0
342	284	334	285	0,00000	8,41421	8,41421	7	0
351	381	361	381	0,00000	10,00000	10,00000	6	0
213	234	214	242	0,00000	8,41421	8,41421	7	0
105	273	112	265	-0,00001	10,89950	10,89949	9	0
140	306	130	308	0,00003	10,82840	10,82843	9	0
300	169	304	162	0,00000	8,65685	8,65685	4	0
242	354	253	352	0,00003	11,82840	11,82843	8	0
366	386	381	386	0,00000	15,00000	15,00000	6	0
171	252	174	238	0,00004	15,24260	15,24264	9	0
259	163	258	176	0,00001	13,41420	13,41421	8	0
311	371	305	361	-0,00003	13,07110	13,07107	10	0
355	371	368	374	0,00004	14,24260	14,24264	7	0
30	282	43	279	0,00004	14,24260	14,24264	8	0
42	279	46	268	-0,00005	12,65690	12,65685	9	0
335	253	323	260	-0,00001	14,89950	14,89949	9	0
243	311	246	325	0,00004	15,24260	15,24264	9	0
211	270	215	282	-0,00005	13,65690	13,65685	9	0
370	393	357	380	-0,00002	18,38480	18,38478	7	0
278	191	278	207	0,00001	17,41420	17,41421	10	0
367	379	384	383	-0,00005	18,65690	18,65685	11	0
289	207	274	211	-0,00005	16,65690	16,65685	8	0
173	290	186	279	0,00004	18,14210	18,14214	12	0
367	406	366	388	0,00001	18,41420	18,41421	9	0
372	419	359	409	0,00004	17,14210	17,14214	12	0
61	277	61	259	0,00000	18,00000	18,00000	6	0
52	274	66	264	0,00004	18,14210	18,14214	8	0
254	215	246	228	0,00001	16,31370	16,31371	9	0
93	274	105	261	0,00002	21,72790	21,72792	12	0
373	422	376	400	0,00004	23,24260	23,24264	7	0
227	360	243	376	-0,00001	23,79900	23,79899	10	0
167	291	164	278	0,00003	20,82840	20,82843	15	0
118	275	126	294	0,00001	22,31370	22,31371	9	0
292	179	275	194	-0,00001	23,79900	23,79899	15	0
275	238	291	250	-0,00004	20,97060	20,97056	15	0
142	305	158	319	-0,00004	22,97060	22,97056	8	0
129	246	148	249	0,00004	20,24260	20,24264	8	0
274	301	291	312	0,00005	21,55630	21,55635	7	0
372	401	359	381	-0,00002	25,38480	25,38478	10	0
210	229	230	243	-0,00004	26,97060	26,97056	13	0
255	227	277	215	-0,00001	27,79900	27,79899	9	0
138	225	140	251	0,00003	26,82840	26,82843	7	0
103	277	124	288	0,00005	25,55630	25,55635	11	1
289	184	276	203	0,00001	27,31370	27,31371	18	0
350	403	330	392	0,00005	24,55630	24,55635	16	0
197	277	212	289	0,00003	25,82840	25,82843	12	0
157	246	168	227	0,00001	25,31370	25,31371	14	0
245	345	231	367	-0,00001	27,79900	27,79899	14	0
40	282	70	286	-0,00005	31,65690	31,65685	9	0
151	253	129	233	-0,00003	30,28430	30,28427	11	0
175	271	174	240	0,00001	31,41420	31,41421	7	0
253	368	266	370	0,00001	28,31370	28,31371	20	0
167	239	154	220	-0,00002	28,48530	28,48528	13	0
335	398	361	411	-0,00002	31,38480	31,38478	13	0
217	283	216	252	0,00001	31,41420	31,41421	7	0
261	222	231	225	0,00004	31,24260	31,24264	7	0
226	280	223	250	0,00004	31,24260	31,24264	10	0
3	266	23	270	0,00004	28,14210	28,14214	7	0
170	295	137	300	-0,00003	35,07110	35,07107	7	0
317	198	326	225	-0,00002	32,48530	32,48528	18	0
116	261	115	293	0,00001	32,41420	32,41421	6	0
36	278	67	283	-0,00003	33,07110	33,07107	10	0
124	281	121	248	0,00004	34,24260	34,24264	12	0
122	293	108	264	-0,00001	34,79900	34,79899	9	0
238	314	219	290	0,00000	34,21320	34,21320	15	0
216	252	226	230	0,00003	34,82840	34,82843	11	0
264	237	292	249	-0,00004	32,97060	32,97056	11	0
182	278	178	244	-0,00005	35,65690	35,65685	11	0
212	340	245	325	0,00000	39,21320	39,21320	20	0
341	413	364	392	0,00000	39,21320	39,21320	23	0
207	268	230	296	0,00001	37,52690	37,52691	10	0
243	349	261	326	-0,00001	36,89950	36,89949	23	0
260	166	242	197	0,00004	38,45580	38,45584	12	0
242	359	213	340	-0,00004	36,87010	36,87006	16	0
282	284	292	249	0,00004	39,14210	39,14214	18	1
254	378	246	374	-0,00003	39,07110	39,07107	22	0
104	271	134	248	0,00001	39,52690	39,52691	15	0
264	220	236	197	0,00001	37,52690	37,52691	11	0
244	332	235	370	0,00002	41,72790	41,72792	18	0
291	287	302	249	0,00005	42,55630	42,55635	14	0
125	240	119	281	-0,00002	43,48530	43,48528	13	0
266	348	260	322	-0,00003	41,07110	41,07107	15	0
298	272	321	291	-0,00004	42,97060	42,97056	15	0
380	402	354	373	0,00004	40,35530	40,35534	15	0
221	365	212	374	-0,00002	40,48530	40,48528	18	0
231	277	223	239	0,00001	41,31370	41,31371	13	0
