type: da2
name: lt_0_lowtown_a2_n
algorithm: astarbb
preprossessing [ms]: 132988

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
244	360	241	357	0,00000	4,24264	4,24264	17	0
111	258	111	265	0,00000	7,00000	7,00000	44	0
246	359	251	357	-0,00000	5,82843	5,82843	32	0
357	187	357	191	0,00000	4,00000	4,00000	23	0
242	345	241	352	0,00000	7,41421	7,41421	42	0
245	366	240	365	0,00000	5,41421	5,41421	35	0
77	269	71	265	0,00000	7,65685	7,65685	48	0
263	165	263	170	0,00000	5,00000	5,00000	21	0
97	274	92	273	0,00000	5,41421	5,41421	37	0
222	218	227	219	0,00000	5,41421	5,41421	25	0
329	388	323	379	-0,00002	11,48530	11,48528	80	0
355	417	344	416	0,00001	11,41420	11,41421	65	0
94	275	103	273	-0,00000	9,82843	9,82843	78	0
250	189	243	192	0,00000	8,24264	8,24264	39	0
343	379	352	386	-0,00001	11,89950	11,89949	85	0
246	361	252	356	0,00000	8,65685	8,65685	47	0
308	386	315	381	-0,00000	9,07107	9,07107	61	0
327	392	333	386	0,00000	8,48528	8,48528	38	0
315	292	322	287	-0,00000	9,07107	9,07107	62	0
339	388	342	395	0,00000	8,24264	8,24264	62	0
220	350	217	341	0,00004	12,24260	12,24264	62	0
114	295	122	284	0,00001	14,31370	14,31371	115	0
118	269	107	259	0,00004	15,14210	15,14214	102	0
120	289	127	299	-0,00001	12,89950	12,89949	96	0
345	390	356	385	-0,00003	13,07110	13,07107	74	0
85	259	90	272	-0,00003	15,07110	15,07107	70	0
285	268	291	258	-0,00002	12,48530	12,48528	106	1
306	386	320	383	0,00004	15,24260	15,24264	128	0
322	267	327	257	-0,00003	12,07110	12,07107	77	0
324	239	327	252	0,00004	14,24260	14,24264	105	0
35	264	21	276	-0,00004	18,97060	18,97056	125	0
55	281	37	279	0,00003	18,82840	18,82843	140	0
177	286	165	296	0,00004	16,14210	16,14214	126	0
316	250	322	264	-0,00003	19,07110	19,07107	147	0
