type: da2
name: lt_0_lowtown_a2_n_c
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
251	378	252	383	0,00000	5,41421	5,41421	32	0
242	323	237	320	0,00000	6,24264	6,24264	43	0
49	285	43	285	0,00000	6,00000	6,00000	44	0
181	269	182	263	0,00000	6,41421	6,41421	44	0
114	256	121	256	0,00000	7,00000	7,00000	51	0
309	354	305	360	0,00000	7,65685	7,65685	53	0
287	213	284	210	0,00000	4,24264	4,24264	20	0
217	372	212	372	0,00000	5,00000	5,00000	37	0
282	350	276	354	0,00000	7,65685	7,65685	53	0
288	266	283	269	0,00000	6,24264	6,24264	43	0
383	413	375	418	-0,00003	10,07110	10,07107	74	0
322	139	315	135	0,00000	8,65685	8,65685	70	0
315	233	324	231	-0,00000	9,82843	9,82843	74	0
85	273	95	272	0,00001	10,41420	10,41421	72	0
120	253	129	247	-0,00002	11,48530	11,48528	97	0
288	159	285	152	0,00000	8,24264	8,24264	62	0
345	158	334	160	0,00003	11,82840	11,82843	96	0
300	382	310	381	0,00001	10,41420	10,41421	72	0
328	168	321	177	-0,00001	11,89950	11,89949	96	0
256	355	264	353	-0,00000	8,82843	8,82843	68	0
223	236	227	250	-0,00005	15,65690	15,65685	159	0
219	283	223	272	-0,00005	12,65690	12,65685	117	1
331	161	318	156	-0,00003	15,07110	15,07107	150	0
37	262	25	260	0,00003	12,82840	12,82843	107	0
327	159	315	159	0,00000	12,00000	12,00000	86	0
344	357	348	369	-0,00005	13,65690	13,65685	130	0
241	201	248	191	-0,00005	14,65690	14,65685	126	0
215	281	219	270	-0,00005	12,65690	12,65685	117	0
282	292	289	281	-0,00001	13,89950	13,89949	121	1
320	249	333	256	-0,00001	15,89950	15,89949	156	0
132	237	120	250	-0,00004	17,97060	17,97056	125	0
364	419	371	405	-0,00001	16,89950	16,89949	164	0
124	233	137	241	0,00001	16,31370	16,31371	152	0
122	257	110	267	0,00004	16,14210	16,14214	130	0
327	243	329	261	0,00003	18,82840	18,82843	151	0
307	152	312	135	-0,00003	19,07110	19,07107	202	0
244	339	245	358	0,00001	19,41420	19,41421	135	0
70	283	54	277	-0,00003	19,07110	19,07107	192	0
166	300	181	293	-0,00001	17,89950	17,89949	185	0
365	163	378	149	-0,00002	19,38480	19,38478	135	0
181	284	177	265	-0,00005	20,65690	20,65685	217	1
171	244	148	243	0,00001	23,41420	23,41421	137	0
292	290	311	285	-0,00003	21,07110	21,07107	218	0
373	132	364	151	0,00002	22,72790	22,72792	255	0
266	226	256	210	0,00004	20,14210	20,14214	212	1
132	308	152	299	0,00002	23,72790	23,72792	241	0
54	286	63	267	0,00002	22,72790	22,72792	248	0
240	364	247	343	-0,00001	23,89950	23,89949	265	1
41	283	20	282	0,00001	21,41420	21,41421	149	0
282	282	299	291	0,00002	20,72790	20,72792	223	0
339	159	318	147	-0,00004	25,97060	25,97056	309	1
366	162	346	143	-0,00004	27,87010	27,87006	196	0
361	158	363	131	0,00003	27,82840	27,82843	261	0
360	139	334	141	0,00003	26,82840	26,82843	251	0
218	261	219	287	0,00001	26,41420	26,41421	184	0
265	338	252	332	0,00001	26,31370	26,31371	297	1
96	269	115	282	-0,00002	24,38480	24,38478	254	0
215	246	223	225	-0,00002	27,48530	27,48528	381	1
298	378	313	369	0,00005	27,55630	27,55635	374	1
332	153	310	142	0,00005	26,55630	26,55635	337	0
219	255	216	285	0,00004	31,24260	31,24264	311	1
4	286	30	279	-0,00001	28,89950	28,89949	292	0
283	152	312	159	-0,00001	31,89950	31,89949	381	0
292	264	318	252	-0,00004	30,97060	30,97056	296	1
266	159	252	179	0,00002	28,72790	28,72792	246	0
177	262	170	289	-0,00001	29,89950	29,89949	364	0
370	154	347	138	0,00002	29,62740	29,62742	348	0
250	369	244	376	0,00004	31,24260	31,24264	287	0
332	373	358	366	-0,00001	28,89950	28,89949	339	1
279	140	278	168	0,00001	28,41420	28,41421	198	0
278	237	276	211	0,00005	33,55630	33,55635	346	0
272	212	247	232	-0,00003	33,28430	33,28427	334	0
236	286	214	264	0,00002	34,62740	34,62742	327	0
301	144	276	162	0,00004	32,45580	32,45584	332	0
383	151	374	183	0,00002	35,72790	35,72792	412	0
287	232	298	213	0,00004	34,24260	34,24264	393	0
325	386	347	361	-0,00003	35,28430	35,28427	355	0
132	224	117	252	0,00000	34,21320	34,21320	315	1
354	156	382	142	-0,00001	33,79900	33,79899	464	0
334	166	349	140	0,00000	32,21320	32,21320	417	0
301	129	266	137	0,00001	38,31370	38,31371	396	0
301	154	336	160	-0,00002	37,48530	37,48528	438	1
247	201	220	223	0,00004	38,45580	38,45584	405	0
357	137	368	171	0,00005	38,55630	38,55635	545	0
164	295	130	301	-0,00002	36,48530	36,48528	455	1
348	403	337	370	0,00005	37,55630	37,55635	429	0
256	357	220	362	-0,00003	38,07110	38,07107	414	0
291	133	322	149	0,00002	37,62740	37,62742	534	1
321	170	346	142	0,00004	38,35530	38,35534	337	0
232	223	244	190	-0,00004	37,97060	37,97056	413	0
363	378	324	385	-0,00001	41,89950	41,89949	539	1
221	355	245	321	0,00003	43,94110	43,94113	579	0
363	384	346	416	-0,00003	43,28430	43,28427	470	0
369	165	328	160	-0,00003	43,07110	43,07107	321	0
322	229	310	264	-0,00002	43,38480	43,38478	534	1
370	399	341	372	0,00004	41,35530	41,35534	348	0
368	157	327	163	-0,00002	43,48530	43,48528	512	0
371	371	334	385	-0,00001	42,79900	42,79899	617	1
343	261	315	232	-0,00003	41,18380	41,18377	318	0
36	268	75	263	-0,00003	41,07110	41,07107	468	0
377	385	347	420	0,00001	47,42640	47,42641	386	1
104	274	137	306	0,00003	46,25480	46,25483	233	0
228	248	235	230	-0,00002	45,38480	45,38478	712	0
300	344	293	300	-0,00001	46,89950	46,89949	408	1
133	259	172	239	-0,00003	47,28430	47,28427	555	0
353	288	307	290	0,00003	46,82840	46,82843	420	0
273	352	251	325	0,00001	44,31370	44,31371	481	1
352	382	311	390	0,00001	44,31370	44,31371	620	0
205	272	207	232	0,00002	44,72790	44,72792	387	0
131	288	93	270	0,00004	45,45580	45,45584	676	1
295	257	266	221	-0,00001	48,01220	48,01219	559	0
253	191	273	214	-0,00002	51,38480	51,38478	702	1
326	391	365	419	-0,00002	50,59800	50,59798	563	0
272	348	309	369	0,00000	49,21320	49,21320	541	1
208	271	219	229	-0,00001	48,89950	48,89949	752	0
278	97	282	144	-0,00005	48,65690	48,65685	408	1
299	387	348	381	-0,00002	51,48530	51,48528	663	0
326	146	278	148	0,00003	48,82840	48,82843	440	0
360	369	383	410	0,00001	50,52690	50,52691	747	1
141	264	126	298	-0,00005	50,65690	50,65685	324	0
218	279	240	324	-0,00000	54,11270	54,11270	698	1
132	256	137	301	0,00003	52,04160	52,04163	597	0
270	229	309	261	-0,00005	55,76960	55,76955	872	1
347	160	294	154	-0,00002	55,48530	55,48528	640	0
314	384	358	406	-0,00000	53,11270	53,11270	743	0
301	283	313	249	-0,00002	52,38480	52,38478	763	1
212	218	245	193	-0,00002	52,38480	52,38478	517	0
247	341	229	293	0,00004	55,45580	55,45584	606	1
226	256	235	227	0,00000	53,21320	53,21320	935	1
27	275	79	282	-0,00001	54,89950	54,89949	763	0
299	376	352	367	0,00000	59,21320	59,21320	656	1
248	178	223	218	-0,00001	56,79900	56,79899	930	1
239	326	280	352	-0,00001	58,79900	58,79899	709	0
314	212	272	199	-0,00002	58,69850	58,69848	738	1
300	166	274	212	-0,00005	56,76960	56,76955	731	1
301	357	339	383	-0,00002	56,38480	56,38478	840	0
246	348	299	343	0,00001	57,41420	57,41421	633	1
331	160	384	175	0,00000	59,21320	59,21320	762	0
315	245	294	203	0,00002	58,84060	58,84062	764	1
211	272	161	249	0,00001	59,52690	59,52691	683	0
289	246	237	225	-0,00002	60,69850	60,69848	812	0
301	369	351	363	0,00004	61,35530	61,35534	845	1
253	344	238	295	0,00005	61,55630	61,55635	813	1
302	250	277	301	0,00004	61,35530	61,35534	894	1
247	345	309	348	0,00003	63,82840	63,82843	420	0
291	348	234	363	0,00000	63,21320	63,21320	804	1
322	287	298	324	0,00005	62,55630	62,55635	725	0
315	286	281	248	0,00002	62,62740	62,62742	827	1
294	242	244	215	-0,00003	61,18380	61,18377	789	1
263	195	285	143	-0,00002	63,69850	63,69848	440	0
223	264	242	229	0,00004	66,14210	66,14214	1188	1
286	238	301	214	-0,00002	65,38480	65,38478	1160	1
252	187	289	208	0,00005	65,55630	65,55635	1050	1
282	312	332	282	0,00003	65,94110	65,94113	914	1
