type: da2
name: lt_0_lowtown_a2_n_c
algorithm: astarbb
preprossessing [ms]: 204301

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
251	378	252	383	0,00000	5,41421	5,41421	26	0
242	323	237	320	0,00000	6,24264	6,24264	43	0
49	285	43	285	0,00000	6,00000	6,00000	31	0
181	269	182	263	0,00000	6,41421	6,41421	42	0
114	256	121	256	0,00000	7,00000	7,00000	50	0
309	354	305	360	0,00000	7,65685	7,65685	44	0
287	213	284	210	0,00000	4,24264	4,24264	17	0
217	372	212	372	0,00000	5,00000	5,00000	32	0
282	350	276	354	0,00000	7,65685	7,65685	48	0
288	266	283	269	0,00000	6,24264	6,24264	43	0
383	413	375	418	-0,00003	10,07110	10,07107	58	0
322	139	315	135	0,00000	8,65685	8,65685	59	0
315	233	324	231	-0,00000	9,82843	9,82843	74	0
85	273	95	272	0,00001	10,41420	10,41421	71	0
120	253	129	247	-0,00002	11,48530	11,48528	90	0
288	159	285	152	0,00000	8,24264	8,24264	61	0
345	158	334	160	0,00003	11,82840	11,82843	89	0
300	382	310	381	0,00001	10,41420	10,41421	61	0
328	168	321	177	-0,00001	11,89950	11,89949	85	0
256	355	264	353	-0,00000	8,82843	8,82843	57	0
223	236	227	250	-0,00005	15,65690	15,65685	159	0
219	283	223	272	-0,00005	12,65690	12,65685	112	0
331	161	318	156	-0,00003	15,07110	15,07107	134	0
37	262	25	260	0,00003	12,82840	12,82843	90	0
327	159	315	159	0,00000	12,00000	12,00000	85	0
344	357	348	369	-0,00005	13,65690	13,65685	114	0
241	201	248	191	-0,00005	14,65690	14,65685	123	0
215	281	219	270	-0,00005	12,65690	12,65685	111	0
282	292	289	281	-0,00001	13,89950	13,89949	100	0
320	249	333	256	-0,00001	15,89950	15,89949	154	0
132	237	120	250	-0,00004	17,97060	17,97056	99	0
364	419	371	405	-0,00001	16,89950	16,89949	156	0
124	233	137	241	0,00001	16,31370	16,31371	134	0
122	257	110	267	0,00004	16,14210	16,14214	120	1
327	243	329	261	0,00003	18,82840	18,82843	147	0
307	152	312	135	-0,00003	19,07110	19,07107	175	0
244	339	245	358	0,00001	19,41420	19,41421	134	0
70	283	54	277	-0,00003	19,07110	19,07107	147	0
166	300	181	293	-0,00001	17,89950	17,89949	155	0
365	163	378	149	-0,00002	19,38480	19,38478	132	0
181	284	177	265	-0,00005	20,65690	20,65685	195	1
171	244	148	243	0,00001	23,41420	23,41421	130	0
292	290	311	285	-0,00003	21,07110	21,07107	210	0
373	132	364	151	0,00002	22,72790	22,72792	230	0
266	226	256	210	0,00004	20,14210	20,14214	198	0
132	308	152	299	0,00002	23,72790	23,72792	207	1
54	286	63	267	0,00002	22,72790	22,72792	219	0
240	364	247	343	-0,00001	23,89950	23,89949	260	0
41	283	20	282	0,00001	21,41420	21,41421	126	0
282	282	299	291	0,00002	20,72790	20,72792	214	0
339	159	318	147	-0,00004	25,97060	25,97056	291	1
366	162	346	143	-0,00004	27,87010	27,87006	155	0
361	158	363	131	0,00003	27,82840	27,82843	232	0
360	139	334	141	0,00003	26,82840	26,82843	197	0
218	261	219	287	0,00001	26,41420	26,41421	184	1
265	338	252	332	0,00001	26,31370	26,31371	189	0
96	269	115	282	-0,00002	24,38480	24,38478	234	0
215	246	223	225	-0,00002	27,48530	27,48528	322	1
298	378	313	369	0,00005	27,55630	27,55635	334	0
332	153	310	142	0,00005	26,55630	26,55635	285	0
219	255	216	285	0,00004	31,24260	31,24264	311	1
4	286	30	279	-0,00001	28,89950	28,89949	264	0
283	152	312	159	-0,00001	31,89950	31,89949	306	1
292	264	318	252	-0,00004	30,97060	30,97056	269	0
266	159	252	179	0,00002	28,72790	28,72792	177	0
177	262	170	289	-0,00001	29,89950	29,89949	333	1
370	154	347	138	0,00002	29,62740	29,62742	297	0
250	369	244	376	0,00004	31,24260	31,24264	181	0
332	373	358	366	-0,00001	28,89950	28,89949	328	1
279	140	278	168	0,00001	28,41420	28,41421	196	0
278	237	276	211	0,00005	33,55630	33,55635	314	0
272	212	247	232	-0,00003	33,28430	33,28427	305	1
236	286	214	264	0,00002	34,62740	34,62742	287	0
301	144	276	162	0,00004	32,45580	32,45584	305	0
383	151	374	183	0,00002	35,72790	35,72792	379	1
287	232	298	213	0,00004	34,24260	34,24264	251	0
325	386	347	361	-0,00003	35,28430	35,28427	336	1
132	224	117	252	0,00000	34,21320	34,21320	244	0
354	156	382	142	-0,00001	33,79900	33,79899	424	1
334	166	349	140	0,00000	32,21320	32,21320	401	0
301	129	266	137	0,00001	38,31370	38,31371	376	1
301	154	336	160	-0,00002	37,48530	37,48528	388	1
247	201	220	223	0,00004	38,45580	38,45584	365	0
357	137	368	171	0,00005	38,55630	38,55635	529	1
164	295	130	301	-0,00002	36,48530	36,48528	420	0
348	403	337	370	0,00005	37,55630	37,55635	374	1
256	357	220	362	-0,00003	38,07110	38,07107	394	0
291	133	322	149	0,00002	37,62740	37,62742	484	1
321	170	346	142	0,00004	38,35530	38,35534	310	1
232	223	244	190	-0,00004	37,97060	37,97056	362	0
363	378	324	385	-0,00001	41,89950	41,89949	449	1
221	355	245	321	0,00003	43,94110	43,94113	520	0
363	384	346	416	-0,00003	43,28430	43,28427	405	0
369	165	328	160	-0,00003	43,07110	43,07107	288	0
322	229	310	264	-0,00002	43,38480	43,38478	493	1
370	399	341	372	0,00004	41,35530	41,35534	297	0
368	157	327	163	-0,00002	43,48530	43,48528	438	1
371	371	334	385	-0,00001	42,79900	42,79899	556	1
343	261	315	232	-0,00003	41,18380	41,18377	261	0
36	268	75	263	-0,00003	41,07110	41,07107	394	0
377	385	347	420	0,00001	47,42640	47,42641	324	0
104	274	137	306	0,00003	46,25480	46,25483	189	0
228	248	235	230	-0,00002	45,38480	45,38478	671	1
300	344	293	300	-0,00001	46,89950	46,89949	385	1
133	259	172	239	-0,00003	47,28430	47,28427	527	0
353	288	307	290	0,00003	46,82840	46,82843	416	1
273	352	251	325	0,00001	44,31370	44,31371	452	0
352	382	311	390	0,00001	44,31370	44,31371	540	1
205	272	207	232	0,00002	44,72790	44,72792	318	0
131	288	93	270	0,00004	45,45580	45,45584	599	1
295	257	266	221	-0,00001	48,01220	48,01219	506	1
253	191	273	214	-0,00002	51,38480	51,38478	454	1
326	391	365	419	-0,00002	50,59800	50,59798	485	0
272	348	309	369	0,00000	49,21320	49,21320	478	1
208	271	219	229	-0,00001	48,89950	48,89949	667	1
278	97	282	144	-0,00005	48,65690	48,65685	325	1
299	387	348	381	-0,00002	51,48530	51,48528	594	0
326	146	278	148	0,00003	48,82840	48,82843	389	1
360	369	383	410	0,00001	50,52690	50,52691	697	1
141	264	126	298	-0,00005	50,65690	50,65685	267	0
218	279	240	324	-0,00000	54,11270	54,11270	677	1
132	256	137	301	0,00003	52,04160	52,04163	526	1
270	229	309	261	-0,00005	55,76960	55,76955	822	2
347	160	294	154	-0,00002	55,48530	55,48528	615	1
314	384	358	406	-0,00000	53,11270	53,11270	629	1
301	283	313	249	-0,00002	52,38480	52,38478	507	1
212	218	245	193	-0,00002	52,38480	52,38478	405	0
247	341	229	293	0,00004	55,45580	55,45584	587	1
226	256	235	227	0,00000	53,21320	53,21320	888	2
27	275	79	282	-0,00001	54,89950	54,89949	698	1
299	376	352	367	0,00000	59,21320	59,21320	596	1
248	178	223	218	-0,00001	56,79900	56,79899	711	1
239	326	280	352	-0,00001	58,79900	58,79899	657	1
314	212	272	199	-0,00002	58,69850	58,69848	668	1
300	166	274	212	-0,00005	56,76960	56,76955	645	2
301	357	339	383	-0,00002	56,38480	56,38478	557	0
246	348	299	343	0,00001	57,41420	57,41421	520	1
331	160	384	175	0,00000	59,21320	59,21320	727	1
315	245	294	203	0,00002	58,84060	58,84062	671	0
211	272	161	249	0,00001	59,52690	59,52691	628	1
289	246	237	225	-0,00002	60,69850	60,69848	781	2
