type: da2
name: lt_0_lowtown_a3_n_c
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
218	279	225	278	0,00000	7,41421	7,41421	7	0
266	236	264	230	-0,00000	6,82843	6,82843	7	0
261	231	266	235	0,00000	6,65685	6,65685	6	0
251	364	253	357	-0,00000	7,82843	7,82843	8	0
268	235	267	231	0,00000	4,41421	4,41421	9	0
304	287	303	292	0,00000	5,41421	5,41421	7	0
270	155	267	150	0,00000	6,24264	6,24264	6	0
239	347	239	341	0,00000	6,00000	6,00000	7	0
221	242	227	246	0,00000	7,65685	7,65685	6	0
340	395	334	396	0,00000	6,41421	6,41421	7	0
351	379	343	377	-0,00000	8,82843	8,82843	11	0
233	188	233	178	0,00000	10,00000	10,00000	6	0
219	288	226	282	0,00000	9,48528	9,48528	6	0
146	294	150	301	0,00000	8,65685	8,65685	7	0
300	375	301	367	-0,00000	9,82843	9,82843	7	0
355	374	347	382	0,00001	11,31370	11,31371	7	0
40	282	46	275	0,00000	9,48528	9,48528	10	1
370	184	371	173	0,00001	11,41420	11,41421	4	0
216	286	205	286	0,00000	11,00000	11,00000	9	0
131	241	130	231	0,00001	10,41420	10,41421	7	0
295	259	296	272	0,00001	13,41420	13,41421	6	0
117	289	116	276	0,00001	13,41420	13,41421	6	0
166	301	171	313	-0,00003	14,07110	14,07107	7	0
303	360	300	372	0,00004	13,24260	13,24264	9	0
322	143	323	158	0,00001	15,41420	15,41421	6	0
323	133	319	146	-0,00005	14,65690	14,65685	8	0
292	254	296	265	-0,00005	12,65690	12,65685	8	0
304	359	314	367	-0,00002	14,48530	14,48528	11	0
5	239	5	227	0,00000	12,00000	12,00000	4	0
286	197	276	203	-0,00005	15,65690	15,65685	12	0
370	147	353	149	0,00003	17,82840	17,82843	5	1
243	221	249	204	-0,00002	19,48530	19,48528	9	0
231	186	220	172	0,00004	19,14210	19,14214	10	0
176	298	157	296	0,00003	19,82840	19,82843	9	0
224	275	221	292	0,00004	18,24260	18,24264	10	0
295	195	311	189	-0,00005	19,65690	19,65685	9	0
368	146	365	130	0,00004	17,24260	17,24264	5	0
320	146	328	161	0,00001	18,31370	18,31371	8	0
343	381	334	368	0,00002	16,72790	16,72792	10	0
226	223	214	232	-0,00001	16,89950	16,89949	8	0
356	133	343	150	-0,00002	22,38480	22,38478	5	0
239	350	251	366	0,00004	22,14210	22,14214	17	1
249	228	266	220	0,00001	20,31370	20,31371	7	0
113	292	131	284	0,00001	21,31370	21,31371	7	0
258	206	264	227	-0,00002	23,48530	23,48528	7	0
275	201	290	197	-0,00001	20,89950	20,89949	16	0
33	266	38	286	-0,00003	22,07110	22,07107	8	0
380	418	364	404	-0,00001	21,79900	21,79899	15	0
230	244	212	239	-0,00003	20,07110	20,07107	8	0
239	300	225	282	-0,00001	23,79900	23,79899	15	0
332	372	348	353	0,00002	25,62740	25,62742	12	0
225	285	217	263	0,00001	25,31370	25,31371	10	0
269	197	252	199	-0,00005	24,65690	24,65685	15	0
343	421	367	413	0,00001	27,31370	27,31371	14	0
258	233	250	211	0,00001	25,31370	25,31371	8	0
231	190	246	209	-0,00004	26,97060	26,97056	14	0
237	342	237	369	0,00000	27,00000	27,00000	6	0
372	158	347	151	-0,00001	27,89950	27,89949	9	0
238	341	246	364	0,00001	26,31370	26,31371	14	0
307	194	328	183	0,00004	26,14210	26,14214	8	0
297	255	294	284	0,00004	30,24260	30,24264	9	0
355	382	371	405	0,00002	29,62740	29,62742	10	0
361	146	368	173	-0,00001	29,89950	29,89949	5	0
360	372	344	394	0,00002	28,62740	28,62742	11	0
277	295	295	319	0,00004	31,45580	31,45584	9	0
220	231	248	227	-0,00005	29,65690	29,65685	9	0
341	373	369	372	0,00001	28,41420	28,41421	8	0
73	274	43	277	0,00004	31,24260	31,24264	9	1
375	394	372	424	0,00004	31,24260	31,24264	8	0
334	398	357	383	0,00000	29,21320	29,21320	15	0
341	402	368	423	-0,00002	35,69850	35,69848	17	0
320	194	349	185	0,00002	32,72790	32,72792	12	0
306	347	296	318	-0,00002	35,48530	35,48528	23	0
310	157	321	183	0,00004	35,24260	35,24264	13	0
262	229	235	210	-0,00004	34,87010	34,87006	12	0
257	214	270	241	-0,00002	32,38480	32,38478	10	0
306	292	339	292	0,00000	33,00000	33,00000	5	0
280	352	250	363	0,00004	35,14210	35,14214	16	0
340	164	371	153	0,00005	35,55630	35,55635	7	0
213	292	195	271	0,00004	35,14210	35,14214	19	1
375	180	357	149	0,00004	38,45580	38,45584	11	0
327	383	313	365	-0,00003	39,07110	39,07107	21	0
298	354	314	384	-0,00001	37,79900	37,79899	24	0
113	298	149	296	0,00003	36,82840	36,82843	7	0
297	208	260	202	-0,00002	39,48530	39,48528	15	0
239	220	206	236	0,00002	39,62740	39,62742	17	0
274	355	304	364	-0,00003	38,07110	38,07107	20	0
321	144	350	162	0,00004	36,45580	36,45584	8	0
223	291	195	269	-0,00002	37,69850	37,69848	19	0
231	352	253	374	0,00004	38,14210	38,14214	23	1
358	141	320	132	0,00002	41,72790	41,72792	5	0
150	311	117	293	0,00004	40,45580	40,45584	14	0
310	374	343	384	-0,00003	40,07110	40,07107	13	0
138	231	169	248	0,00002	42,72790	42,72792	21	0
