type: da2
name: lt_0_lowtown
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
235	174	236	170	0,00000	4,41421	4,41421	30	0
293	317	289	314	0,00000	5,24264	5,24264	36	0
233	301	236	298	0,00000	4,24264	4,24264	23	0
280	185	286	183	-0,00000	6,82843	6,82843	49	0
257	175	255	171	-0,00000	4,82843	4,82843	33	0
242	329	239	335	0,00000	7,24264	7,24264	52	0
351	366	347	367	0,00000	4,41421	4,41421	30	0
241	191	246	195	0,00000	6,65685	6,65685	43	0
223	259	230	260	0,00000	7,41421	7,41421	51	0
354	190	350	188	-0,00000	4,82843	4,82843	27	0
252	222	260	219	0,00000	9,24264	9,24264	76	0
356	378	345	380	0,00003	11,82840	11,82843	96	0
163	235	171	238	0,00000	9,24264	9,24264	73	0
214	245	216	253	-0,00000	8,82843	8,82843	68	0
191	277	195	269	0,00000	9,65685	9,65685	76	0
343	283	349	292	-0,00002	11,48530	11,48528	89	0
163	306	154	311	-0,00003	11,07110	11,07107	86	0
216	264	212	272	0,00000	9,65685	9,65685	76	0
260	222	269	215	-0,00001	11,89950	11,89949	94	0
303	282	308	289	-0,00000	9,07107	9,07107	63	0
197	270	184	273	0,00004	14,24260	14,24264	132	0
222	280	213	270	0,00002	13,72790	13,72792	96	0
241	312	235	302	-0,00002	12,48530	12,48528	106	0
11	259	9	271	0,00003	12,82840	12,82843	103	0
295	220	297	207	0,00003	13,82840	13,82843	106	0
25	259	24	272	0,00001	13,41420	13,41421	90	0
212	262	223	254	0,00001	14,31370	14,31371	121	0
169	246	158	249	0,00004	12,24260	12,24264	109	1
288	244	299	254	0,00004	15,14210	15,14214	106	0
257	238	257	223	0,00000	15,00000	15,00000	104	0
251	293	236	305	-0,00004	19,97060	19,97056	177	0
282	243	266	237	-0,00002	18,48530	18,48528	201	0
234	291	227	274	-0,00001	19,89950	19,89949	167	0
54	287	50	270	-0,00005	18,65690	18,65685	180	0
112	258	130	261	0,00004	19,24260	19,24264	165	0
295	260	287	247	0,00001	16,31370	16,31371	153	0
345	386	346	368	0,00001	18,41420	18,41421	128	0
306	289	289	292	0,00004	18,24260	18,24264	161	0
362	301	375	290	0,00005	17,55630	17,55635	128	0
223	357	222	340	0,00001	17,41420	17,41421	121	0
246	224	255	206	0,00002	21,72790	21,72792	241	2
43	262	40	281	0,00004	20,24260	20,24264	199	0
59	281	40	269	-0,00004	23,97060	23,97056	262	1
271	210	252	205	0,00004	22,24260	22,24264	198	0
280	349	301	348	0,00001	21,41420	21,41421	149	0
