type: da2
name: lt_0_lowtown_docks_a3_n
algorithm: astarbb
preprossessing [ms]: 68908

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
211	77	214	74	0,00000	4,24264	4,24264	16	0
219	85	218	81	0,00000	4,41421	4,41421	23	0
115	199	111	204	0,00000	6,65685	6,65685	43	0
185	211	190	214	0,00000	6,24264	6,24264	41	0
221	11	215	9	-0,00000	6,82843	6,82843	38	0
221	133	225	135	-0,00000	4,82843	4,82843	31	0
245	167	245	161	0,00000	6,00000	6,00000	30	0
216	124	221	125	0,00000	5,41421	5,41421	29	0
215	155	217	148	-0,00000	7,82843	7,82843	49	0
241	167	245	161	0,00000	7,65685	7,65685	45	0
171	230	181	234	-0,00005	11,65690	11,65685	93	0
356	212	366	213	0,00001	10,41420	10,41421	60	0
279	109	270	115	-0,00002	11,48530	11,48528	80	1
362	243	365	235	0,00000	9,24264	9,24264	58	0
286	192	280	201	-0,00002	11,48530	11,48528	88	0
256	176	261	169	-0,00000	9,07107	9,07107	67	0
217	72	210	77	-0,00000	9,07107	9,07107	53	0
118	196	112	202	0,00000	8,48528	8,48528	42	0
270	95	276	102	0,00004	11,24260	11,24264	74	0
378	221	369	218	0,00004	10,24260	10,24264	79	0
208	136	204	150	-0,00005	15,65690	15,65685	138	0
128	165	137	157	0,00001	12,31370	12,31371	69	0
381	215	374	226	-0,00001	13,89950	13,89949	105	0
81	168	93	160	0,00001	15,31370	15,31371	107	0
126	158	115	161	0,00004	12,24260	12,24264	96	0
267	124	273	113	-0,00002	13,48530	13,48528	120	0
277	191	272	202	-0,00003	13,07110	13,07107	102	0
237	160	230	149	-0,00001	13,89950	13,89949	99	0
369	188	364	176	0,00004	15,24260	15,24264	101	0
258	174	266	164	0,00001	13,31370	13,31371	99	0
184	164	197	150	-0,00002	19,38480	19,38478	117	0
214	15	212	34	0,00003	19,82840	19,82843	111	0
219	139	211	154	0,00001	18,31370	18,31371	162	0
115	195	112	178	0,00004	18,24260	18,24264	162	0
212	124	210	107	0,00003	17,82840	17,82843	127	1
77	160	92	165	-0,00003	17,07110	17,07107	148	0
354	207	372	210	0,00004	19,24260	19,24264	160	0
366	242	378	236	0,00003	16,82840	16,82843	83	0
273	189	266	203	-0,00002	17,48530	17,48528	144	0
200	144	217	151	-0,00001	19,89950	19,89949	205	0
125	171	134	161	0,00004	21,24260	21,24264	100	0
279	190	260	179	0,00005	23,55630	23,55635	199	1
375	240	391	228	-0,00004	20,97060	20,97056	162	0
364	232	342	231	0,00001	22,41420	22,41421	132	0
192	157	210	149	0,00001	21,31370	21,31371	207	0
99	172	90	191	0,00002	22,72790	22,72792	255	0
216	74	219	54	0,00004	21,24260	21,24264	169	0
265	101	277	84	-0,00004	21,97060	21,97056	194	0
185	235	199	219	-0,00001	21,79900	21,79899	152	0
359	192	370	208	0,00005	20,55630	20,55635	173	0
269	178	244	172	-0,00002	27,48530	27,48528	241	0
301	206	326	206	0,00000	25,00000	25,00000	135	0
79	177	63	165	-0,00003	25,07110	25,07107	164	0
180	180	185	158	-0,00003	24,07110	24,07107	216	1
178	169	194	148	0,00002	27,62740	27,62742	252	0
69	167	75	185	0,00001	25,41420	25,41421	134	0
195	216	177	232	0,00002	24,62740	24,62742	194	0
284	197	306	204	-0,00001	24,89950	24,89949	262	0
106	212	116	232	0,00004	24,14210	24,14214	227	1
345	241	328	236	0,00003	24,82840	24,82843	126	0
320	216	302	195	0,00002	29,62740	29,62742	203	0
363	237	337	231	-0,00002	28,48530	28,48528	289	0
270	174	239	172	0,00003	31,82840	31,82843	248	0
217	111	190	108	0,00004	28,24260	28,24264	224	0
227	116	204	103	-0,00002	28,38480	28,38478	320	0
217	133	234	154	0,00003	28,04160	28,04163	233	0
179	100	207	95	-0,00003	30,07110	30,07107	179	1
166	163	183	183	-0,00002	29,38480	29,38478	267	0
364	188	356	214	0,00001	29,31370	29,31371	329	0
218	108	244	119	0,00005	30,55630	30,55635	271	1
354	235	324	222	-0,00002	35,38480	35,38478	360	0
358	210	354	243	-0,00005	34,65690	34,65685	298	0
270	167	236	167	0,00003	34,82840	34,82843	173	0
