type: da2
name: lt_0_lowtown_docks
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
281	120	286	120	0,00000	5,00000	5,00000	37	0
91	131	95	132	0,00000	4,41421	4,41421	30	0
109	196	114	195	0,00000	5,41421	5,41421	37	0
186	221	190	226	0,00000	6,65685	6,65685	43	0
220	107	215	106	0,00000	5,41421	5,41421	37	0
146	161	142	167	0,00000	7,65685	7,65685	53	0
100	134	104	139	0,00000	6,65685	6,65685	43	0
117	216	114	212	0,00000	5,24264	5,24264	36	0
79	190	81	185	-0,00000	5,82843	5,82843	45	0
109	229	114	228	0,00000	5,41421	5,41421	37	0
275	190	273	200	0,00003	10,82840	10,82843	87	0
219	63	215	73	-0,00005	11,65690	11,65685	104	0
241	169	249	175	-0,00002	10,48530	10,48528	82	0
105	225	111	233	-0,00002	10,48530	10,48528	82	0
221	12	213	18	-0,00002	10,48530	10,48528	82	0
229	108	227	119	0,00003	11,82840	11,82843	96	0
263	109	273	106	0,00004	11,24260	11,24264	97	0
135	85	132	76	0,00004	10,24260	10,24264	90	0
141	183	149	177	-0,00002	10,48530	10,48528	58	0
110	83	120	81	0,00003	10,82840	10,82843	53	0
90	124	103	125	0,00001	13,41420	13,41421	87	0
246	176	236	165	0,00004	15,14210	15,14214	106	0
156	97	166	106	0,00002	13,72790	13,72792	96	0
191	205	181	194	0,00004	15,14210	15,14214	100	0
217	124	227	132	0,00001	13,31370	13,31371	111	0
286	122	281	131	-0,00002	14,48530	14,48528	145	0
115	187	117	173	0,00003	14,82840	14,82843	131	0
178	235	192	232	0,00004	15,24260	15,24264	142	0
135	96	135	108	0,00000	12,00000	12,00000	86	0
351	228	356	238	-0,00003	12,07110	12,07107	101	0
119	139	102	133	-0,00002	19,48530	19,48528	215	0
351	231	334	232	0,00001	17,41420	17,41421	121	0
374	228	386	213	-0,00004	19,97060	19,97056	177	0
164	255	175	270	0,00005	19,55630	19,55635	177	0
135	117	131	99	-0,00005	19,65690	19,65685	168	0
221	94	220	76	0,00001	18,41420	18,41421	128	0
211	67	217	52	-0,00002	17,48530	17,48528	154	0
360	228	350	243	0,00004	19,14210	19,14214	189	0
121	171	136	169	0,00001	16,41420	16,41421	99	0
213	100	200	108	0,00001	16,31370	16,31371	149	0
230	4	211	12	0,00001	22,31370	22,31371	198	0
363	252	366	233	0,00004	20,24260	20,24264	176	0
141	159	128	170	-0,00003	21,07110	21,07107	283	0
141	128	155	112	-0,00001	21,79900	21,79899	178	0
249	164	227	162	0,00003	22,82840	22,82843	195	0
197	158	212	142	0,00000	22,21320	22,21320	156	0
243	178	240	158	0,00004	21,24260	21,24264	211	0
