type: da2
name: lt_0_lowtown_docks_n
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
280	98	283	103	0,00000	6,24264	6,24264	7	0
182	208	187	204	0,00000	6,65685	6,65685	7	0
96	254	94	247	-0,00000	7,82843	7,82843	5	0
134	82	132	87	-0,00000	5,82843	5,82843	9	0
215	27	221	23	0,00000	7,65685	7,65685	7	0
140	131	142	124	-0,00000	7,82843	7,82843	7	0
274	193	269	189	0,00000	6,65685	6,65685	7	0
107	241	102	242	0,00000	5,41421	5,41421	4	0
210	109	203	109	0,00000	7,00000	7,00000	6	0
146	98	139	97	0,00000	7,41421	7,41421	6	0
292	115	299	123	-0,00001	10,89950	10,89949	6	0
115	174	107	180	-0,00002	10,48530	10,48528	12	0
213	95	218	89	-0,00000	8,07107	8,07107	7	0
357	216	357	207	0,00000	9,00000	9,00000	6	0
118	88	124	83	-0,00000	8,07107	8,07107	8	0
264	137	263	145	0,00000	8,41421	8,41421	5	1
108	121	118	120	0,00001	10,41420	10,41421	7	0
109	224	102	227	0,00000	8,24264	8,24264	7	0
281	92	282	103	0,00001	11,41420	11,41421	9	0
115	134	120	128	-0,00000	8,07107	8,07107	11	0
276	198	288	199	0,00001	12,41420	12,41421	7	0
217	135	211	147	-0,00002	14,48530	14,48528	7	0
87	164	77	174	0,00004	14,14210	14,14214	11	0
279	149	280	136	0,00001	13,41420	13,41421	11	0
276	192	267	203	0,00002	14,72790	14,72792	5	0
221	104	208	111	-0,00001	15,89950	15,89949	9	0
244	170	236	159	0,00001	14,31370	14,31371	8	0
374	195	368	206	-0,00002	13,48530	13,48528	9	0
278	125	287	115	0,00002	13,72790	13,72792	8	0
372	202	361	192	0,00004	15,14210	15,14214	11	0
128	123	112	117	-0,00002	18,48530	18,48528	7	0
302	124	284	123	0,00001	18,41420	18,41421	7	0
126	141	144	140	0,00001	18,41420	18,41421	8	0
217	132	209	145	0,00001	16,31370	16,31371	7	1
364	224	358	207	-0,00002	19,48530	19,48528	7	0
133	99	149	90	0,00002	19,72790	19,72792	7	0
95	125	109	130	-0,00003	16,07110	16,07107	10	0
213	103	227	110	-0,00001	16,89950	16,89949	7	0
213	25	211	7	0,00003	18,82840	18,82843	7	0
275	188	288	196	0,00001	16,31370	16,31371	13	0
213	121	231	115	-0,00002	20,48530	20,48528	11	0
141	91	157	102	0,00005	20,55630	20,55635	11	0
158	170	139	162	0,00001	22,31370	22,31371	12	0
191	190	181	171	0,00004	23,14210	23,14214	9	0
187	147	182	168	-0,00003	23,07110	23,07107	9	0
119	90	129	74	0,00004	20,14210	20,14214	9	0
130	79	130	99	0,00001	23,31370	23,31371	13	0
85	133	106	135	0,00003	21,82840	21,82843	13	0
217	100	210	118	-0,00001	20,89950	20,89949	9	0
367	225	353	243	-0,00001	23,79900	23,79899	12	0
278	94	283	116	0,00004	25,24260	25,24264	18	0
209	149	232	159	0,00004	27,14210	27,14214	12	0
277	120	259	138	0,00004	25,45580	25,45584	7	0
204	157	227	160	0,00004	24,24260	24,24264	11	0
267	206	286	190	0,00002	25,62740	25,62742	14	0
214	56	219	80	-0,00003	26,07110	26,07107	7	0
340	235	333	211	-0,00001	26,89950	26,89949	9	1
100	184	113	203	-0,00004	24,97060	24,97056	14	0
120	83	145	77	-0,00002	27,48530	27,48528	10	0
174	243	195	228	0,00000	27,21320	27,21320	10	0
306	195	278	200	-0,00003	30,07110	30,07107	9	0
275	125	259	101	0,00002	30,62740	30,62742	12	0
223	18	237	4	0,00004	28,24260	28,24264	9	0
210	144	222	119	-0,00004	29,97060	29,97056	13	0
221	66	219	96	0,00003	30,82840	30,82843	10	0
86	181	101	163	0,00004	31,24260	31,24264	11	0
373	229	354	251	-0,00004	29,87010	29,87006	12	0
378	251	365	227	-0,00001	30,79900	30,79899	16	0
157	98	186	101	0,00004	30,24260	30,24264	11	1
178	167	153	158	0,00002	28,72790	28,72792	9	0
122	173	156	170	0,00004	35,24260	35,24264	17	0
218	95	190	105	0,00004	32,14210	32,14214	14	0
149	134	122	145	-0,00005	35,65690	35,65685	18	0
146	117	161	91	0,00000	32,21320	32,21320	11	0
354	238	326	225	-0,00002	33,38480	33,38478	14	0
209	145	234	123	-0,00000	34,11270	34,11270	17	0
140	114	110	127	-0,00002	35,38480	35,38478	11	0
269	116	239	122	-0,00002	32,48530	32,48528	11	1
135	170	105	183	-0,00002	35,38480	35,38478	21	0
157	165	186	176	0,00005	33,55630	33,55635	13	0
89	157	83	191	-0,00002	36,48530	36,48528	15	0
189	208	174	240	0,00000	38,21320	38,21320	20	0
212	119	201	153	0,00005	38,55630	38,55635	18	0
140	95	139	75	0,00000	38,21320	38,21320	16	0
230	116	264	123	-0,00001	36,89950	36,89949	16	0
144	67	115	85	0,00004	36,45580	36,45584	11	0
145	111	116	92	-0,00004	36,87010	36,87006	12	0
125	143	152	130	-0,00003	37,07110	37,07107	22	0
118	120	152	114	-0,00002	36,48530	36,48528	12	0
169	157	188	186	-0,00004	36,87010	36,87006	15	1
368	211	335	232	0,00004	43,45580	43,45584	16	0
95	164	59	154	0,00004	40,14210	40,14214	16	0
236	120	263	138	0,00001	40,31370	40,31371	21	0
330	225	366	241	0,00002	42,62740	42,62742	14	0
137	129	99	117	-0,00004	42,97060	42,97056	13	0
174	154	134	155	0,00001	40,41420	40,41421	8	0
167	100	125	98	0,00003	42,82840	42,82843	9	0
210	112	247	121	0,00002	40,72790	40,72792	17	0
123	144	153	124	-0,00002	42,38480	42,38478	23	0
103	133	131	110	0,00004	40,45580	40,45584	17	0
116	101	137	132	-0,00001	47,89950	47,89949	15	1
126	82	155	108	0,00003	45,04160	45,04163	20	0
163	101	128	125	0,00003	44,94110	44,94113	17	0
215	65	196	100	-0,00002	46,38480	46,38478	16	0
226	115	265	106	0,00002	46,72790	46,72792	24	0
102	244	116	205	0,00005	46,55630	46,55635	19	0
123	93	167	94	0,00001	44,41420	44,41421	6	0
235	124	272	139	-0,00002	44,38480	44,38478	18	0
327	215	362	236	0,00002	46,62740	46,62742	12	0
186	103	156	124	0,00002	45,72790	45,72792	16	0
161	94	122	124	0,00001	51,42640	51,42641	16	1
117	200	106	244	0,00005	48,55630	48,55635	19	0
103	182	132	161	0,00002	48,62740	48,62742	33	0
187	100	138	106	-0,00002	51,48530	51,48528	14	0
128	166	87	172	0,00001	48,41420	48,41421	17	0
191	226	189	175	0,00003	51,82840	51,82843	11	0
118	103	147	133	0,00002	51,62740	51,62742	15	0
210	150	168	166	0,00002	48,62740	48,62742	26	0
364	232	326	212	-0,00002	50,38480	50,38478	22	0
158	98	129	134	-0,00001	48,01220	48,01219	19	1
174	252	178	199	-0,00002	55,48530	55,48528	13	0
219	165	217	111	0,00003	54,82840	54,82843	6	0
166	90	132	130	-0,00004	54,08330	54,08326	18	0
371	188	382	237	0,00005	53,55630	53,55635	15	0
329	214	362	211	-0,00004	54,97060	54,97056	21	0
358	182	389	215	-0,00003	52,28430	52,28427	21	0
188	181	197	233	0,00002	55,72790	55,72792	12	0
183	189	151	154	-0,00000	54,11270	54,11270	24	0
155	110	116	143	0,00005	52,66900	52,66905	26	0
209	157	157	155	0,00003	52,82840	52,82843	21	0
135	85	115	117	0,00001	57,31370	57,31371	26	0
166	90	134	77	0,00002	57,72790	57,72792	24	0
223	18	221	76	0,00003	58,82840	58,82843	14	0
99	162	45	154	0,00001	57,31370	57,31371	21	0
138	79	158	106	-0,00000	58,11270	58,11270	22	0
138	110	89	127	0,00003	56,04160	56,04163	14	0
263	171	307	201	0,00004	59,35530	59,35534	27	0
160	105	137	80	-0,00003	58,28430	58,28427	28	0
390	249	336	238	0,00005	58,55630	58,55635	13	0
220	58	225	115	-0,00003	59,07110	59,07107	15	0
113	207	144	170	0,00005	61,55630	61,55635	33	0
141	167	83	154	-0,00002	63,38480	63,38478	30	0
120	157	108	189	-0,00005	60,76960	60,76955	51	0
190	200	206	148	0,00004	62,14210	62,14214	14	0
221	98	217	158	-0,00005	61,65690	61,65685	10	1
239	168	233	117	0,00003	60,94110	60,94113	29	0
220	125	218	62	0,00003	63,82840	63,82843	9	0
227	156	275	189	0,00005	61,66900	61,66905	23	0
207	145	182	105	0,00002	63,72790	63,72792	20	0
160	169	134	180	0,00001	62,31370	62,31371	56	0
211	16	216	80	-0,00003	66,07110	66,07107	13	1
188	103	204	152	-0,00001	66,79900	66,79899	24	0
140	132	74	131	0,00001	66,41420	66,41421	8	0
322	211	377	218	-0,00002	67,69850	67,69848	21	0
355	249	310	207	0,00002	66,74010	66,74012	21	0
112	185	166	159	0,00001	66,52690	66,52691	38	0
159	91	146	70	0,00002	64,62740	64,62742	23	0
118	140	112	91	0,00003	66,94110	66,94113	38	0
244	170	295	205	-0,00004	66,08330	66,08326	26	0
271	127	215	105	-0,00000	65,11270	65,11270	30	1
279	189	224	149	0,00004	71,56850	71,56854	36	0
367	188	328	227	-0,00004	70,97060	70,97056	22	0
235	160	168	167	0,00005	71,55630	71,55635	24	0
218	151	275	185	-0,00004	71,08330	71,08326	24	0
133	144	165	94	-0,00000	70,22540	70,22540	33	0
216	161	149	164	0,00002	70,72790	70,72792	23	1
100	118	110	93	-0,00004	69,97060	69,97056	32	0
316	210	369	209	0,00002	69,84060	69,84062	34	0
328	225	273	196	0,00001	70,52690	70,52691	27	0
166	91	148	81	-0,00003	69,07110	69,07107	27	0
215	118	148	121	0,00004	75,45580	75,45584	30	0
216	79	222	149	-0,00002	72,48530	72,48528	9	0
105	140	124	80	0,00003	74,25480	74,25483	31	1
135	156	156	181	0,00002	74,72790	74,72792	52	0
222	106	213	36	0,00002	73,72790	73,72792	18	0
217	158	211	87	-0,00002	73,48530	73,48528	12	0
221	137	273	182	0,00000	75,32590	75,32590	28	0
55	151	127	156	0,00002	75,72790	75,72792	23	0
186	173	245	163	0,00002	73,72790	73,72792	23	0
97	241	100	187	-0,00004	73,97060	73,97056	36	1
223	147	279	133	0,00004	77,45580	77,45584	33	0
274	182	331	223	-0,00003	77,49750	77,49747	37	0
132	154	202	141	0,00003	77,04160	77,04163	25	0
76	155	126	172	-0,00001	78,79900	78,79899	52	0
191	213	148	165	-0,00004	79,87010	79,87006	25	0
309	198	374	228	-0,00005	79,76960	79,76955	21	0
200	106	266	133	0,00004	78,35530	78,35534	31	1
152	101	210	129	-0,00004	78,97060	78,97056	26	0
215	135	164	94	-0,00002	79,69850	79,69848	28	0
360	235	297	202	0,00002	77,84060	77,84062	28	0
193	101	125	136	-0,00004	83,08330	83,08326	35	0
220	120	153	122	0,00000	80,21320	80,21320	36	0
203	152	264	108	-0,00004	80,98280	80,98276	37	1
222	75	152	97	-0,00002	83,69850	83,69848	21	0
237	170	202	104	-0,00003	80,49750	80,49747	32	0
101	141	170	110	0,00002	81,84060	81,84062	31	0
199	99	268	131	0,00003	82,25480	82,25483	33	0
106	122	145	78	-0,00003	81,28430	81,28427	33	1
219	64	255	121	0,00003	83,04160	83,04163	28	0
163	245	188	174	0,00003	81,94110	81,94113	20	0
170	158	114	202	-0,00000	87,11270	87,11270	60	0
206	149	259	98	0,00005	84,66900	84,66905	36	0
205	101	239	173	-0,00004	86,08330	86,08326	40	1
153	109	235	117	0,00001	85,31370	85,31371	24	0
238	173	206	101	0,00003	85,25480	85,25483	34	0
172	160	88	165	-0,00003	86,07110	86,07107	9	0
209	95	133	118	0,00001	85,52690	85,52691	29	0
77	160	162	167	-0,00001	87,89950	87,89949	33	0
291	201	359	241	0,00002	85,74010	85,74012	32	0
90	124	170	106	0,00004	87,45580	87,45584	22	1
78	156	166	156	-0,00005	89,65690	89,65685	23	0
210	157	283	197	0,00004	89,56850	89,56854	39	0
293	118	209	131	-0,00002	89,38480	89,38478	29	0
284	137	224	154	-0,00002	90,69850	90,69848	45	0
178	156	191	241	-0,00002	90,38480	90,38478	28	0
95	184	98	158	0,00001	91,52690	91,52691	52	0
157	99	224	139	-0,00002	90,59800	90,59798	35	1
151	84	99	117	0,00002	89,72790	89,72792	27	0
176	169	253	182	-0,00003	91,49750	91,49747	37	0
222	54	170	110	0,00001	90,42640	90,42641	25	0
214	37	237	122	0,00001	94,52690	94,52691	30	0
193	222	214	151	0,00004	92,14210	92,14214	23	0
222	127	136	110	0,00000	94,21320	94,21320	22	1
193	221	148	155	0,00002	92,84060	92,84062	27	0
216	38	177	102	0,00002	93,62740	93,62742	28	0
214	105	259	178	0,00004	94,56850	94,56854	41	0
221	144	133	156	-0,00004	92,97060	92,97056	13	0
323	229	371	171	0,00004	95,45580	95,45584	31	0
121	134	201	103	0,00002	92,84060	92,84062	25	0
332	217	252	180	0,00000	95,32590	95,32590	35	0
115	157	111	222	0,00001	97,52690	97,52691	70	0
248	118	213	42	-0,00003	99,28430	99,28427	31	0
118	164	27	146	0,00004	98,45580	98,45584	32	0
267	94	229	162	-0,00001	99,01220	99,01219	47	0
208	151	190	237	-0,00001	99,89950	99,89949	32	1
303	198	361	197	0,00005	97,66900	97,66905	39	0
285	105	213	152	0,00002	96,74010	96,74012	38	0
228	106	267	176	0,00003	98,25480	98,25483	48	0
281	109	235	160	-0,00004	99,08330	99,08326	60	0
115	224	114	161	0,00000	97,21320	97,21320	61	1
370	189	309	202	0,00012	101,74000	101,74012	34	0
252	167	220	84	-0,00009	101,52700	101,52691	31	0
288	200	223	131	0,00032	102,95300	102,95332	49	0
277	132	223	70	0,00034	103,35500	103,35534	51	0
286	199	370	217	-0,00031	100,91200	100,91169	42	1
239	173	216	80	-0,00009	102,52700	102,52691	27	0
185	159	114	202	0,00048	101,69800	101,69848	68	0
272	181	345	238	-0,00011	100,12500	100,12489	41	0
215	38	211	139	-0,00015	102,65700	102,65685	14	0
270	118	216	61	-0,00037	101,04200	101,04163	42	0
285	194	372	217	-0,00024	105,98300	105,98276	36	0
220	140	189	228	0,00006	107,87000	107,87006	37	0
261	177	221	93	-0,00017	105,25500	105,25483	35	0
155	163	208	92	-0,00038	107,84100	107,84062	33	0
240	115	275	188	-0,00004	107,19600	107,19596	62	0
114	204	189	174	-0,00001	104,79900	104,79899	47	1
266	189	231	109	-0,00003	106,39700	106,39697	50	0
152	164	218	102	-0,00046	104,56900	104,56854	39	0
81	177	173	156	0,00020	104,21300	104,21320	35	0
187	188	261	167	-0,00044	105,97100	105,97056	36	0
170	238	213	158	0,00006	111,87000	111,87006	33	0
196	147	217	47	0,00048	108,69800	108,69848	21	1
133	96	237	115	0,00006	111,87000	111,87006	28	0
210	11	220	117	0,00014	110,14200	110,14214	18	0
184	105	279	139	-0,00017	110,25500	110,25483	42	0
167	110	223	37	-0,00038	110,84100	110,84062	34	0
183	182	264	177	-0,00045	108,77000	108,76955	44	0
215	117	183	213	-0,00017	109,25500	109,25483	36	1
165	235	206	150	0,00013	111,94100	111,94113	33	0
173	106	279	114	-0,00001	111,79900	111,79899	30	0
250	119	155	167	0,00025	114,88200	114,88225	38	0
184	171	159	182	0,00014	112,14200	112,14214	98	0
184	216	227	120	0,00018	113,81100	113,81118	30	1
135	132	220	137	0,00047	113,49700	113,49747	48	0
139	173	166	232	-0,00029	115,31400	115,31371	91	0
210	51	265	128	0,00005	112,66900	112,66905	43	0
280	199	187	162	-0,00046	114,56900	114,56854	48	1
187	154	279	97	0,00017	115,61000	115,61017	49	0
247	123	149	157	0,00026	112,08300	112,08326	30	0
271	109	260	163	0,00012	114,74000	114,74012	68	0
222	52	187	156	0,00047	118,49700	118,49747	40	0
134	159	187	238	0,00048	119,69800	119,69848	55	0
222	39	267	112	0,00020	119,21300	119,21320	43	0
146	172	171	252	-0,00044	117,97100	117,97056	58	0
229	130	128	134	0,00040	119,22500	119,22540	56	0
122	156	181	227	-0,00016	119,45600	119,45584	55	1
214	113	272	202	0,00046	118,29600	118,29646	52	0
223	75	165	160	-0,00024	118,98300	118,98276	47	0
242	118	188	207	-0,00003	118,39700	118,39697	46	0
279	200	185	166	-0,00024	119,98300	119,98276	53	1
273	214	366	255	-0,00040	123,43900	123,43860	41	0
194	148	84	170	0,00027	120,28400	120,28427	50	0
355	233	258	177	-0,00047	121,36800	121,36753	41	0
81	185	184	176	0,00020	123,21300	123,21320	43	0
181	215	240	126	-0,00024	123,98300	123,98276	36	0
153	157	100	246	0,00026	122,08300	122,08326	77	1
106	160	179	216	-0,00044	121,97100	121,97056	60	0
322	212	223	152	-0,00019	123,85300	123,85281	56	0
174	165	216	62	0,00033	122,15400	122,15433	37	0
181	212	111	191	-0,00037	123,04200	123,04163	69	1
144	110	191	163	0,00048	125,69800	125,69848	72	0
218	158	102	185	-0,00023	127,18400	127,18377	72	0
220	67	302	121	0,00042	126,62700	126,62742	36	0
33	149	149	172	-0,00009	125,52700	125,52691	50	1
248	171	342	238	0,00024	124,68100	124,68124	40	0
268	163	151	171	-0,00016	124,45600	124,45584	47	0
292	200	234	116	0,00024	125,68100	125,68124	66	0
131	140	230	112	-0,00023	125,18400	125,18377	37	0
144	131	250	124	-0,00002	124,59800	124,59798	33	1
135	109	226	155	0,00027	125,28400	125,28427	46	0
188	182	165	99	0,00026	128,08300	128,08326	71	0
197	211	197	104	-0,00023	129,18400	129,18377	40	0
282	191	170	170	-0,00039	130,64000	130,63961	58	1
153	154	273	182	-0,00002	131,59800	131,59798	43	0
177	213	212	98	0,00047	129,49700	129,49747	35	0
224	120	110	159	0,00033	130,15400	130,15433	35	0
223	27	199	149	0,00013	131,94100	131,94113	43	1
275	195	190	184	-0,00017	129,25500	129,25483	62	0
196	104	274	193	-0,00033	129,51000	129,50967	55	0
168	245	131	163	0,00027	129,28400	129,28427	45	0
115	164	174	237	-0,00022	134,38500	134,38478	86	1
277	119	147	108	0,00035	134,55600	134,55635	31	0
115	92	235	126	0,00026	134,08300	134,08326	44	0
289	124	168	159	0,00047	135,49700	135,49747	48	0
183	165	297	199	0,00025	133,88200	133,88225	48	0
262	180	283	115	0,00046	133,29600	133,29646	82	1
212	132	114	147	-0,00046	133,56900	133,56854	106	0
214	77	115	146	0,00017	134,61000	134,61017	48	0
189	168	298	197	-0,00046	134,56900	134,56854	48	0
179	194	72	158	-0,00001	134,79900	134,79899	48	0
221	132	107	186	-0,00047	136,36800	136,36753	73	0
156	94	164	161	-0,00018	138,05400	138,05382	89	1
270	132	149	125	-0,00038	139,84100	139,84062	56	0
109	210	78	188	0,00013	136,94100	136,94113	85	0
171	107	147	170	-0,00003	138,39700	138,39697	91	1
74	176	199	149	-0,00023	136,18400	136,18377	52	0
162	268	153	155	0,00026	136,08300	136,08326	36	0
272	140	153	103	0,00026	136,08300	136,08326	37	0
