type: da2
name: lt_backalley_g
algorithm: astarbb
preprossessing [ms]: 8700

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
48	75	41	73	-0,00000	7,82843	7,82843	38	0
123	97	124	103	0,00000	6,41421	6,41421	38	0
42	80	41	85	0,00000	5,41421	5,41421	35	0
67	43	61	42	0,00000	6,41421	6,41421	23	0
22	22	21	26	0,00000	4,41421	4,41421	27	0
29	70	32	75	0,00000	6,24264	6,24264	34	0
39	100	38	105	0,00000	5,41421	5,41421	21	0
44	75	39	71	0,00000	6,65685	6,65685	42	0
93	75	99	78	0,00000	7,24264	7,24264	45	0
84	84	87	79	0,00000	6,24264	6,24264	41	0
39	69	36	76	0,00000	8,24264	8,24264	58	0
80	89	84	97	0,00000	9,65685	9,65685	76	0
42	28	46	35	0,00000	8,65685	8,65685	56	0
57	96	49	96	0,00000	8,00000	8,00000	49	0
36	68	28	62	-0,00002	10,48530	10,48528	77	0
107	46	109	38	-0,00000	8,82843	8,82843	69	0
46	65	40	73	-0,00002	10,48530	10,48528	65	0
51	89	49	98	-0,00000	9,82843	9,82843	68	0
62	23	54	26	0,00000	9,24264	9,24264	70	0
77	72	84	74	-0,00000	9,82843	9,82843	46	0
52	80	42	73	-0,00001	12,89950	12,89949	81	0
32	65	35	77	0,00004	13,24260	13,24264	104	0
114	92	113	78	0,00004	15,24260	15,24264	69	0
25	19	27	4	0,00003	15,82840	15,82843	119	1
24	21	27	35	0,00004	15,24260	15,24264	124	0
61	76	73	69	-0,00002	15,48530	15,48528	83	0
24	38	31	27	-0,00001	13,89950	13,89949	106	0
60	75	46	79	-0,00005	15,65690	15,65685	102	0
24	54	37	55	0,00001	13,41420	13,41421	88	0
49	111	34	110	0,00001	15,41420	15,41421	91	0
47	69	33	81	-0,00004	18,97060	18,97056	75	0
74	71	75	55	0,00001	16,41420	16,41421	99	0
106	77	117	92	0,00005	19,55630	19,55635	137	0
77	85	78	66	0,00001	19,41420	19,41421	121	0
75	91	60	82	0,00002	18,72790	18,72792	164	1
56	41	72	47	-0,00002	18,48530	18,48528	140	0
42	44	34	57	0,00001	16,31370	16,31371	141	0
43	66	27	57	0,00002	19,72790	19,72792	197	0
121	93	125	111	-0,00005	19,65690	19,65685	168	0
109	26	95	16	0,00004	18,14210	18,14214	144	0
84	97	66	85	-0,00004	22,97060	22,97056	195	1
117	95	103	87	0,00004	22,24260	22,24264	105	0
38	68	29	51	0,00002	20,72790	20,72792	212	0
53	55	46	35	-0,00001	22,89950	22,89949	160	0
54	46	46	27	0,00001	22,31370	22,31371	199	0
113	81	115	101	0,00003	20,82840	20,82843	99	0
53	84	33	81	0,00004	21,24260	21,24264	169	1
58	46	44	30	-0,00001	21,79900	21,79899	161	0
58	113	37	112	0,00001	21,41420	21,41421	126	0
37	55	43	73	-0,00002	20,48530	20,48528	202	0
73	44	55	31	0,00001	26,31370	26,31371	200	0
73	94	70	70	0,00004	25,24260	25,24264	226	0
41	68	18	58	0,00004	27,14210	27,14214	300	1
41	111	66	110	0,00001	25,41420	25,41421	152	0
26	63	46	44	-0,00004	27,87010	27,87006	161	0
72	98	53	86	0,00004	25,14210	25,14214	217	0
57	100	37	85	0,00000	26,21320	26,21320	190	0
32	57	54	50	-0,00001	24,89950	24,89949	229	0
32	67	41	46	0,00002	24,72790	24,72792	255	0
53	88	68	69	-0,00002	26,38480	26,38478	263	0
73	63	94	76	-0,00002	30,48530	30,48528	268	0
20	39	44	27	-0,00004	28,97060	28,97056	268	1
76	65	73	94	0,00004	30,24260	30,24264	266	0
88	84	118	81	0,00004	31,24260	31,24264	239	0
53	45	66	20	0,00005	31,55630	31,55635	364	1
38	43	30	71	0,00001	31,31370	31,31371	385	0
38	63	59	82	-0,00001	31,79900	31,79899	309	0
118	102	103	83	-0,00002	30,48530	30,48528	207	1
39	58	53	34	-0,00001	29,79900	29,79899	284	0
126	91	97	85	-0,00002	31,48530	31,48528	206	0
89	84	73	59	-0,00001	32,79900	32,79899	302	1
32	29	56	50	0,00002	35,62740	35,62742	332	0
23	73	51	88	0,00000	34,21320	34,21320	359	0
108	39	93	12	0,00000	33,21320	33,21320	348	0
45	59	47	92	0,00003	33,82840	33,82843	230	0
60	15	34	31	-0,00002	34,38480	34,38478	299	0
32	58	46	38	0,00003	32,04160	32,04163	437	1
23	69	52	77	0,00001	32,31370	32,31371	332	0
51	48	64	18	-0,00002	35,38480	35,38478	405	1
81	79	55	103	0,00003	35,94110	35,94113	241	0
40	42	59	16	0,00002	39,72790	39,72792	365	1
60	87	95	77	0,00004	39,14210	39,14214	482	0
11	110	49	110	0,00000	38,00000	38,00000	229	0
53	83	24	57	-0,00005	39,76960	39,76955	310	1
40	26	72	18	0,00004	36,14210	36,14214	290	0
90	23	92	48	-0,00002	39,48530	39,48528	310	0
40	67	54	101	-0,00001	39,79900	39,79899	504	2
97	44	88	14	0,00002	37,72790	37,72792	313	1
89	93	56	103	0,00002	37,72790	37,72792	337	0
104	16	67	15	0,00001	37,41420	37,41421	243	0
75	15	51	43	0,00004	41,45580	41,45584	374	1
47	51	86	48	0,00004	40,24260	40,24264	309	0
45	33	26	60	0,00001	42,52690	42,52691	401	1
31	49	73	46	0,00004	43,24260	43,24264	380	0
37	42	71	59	0,00000	42,21320	42,21320	464	1
51	93	19	69	0,00003	41,94110	41,94113	407	1
38	66	44	31	0,00004	42,45580	42,45584	562	1
23	73	58	90	0,00003	42,04160	42,04163	503	0
56	15	99	14	0,00001	43,41420	43,41421	259	1
44	36	72	63	-0,00000	42,11270	42,11270	380	0
53	76	98	78	0,00003	45,82840	45,82843	306	0
80	80	126	83	0,00004	47,24260	47,24264	419	1
29	30	67	13	0,00000	46,21320	46,21320	440	0
