type: da2
name: lt_backalley_g
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
48	75	41	73	-0,00000	7,82843	7,82843	10	0
123	97	124	103	0,00000	6,41421	6,41421	6	0
42	80	41	85	0,00000	5,41421	5,41421	7	1
67	43	61	42	0,00000	6,41421	6,41421	7	0
22	22	21	26	0,00000	4,41421	4,41421	6	0
29	70	32	75	0,00000	6,24264	6,24264	6	0
39	100	38	105	0,00000	5,41421	5,41421	6	0
44	75	39	71	0,00000	6,65685	6,65685	8	0
93	75	99	78	0,00000	7,24264	7,24264	7	0
84	84	87	79	0,00000	6,24264	6,24264	7	0
39	69	36	76	0,00000	8,24264	8,24264	10	0
80	89	84	97	0,00000	9,65685	9,65685	6	0
42	28	46	35	0,00000	8,65685	8,65685	7	0
57	96	49	96	0,00000	8,00000	8,00000	6	0
36	68	28	62	-0,00002	10,48530	10,48528	7	0
107	46	109	38	-0,00000	8,82843	8,82843	6	0
46	65	40	73	-0,00002	10,48530	10,48528	11	0
51	89	49	98	-0,00000	9,82843	9,82843	8	0
62	23	54	26	0,00000	9,24264	9,24264	6	0
77	72	84	74	-0,00000	9,82843	9,82843	11	0
52	80	42	73	-0,00001	12,89950	12,89949	10	0
32	65	35	77	0,00004	13,24260	13,24264	7	0
114	92	113	78	0,00004	15,24260	15,24264	8	1
25	19	27	4	0,00003	15,82840	15,82843	6	0
24	21	27	35	0,00004	15,24260	15,24264	6	0
61	76	73	69	-0,00002	15,48530	15,48528	13	0
24	38	31	27	-0,00001	13,89950	13,89949	9	0
60	75	46	79	-0,00005	15,65690	15,65685	8	0
24	54	37	55	0,00001	13,41420	13,41421	7	0
49	111	34	110	0,00001	15,41420	15,41421	5	0
47	69	33	81	-0,00004	18,97060	18,97056	10	0
74	71	75	55	0,00001	16,41420	16,41421	7	0
106	77	117	92	0,00005	19,55630	19,55635	9	0
77	85	78	66	0,00001	19,41420	19,41421	8	0
75	91	60	82	0,00002	18,72790	18,72792	15	0
56	41	72	47	-0,00002	18,48530	18,48528	10	0
42	44	34	57	0,00001	16,31370	16,31371	10	0
43	66	27	57	0,00002	19,72790	19,72792	6	0
121	93	125	111	-0,00005	19,65690	19,65685	6	0
109	26	95	16	0,00004	18,14210	18,14214	10	0
84	97	66	85	-0,00004	22,97060	22,97056	16	1
117	95	103	87	0,00004	22,24260	22,24264	11	0
38	68	29	51	0,00002	20,72790	20,72792	8	0
53	55	46	35	-0,00001	22,89950	22,89949	13	0
54	46	46	27	0,00001	22,31370	22,31371	13	0
113	81	115	101	0,00003	20,82840	20,82843	7	0
53	84	33	81	0,00004	21,24260	21,24264	7	0
58	46	44	30	-0,00001	21,79900	21,79899	11	0
58	113	37	112	0,00001	21,41420	21,41421	5	0
37	55	43	73	-0,00002	20,48530	20,48528	8	0
73	44	55	31	0,00001	26,31370	26,31371	18	0
73	94	70	70	0,00004	25,24260	25,24264	9	0
41	68	18	58	0,00004	27,14210	27,14214	9	0
41	111	66	110	0,00001	25,41420	25,41421	5	0
26	63	46	44	-0,00004	27,87010	27,87006	14	0
72	98	53	86	0,00004	25,14210	25,14214	17	1
57	100	37	85	0,00000	26,21320	26,21320	12	0
32	57	54	50	-0,00001	24,89950	24,89949	10	0
32	67	41	46	0,00002	24,72790	24,72792	7	0
53	88	68	69	-0,00002	26,38480	26,38478	13	0
73	63	94	76	-0,00002	30,48530	30,48528	12	0
20	39	44	27	-0,00004	28,97060	28,97056	11	0
76	65	73	94	0,00004	30,24260	30,24264	6	0
88	84	118	81	0,00004	31,24260	31,24264	7	0
53	45	66	20	0,00005	31,55630	31,55635	15	0
38	43	30	71	0,00001	31,31370	31,31371	10	0
38	63	59	82	-0,00001	31,79900	31,79899	15	0
118	102	103	83	-0,00002	30,48530	30,48528	10	0
39	58	53	34	-0,00001	29,79900	29,79899	18	0
126	91	97	85	-0,00002	31,48530	31,48528	9	0
89	84	73	59	-0,00001	32,79900	32,79899	13	0
32	29	56	50	0,00002	35,62740	35,62742	14	0
23	73	51	88	0,00000	34,21320	34,21320	17	0
108	39	93	12	0,00000	33,21320	33,21320	11	0
45	59	47	92	0,00003	33,82840	33,82843	12	0
60	15	34	31	-0,00002	34,38480	34,38478	17	0
32	58	46	38	0,00003	32,04160	32,04163	25	0
23	69	52	77	0,00001	32,31370	32,31371	11	0
51	48	64	18	-0,00002	35,38480	35,38478	18	0
81	79	55	103	0,00003	35,94110	35,94113	11	0
40	42	59	16	0,00002	39,72790	39,72792	17	0
60	87	95	77	0,00004	39,14210	39,14214	13	0
11	110	49	110	0,00000	38,00000	38,00000	3	0
53	83	24	57	-0,00005	39,76960	39,76955	11	0
40	26	72	18	0,00004	36,14210	36,14214	13	0
90	23	92	48	-0,00002	39,48530	39,48528	14	0
40	67	54	101	-0,00001	39,79900	39,79899	17	0
97	44	88	14	0,00002	37,72790	37,72792	17	0
89	93	56	103	0,00002	37,72790	37,72792	18	0
104	16	67	15	0,00001	37,41420	37,41421	7	0
75	15	51	43	0,00004	41,45580	41,45584	15	0
47	51	86	48	0,00004	40,24260	40,24264	9	0
45	33	26	60	0,00001	42,52690	42,52691	19	0
31	49	73	46	0,00004	43,24260	43,24264	10	0
37	42	71	59	0,00000	42,21320	42,21320	28	0
51	93	19	69	0,00003	41,94110	41,94113	13	0
38	66	44	31	0,00004	42,45580	42,45584	19	1
23	73	58	90	0,00003	42,04160	42,04163	20	0
56	15	99	14	0,00001	43,41420	43,41421	7	0
44	36	72	63	-0,00000	42,11270	42,11270	24	0
53	76	98	78	0,00003	45,82840	45,82843	13	0
80	80	126	83	0,00004	47,24260	47,24264	7	0
29	30	67	13	0,00000	46,21320	46,21320	17	0
54	54	25	29	-0,00001	45,79900	45,79899	15	0
78	47	76	89	-0,00002	44,48530	44,48528	15	0
59	113	15	107	-0,00002	46,48530	46,48528	9	0
73	91	46	64	0,00003	46,04160	46,04163	24	0
93	15	51	26	0,00005	46,55630	46,55635	15	0
62	37	33	69	-0,00001	44,01220	44,01219	17	1
26	109	54	90	0,00002	47,72790	47,72792	19	0
67	17	23	36	-0,00004	51,87010	51,87006	17	0
55	97	37	118	-0,00004	51,97060	51,97056	18	0
53	118	35	77	-0,00001	50,79900	50,79899	15	0
58	42	27	14	0,00004	48,45580	48,45584	18	0
37	92	43	43	-0,00002	51,48530	51,48528	14	0
127	89	80	81	0,00001	50,31370	50,31371	13	0
25	49	39	92	-0,00002	49,38480	49,38478	21	0
31	63	50	21	-0,00002	50,69850	50,69848	20	0
61	83	110	81	0,00003	49,82840	49,82843	7	0
30	62	69	68	-0,00001	50,79900	50,79899	28	1
92	10	49	33	0,00001	52,52690	52,52691	16	0
28	78	77	68	0,00004	53,14210	53,14214	16	0
63	48	48	85	0,00002	52,72790	52,72792	31	0
72	91	24	77	-0,00001	53,79900	53,79899	13	0
53	115	51	93	0,00000	53,21320	53,21320	22	0
35	113	46	63	0,00005	54,55630	54,55635	19	0
60	15	110	29	-0,00001	55,79900	55,79899	19	0
79	68	115	92	-0,00004	54,97060	54,97056	13	0
53	53	77	11	-0,00003	54,28430	54,28427	28	0
24	4	58	25	0,00001	54,31370	54,31371	15	0
17	110	32	69	-0,00002	58,48530	58,48528	10	0
45	57	73	12	-0,00003	57,18380	57,18377	28	0
9	119	43	83	-0,00003	58,28430	58,28427	15	0
71	52	18	38	-0,00001	58,79900	58,79899	18	0
62	94	50	109	0,00004	59,14210	59,14214	26	0
55	34	67	85	0,00004	58,45580	58,45584	26	0
101	77	44	77	0,00000	57,00000	57,00000	6	0
21	59	40	108	0,00002	58,62740	58,62742	21	0
44	78	98	84	-0,00002	56,48530	56,48528	16	0
63	85	114	93	0,00003	59,82840	59,82843	20	0
46	45	91	23	-0,00005	63,76960	63,76955	35	0
85	79	47	37	0,00002	61,84060	61,84062	23	0
100	82	47	100	0,00004	60,45580	60,45584	20	0
18	34	70	14	-0,00003	60,28430	60,28427	20	0
69	16	72	72	0,00002	63,62740	63,62742	23	0
38	36	40	82	-0,00002	60,38480	60,38478	22	0
44	74	61	18	0,00003	63,04160	63,04163	29	0
35	39	22	74	-0,00002	61,59800	61,59798	22	1
77	95	54	42	-0,00002	63,69850	63,69848	26	0
34	48	69	90	-0,00005	61,76960	61,76955	29	0
24	12	34	52	-0,00002	65,59800	65,59798	16	0
52	53	89	22	-0,00004	66,87010	66,87006	44	0
19	9	60	52	0,00005	64,66900	64,66905	21	0
43	71	11	111	-0,00004	64,97060	64,97056	24	0
45	103	49	43	-0,00001	65,89950	65,89949	20	0
36	102	50	41	-0,00001	66,79900	66,79899	24	0
61	36	92	85	-0,00003	64,18380	64,18377	28	1
64	91	59	31	0,00003	67,04160	67,04163	24	0
71	88	44	36	-0,00002	66,69850	66,69848	31	0
23	55	24	107	-0,00004	67,97060	67,97056	25	0
8	119	30	70	0,00003	71,04160	71,04163	12	0
22	17	27	60	0,00002	71,74010	71,74012	23	0
73	13	27	9	0,00003	68,04160	68,04163	26	0
56	118	36	62	-0,00002	68,38480	68,38478	12	0
33	56	49	117	0,00000	68,21320	68,21320	23	1
67	83	38	37	-0,00000	68,11270	68,11270	39	0
59	83	61	115	-0,00002	68,38480	68,38478	31	0
22	74	64	112	-0,00003	68,28430	68,28427	34	0
61	20	52	76	0,00003	69,04160	69,04163	36	0
58	54	113	77	-0,00004	70,97060	70,97056	34	0
41	45	97	22	0,00004	74,35530	74,35534	40	0
88	49	21	68	-0,00002	75,69850	75,69848	34	1
36	61	28	6	-0,00002	74,59800	74,59798	34	0
34	76	30	21	-0,00002	74,59800	74,59798	39	0
48	48	103	80	-0,00002	74,69850	74,69848	39	0
36	68	101	87	-0,00004	72,87010	72,87006	28	0
46	44	99	79	0,00003	73,94110	73,94113	42	0
25	66	10	117	-0,00003	74,28430	74,28427	24	0
35	111	85	92	0,00002	73,72790	73,72792	22	1
88	11	40	55	0,00005	72,66900	72,66905	25	0
79	85	51	113	0,00002	76,72790	76,72792	38	0
53	14	31	83	-0,00000	78,11270	78,11270	27	0
30	35	62	81	-0,00001	77,01220	77,01219	38	0
87	79	29	46	-0,00000	78,11270	78,11270	34	0
53	17	37	90	0,00002	79,62740	79,62742	26	0
76	101	29	118	0,00001	78,52690	78,52691	30	1
29	113	58	52	0,00004	79,45580	79,45584	29	0
100	23	43	50	0,00001	78,42640	78,42641	33	0
22	59	93	79	-0,00003	79,28430	79,28427	28	0
37	86	88	48	-0,00003	77,28430	77,28427	35	0
99	14	45	56	0,00004	81,35530	81,35534	25	0
65	18	62	92	-0,00004	81,87010	81,87006	32	0
42	49	108	75	0,00000	83,21320	83,21320	46	1
86	16	28	5	-0,00002	83,38480	83,38478	28	0
72	72	19	19	0,00003	83,15430	83,15433	26	0
101	45	42	79	0,00002	83,62740	83,62742	45	0
109	37	90	85	-0,00002	82,59800	82,59798	36	0
18	29	92	48	-0,00004	81,87010	81,87006	25	0
109	55	53	22	0,00002	83,62740	83,62742	31	0
124	84	45	88	-0,00005	80,65690	80,65685	12	0
104	85	86	55	-0,00003	84,28430	84,28427	42	0
111	53	46	65	0,00005	84,55630	84,55635	47	0
51	49	117	85	0,00004	87,35530	87,35534	41	0
78	14	33	76	0,00000	85,32590	85,32590	33	0
61	83	25	29	0,00001	86,52690	86,52691	57	0
34	79	76	11	0,00003	87,15430	87,15433	36	0
69	69	11	108	0,00004	86,45580	86,45584	32	0
116	80	48	53	0,00002	85,62740	85,62742	28	0
42	89	116	98	-0,00005	86,65690	86,65685	32	0
25	28	102	47	-0,00004	84,87010	84,87006	20	0
65	95	50	14	0,00004	91,35530	91,35534	37	0
60	20	102	55	-0,00003	89,28430	89,28427	57	0
29	56	2	114	-0,00002	89,38480	89,38478	33	0
88	19	36	71	0,00005	88,66900	88,66905	32	1
121	93	57	50	0,00002	88,84060	88,84062	25	0
79	10	67	84	0,00001	88,52690	88,52691	30	0
109	15	30	37	-0,00000	88,11270	88,11270	30	0
48	95	19	36	0,00005	91,55630	91,55635	54	0
31	60	94	10	-0,00003	88,39700	88,39697	37	0
76	97	69	23	0,00000	88,21320	88,21320	40	0
68	14	51	96	-0,00001	94,01220	94,01219	43	1
80	85	69	112	0,00001	95,31370	95,31371	48	0
20	106	65	47	0,00004	95,45580	95,45584	36	0
86	80	59	109	0,00004	92,14210	92,14214	45	0
23	26	75	89	-0,00003	94,49750	94,49747	33	0
23	59	94	20	0,00000	94,32590	94,32590	44	0
126	84	38	94	-0,00005	95,65690	95,65685	25	1
84	85	12	119	0,00004	95,45580	95,45584	31	0
92	89	53	118	-0,00001	93,79900	93,79899	36	0
105	43	54	101	-0,00002	92,59800	92,59798	44	0
32	111	56	22	0,00003	98,94110	98,94113	39	0
99	14	91	83	-0,00003	99,28430	99,28427	43	0
53	35	121	84	-0,00004	97,08330	97,08326	42	1
86	74	18	17	0,00005	98,88220	98,88225	30	0
63	98	74	10	-0,00003	99,18380	99,18377	43	0
62	51	14	110	0,00002	97,62740	97,62742	55	0
