type: da2
name: lt_backalley_n
algorithm: astarbb
preprossessing [ms]: 8743

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
61	82	57	79	0,00000	5,24264	5,24264	32	0
65	43	62	42	0,00000	4,00000	4,00000	16	0
68	114	63	111	0,00000	6,24264	6,24264	37	0
53	84	56	87	0,00000	4,24264	4,24264	20	0
75	96	73	102	-0,00000	6,82843	6,82843	39	0
125	108	122	111	0,00000	4,24264	4,24264	19	0
32	32	36	33	0,00000	4,41421	4,41421	24	0
124	110	121	107	0,00000	4,24264	4,24264	16	0
110	22	111	16	0,00000	6,41421	6,41421	34	0
84	91	80	94	0,00000	5,24264	5,24264	33	0
57	82	50	86	0,00000	8,65685	8,65685	56	0
44	91	38	87	-0,00000	8,82843	8,82843	42	0
51	112	62	114	0,00003	11,82840	11,82843	82	0
27	49	26	60	0,00001	11,41420	11,41421	74	0
18	106	24	111	-0,00000	8,07107	8,07107	33	0
32	60	27	52	-0,00003	10,07110	10,07107	73	0
62	82	68	77	-0,00000	8,07107	8,07107	38	0
71	84	71	94	0,00000	10,00000	10,00000	61	0
54	36	56	45	-0,00000	9,82843	9,82843	71	0
48	75	42	82	0,00000	9,48528	9,48528	52	0
53	88	61	78	0,00001	13,31370	13,31371	98	0
88	17	74	15	0,00003	14,82840	14,82843	94	0
49	42	60	34	0,00001	14,31370	14,31371	103	0
110	41	98	37	-0,00005	13,65690	13,65685	114	1
81	95	70	92	0,00004	12,24260	12,24264	88	0
108	30	111	44	0,00004	15,24260	15,24264	107	0
104	32	97	45	-0,00001	15,89950	15,89949	100	0
106	29	102	17	-0,00005	13,65690	13,65685	124	0
38	110	25	112	0,00003	13,82840	13,82843	109	0
50	33	51	46	0,00001	13,41420	13,41421	69	0
67	89	51	84	-0,00003	18,07110	18,07107	159	0
41	64	24	64	0,00000	17,00000	17,00000	121	0
69	95	71	77	0,00003	18,82840	18,82843	149	0
54	84	36	81	0,00004	19,24260	19,24264	151	1
39	82	30	67	0,00002	18,72790	18,72792	180	0
62	29	59	45	0,00004	17,24260	17,24264	124	0
77	86	95	82	-0,00005	19,65690	19,65685	170	0
80	75	73	89	-0,00001	16,89950	16,89949	135	0
57	33	38	33	0,00000	19,00000	19,00000	115	0
24	66	37	57	0,00002	16,72790	16,72792	128	0
47	34	62	19	0,00000	21,21320	21,21320	95	1
113	76	90	75	0,00001	23,41420	23,41421	128	0
27	70	46	82	-0,00004	23,97060	23,97056	222	0
82	90	68	74	-0,00001	21,79900	21,79899	152	0
45	34	45	53	0,00004	23,14210	23,14214	178	0
86	80	107	75	-0,00003	23,07110	23,07107	212	0
71	61	57	43	-0,00001	23,79900	23,79899	104	0
73	94	81	76	0,00001	21,31370	21,31371	226	1
83	83	62	77	-0,00002	23,48530	23,48528	230	0
64	90	83	81	0,00002	22,72790	22,72792	226	0
83	80	106	84	-0,00005	24,65690	24,65685	220	0
