type: da2
name: lt_backalley_n
algorithm: jpsplusbb
preprossessing [ms]: 8677

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
61	82	57	79	0,00000	5,24264	5,24264	3	0
65	43	62	42	0,00000	4,00000	4,00000	3	0
68	114	63	111	0,00000	6,24264	6,24264	4	0
53	84	56	87	0,00000	4,24264	4,24264	4	0
75	96	73	102	-0,00000	6,82843	6,82843	4	0
125	108	122	111	0,00000	4,24264	4,24264	2	0
32	32	36	33	0,00000	4,41421	4,41421	4	0
124	110	121	107	0,00000	4,24264	4,24264	2	0
110	22	111	16	0,00000	6,41421	6,41421	4	0
84	91	80	94	0,00000	5,24264	5,24264	4	0
57	82	50	86	0,00000	8,65685	8,65685	3	0
44	91	38	87	-0,00000	8,82843	8,82843	6	0
51	112	62	114	0,00003	11,82840	11,82843	3	0
27	49	26	60	0,00001	11,41420	11,41421	5	0
18	106	24	111	-0,00000	8,07107	8,07107	5	0
32	60	27	52	-0,00003	10,07110	10,07107	5	0
62	82	68	77	-0,00000	8,07107	8,07107	3	0
71	84	71	94	0,00000	10,00000	10,00000	3	0
54	36	56	45	-0,00000	9,82843	9,82843	5	0
48	75	42	82	0,00000	9,48528	9,48528	4	0
53	88	61	78	0,00001	13,31370	13,31371	5	0
88	17	74	15	0,00003	14,82840	14,82843	4	0
49	42	60	34	0,00001	14,31370	14,31371	6	0
110	41	98	37	-0,00005	13,65690	13,65685	4	0
81	95	70	92	0,00004	12,24260	12,24264	4	0
108	30	111	44	0,00004	15,24260	15,24264	4	0
104	32	97	45	-0,00001	15,89950	15,89949	4	0
106	29	102	17	-0,00005	13,65690	13,65685	4	0
38	110	25	112	0,00003	13,82840	13,82843	4	0
50	33	51	46	0,00001	13,41420	13,41421	4	0
67	89	51	84	-0,00003	18,07110	18,07107	5	0
41	64	24	64	0,00000	17,00000	17,00000	3	0
69	95	71	77	0,00003	18,82840	18,82843	7	0
54	84	36	81	0,00004	19,24260	19,24264	3	0
39	82	30	67	0,00002	18,72790	18,72792	4	0
62	29	59	45	0,00004	17,24260	17,24264	5	0
77	86	95	82	-0,00005	19,65690	19,65685	5	0
80	75	73	89	-0,00001	16,89950	16,89949	3	0
57	33	38	33	0,00000	19,00000	19,00000	2	0
24	66	37	57	0,00002	16,72790	16,72792	6	0
47	34	62	19	0,00000	21,21320	21,21320	4	0
113	76	90	75	0,00001	23,41420	23,41421	4	0
27	70	46	82	-0,00004	23,97060	23,97056	7	0
82	90	68	74	-0,00001	21,79900	21,79899	8	0
45	34	45	53	0,00004	23,14210	23,14214	5	0
86	80	107	75	-0,00003	23,07110	23,07107	4	0
71	61	57	43	-0,00001	23,79900	23,79899	7	0
73	94	81	76	0,00001	21,31370	21,31371	6	0
83	83	62	77	-0,00002	23,48530	23,48528	4	0
64	90	83	81	0,00002	22,72790	22,72792	5	0
83	80	106	84	-0,00005	24,65690	24,65685	3	0
112	85	87	80	-0,00003	27,07110	27,07107	3	0
43	30	19	36	-0,00002	26,48530	26,48528	4	0
58	87	39	73	-0,00001	24,79900	24,79899	5	0
75	18	50	21	0,00004	26,24260	26,24264	7	0
25	112	49	113	0,00001	24,41420	24,41421	3	1
7	115	33	116	0,00001	26,41420	26,41421	3	0
74	58	77	84	0,00004	27,24260	27,24264	4	0
23	73	34	95	-0,00002	27,38480	27,38478	6	0
24	69	43	86	0,00003	26,04160	26,04163	6	0
33	108	5	116	0,00001	31,31370	31,31371	3	0
91	80	120	82	0,00003	29,82840	29,82843	3	0
53	93	74	75	0,00004	28,45580	28,45584	8	0
37	107	48	92	-0,00001	31,89950	31,89949	9	0
86	86	62	97	0,00005	28,55630	28,55635	8	0
48	53	46	82	0,00003	31,82840	31,82843	9	0
119	108	108	84	-0,00002	31,48530	31,48528	6	0
68	66	67	95	0,00001	29,41420	29,41421	6	0
80	14	61	30	0,00002	29,72790	29,72792	13	0
94	86	66	95	0,00002	31,72790	31,72792	6	0
32	52	55	33	0,00000	33,21320	33,21320	9	0
34	77	35	111	0,00001	34,41420	34,41421	5	0
42	36	19	12	-0,00003	35,28430	35,28427	5	0
81	95	56	76	-0,00004	32,87010	32,87006	10	0
83	89	54	102	-0,00002	34,38480	34,38478	12	0
53	111	38	91	-0,00005	32,65690	32,65685	7	0
83	82	58	103	0,00004	35,45580	35,45584	12	0
43	76	75	76	0,00000	32,00000	32,00000	2	0
36	73	62	96	0,00001	35,52690	35,52691	7	0
51	41	81	48	-0,00001	32,89950	32,89949	6	0
92	15	56	23	0,00001	39,31370	39,31371	11	0
41	50	77	42	0,00001	39,31370	39,31371	9	0
47	43	70	67	-0,00002	39,38480	39,38478	13	0
118	89	82	88	-0,00003	38,07110	38,07107	7	0
39	97	66	107	0,00001	38,41420	38,41421	8	0
65	79	102	85	-0,00002	39,48530	39,48528	3	0
57	45	71	14	-0,00002	37,38480	37,38478	9	0
37	96	23	63	-0,00001	38,79900	38,79899	11	0
70	79	35	72	-0,00001	37,89950	37,89949	9	0
53	40	88	43	0,00004	36,24260	36,24264	4	0
26	21	58	15	0,00005	43,55630	43,55635	8	0
86	54	72	62	0,00001	41,31370	41,31371	14	0
24	67	60	51	0,00002	42,62740	42,62742	6	0
23	24	53	15	-0,00003	42,07110	42,07107	6	0
75	54	93	82	0,00004	40,14210	40,14214	8	0
48	112	45	79	-0,00004	42,97060	42,97056	9	0
76	65	45	69	0,00001	42,31370	42,31371	7	0
79	92	71	52	0,00001	43,31370	43,31371	6	0
33	109	29	69	0,00001	43,31370	43,31371	9	0
32	77	31	115	-0,00001	40,89950	40,89949	6	0
113	86	73	101	0,00000	46,21320	46,21320	10	0
84	44	106	17	0,00001	44,31370	44,31371	5	0
78	99	40	81	0,00004	45,45580	45,45584	8	0
49	45	93	49	-0,00005	45,65690	45,65685	7	0
57	16	25	19	0,00005	44,55630	44,55635	7	0
41	75	42	119	-0,00001	46,89950	46,89949	5	0
98	28	62	19	0,00001	46,31370	46,31371	9	0
49	46	47	88	-0,00002	44,48530	44,48528	8	0
51	16	30	15	0,00000	44,00000	44,00000	6	0
29	55	63	29	-0,00005	44,76960	44,76955	11	0
72	97	117	86	0,00005	49,55630	49,55635	7	0
28	20	52	54	0,00002	48,62740	48,62742	9	0
85	47	87	82	0,00000	50,21320	50,21320	15	0
46	114	55	98	-0,00004	51,87010	51,87006	13	0
61	74	110	78	0,00004	51,24260	51,24264	4	0
36	45	70	23	0,00002	48,62740	48,62742	12	0
31	28	35	58	-0,00005	48,76960	48,76955	8	0
69	50	96	85	-0,00004	50,87010	50,87006	7	0
105	44	55	46	0,00003	50,82840	50,82843	3	0
69	53	52	96	-0,00004	50,87010	50,87006	11	0
44	32	23	71	0,00005	52,66900	52,66905	8	0
23	34	70	49	0,00000	53,21320	53,21320	11	0
99	42	70	11	0,00005	53,55630	53,55635	11	0
25	22	36	53	-0,00002	53,59800	53,59798	8	0
35	61	82	76	0,00005	55,55630	55,55635	8	0
43	49	38	99	-0,00003	52,07110	52,07107	3	0
31	36	47	69	0,00004	53,14210	53,14214	14	0
62	94	60	51	-0,00002	53,38480	53,38478	11	0
83	19	35	33	0,00004	55,45580	55,45584	10	0
54	18	99	30	-0,00002	55,48530	55,48528	15	0
83	95	125	104	-0,00004	57,87010	57,87006	6	0
45	29	23	72	0,00003	56,25480	56,25483	8	0
88	42	34	55	-0,00002	59,38480	59,38478	15	0
60	87	54	42	-0,00002	56,69850	56,69848	18	0
61	29	109	19	0,00001	57,31370	57,31371	8	0
33	49	31	19	-0,00003	56,28430	56,28427	13	0
94	47	42	60	0,00004	59,14210	59,14214	14	0
65	51	106	78	0,00002	58,62740	58,62742	7	0
70	89	123	96	0,00005	59,55630	59,55635	6	0
74	59	46	103	-0,00005	56,76960	56,76955	13	0
38	109	77	94	0,00001	63,31370	63,31371	10	0
40	115	69	84	-0,00002	60,48530	60,48528	8	0
58	82	91	42	-0,00000	60,11270	60,11270	15	0
56	77	54	27	0,00005	63,55630	63,55635	10	0
65	95	51	108	0,00004	63,14210	63,14214	10	0
32	31	47	76	-0,00001	61,79900	61,79899	10	0
71	75	42	107	-0,00002	61,38480	61,38478	6	0
70	48	94	15	0,00004	61,14210	61,14214	13	0
78	43	76	101	-0,00002	60,48530	60,48528	7	0
55	48	94	19	-0,00001	63,79900	63,79899	13	0
80	86	39	52	0,00003	65,04160	65,04163	15	0
64	17	110	47	0,00002	66,62740	66,62742	16	0
39	97	72	53	0,00002	67,62740	67,62742	15	0
54	44	55	102	-0,00004	65,87010	65,87006	10	0
78	14	22	37	0,00001	65,52690	65,52691	10	0
99	48	61	16	-0,00002	66,48530	66,48528	11	0
123	108	78	79	0,00000	65,21320	65,21320	6	0
112	80	50	93	-0,00002	67,38480	67,38478	8	0
83	97	59	41	0,00003	65,94110	65,94113	13	0
118	84	53	81	0,00004	66,24260	66,24264	3	0
52	119	42	56	0,00002	71,62740	71,62742	10	0
79	98	26	57	-0,00004	69,98280	69,98276	15	0
49	44	35	107	-0,00001	68,79900	68,79899	7	0
60	86	57	26	0,00001	69,52690	69,52691	11	0
75	46	18	17	-0,00001	69,01220	69,01219	9	0
77	15	26	53	0,00001	71,42640	71,42641	11	0
6	117	38	73	-0,00002	68,38480	68,38478	7	0
97	79	32	64	0,00000	71,21320	71,21320	13	0
51	10	40	77	0,00005	71,55630	71,55635	8	0
34	114	30	48	-0,00002	68,48530	68,48528	9	0
83	87	34	49	0,00001	73,52690	73,52691	16	0
22	15	77	60	-0,00004	75,98280	75,98276	14	0
23	15	86	19	-0,00004	75,87010	75,87006	11	0
76	103	47	108	0,00000	75,21320	75,21320	15	0
83	97	50	37	0,00003	74,25480	74,25483	14	0
30	67	65	114	0,00000	73,21320	73,21320	6	0
83	14	19	17	0,00001	73,52690	73,52691	13	0
79	83	28	116	0,00000	75,21320	75,21320	8	0
110	27	77	73	-0,00000	72,11270	72,11270	15	0
102	74	32	69	-0,00001	72,89950	72,89949	10	0
59	19	90	82	-0,00005	78,76960	78,76955	12	0
96	78	34	53	-0,00001	78,79900	78,79899	17	0
71	91	60	115	-0,00002	79,38480	79,38478	9	0
103	22	46	48	0,00002	77,72790	77,72792	17	0
52	78	23	24	0,00001	79,52690	79,52691	12	0
90	52	108	81	0,00000	78,21320	78,21320	16	0
44	46	52	106	-0,00001	77,89950	77,89949	13	0
30	56	59	110	0,00005	76,55630	76,55635	11	0
72	18	77	82	-0,00004	77,87010	77,87006	11	0
31	18	39	78	0,00003	77,94110	77,94113	10	0
74	65	34	119	0,00001	80,52690	80,52691	10	0
62	87	53	16	0,00004	81,35530	81,35534	12	0
108	79	63	31	-0,00002	82,69850	82,69848	13	0
