type: da2
name: lt_darktown
algorithm: jpsplusbb
preprossessing [ms]: 27401

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
175	79	175	83	0,00000	4,00000	4,00000	3	0
202	38	200	31	-0,00000	7,82843	7,82843	5	0
200	163	204	158	0,00000	6,65685	6,65685	5	0
131	142	127	143	0,00000	4,41421	4,41421	4	0
202	43	202	39	0,00000	4,00000	4,00000	4	0
200	225	200	221	0,00000	4,00000	4,00000	3	0
208	81	203	77	0,00000	6,65685	6,65685	4	0
188	209	194	210	0,00000	6,41421	6,41421	4	0
149	123	145	122	0,00000	4,41421	4,41421	5	0
190	73	183	75	-0,00000	7,82843	7,82843	5	0
202	133	210	137	0,00000	9,65685	9,65685	5	0
192	79	194	69	0,00003	10,82840	10,82843	4	0
142	198	135	206	-0,00001	10,89950	10,89949	7	0
142	160	149	157	0,00000	8,24264	8,24264	5	0
174	41	166	42	0,00000	8,41421	8,41421	4	0
177	154	170	146	-0,00001	10,89950	10,89949	4	0
179	103	174	112	-0,00003	11,07110	11,07107	4	0
79	117	89	113	-0,00005	11,65690	11,65685	4	0
116	135	109	128	0,00000	9,89949	9,89949	5	0
146	134	142	142	0,00000	9,65685	9,65685	3	0
192	210	185	223	-0,00001	15,89950	15,89949	9	0
203	181	211	185	-0,00003	13,07110	13,07107	11	0
200	167	214	168	0,00001	14,41420	14,41421	5	0
194	36	200	49	-0,00002	15,48530	15,48528	4	0
183	75	197	77	0,00003	14,82840	14,82843	5	0
202	64	195	52	-0,00001	14,89950	14,89949	7	0
209	123	214	111	-0,00003	14,07110	14,07107	4	0
193	229	193	243	-0,00005	15,65690	15,65685	7	0
204	254	195	243	0,00002	14,72790	14,72792	6	1
140	125	151	117	0,00001	14,31370	14,31371	4	0
132	141	148	147	-0,00002	18,48530	18,48528	7	0
181	122	164	119	0,00004	18,24260	18,24264	3	0
198	257	204	271	-0,00002	16,48530	16,48528	5	0
113	119	119	133	-0,00002	16,48530	16,48528	5	0
198	61	199	45	0,00001	16,41420	16,41421	4	0
147	191	133	199	0,00001	17,31370	17,31371	4	0
183	149	168	143	-0,00002	17,48530	17,48528	8	0
105	124	90	129	-0,00003	17,07110	17,07107	7	0
97	121	89	137	0,00001	19,31370	19,31371	4	0
193	45	186	55	-0,00003	16,07110	16,07107	5	0
195	210	204	227	0,00002	20,72790	20,72792	9	0
156	61	156	39	0,00000	22,00000	22,00000	2	0
92	133	107	124	-0,00005	21,65690	21,65685	7	0
172	74	192	71	0,00004	21,24260	21,24264	4	0
156	233	135	229	-0,00005	22,65690	22,65685	7	0
195	265	203	245	0,00001	23,31370	23,31371	10	0
140	134	146	116	-0,00002	20,48530	20,48528	4	0
180	127	195	116	0,00002	20,72790	20,72792	8	0
179	224	189	242	-0,00001	23,89950	23,89949	8	0
198	261	199	241	0,00001	20,41420	20,41421	5	0
172	55	194	47	-0,00005	27,65690	27,65685	6	0
196	88	172	79	0,00002	27,72790	27,72792	6	0
180	81	205	86	-0,00003	27,07110	27,07107	8	0
173	32	180	53	-0,00005	25,65690	25,65685	7	0
140	160	140	184	0,00000	24,00000	24,00000	4	0
175	152	199	154	-0,00005	25,65690	25,65685	7	0
208	149	200	125	0,00001	27,31370	27,31371	7	0
212	183	214	162	0,00005	26,55630	26,55635	9	0
192	207	204	211	0,00001	27,31370	27,31371	11	0
181	122	199	122	-0,00005	27,65690	27,65685	11	0
210	120	203	146	-0,00001	28,89950	28,89949	6	0
200	42	175	54	0,00002	31,72790	31,72792	5	0
169	47	154	68	-0,00004	28,97060	28,97056	7	0
154	40	180	52	-0,00004	30,97060	30,97056	7	0
164	153	142	166	0,00002	29,72790	29,72792	13	0
201	156	174	149	-0,00001	29,89950	29,89949	9	0
180	128	205	121	0,00001	31,31370	31,31371	11	0
212	158	184	157	0,00001	28,41420	28,41421	4	0
185	208	209	225	0,00003	31,04160	31,04163	12	1
154	104	155	74	0,00001	30,41420	30,41421	6	0
125	141	157	144	0,00004	33,24260	33,24264	6	0
206	137	200	105	-0,00002	34,48530	34,48528	8	0
90	134	115	121	0,00002	32,72790	32,72792	7	0
187	213	204	204	-0,00001	33,89950	33,89949	7	0
198	57	179	73	0,00002	35,72790	35,72792	11	0
148	138	121	135	-0,00005	33,65690	33,65685	10	0
178	120	143	118	0,00003	35,82840	35,82843	4	0
128	237	158	230	-0,00001	32,89950	32,89949	9	0
191	237	193	268	-0,00002	33,48530	33,48528	7	0
198	60	187	30	0,00005	34,55630	34,55635	8	0
213	164	206	199	-0,00003	39,07110	39,07107	9	0
169	147	145	126	-0,00004	37,97060	37,97056	11	0
164	117	144	139	0,00001	37,31370	37,31371	7	0
174	26	154	56	-0,00003	38,28430	38,28427	7	0
202	135	189	121	0,00003	39,82840	39,82843	10	0
136	186	153	157	0,00005	39,55630	39,55635	8	0
142	114	151	149	0,00002	38,72790	38,72792	7	0
180	119	215	125	-0,00002	37,48530	37,48528	9	0
88	138	112	117	0,00000	36,21320	36,21320	8	0
115	236	147	227	0,00001	36,31370	36,31371	10	0
167	42	204	46	-0,00002	43,38480	43,38478	6	0
182	162	148	143	0,00002	43,62740	43,62742	12	0
185	158	145	150	0,00001	43,31370	43,31371	6	0
186	39	173	44	0,00004	42,14210	42,14214	6	0
209	237	190	209	0,00002	41,72790	41,72792	10	0
153	153	116	141	-0,00004	41,97060	41,97056	6	0
215	156	208	193	0,00002	40,72790	40,72792	12	0
203	199	197	161	-0,00002	40,48530	40,48528	9	0
197	157	159	150	-0,00001	40,89950	40,89949	10	0
115	132	151	143	0,00002	41,72790	41,72792	8	0
185	42	173	67	-0,00002	47,38480	47,38478	12	0
205	22	191	62	-0,00001	45,79900	45,79899	11	0
194	157	213	119	-0,00004	45,87010	45,87006	12	0
155	78	137	118	0,00004	47,45580	47,45584	16	0
203	55	176	79	0,00001	46,31370	46,31371	7	0
158	41	197	48	-0,00002	44,38480	44,38478	6	1
148	77	177	51	-0,00001	46,79900	46,79899	6	0
199	81	189	60	0,00003	47,04160	47,04163	7	0
211	162	196	124	0,00000	44,21320	44,21320	12	0
214	126	207	168	-0,00001	44,89950	44,89949	5	0
151	118	155	69	-0,00005	50,65690	50,65685	13	0
130	142	91	121	-0,00004	48,87010	48,87006	13	0
141	112	189	119	-0,00001	50,89950	50,89949	6	0
205	53	157	48	-0,00003	50,07110	50,07107	5	0
157	238	145	193	-0,00004	49,97060	49,97056	12	0
197	62	167	32	0,00002	50,62740	50,62742	8	0
200	159	201	110	0,00004	50,24260	50,24264	9	0
115	137	76	122	0,00004	48,14210	48,14214	10	0
150	184	154	229	0,00004	49,14210	49,14214	11	0
178	56	204	23	0,00000	50,21320	50,21320	8	0
212	184	177	145	0,00003	55,25480	55,25483	20	0
176	100	132	117	0,00002	55,72790	55,72792	8	0
129	117	183	117	0,00000	54,00000	54,00000	2	0
