type: da2
name: lt_gallowscourtyard
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
320	390	326	390	0,00000	6,00000	6,00000	44	0
214	366	211	369	0,00000	4,24264	4,24264	23	0
125	397	120	394	0,00000	6,24264	6,24264	42	0
182	360	182	364	0,00000	4,00000	4,00000	30	0
340	305	335	306	0,00000	5,41421	5,41421	37	0
195	323	190	326	-0,00000	6,82843	6,82843	35	0
141	385	142	392	0,00000	7,41421	7,41421	51	0
171	338	166	334	0,00000	6,65685	6,65685	43	0
225	394	225	400	0,00000	6,00000	6,00000	44	0
186	338	185	334	0,00000	4,41421	4,41421	30	0
197	409	186	408	0,00001	11,41420	11,41421	79	0
161	305	169	308	0,00000	9,24264	9,24264	73	0
229	423	221	421	-0,00000	8,82843	8,82843	48	0
173	473	167	478	-0,00000	8,07107	8,07107	44	0
241	281	241	270	0,00000	11,00000	11,00000	79	0
167	333	170	341	0,00000	9,24264	9,24264	76	0
313	388	304	391	0,00004	10,24260	10,24264	90	0
157	304	165	305	0,00000	8,41421	8,41421	58	0
339	226	338	218	0,00000	8,41421	8,41421	57	0
214	387	207	394	0,00000	9,89949	9,89949	51	0
180	451	188	461	0,00001	13,31370	13,31371	111	0
218	436	228	443	-0,00001	12,89950	12,89949	94	0
192	469	185	456	-0,00001	15,89950	15,89949	150	0
212	368	198	369	0,00001	14,41420	14,41421	100	0
211	364	221	358	0,00004	14,24260	14,24264	146	0
188	327	178	318	0,00002	13,72790	13,72792	96	0
229	359	223	348	-0,00002	13,48530	13,48528	126	0
252	396	238	395	0,00001	14,41420	14,41421	100	0
342	382	335	394	-0,00001	14,89950	14,89949	120	0
199	410	194	398	-0,00003	14,07110	14,07107	127	0
169	295	154	306	0,00005	19,55630	19,55635	163	0
314	391	298	396	-0,00003	18,07110	18,07107	184	0
172	319	180	305	0,00001	17,31370	17,31371	175	0
151	396	135	388	0,00001	19,31370	19,31371	211	0
257	385	273	391	-0,00002	18,48530	18,48528	193	0
221	429	216	412	-0,00003	19,07110	19,07107	160	1
219	350	221	333	0,00003	17,82840	17,82843	101	0
207	370	192	377	-0,00001	17,89950	17,89949	185	0
209	431	198	417	0,00005	18,55630	18,55635	115	0
197	388	193	372	-0,00005	17,65690	17,65685	178	0
345	318	336	301	0,00002	20,72790	20,72792	224	0
203	394	223	393	0,00001	20,41420	20,41421	142	0
191	395	207	384	0,00005	20,55630	20,55635	205	0
220	376	217	395	0,00004	20,24260	20,24264	176	0
185	388	165	386	0,00003	20,82840	20,82843	163	0
180	320	199	309	0,00005	23,55630	23,55635	265	0
219	324	234	333	0,00002	20,72790	20,72792	119	0
193	308	173	315	-0,00001	22,89950	22,89949	252	0
337	285	316	282	0,00004	22,24260	22,24264	203	0
354	389	373	386	0,00004	20,24260	20,24264	152	0
175	380	184	361	-0,00002	24,48530	24,48528	209	0
208	367	189	357	-0,00001	24,89950	24,89949	262	0
296	302	272	307	-0,00003	26,07110	26,07107	291	0
338	381	318	395	-0,00001	25,79900	25,79899	277	1
186	463	167	478	0,00000	25,21320	25,21320	241	0
198	312	178	296	0,00002	26,62740	26,62742	256	0
266	404	248	404	-0,00003	25,07110	25,07107	229	0
202	294	176	297	0,00004	27,24260	27,24264	277	0
161	303	177	322	0,00002	25,62740	25,62742	228	0
194	316	190	293	-0,00005	24,65690	24,65685	245	0
183	350	185	319	0,00003	31,82840	31,82843	271	0
328	287	303	278	0,00002	28,72790	28,72792	215	1
192	357	167	348	0,00002	28,72790	28,72792	267	0
206	402	194	427	0,00005	30,55630	30,55635	423	0
168	336	180	359	0,00004	29,14210	29,14214	278	0
214	426	206	398	0,00001	31,31370	31,31371	361	1
188	323	189	352	0,00001	29,41420	29,41421	205	0
324	379	308	403	0,00002	30,62740	30,62742	344	0
182	326	170	302	-0,00004	28,97060	28,97056	376	0
192	409	198	381	-0,00002	30,48530	30,48528	383	0
212	390	187	415	0,00004	35,35530	35,35534	177	0
189	401	180	430	0,00002	32,72790	32,72792	428	1
179	397	201	373	-0,00000	33,11270	33,11270	269	0
296	403	268	390	-0,00002	33,38480	33,38478	429	0
233	329	250	305	0,00000	32,21320	32,21320	310	0
182	367	170	398	-0,00004	35,97060	35,97056	312	1
235	361	221	332	-0,00001	34,79900	34,79899	360	0
349	311	332	283	0,00003	35,04160	35,04163	457	0
258	384	227	391	-0,00002	34,48530	34,48528	293	0
205	433	185	408	-0,00004	33,87010	33,87006	323	0
180	291	188	326	0,00001	38,31370	38,31371	515	1
212	386	243	380	0,00004	39,24260	39,24264	668	2
187	382	184	347	0,00004	36,24260	36,24264	352	0
172	402	203	419	0,00003	38,04160	38,04163	418	0
190	360	192	398	0,00003	38,82840	38,82843	327	0
229	364	195	371	-0,00001	36,89950	36,89949	420	0
191	374	171	349	-0,00002	37,38480	37,38478	480	1
278	310	241	303	-0,00001	39,89950	39,89949	353	0
218	307	237	285	-0,00001	38,89950	38,89949	372	0
267	384	302	389	-0,00003	37,07110	37,07107	424	0
221	382	179	381	0,00001	42,41420	42,41421	293	0
202	422	212	383	0,00004	43,14210	43,14214	622	0
281	394	239	394	0,00000	42,00000	42,00000	296	0
220	378	193	350	0,00004	40,35530	40,35534	375	0
142	308	165	327	0,00003	40,82840	40,82843	294	1
210	365	183	335	0,00001	43,52690	43,52691	426	0
205	376	173	402	0,00003	43,94110	43,94113	617	0
234	356	216	390	0,00002	42,62740	42,62742	513	1
216	372	178	381	0,00002	41,72790	41,72792	593	0
264	308	225	305	0,00004	40,24260	40,24264	303	0
222	408	225	365	-0,00005	45,65690	45,65685	433	1
155	301	166	343	0,00004	47,14210	47,14214	337	0
239	299	220	328	0,00004	46,14210	46,14214	683	0
348	247	333	288	0,00000	47,21320	47,21320	742	1
167	350	206	368	0,00002	47,62740	47,62742	525	0
170	324	192	289	-0,00000	44,11270	44,11270	642	0
190	418	155	395	-0,00003	46,28430	46,28427	472	0
213	435	207	391	-0,00002	46,48530	46,48528	553	1
183	383	218	408	0,00004	45,35530	45,35534	604	0
279	403	237	391	-0,00004	46,97060	46,97056	578	1
215	416	243	383	-0,00004	49,87010	49,87006	613	0
213	356	235	393	0,00003	49,04160	49,04163	761	1
209	390	222	345	-0,00002	50,38480	50,38478	797	1
228	346	186	364	0,00002	50,62740	50,62742	766	0
301	389	253	390	0,00001	48,41420	48,41421	338	0
196	426	199	465	0,00002	48,72790	48,72792	627	1
229	435	205	396	-0,00002	50,69850	50,69848	618	0
197	318	186	365	0,00005	51,55630	51,55635	456	1
244	332	269	309	-0,00005	49,65690	49,65685	495	0
220	344	223	391	0,00004	48,24260	48,24264	404	0
209	305	237	328	-0,00003	52,07110	52,07107	649	1
170	333	142	300	0,00000	52,21320	52,21320	601	0
173	389	225	395	-0,00002	54,48530	54,48528	675	1
236	348	192	374	0,00003	55,94110	55,94113	893	1
203	400	167	393	-0,00003	52,07110	52,07107	1578	1
182	359	197	405	0,00000	52,21320	52,21320	850	1
203	405	252	396	0,00002	52,72790	52,72792	564	0
208	304	180	347	-0,00002	54,59800	54,59798	685	1
198	398	188	347	0,00004	55,14210	55,14214	836	1
350	278	343	228	-0,00001	52,89950	52,89949	542	0
241	309	186	304	-0,00003	57,07110	57,07107	511	0
347	241	316	278	0,00004	57,45580	57,45584	868	1
189	308	237	314	0,00004	58,24260	58,24264	988	1
191	310	239	316	-0,00005	57,65690	57,65685	874	1
327	281	344	232	0,00003	56,04160	56,04163	746	1
