type: da2
name: lt_gallowstemplar_f
algorithm: astarbb
preprossessing [ms]: 21848

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
206	75	201	76	0,00000	5,41421	5,41421	22	0
150	69	148	74	-0,00000	5,82843	5,82843	40	0
205	89	201	84	0,00000	6,65685	6,65685	43	0
165	116	169	118	-0,00000	4,82843	4,82843	33	0
144	122	148	118	0,00000	5,65685	5,65685	22	0
44	89	48	89	0,00000	4,00000	4,00000	25	0
171	151	169	158	-0,00000	7,82843	7,82843	48	0
172	162	176	159	0,00000	5,24264	5,24264	29	0
38	105	45	107	-0,00000	7,82843	7,82843	53	1
194	91	201	89	-0,00000	7,82843	7,82843	48	0
164	92	163	81	0,00001	11,41420	11,41421	68	0
34	83	27	76	0,00000	9,89949	9,89949	43	0
163	115	163	123	0,00000	8,00000	8,00000	46	0
24	87	18	96	-0,00002	11,48530	11,48528	74	0
51	89	55	81	0,00001	11,41420	11,41421	59	0
156	89	146	88	0,00001	10,41420	10,41421	71	0
137	72	131	80	-0,00002	10,48530	10,48528	72	0
188	124	191	132	0,00000	9,24264	9,24264	61	0
159	67	155	76	-0,00005	10,65690	10,65685	77	0
136	112	132	119	0,00000	8,65685	8,65685	62	0
119	119	106	112	-0,00001	15,89950	15,89949	75	0
212	93	202	85	0,00001	13,31370	13,31371	107	0
28	95	33	83	-0,00003	14,07110	14,07107	115	0
104	119	113	109	-0,00002	15,48530	15,48528	86	1
44	97	32	98	0,00001	12,41420	12,41421	73	0
135	55	133	70	0,00003	15,82840	15,82843	115	0
150	87	164	84	0,00004	15,24260	15,24264	138	0
170	66	160	60	-0,00005	13,65690	13,65685	93	0
146	56	158	48	0,00001	15,31370	15,31371	102	0
39	99	40	85	0,00001	14,41420	14,41421	84	0
43	95	59	96	0,00003	17,82840	17,82843	111	0
159	127	155	140	0,00001	18,41420	18,41421	103	0
164	55	157	70	-0,00001	17,89950	17,89949	156	1
24	111	39	101	0,00004	19,14210	19,14214	158	0
217	100	222	109	-0,00003	17,07110	17,07107	75	0
110	98	93	91	-0,00001	19,89950	19,89949	152	0
110	97	101	107	0,00001	18,41420	18,41421	175	0
40	102	26	94	0,00001	17,31370	17,31371	150	0
156	60	172	62	0,00003	16,82840	16,82843	121	0
148	163	165	166	0,00004	18,24260	18,24264	122	1
166	119	151	131	0,00002	21,72790	21,72792	189	0
156	169	134	166	0,00004	23,24260	23,24264	145	0
158	110	142	120	0,00004	20,14210	20,14214	181	0
154	46	167	64	-0,00002	23,38480	23,38478	160	0
194	153	191	132	0,00004	22,24260	22,24264	148	0
192	80	206	97	-0,00001	22,79900	22,79899	170	1
102	111	100	102	-0,00005	22,65690	22,65685	108	0
149	82	151	102	0,00003	20,82840	20,82843	153	0
157	135	149	116	0,00001	22,31370	22,31371	143	0
30	81	27	102	0,00004	22,24260	22,24264	178	0
26	97	44	79	0,00004	25,45580	25,45584	110	0
212	93	187	91	0,00003	25,82840	25,82843	215	0
154	142	153	168	0,00001	26,41420	26,41421	155	1
141	167	136	145	-0,00003	24,07110	24,07107	215	0
44	96	69	97	0,00001	25,41420	25,41421	125	0
144	121	170	121	0,00000	26,00000	26,00000	157	0
22	76	42	94	0,00004	27,45580	27,45584	184	0
172	56	157	74	0,00000	24,21320	24,21320	186	0
154	99	149	74	-0,00003	27,07110	27,07107	272	1
149	142	158	164	0,00002	25,72790	25,72792	224	0
143	97	155	72	-0,00004	29,97060	29,97056	341	0
156	55	175	74	-0,00001	29,79900	29,79899	373	1
134	107	155	119	-0,00001	28,89950	28,89949	238	0
137	157	159	143	-0,00002	28,38480	28,38478	251	0
164	53	168	80	-0,00005	28,65690	28,65685	256	1
135	118	148	99	-0,00005	29,65690	29,65685	304	0
155	123	153	152	0,00003	29,82840	29,82843	157	0
223	102	204	80	-0,00004	29,87010	29,87006	155	0
185	113	197	137	0,00001	31,31370	31,31371	254	0
195	148	172	160	0,00005	28,55630	28,55635	188	1
147	71	175	52	-0,00004	35,87010	35,87006	407	0
167	104	145	101	-0,00005	32,65690	32,65685	341	1
206	111	194	139	0,00001	35,31370	35,31371	267	0
215	107	244	123	0,00002	35,62740	35,62742	225	0
171	113	142	118	0,00004	32,24260	32,24264	237	0
165	163	138	147	-0,00001	34,79900	34,79899	378	1
46	113	25	88	-0,00002	33,69850	33,69848	288	0
22	100	50	110	0,00004	32,14210	32,14214	405	1
110	80	88	97	-0,00001	34,89950	34,89949	212	0
162	87	159	121	0,00004	35,24260	35,24264	207	0
211	77	179	95	0,00004	39,45580	39,45584	508	1
219	96	194	119	0,00003	38,04160	38,04163	229	0
153	124	165	91	-0,00004	37,97060	37,97056	380	0
202	110	237	116	-0,00002	37,48530	37,48528	245	0
229	105	213	134	0,00002	39,72790	39,72792	242	0
157	105	153	67	-0,00005	39,65690	39,65685	372	0
71	97	109	93	-0,00005	39,65690	39,65685	364	1
215	85	209	119	-0,00002	36,48530	36,48528	274	0
231	103	203	114	-0,00003	36,07110	36,07107	188	0
183	158	148	147	0,00005	39,55630	39,55635	395	1
211	115	222	79	0,00005	40,55630	40,55635	413	0
144	58	139	97	-0,00003	41,07110	41,07107	453	1
137	68	135	109	0,00003	41,82840	41,82843	181	0
165	76	134	71	0,00000	41,21320	41,21320	843	1
194	152	200	113	-0,00002	41,48530	41,48528	279	1
170	115	136	106	0,00001	42,41420	42,41421	515	0
169	166	153	132	-0,00001	41,79900	41,79899	483	1
139	68	160	102	-0,00002	42,69850	42,69848	523	1
166	157	153	123	0,00005	40,55630	40,55635	329	0
120	160	161	165	-0,00003	43,07110	43,07107	354	1
195	152	152	164	-0,00004	47,97060	47,97056	412	0
174	69	144	91	-0,00002	45,59800	45,59798	440	0
155	65	134	92	-0,00005	47,65690	47,65685	1111	1
151	60	174	89	0,00001	47,31370	47,31371	1041	2
174	56	157	95	0,00003	46,04160	46,04163	605	1
142	87	169	53	-0,00003	45,18380	45,18377	480	0
131	100	144	58	-0,00004	47,97060	47,97056	269	1
70	98	26	106	0,00001	47,31370	47,31371	434	0
131	82	142	88	0,00002	47,72790	47,72792	462	1
149	91	173	108	-0,00002	47,38480	47,38478	850	1
150	61	171	93	-0,00005	50,65690	50,65685	1175	2
150	148	147	100	0,00002	51,72790	51,72792	467	1
124	159	174	160	0,00001	50,41420	50,41421	308	0
152	154	198	165	0,00005	50,55630	50,55635	503	1
