type: da2
name: lt_gallowstemplar
algorithm: jpsplus
preprossessing [ms]: 18

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
136	165	133	159	0,00000	7,24264	7,24264	6	0
148	46	153	46	0,00000	5,00000	5,00000	4	0
166	86	163	81	0,00000	6,24264	6,24264	8	0
183	113	186	109	0,00000	5,24264	5,24264	10	0
152	159	145	158	0,00000	7,41421	7,41421	8	0
22	122	18	122	0,00000	4,00000	4,00000	4	0
147	169	148	163	0,00000	6,41421	6,41421	7	0
140	73	139	78	0,00000	5,41421	5,41421	6	0
235	120	230	116	0,00000	6,65685	6,65685	12	0
148	154	143	150	-0,00000	7,82843	7,82843	9	0
141	160	137	150	-0,00005	11,65690	11,65685	9	0
187	161	192	154	-0,00000	9,07107	9,07107	7	0
156	49	160	57	0,00000	9,65685	9,65685	11	0
207	117	217	117	0,00000	10,00000	10,00000	6	0
132	56	141	62	-0,00002	11,48530	11,48528	8	0
206	85	199	93	-0,00001	10,89950	10,89949	12	0
205	93	208	100	0,00000	8,24264	8,24264	8	0
217	79	214	89	0,00003	11,82840	11,82843	18	0
167	61	160	56	-0,00000	9,07107	9,07107	6	0
42	110	35	103	0,00000	9,89949	9,89949	4	0
165	78	152	81	0,00004	14,24260	14,24264	10	0
42	83	50	95	0,00001	15,31370	15,31371	9	0
45	101	43	116	0,00003	15,82840	15,82843	7	0
47	111	33	111	0,00000	14,00000	14,00000	5	0
192	152	188	139	0,00004	15,24260	15,24264	20	0
161	55	173	59	-0,00005	13,65690	13,65685	9	0
50	90	39	100	0,00004	15,14210	15,14214	8	0
150	77	153	65	0,00004	13,24260	13,24264	7	0
176	64	168	53	0,00001	14,31370	14,31371	5	0
192	77	199	90	-0,00001	15,89950	15,89949	11	0
146	102	145	119	0,00004	18,24260	18,24264	9	0
154	132	148	118	-0,00003	17,07110	17,07107	13	0
186	79	186	98	0,00000	19,00000	19,00000	8	0
162	78	159	93	0,00004	16,24260	16,24264	9	0
29	81	32	97	0,00004	17,24260	17,24264	6	0
141	80	156	85	-0,00003	17,07110	17,07107	9	0
27	92	42	80	-0,00004	19,97060	19,97056	8	0
166	167	171	152	-0,00003	17,07110	17,07107	6	1
152	73	165	63	0,00004	17,14210	17,14214	11	0
25	76	43	78	0,00003	18,82840	18,82843	5	0
194	97	193	77	0,00001	20,41420	20,41421	8	0
47	108	53	90	-0,00002	20,48530	20,48528	10	0
153	108	137	117	0,00001	20,31370	20,31371	12	0
45	115	47	95	0,00003	20,82840	20,82843	6	0
18	112	39	113	0,00001	21,41420	21,41421	6	0
25	78	27	98	0,00003	20,82840	20,82843	7	0
166	150	151	164	-0,00004	21,97060	21,97056	18	0
209	112	220	94	0,00004	23,14210	23,14214	21	0
191	150	176	155	-0,00002	20,48530	20,48528	19	0
150	109	146	88	-0,00005	22,65690	22,65685	11	0
49	88	25	81	-0,00001	26,89950	26,89949	7	0
239	108	220	118	0,00001	24,31370	24,31371	22	0
112	78	110	102	-0,00005	25,65690	25,65685	14	0
152	147	141	167	0,00002	25,72790	25,72792	23	0
193	133	193	159	0,00000	26,00000	26,00000	7	0
192	133	181	113	-0,00002	27,48530	27,48528	23	0
157	160	134	151	0,00002	26,72790	26,72792	23	0
195	89	220	96	-0,00001	27,89950	27,89949	18	0
149	80	162	99	-0,00002	24,38480	24,38478	15	0
213	106	233	110	0,00001	25,31370	25,31371	19	0
190	112	217	108	-0,00005	28,65690	28,65685	21	0
211	118	198	130	-0,00002	31,48530	31,48528	42	0
212	84	207	111	0,00004	30,24260	30,24264	26	0
227	113	198	117	-0,00005	30,65690	30,65685	19	0
154	114	159	86	-0,00003	30,07110	30,07107	11	0
157	169	128	162	-0,00001	31,89950	31,89949	16	0
227	110	219	100	0,00001	31,31370	31,31371	37	0
163	57	163	87	0,00000	30,00000	30,00000	5	0
76	99	48	100	0,00004	29,24260	29,24264	15	0
211	136	203	117	0,00001	28,41420	28,41421	15	0
159	64	139	90	-0,00003	34,28430	34,28427	20	0
170	53	161	85	0,00002	35,72790	35,72792	9	0
153	112	157	79	-0,00005	34,65690	34,65685	8	0
129	158	161	165	-0,00001	34,89950	34,89949	18	0
51	97	21	111	-0,00001	35,79900	35,79899	12	0
200	100	201	114	0,00001	34,31370	34,31371	45	0
174	154	150	174	-0,00003	32,28430	32,28427	16	1
