type: da2
name: lt_gallowstemplar_n
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
156	60	160	57	0,00000	5,24264	5,24264	36	0
208	117	208	111	0,00000	6,00000	6,00000	44	0
169	162	173	162	0,00000	4,00000	4,00000	30	0
158	120	158	126	0,00000	6,00000	6,00000	44	0
157	105	154	101	0,00000	5,24264	5,24264	36	0
134	59	140	62	0,00000	7,24264	7,24264	52	0
146	115	147	112	0,00000	4,00000	4,00000	20	0
147	158	153	155	0,00000	7,24264	7,24264	52	0
168	124	174	127	0,00000	7,24264	7,24264	49	0
142	92	142	85	0,00000	7,00000	7,00000	51	0
204	99	214	98	0,00001	10,41420	10,41421	59	0
191	84	197	90	0,00000	8,48528	8,48528	44	0
152	55	161	58	0,00004	10,24260	10,24264	89	0
159	87	150	90	0,00004	10,24260	10,24264	90	0
37	92	31	86	0,00000	8,48528	8,48528	44	0
43	89	49	84	-0,00000	8,07107	8,07107	44	0
154	66	164	67	0,00001	10,41420	10,41421	72	0
143	157	154	157	0,00000	11,00000	11,00000	79	0
159	121	153	130	-0,00002	11,48530	11,48528	87	0
48	97	40	93	0,00000	9,65685	9,65685	76	0
103	118	99	108	0,00003	12,82840	12,82843	71	0
161	65	155	76	-0,00002	13,48530	13,48528	127	0
169	68	166	72	0,00001	14,41420	14,41421	156	0
169	54	157	54	0,00000	12,00000	12,00000	86	0
104	93	115	102	0,00002	14,72790	14,72792	117	0
20	100	26	90	-0,00002	12,48530	12,48528	112	0
32	95	46	95	0,00000	14,00000	14,00000	100	0
219	112	227	107	0,00001	14,41420	14,41421	118	0
158	152	144	155	0,00004	15,24260	15,24264	114	0
151	62	165	61	0,00001	14,41420	14,41421	100	0
141	69	150	82	0,00002	16,72790	16,72792	150	0
155	156	140	148	0,00001	18,31370	18,31371	170	0
172	84	174	66	0,00003	18,82840	18,82843	151	0
153	50	170	55	-0,00003	19,07110	19,07107	139	1
146	160	129	156	-0,00005	18,65690	18,65685	166	0
157	67	150	51	-0,00001	18,89950	18,89949	195	0
221	97	221	78	0,00000	19,00000	19,00000	135	0
188	76	203	80	-0,00005	16,65690	16,65685	142	0
170	125	153	125	0,00000	17,00000	17,00000	121	0
216	94	212	111	-0,00005	18,65690	18,65685	129	0
158	139	168	154	-0,00002	21,48530	21,48528	151	0
216	112	194	116	-0,00005	23,65690	23,65685	233	0
59	96	42	91	-0,00002	20,48530	20,48528	166	0
141	91	158	102	0,00005	21,55630	21,55635	215	0
136	118	152	131	0,00002	23,72790	23,72792	256	1
43	103	62	95	0,00001	22,31370	22,31371	203	0
187	134	198	152	0,00005	22,55630	22,55635	156	0
161	91	162	71	0,00001	20,41420	20,41421	142	0
187	136	188	119	-0,00003	23,07110	23,07107	190	0
161	85	140	92	-0,00001	23,89950	23,89949	275	0
61	101	85	97	-0,00005	25,65690	25,65685	241	0
208	79	184	77	0,00003	24,82840	24,82843	221	0
103	99	78	94	-0,00003	27,07110	27,07107	293	1
43	97	24	80	0,00003	26,04160	26,04163	218	0
212	106	205	84	-0,00001	24,89950	24,89949	220	0
149	175	162	157	0,00004	25,14210	25,14214	284	0
47	94	72	95	-0,00003	27,07110	27,07107	237	0
211	103	195	112	-0,00005	24,65690	24,65685	200	0
235	121	214	113	0,00001	24,31370	24,31371	188	0
131	93	132	69	0,00001	24,41420	24,41421	101	0
216	113	241	124	0,00005	29,55630	29,55635	257	1
75	112	59	102	-0,00002	28,48530	28,48528	241	0
221	94	197	103	-0,00001	28,89950	28,89949	319	0
17	81	17	109	0,00000	28,00000	28,00000	114	0
147	125	152	151	0,00003	29,82840	29,82843	208	0
191	112	169	126	-0,00001	31,89950	31,89949	340	0
174	150	197	164	0,00002	31,72790	31,72792	232	0
39	86	62	94	-0,00001	28,79900	28,79899	362	1
52	106	24	101	-0,00003	30,07110	30,07107	326	0
233	119	205	115	-0,00002	30,48530	30,48528	250	0
224	88	192	94	-0,00002	34,48530	34,48528	420	0
173	121	141	124	0,00004	33,24260	33,24264	346	0
153	82	171	54	0,00004	35,45580	35,45584	430	1
43	78	65	99	-0,00002	35,38480	35,38478	300	0
126	98	92	98	0,00000	34,00000	34,00000	239	0
180	117	157	105	-0,00005	34,65690	34,65685	340	0
166	164	197	160	0,00001	34,31370	34,31371	283	0
113	95	135	82	-0,00002	35,48530	35,48528	348	0
141	86	151	114	0,00004	32,14210	32,14214	353	0
133	166	148	139	-0,00002	34,38480	34,38478	384	0
18	89	52	96	-0,00001	36,89950	36,89949	472	1
26	114	56	97	0,00003	37,04160	37,04163	519	0
171	61	165	96	-0,00001	38,89950	38,89949	483	0
141	125	151	90	0,00004	39,14210	39,14214	401	1
38	87	52	115	0,00002	36,62740	36,62742	630	0
208	94	218	124	-0,00003	37,07110	37,07107	466	1
192	109	203	99	0,00004	37,24260	37,24264	473	0
241	109	205	111	-0,00002	38,48530	38,48528	374	0
132	83	152	71	0,00005	39,55630	39,55635	361	0
240	114	213	99	-0,00002	38,48530	38,48528	462	1
188	151	153	155	0,00004	41,24260	41,24264	331	0
193	149	157	165	-0,00001	43,79900	43,79899	433	0
217	130	187	111	-0,00002	41,38480	41,38478	434	1
147	158	149	120	0,00001	41,31370	41,31371	412	0
154	122	191	116	0,00004	41,14210	41,14214	461	0
149	42	167	77	0,00004	42,45580	42,45584	542	1
84	95	101	109	0,00001	40,31370	40,31371	547	0
157	101	152	60	-0,00003	43,07110	43,07107	491	1
79	96	120	97	0,00001	41,41420	41,41421	289	0
212	128	215	88	0,00004	41,24260	41,24264	327	0
155	66	156	112	0,00001	46,41420	46,41421	324	0
135	61	166	94	0,00002	45,84060	45,84062	344	0
132	123	149	90	0,00004	44,14210	44,14214	523	0
75	100	36	79	-0,00002	47,69850	47,69848	339	1
170	111	188	140	-0,00004	47,97060	47,97056	617	0
151	55	149	100	0,00003	45,82840	45,82843	408	0
155	148	150	103	-0,00003	47,07110	47,07107	459	1
102	113	132	90	-0,00004	45,97060	45,97056	449	0
158	96	134	58	0,00003	47,94110	47,94113	633	1
172	99	188	130	-0,00004	47,97060	47,97056	515	0
187	114	159	92	0,00001	51,41420	51,41421	593	0
162	101	180	111	0,00004	50,24260	50,24264	601	1
147	94	181	110	0,00002	50,62740	50,62742	897	3
145	82	165	123	-0,00003	49,28430	49,28427	658	0
132	102	87	95	-0,00005	49,65690	49,65685	456	1
170	101	166	95	0,00001	51,41420	51,41421	973	1
180	84	215	111	-0,00003	50,28430	50,28427	670	0
164	160	157	115	-0,00001	51,79900	51,79899	639	1
211	126	195	82	0,00004	51,45580	51,45584	506	0
132	88	156	117	-0,00003	50,07110	50,07107	352	0
218	84	236	105	0,00004	54,45580	54,45584	864	1
188	114	239	119	-0,00003	53,07110	53,07107	576	0
140	61	119	99	0,00004	53,14210	53,14214	751	0
21	122	59	93	0,00004	52,35530	52,35534	807	1
191	82	171	57	0,00004	53,14210	53,14214	735	1
198	164	147	152	-0,00004	55,97060	55,97056	549	1
153	175	155	120	0,00003	55,82840	55,82843	482	0
125	162	153	124	-0,00003	54,28430	54,28427	593	1
112	97	149	113	-0,00001	52,89950	52,89949	509	0
111	93	147	116	0,00004	53,14210	53,14214	462	1
155	73	138	125	0,00003	59,04160	59,04163	909	1
172	88	153	90	0,00003	59,04160	59,04163	1031	1
187	142	214	99	-0,00004	58,87010	58,87006	607	1
142	61	174	92	0,00001	58,31370	58,31371	1576	2
173	78	196	108	-0,00002	59,48530	59,48528	1004	1
146	118	200	116	-0,00002	56,48530	56,48528	614	1
215	129	174	105	0,00002	59,72790	59,72792	720	1
185	114	241	111	0,00004	57,24260	57,24264	548	0
145	164	137	120	-0,00004	58,97060	58,97056	1022	1
186	111	132	117	-0,00002	56,48530	56,48528	450	0
196	146	168	123	0,00000	60,21320	60,21320	802	1
172	84	214	112	0,00002	60,62740	60,62742	768	1
169	63	173	125	-0,00005	63,65690	63,65685	446	0
164	61	202	91	0,00004	62,14210	62,14214	888	1
241	108	188	126	-0,00001	62,79900	62,79899	803	0
97	93	38	99	-0,00002	61,48530	61,48528	522	1
189	143	214	135	-0,00003	62,07110	62,07107	861	0
199	89	163	123	-0,00004	62,97060	62,97056	834	1
151	85	172	100	0,00004	60,14210	60,14214	1514	2
218	143	242	122	0,00002	61,62740	61,62742	611	0
158	109	130	161	0,00003	65,94110	65,94113	894	1
