type: da2
name: lt_hangedman
algorithm: astarbb
preprossessing [ms]: 3663

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
23	105	26	102	-0,00000	4,82843	4,82843	19	0
46	121	39	120	0,00000	7,41421	7,41421	30	0
56	24	54	20	-0,00000	4,82843	4,82843	24	0
113	96	112	90	0,00000	7,00000	7,00000	32	0
38	122	42	122	0,00000	4,00000	4,00000	18	0
76	99	79	96	0,00000	4,24264	4,24264	19	0
35	13	40	15	0,00000	7,00000	7,00000	26	0
25	82	25	75	0,00000	7,00000	7,00000	43	0
27	100	33	104	0,00000	7,65685	7,65685	46	0
35	16	28	14	-0,00000	7,82843	7,82843	47	0
110	87	114	77	-0,00005	11,65690	11,65685	81	0
36	31	30	39	-0,00002	10,48530	10,48528	69	0
81	96	77	103	0,00000	8,65685	8,65685	61	0
34	31	25	37	-0,00002	11,48530	11,48528	82	0
11	63	18	67	0,00000	8,65685	8,65685	46	0
62	39	59	46	0,00000	8,24264	8,24264	58	1
66	48	67	59	0,00001	11,41420	11,41421	74	0
39	38	49	41	0,00004	11,24260	11,24264	91	0
62	11	56	20	-0,00002	11,48530	11,48528	80	0
37	36	48	34	0,00003	11,82840	11,82843	93	0
44	48	48	59	-0,00005	12,65690	12,65685	106	0
46	9	55	19	0,00002	13,72790	13,72792	84	0
41	14	50	23	-0,00002	14,48530	14,48528	97	0
114	117	102	108	0,00002	15,72790	15,72792	96	0
83	99	69	96	0,00004	15,24260	15,24264	92	0
36	87	23	85	0,00003	13,82840	13,82843	76	0
42	81	44	93	0,00003	12,82840	12,82843	87	0
42	87	50	78	0,00001	12,31370	12,31371	84	0
36	16	25	24	0,00001	14,31370	14,31371	94	0
42	73	41	88	0,00001	15,41420	15,41421	73	0
36	34	30	24	-0,00003	19,07110	19,07107	104	0
72	90	61	98	0,00004	17,24260	17,24264	69	0
48	11	30	15	-0,00005	19,65690	19,65685	93	0
50	81	42	65	0,00001	19,31370	19,31371	181	0
30	52	29	37	-0,00003	17,07110	17,07107	86	0
44	42	50	59	-0,00002	19,48530	19,48528	181	0
26	24	40	16	0,00001	17,31370	17,31371	118	1
91	101	105	94	-0,00001	16,89950	16,89949	95	0
55	96	36	96	0,00000	19,00000	19,00000	110	0
47	51	61	40	0,00002	19,72790	19,72792	148	0
41	86	40	66	0,00004	21,24260	21,24264	110	0
39	97	62	98	0,00001	23,41420	23,41421	132	0
65	9	47	15	-0,00002	20,48530	20,48528	144	0
27	16	32	34	0,00004	21,24260	21,24264	127	0
20	39	25	20	-0,00003	21,07110	21,07107	144	0
43	99	27	110	0,00002	23,72790	23,72792	155	1
42	70	43	48	0,00001	22,41420	22,41421	96	0
118	114	99	119	-0,00003	21,07110	21,07107	146	0
107	88	106	71	0,00001	23,31370	23,31371	170	0
48	74	25	76	0,00003	23,82840	23,82843	128	0
47	56	58	58	0,00001	26,31370	26,31371	317	0
26	37	43	51	0,00001	26,31370	26,31371	195	1
16	38	31	17	-0,00001	27,79900	27,79899	191	0
42	57	45	82	0,00004	26,24260	26,24264	185	0
110	121	113	98	-0,00003	25,07110	25,07107	139	0
18	12	42	16	-0,00005	25,65690	25,65685	142	0
46	65	61	49	-0,00002	27,48530	27,48528	228	1
92	102	82	84	0,00001	25,31370	25,31371	177	0
27	9	51	16	-0,00002	27,48530	27,48528	134	0
43	69	23	80	0,00002	25,72790	25,72792	187	0
54	95	27	105	0,00004	31,14210	31,14214	197	0
47	36	20	42	-0,00002	29,48530	29,48528	276	1
27	82	47	74	0,00000	28,00000	28,00000	133	0
18	73	46	75	0,00003	28,82840	28,82843	146	0
44	44	24	24	0,00002	30,62740	30,62742	241	0
88	87	99	107	-0,00002	31,48530	31,48528	240	0
113	88	106	116	-0,00002	31,48530	31,48528	185	0
109	95	105	74	0,00004	31,24260	31,24264	253	1
97	81	78	100	-0,00001	29,79900	29,79899	209	0
95	102	73	87	-0,00001	28,79900	28,79899	164	0
33	39	21	10	-0,00004	33,97060	33,97056	270	1
58	98	87	106	0,00001	32,31370	32,31371	171	0
94	116	76	93	0,00000	34,21320	34,21320	150	0
17	50	44	45	-0,00002	34,38480	34,38478	254	0
25	14	40	34	-0,00003	32,07110	32,07107	244	0
122	113	91	116	-0,00005	33,65690	33,65685	234	1
44	59	26	37	0,00002	34,72790	34,72792	268	0
17	56	41	44	0,00000	35,21320	35,21320	266	0
60	97	47	72	-0,00002	34,48530	34,48528	235	1
47	70	60	95	-0,00005	35,65690	35,65685	338	0
19	53	48	41	0,00005	36,55630	36,55635	274	0
48	98	35	120	-0,00005	36,65690	36,65685	254	0
33	56	43	33	0,00000	36,21320	36,21320	260	0
20	17	40	46	0,00004	38,45580	38,45584	296	0
46	48	22	54	0,00000	37,21320	37,21320	419	1
34	69	54	95	0,00000	37,21320	37,21320	309	0
66	37	46	65	0,00004	37,45580	37,45584	295	0
47	57	26	29	-0,00004	37,87010	37,87006	256	1
41	89	13	99	0,00004	36,24260	36,24264	214	0
17	81	45	61	0,00000	39,21320	39,21320	336	0
50	59	22	81	0,00003	40,04160	40,04163	318	1
62	38	31	38	0,00000	40,21320	40,21320	323	0
36	41	35	71	-0,00003	40,07110	40,07107	270	0
96	94	113	67	0,00001	43,41420	43,41421	222	1
29	17	49	44	0,00000	42,21320	42,21320	362	0
110	81	104	116	0,00002	41,72790	41,72792	309	0
94	86	110	120	0,00000	41,21320	41,21320	378	1
41	118	10	97	-0,00001	43,79900	43,79899	360	0
101	108	111	73	-0,00001	40,79900	40,79899	286	1
52	82	39	112	-0,00004	43,87010	43,87006	403	0
26	48	62	51	-0,00001	46,79900	46,79899	361	1
111	115	113	73	-0,00002	44,48530	44,48528	257	0
46	76	73	92	-0,00002	45,48530	45,48528	431	0
43	47	27	81	-0,00002	46,48530	46,48528	404	1
26	11	31	56	-0,00003	47,07110	47,07107	341	0
46	96	91	101	-0,00003	47,07110	47,07107	292	1
46	88	56	49	-0,00002	45,48530	45,48528	446	0
82	91	40	98	-0,00001	44,89950	44,89949	274	1
29	112	50	75	-0,00004	46,87010	46,87006	416	0
96	119	112	79	0,00004	47,45580	47,45584	370	0
62	21	26	34	0,00005	48,55630	48,55635	368	1
72	80	106	109	-0,00000	50,11270	50,11270	480	1
47	98	96	96	-0,00005	50,65690	50,65685	267	0
21	42	51	13	0,00004	48,45580	48,45584	411	0
90	85	44	91	-0,00001	51,79900	51,79899	337	1
79	94	111	84	-0,00002	48,38480	48,38478	585	1
42	75	77	91	-0,00002	51,38480	51,38478	413	0
45	50	21	11	-0,00000	50,11270	50,11270	471	1
39	89	84	104	0,00000	51,21320	51,21320	345	0
31	83	49	96	-0,00002	49,38480	49,38478	398	1
28	55	62	53	0,00002	54,62740	54,62742	433	0
50	67	18	33	-0,00004	54,87010	54,87006	540	1
47	82	65	60	-0,00004	52,97060	52,97056	577	1
40	12	50	41	-0,00003	53,28430	53,28427	453	0
80	99	28	101	-0,00005	53,65690	53,65685	279	0
29	24	65	39	-0,00005	55,76960	55,76955	566	1
72	53	43	80	0,00005	55,55630	55,55635	510	1
