type: da2
name: lt_hangedman_n
algorithm: astarbb
preprossessing [ms]: 3633

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
21	54	16	56	-0,00000	5,82843	5,82843	40	0
43	68	44	72	0,00000	4,41421	4,41421	29	0
32	32	32	38	0,00000	6,00000	6,00000	42	0
19	80	20	73	0,00000	7,41421	7,41421	31	0
61	96	65	98	-0,00000	4,82843	4,82843	27	0
104	118	109	117	0,00000	5,41421	5,41421	26	0
103	104	109	103	0,00000	6,41421	6,41421	40	0
46	111	40	113	-0,00000	6,82843	6,82843	32	0
64	18	58	18	0,00000	6,00000	6,00000	29	0
23	53	18	52	0,00000	5,41421	5,41421	31	0
122	115	114	115	-0,00000	8,82843	8,82843	37	0
20	70	21	79	0,00000	9,41421	9,41421	49	0
114	120	118	111	-0,00005	10,65690	10,65685	35	0
66	41	58	43	-0,00000	8,82843	8,82843	46	0
90	102	90	110	0,00000	8,00000	8,00000	48	0
97	83	100	90	0,00000	8,24264	8,24264	52	0
48	96	58	96	0,00000	10,00000	10,00000	62	0
43	44	46	53	0,00004	10,24260	10,24264	86	0
104	64	112	66	-0,00000	8,82843	8,82843	40	0
21	77	17	67	-0,00005	11,65690	11,65685	80	0
96	106	99	92	0,00004	15,24260	15,24264	88	0
61	22	59	10	0,00003	12,82840	12,82843	97	0
51	23	40	16	-0,00003	15,07110	15,07107	79	0
27	24	35	33	0,00003	15,82840	15,82843	84	1
58	9	52	21	-0,00002	14,48530	14,48528	117	0
97	97	108	94	0,00003	12,82840	12,82843	61	0
41	32	51	43	0,00004	15,14210	15,14214	95	0
37	32	25	31	0,00001	12,41420	12,41421	52	0
41	75	49	65	0,00001	13,31370	13,31371	102	0
25	22	29	34	-0,00005	13,65690	13,65685	66	0
48	48	38	36	0,00004	16,14210	16,14214	122	0
30	34	28	18	-0,00005	17,65690	17,65685	96	0
85	84	98	93	-0,00003	19,07110	19,07107	152	0
112	101	114	83	0,00003	18,82840	18,82843	87	0
28	40	45	42	0,00003	17,82840	17,82843	92	0
49	99	65	97	0,00003	16,82840	16,82843	69	1
21	81	16	66	-0,00003	17,07110	17,07107	123	0
109	99	97	88	0,00002	17,72790	17,72792	109	0
108	101	94	99	-0,00001	17,89950	17,89949	127	0
36	96	29	112	-0,00001	18,89950	18,89949	141	0
40	67	25	68	0,00004	20,24260	20,24264	150	0
20	40	25	58	0,00004	21,24260	21,24264	125	0
78	92	96	99	-0,00001	20,89950	20,89949	126	0
37	74	19	65	0,00002	21,72790	21,72792	184	0
44	120	30	106	-0,00004	20,97060	20,97056	97	1
27	48	42	35	-0,00001	23,89950	23,89949	154	0
41	97	18	97	0,00000	23,00000	23,00000	119	0
108	92	97	105	-0,00003	21,07110	21,07107	146	0
33	38	50	47	0,00002	20,72790	20,72792	171	0
27	38	32	17	-0,00003	23,07110	23,07107	140	0
43	41	27	27	0,00004	24,14210	24,14214	194	0
100	114	77	102	-0,00004	27,97060	27,97056	194	1
53	23	31	14	0,00002	25,72790	25,72792	143	0
25	34	16	56	0,00002	25,72790	25,72792	193	0
17	32	17	49	0,00002	25,72790	25,72792	221	0
42	61	47	37	-0,00003	26,07110	26,07107	208	1
43	67	56	49	0,00002	25,72790	25,72792	205	0
23	82	42	71	-0,00001	25,89950	25,89949	171	0
96	112	79	93	0,00003	26,04160	26,04163	168	0
44	113	29	99	0,00001	24,31370	24,31371	137	0
50	44	50	75	0,00003	31,82840	31,82843	178	0
22	58	36	33	-0,00001	30,79900	30,79899	193	1
42	52	64	63	0,00002	31,72790	31,72792	310	0
35	99	41	73	-0,00002	30,48530	30,48528	153	0
24	28	23	56	0,00001	28,41420	28,41421	149	0
49	52	42	81	-0,00001	31,89950	31,89949	292	0
