type: da2
name: lt_shop
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
52	34	50	27	-0,00000	7,82843	7,82843	57	0
51	32	51	38	0,00000	6,00000	6,00000	43	0
63	33	61	40	-0,00000	7,82843	7,82843	57	0
64	39	65	34	0,00000	5,41421	5,41421	36	0
64	26	66	32	-0,00000	6,82843	6,82843	49	0
44	28	42	34	-0,00000	6,82843	6,82843	49	0
56	31	62	34	0,00000	7,24264	7,24264	52	0
56	31	51	31	0,00000	5,00000	5,00000	37	0
52	52	49	56	0,00000	5,24264	5,24264	36	0
65	52	61	46	0,00000	7,65685	7,65685	45	0
57	30	65	24	-0,00002	10,48530	10,48528	82	1
56	28	64	31	0,00000	9,24264	9,24264	73	0
55	56	59	47	-0,00005	10,65690	10,65685	76	0
45	28	53	27	0,00000	8,41421	8,41421	58	0
51	56	44	64	-0,00002	11,48530	11,48528	77	0
53	55	57	45	-0,00005	11,65690	11,65685	77	0
49	26	50	35	0,00000	9,41421	9,41421	65	0
68	21	63	28	-0,00000	9,07107	9,07107	55	0
65	61	68	52	0,00004	10,24260	10,24264	70	0
59	37	59	48	0,00000	11,00000	11,00000	79	0
60	39	57	53	0,00004	15,24260	15,24264	116	0
61	37	53	27	0,00001	13,31370	13,31371	111	0
54	27	64	32	-0,00003	12,07110	12,07107	101	0
61	35	48	31	-0,00005	14,65690	14,65685	140	0
55	36	45	31	-0,00003	12,07110	12,07107	101	0
54	30	42	31	0,00001	12,41420	12,41421	86	0
44	45	54	53	-0,00005	15,65690	15,65685	86	0
65	30	57	41	0,00001	14,31370	14,31371	116	0
66	36	58	47	-0,00002	15,48530	15,48528	94	0
67	54	59	43	0,00001	14,31370	14,31371	92	0
59	25	51	38	0,00001	16,31370	16,31371	151	0
58	32	43	28	-0,00005	16,65690	16,65685	158	1
67	22	60	39	-0,00001	19,89950	19,89949	163	0
66	58	57	52	-0,00003	16,07110	16,07107	121	0
51	58	58	41	-0,00001	19,89950	19,89949	167	0
65	55	52	57	0,00002	19,72790	19,72792	173	0
59	29	57	45	0,00003	16,82840	16,82843	132	0
59	26	47	36	0,00004	16,14210	16,14214	130	0
57	39	45	29	0,00002	16,72790	16,72792	128	0
