type: da2
name: lt_undercitydungeon
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
33	70	30	73	0,00000	4,24264	4,24264	23	0
137	26	137	19	0,00000	7,00000	7,00000	51	0
132	112	128	117	0,00000	6,65685	6,65685	43	0
61	27	67	31	0,00000	7,65685	7,65685	53	0
33	34	31	29	-0,00000	5,82843	5,82843	41	0
43	142	44	138	0,00000	4,41421	4,41421	30	0
25	102	23	98	-0,00000	4,82843	4,82843	33	0
56	99	57	104	0,00000	5,41421	5,41421	37	0
121	95	115	96	0,00000	6,41421	6,41421	44	0
27	146	27	142	0,00000	4,00000	4,00000	30	0
129	60	124	56	0,00004	11,24260	11,24264	77	0
128	59	124	56	-0,00000	9,82843	9,82843	76	0
46	22	53	25	-0,00000	8,82843	8,82843	50	0
126	132	127	122	0,00001	10,41420	10,41421	61	0
127	95	131	104	-0,00005	10,65690	10,65685	86	0
43	146	42	136	0,00001	10,41420	10,41421	72	0
34	103	33	111	0,00004	11,24260	11,24264	100	1
76	30	67	27	0,00004	10,24260	10,24264	89	0
22	44	16	35	-0,00002	11,48530	11,48528	94	0
60	29	49	31	0,00003	11,82840	11,82843	96	0
105	148	116	143	-0,00003	15,07110	15,07107	95	0
121	130	134	126	-0,00005	14,65690	14,65685	109	0
115	134	105	126	0,00001	13,31370	13,31371	107	0
53	22	50	35	0,00004	14,24260	14,24264	128	0
35	72	27	81	0,00001	12,31370	12,31371	86	0
113	67	124	70	0,00001	13,41420	13,41421	88	0
53	142	55	127	0,00003	15,82840	15,82843	123	0
34	83	42	75	0,00003	14,82840	14,82843	104	0
55	132	66	141	0,00002	14,72790	14,72792	112	0
28	148	20	136	0,00001	15,31370	15,31371	124	0
135	143	123	131	0,00001	19,31370	19,31371	130	0
117	92	102	87	-0,00003	17,07110	17,07107	149	0
43	138	26	134	-0,00005	18,65690	18,65685	148	0
23	111	31	127	0,00001	19,31370	19,31371	205	1
134	145	125	142	0,00003	18,82840	18,82843	130	0
132	102	117	93	0,00002	18,72790	18,72792	192	0
74	34	58	32	0,00003	16,82840	16,82843	139	0
128	60	122	74	0,00004	18,24260	18,24264	116	0
99	139	91	123	0,00001	19,31370	19,31371	178	0
132	101	118	106	-0,00003	16,07110	16,07107	156	0
41	101	46	121	-0,00003	22,07110	22,07107	217	0
24	46	39	31	0,00000	21,21320	21,21320	107	0
113	114	118	133	-0,00003	21,07110	21,07107	188	0
120	107	125	125	-0,00003	20,07110	20,07107	211	1
47	118	41	136	-0,00002	20,48530	20,48528	212	0
44	131	23	135	-0,00005	22,65690	22,65685	226	0
59	32	72	17	-0,00002	20,38480	20,38478	160	0
28	50	46	44	-0,00002	20,48530	20,48528	147	0
30	50	22	32	0,00001	21,31370	21,31371	242	0
120	139	133	123	0,00005	22,55630	22,55635	217	0
