type: da2
name: lt_undercitydungeon
algorithm: astarbb
preprossessing [ms]: 14384

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
33	70	30	73	0,00000	4,24264	4,24264	20	0
137	26	137	19	0,00000	7,00000	7,00000	44	0
132	112	128	117	0,00000	6,65685	6,65685	39	0
61	27	67	31	0,00000	7,65685	7,65685	47	0
33	34	31	29	-0,00000	5,82843	5,82843	40	0
43	142	44	138	0,00000	4,41421	4,41421	28	0
25	102	23	98	-0,00000	4,82843	4,82843	33	0
56	99	57	104	0,00000	5,41421	5,41421	31	0
121	95	115	96	0,00000	6,41421	6,41421	44	0
27	146	27	142	0,00000	4,00000	4,00000	27	0
129	60	124	56	0,00004	11,24260	11,24264	76	0
128	59	124	56	-0,00000	9,82843	9,82843	66	0
46	22	53	25	-0,00000	8,82843	8,82843	46	0
126	132	127	122	0,00001	10,41420	10,41421	50	0
127	95	131	104	-0,00005	10,65690	10,65685	80	0
43	146	42	136	0,00001	10,41420	10,41421	60	0
34	103	33	111	0,00004	11,24260	11,24264	93	1
76	30	67	27	0,00004	10,24260	10,24264	79	0
22	44	16	35	-0,00002	11,48530	11,48528	93	0
60	29	49	31	0,00003	11,82840	11,82843	85	0
105	148	116	143	-0,00003	15,07110	15,07107	83	0
121	130	134	126	-0,00005	14,65690	14,65685	88	0
115	134	105	126	0,00001	13,31370	13,31371	94	0
53	22	50	35	0,00004	14,24260	14,24264	108	0
35	72	27	81	0,00001	12,31370	12,31371	75	0
113	67	124	70	0,00001	13,41420	13,41421	70	0
53	142	55	127	0,00003	15,82840	15,82843	108	0
34	83	42	75	0,00003	14,82840	14,82843	94	0
55	132	66	141	0,00002	14,72790	14,72792	110	0
28	148	20	136	0,00001	15,31370	15,31371	115	0
135	143	123	131	0,00001	19,31370	19,31371	103	0
117	92	102	87	-0,00003	17,07110	17,07107	135	0
43	138	26	134	-0,00005	18,65690	18,65685	133	0
23	111	31	127	0,00001	19,31370	19,31371	170	0
134	145	125	142	0,00003	18,82840	18,82843	80	0
132	102	117	93	0,00002	18,72790	18,72792	184	0
74	34	58	32	0,00003	16,82840	16,82843	113	0
128	60	122	74	0,00004	18,24260	18,24264	89	0
99	139	91	123	0,00001	19,31370	19,31371	145	0
132	101	118	106	-0,00003	16,07110	16,07107	134	0
41	101	46	121	-0,00003	22,07110	22,07107	183	0
24	46	39	31	0,00000	21,21320	21,21320	90	0
113	114	118	133	-0,00003	21,07110	21,07107	172	0
120	107	125	125	-0,00003	20,07110	20,07107	187	1
47	118	41	136	-0,00002	20,48530	20,48528	173	0
44	131	23	135	-0,00005	22,65690	22,65685	197	0
59	32	72	17	-0,00002	20,38480	20,38478	158	0
28	50	46	44	-0,00002	20,48530	20,48528	111	0
30	50	22	32	0,00001	21,31370	21,31371	229	0
120	139	133	123	0,00005	22,55630	22,55635	177	1
118	123	117	148	0,00001	25,41420	25,41421	174	0
112	100	125	78	-0,00004	27,97060	27,97056	289	0
79	29	94	47	0,00000	24,21320	24,21320	183	0
16	117	39	121	-0,00005	24,65690	24,65685	220	0
91	122	97	144	-0,00002	24,48530	24,48528	161	1
58	125	75	111	-0,00002	27,48530	27,48528	230	0
125	52	129	76	-0,00005	25,65690	25,65685	140	0
90	113	69	109	-0,00003	26,07110	26,07107	126	0
130	71	138	49	-0,00003	27,07110	27,07107	155	0
130	32	131	58	0,00001	26,41420	26,41421	138	0
29	95	50	114	-0,00004	28,87010	28,87006	202	0
135	143	114	126	-0,00002	30,38480	30,38478	240	1
45	109	40	138	-0,00003	31,07110	31,07107	271	0
25	99	19	126	-0,00002	29,48530	29,48528	273	0
56	120	57	148	0,00001	28,41420	28,41421	198	0
44	109	35	82	0,00005	31,55630	31,55635	257	1
123	129	107	148	0,00005	28,55630	28,55635	293	0
135	33	131	62	0,00004	31,24260	31,24264	119	0
80	22	93	47	-0,00002	30,38480	30,38478	250	0
114	134	87	130	-0,00005	28,65690	28,65685	223	1
55	39	22	44	-0,00003	35,07110	35,07107	281	0
27	116	22	148	-0,00003	34,07110	34,07107	351	0
121	79	135	52	0,00005	34,55630	34,55635	297	1
138	69	113	89	-0,00003	33,28430	33,28427	283	0
100	99	122	97	0,00004	32,14210	32,14214	203	0
59	136	31	126	0,00004	32,14210	32,14214	307	0
129	52	113	71	0,00001	34,41420	34,41421	162	1
47	106	52	133	0,00004	32,14210	32,14214	240	0
54	39	59	70	-0,00003	33,07110	33,07107	199	0
114	73	138	96	-0,00003	35,28430	35,28427	324	0
24	104	37	135	-0,00002	36,38480	36,38478	438	1
43	147	22	116	-0,00002	39,69850	39,69848	399	0
136	68	118	57	0,00004	37,14210	37,14214	391	1
20	133	45	106	0,00004	37,35530	37,35534	277	0
127	94	101	100	0,00001	37,31370	37,31371	593	1
57	114	48	148	0,00002	37,72790	37,72792	229	0
35	91	23	124	-0,00004	37,97060	37,97056	395	1
91	140	120	117	-0,00000	39,11270	39,11270	303	0
127	51	114	76	-0,00002	36,48530	36,48528	208	0
29	148	66	145	0,00004	38,24260	38,24264	213	0
56	139	30	109	-0,00005	40,76960	40,76955	344	1
114	77	113	116	0,00004	40,24260	40,24264	273	0
139	61	126	78	0,00004	42,14210	42,14214	229	0
134	137	118	100	0,00002	43,62740	43,62742	582	1
20	141	60	133	0,00001	43,31370	43,31371	495	1
41	121	58	118	0,00000	41,21320	41,21320	788	1
124	57	116	85	-0,00001	41,79900	41,79899	221	0
29	117	62	137	-0,00003	41,28430	41,28427	487	0
18	42	52	27	0,00000	40,21320	40,21320	541	1
27	78	30	117	0,00004	40,24260	40,24264	352	1
18	141	29	101	0,00005	44,55630	44,55635	448	0
71	112	46	138	0,00004	45,14210	45,14214	330	1
116	88	123	130	-0,00001	44,89950	44,89949	483	0
23	121	60	133	0,00004	44,45580	44,45584	720	1
132	73	139	117	-0,00001	46,89950	46,89949	486	1
20	43	60	32	0,00005	44,55630	44,55635	535	1
58	101	49	130	-0,00001	45,89950	45,89949	312	0
70	20	34	18	0,00004	46,14210	46,14214	495	1
108	131	124	92	0,00002	45,62740	45,62742	520	1
59	146	28	113	0,00002	45,84060	45,84062	306	0
119	101	94	139	0,00003	48,94110	48,94113	266	0
114	126	129	82	-0,00001	50,79900	50,79899	778	1
64	25	51	40	-0,00002	50,38480	50,38478	751	1
28	86	41	131	0,00005	51,55630	51,55635	798	2
90	137	137	142	0,00001	51,31370	51,31371	629	1
68	41	33	22	-0,00005	51,65690	51,65685	411	0
17	140	56	128	-0,00003	48,07110	48,07107	820	2
23	115	42	75	-0,00002	51,38480	51,38478	723	1
67	129	22	133	0,00001	50,31370	50,31371	351	0
103	131	134	94	0,00002	49,84060	49,84062	459	1
50	134	33	88	0,00003	53,04160	53,04163	667	1
34	91	47	140	-0,00002	54,38480	54,38478	689	0
58	58	28	92	-0,00003	52,28430	52,28427	476	1
31	75	59	42	-0,00002	53,38480	53,38478	583	1
76	100	59	147	0,00000	55,21320	55,21320	433	0
127	49	124	102	-0,00003	55,07110	55,07107	364	1
79	102	108	124	-0,00001	52,79900	52,79899	335	0
48	99	51	71	-0,00001	54,89950	54,89949	528	1
17	122	55	127	-0,00001	52,79900	52,79899	1108	2
32	84	46	133	-0,00001	54,79900	54,79899	665	1
121	62	125	99	0,00001	58,31370	58,31371	353	0
90	100	118	134	-0,00002	58,48530	58,48528	403	1
48	146	30	97	0,00004	56,45580	56,45584	910	1
32	88	27	144	-0,00003	58,07110	58,07107	567	0
99	89	103	131	0,00004	59,45580	59,45584	375	1
54	144	20	99	0,00005	59,66900	59,66905	846	1
67	114	28	130	-0,00004	59,97060	59,97056	523	1
120	142	107	88	-0,00004	59,97060	59,97056	718	1
73	24	17	27	0,00004	57,24260	57,24264	350	0
78	41	32	18	0,00003	59,04160	59,04163	682	1
38	140	74	125	0,00004	63,14210	63,14214	1138	2
134	76	129	137	-0,00003	63,07110	63,07107	665	1
134	131	113	77	-0,00002	62,69850	62,69848	1105	2
55	38	69	23	0,00003	61,04160	61,04163	723	1
46	74	32	46	-0,00002	60,38480	60,38478	787	2
17	50	57	64	-0,00001	61,89950	61,89949	508	0
39	70	39	128	0,00004	62,14210	62,14214	491	1
16	46	59	62	-0,00003	60,07110	60,07107	525	1
64	147	25	102	0,00003	61,15430	61,15433	597	0
82	37	23	40	-0,00001	61,89950	61,89949	461	1
28	114	55	108	-0,00000	64,11270	64,11270	1496	3
