type: da2
name: lt_undercityencounter
algorithm: astarbb
preprossessing [ms]: 14426

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
62	63	60	58	-0,00000	5,82843	5,82843	27	0
84	214	88	211	0,00000	5,24264	5,24264	33	1
81	151	87	152	0,00000	6,41421	6,41421	37	0
103	89	107	86	0,00000	5,24264	5,24264	27	0
52	153	51	148	0,00000	5,41421	5,41421	31	0
49	194	53	189	0,00000	6,65685	6,65685	43	0
63	44	66	38	-0,00000	7,82843	7,82843	36	0
76	125	83	125	0,00000	7,00000	7,00000	42	0
50	62	49	67	0,00000	5,41421	5,41421	30	0
82	93	81	97	0,00000	4,41421	4,41421	29	0
76	214	82	222	-0,00002	10,48530	10,48528	80	0
29	87	23	80	0,00000	9,48528	9,48528	66	0
80	108	72	108	0,00000	8,00000	8,00000	50	0
52	191	52	180	0,00000	11,00000	11,00000	79	0
62	37	65	46	0,00004	10,24260	10,24264	72	0
58	206	59	196	0,00001	10,41420	10,41421	63	0
84	177	91	181	0,00000	8,65685	8,65685	62	0
73	44	83	42	0,00003	10,82840	10,82843	77	0
61	247	51	251	-0,00005	11,65690	11,65685	82	0
35	85	26	84	0,00000	9,41421	9,41421	64	0
62	192	55	204	-0,00001	14,89950	14,89949	78	0
25	108	39	105	0,00004	15,24260	15,24264	73	1
85	90	74	79	0,00005	15,55630	15,55635	73	0
106	85	95	89	-0,00001	14,89950	14,89949	72	0
51	227	56	215	-0,00003	14,07110	14,07107	93	0
106	86	102	76	-0,00005	13,65690	13,65685	83	0
75	166	87	168	0,00003	12,82840	12,82843	94	0
47	98	36	103	-0,00003	13,07110	13,07107	104	0
57	197	44	195	0,00003	13,82840	13,82843	110	0
48	67	51	56	0,00004	12,24260	12,24264	104	0
37	82	46	95	0,00002	16,72790	16,72792	121	0
54	212	56	195	0,00003	17,82840	17,82843	142	1
60	79	73	93	-0,00004	19,97060	19,97056	132	0
103	89	105	72	-0,00002	19,48530	19,48528	114	0
88	76	87	94	0,00001	18,41420	18,41421	108	0
62	189	63	205	0,00003	17,82840	17,82843	75	0
47	78	62	84	-0,00002	17,48530	17,48528	128	0
85	32	77	46	0,00001	17,31370	17,31371	153	0
78	218	64	213	-0,00003	16,07110	16,07107	137	0
28	71	38	84	0,00004	17,14210	17,14214	117	1
40	92	32	72	0,00001	23,31370	23,31371	237	0
60	197	75	206	0,00004	22,24260	22,24264	127	0
79	246	56	248	0,00003	23,82840	23,82843	161	0
91	147	91	126	0,00000	21,00000	21,00000	114	0
45	68	33	81	0,00001	20,31370	20,31371	130	0
62	206	45	198	0,00001	20,31370	20,31371	194	0
73	67	60	59	0,00004	21,24260	21,24264	112	1
78	81	79	102	0,00001	21,41420	21,41421	127	0
30	77	37	97	-0,00001	22,89950	22,89949	222	0
35	85	36	65	0,00001	20,41420	20,41421	118	0
95	197	80	215	0,00000	24,21320	24,21320	168	0
71	110	93	117	-0,00003	26,07110	26,07107	180	0
39	104	30	83	0,00002	24,72790	24,72792	255	1
64	207	46	189	0,00003	26,04160	26,04163	167	0
55	194	43	174	0,00005	25,55630	25,55635	242	0
76	102	77	78	0,00001	24,41420	24,41421	125	0
78	107	82	83	-0,00005	25,65690	25,65685	239	0
56	203	54	229	0,00003	26,82840	26,82843	220	1
56	80	47	98	-0,00001	24,89950	24,89949	246	0
68	105	80	119	0,00002	26,72790	26,72792	214	0
103	70	76	81	0,00005	31,55630	31,55635	205	0
49	225	70	207	0,00004	28,45580	28,45584	222	1
110	90	110	60	0,00000	30,00000	30,00000	89	0
79	76	82	52	0,00001	28,41420	28,41421	134	0
86	209	58	215	-0,00002	30,48530	30,48528	327	0
106	87	107	59	0,00001	28,41420	28,41421	134	0
91	140	79	165	-0,00004	29,97060	29,97056	232	1
94	86	105	64	0,00002	31,72790	31,72792	203	0
51	244	78	252	0,00001	30,31370	30,31371	283	0
80	225	55	209	0,00002	31,62740	31,62742	326	0
77	79	83	50	0,00004	33,24260	33,24264	184	1
20	102	54	98	-0,00005	35,65690	35,65685	321	0
83	57	94	28	0,00005	33,55630	33,55635	386	1
49	101	66	87	0,00005	34,55630	34,55635	204	0
47	63	46	86	0,00004	34,14210	34,14214	304	0
45	223	37	198	0,00005	34,55630	34,55635	300	1
74	80	103	75	0,00002	32,72790	32,72792	290	0
43	62	44	91	0,00005	33,55630	33,55635	237	0
57	246	86	255	0,00002	32,72790	32,72792	355	1
45	220	78	220	0,00000	33,00000	33,00000	166	0
53	103	42	136	0,00005	37,55630	37,55635	236	0
64	212	52	245	-0,00004	37,97060	37,97056	286	1
46	119	31	86	0,00000	39,21320	39,21320	368	0
62	53	83	73	0,00003	39,82840	39,82843	226	0
59	249	40	223	0,00005	38,55630	38,55635	245	1
91	174	85	208	-0,00002	36,48530	36,48528	219	0
64	81	42	104	0,00005	38,55630	38,55635	506	1
26	104	46	127	0,00001	38,31370	38,31371	325	0
37	193	51	226	-0,00001	38,79900	38,79899	289	0
83	221	51	209	-0,00004	36,97060	36,97056	487	1
94	42	93	70	-0,00002	43,38480	43,38478	399	1
74	39	86	75	-0,00004	40,97060	40,97056	364	0
45	189	74	217	-0,00002	40,59800	40,59798	160	0
41	227	78	214	-0,00002	42,38480	42,38478	444	1
68	66	62	34	0,00001	41,41420	41,41421	186	0
88	164	76	130	0,00002	42,62740	42,62742	413	1
63	88	105	91	0,00004	43,24260	43,24264	249	0
77	214	90	177	-0,00002	42,38480	42,38478	338	0
63	76	42	90	0,00003	43,04160	43,04163	573	1
106	88	71	81	-0,00002	40,38480	40,38478	407	1
76	217	54	181	-0,00003	46,28430	46,28427	517	1
105	92	59	90	0,00003	46,82840	46,82843	303	0
75	136	77	164	-0,00002	45,69850	45,69848	382	0
68	216	86	181	0,00000	44,21320	44,21320	445	1
84	64	57	30	-0,00005	45,76960	45,76955	194	0
46	176	46	218	-0,00002	44,48530	44,48528	353	0
62	81	84	52	-0,00002	47,48530	47,48528	401	1
70	64	71	35	-0,00004	46,97060	46,97056	350	0
66	215	59	250	-0,00002	44,38480	44,38478	302	1
80	49	103	67	-0,00004	47,97060	47,97056	363	0
31	105	62	76	0,00003	50,04160	50,04163	514	1
93	203	47	198	0,00002	49,72790	49,72792	385	1
43	206	56	248	0,00002	49,72790	49,72792	312	0
71	245	62	216	0,00001	49,31370	49,31371	271	0
46	226	76	241	-0,00002	49,48530	49,48528	300	1
73	76	47	107	-0,00001	48,79900	48,79899	737	1
88	158	79	116	0,00000	48,21320	48,21320	528	1
58	195	51	244	-0,00001	51,89950	51,89949	444	0
85	64	52	86	0,00005	48,55630	48,55635	446	1
89	88	89	133	0,00004	49,14210	49,14214	427	1
104	72	54	83	0,00005	54,55630	54,55635	453	0
61	86	80	129	0,00001	54,52690	54,52691	726	1
40	100	77	80	0,00001	52,31370	52,31371	405	1
67	103	51	106	-0,00002	53,38480	53,38478	874	1
62	82	29	79	0,00003	55,94110	55,94113	644	1
44	66	25	110	0,00004	52,45580	52,45584	661	1
62	92	43	116	0,00002	53,62740	53,62742	767	1
77	160	76	121	-0,00003	52,18380	52,18377	573	1
28	95	58	88	0,00001	52,31370	52,31371	589	1
52	85	83	56	0,00002	54,72790	54,72792	475	1
107	62	80	105	-0,00002	57,69850	57,69848	791	1
109	84	89	123	0,00002	59,62740	59,62742	427	1
48	79	82	119	-0,00002	59,59800	59,59798	706	1
58	87	20	104	0,00004	59,14210	59,14214	767	1
83	86	63	46	-0,00002	56,48530	56,48528	604	1
45	197	63	244	0,00002	59,72790	59,72792	721	1
21	199	76	207	0,00001	58,31370	58,31371	428	1
67	98	91	53	-0,00003	57,28430	57,28427	732	1
41	150	61	199	0,00004	58,45580	58,45584	433	0
83	94	91	38	0,00001	59,31370	59,31371	506	1
45	181	54	239	0,00002	61,72790	61,72792	541	1
