type: da2
name: lt_undercityserialkiller
algorithm: astarbb
preprossessing [ms]: 15005

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
32	51	34	44	-0,00000	7,82843	7,82843	28	0
32	136	35	130	0,00000	7,24264	7,24264	47	0
130	126	134	127	0,00000	4,41421	4,41421	21	0
133	82	134	77	0,00000	5,41421	5,41421	37	0
38	141	40	145	-0,00000	4,82843	4,82843	33	0
33	41	32	34	0,00000	7,41421	7,41421	50	0
15	47	18	42	-0,00000	6,82843	6,82843	30	0
135	99	136	95	0,00000	4,41421	4,41421	29	0
123	115	121	122	-0,00000	7,82843	7,82843	53	0
26	37	33	39	-0,00000	7,82843	7,82843	53	0
123	141	122	152	0,00001	11,41420	11,41421	43	0
134	82	126	87	0,00003	11,82840	11,82843	74	0
34	133	27	139	-0,00003	10,07110	10,07107	61	0
118	94	129	95	0,00001	11,41420	11,41421	78	0
127	128	126	136	-0,00000	9,82843	9,82843	43	0
42	23	50	26	0,00000	9,24264	9,24264	64	0
31	77	31	67	0,00000	10,00000	10,00000	72	0
28	21	37	23	0,00004	11,24260	11,24264	80	0
112	122	113	131	0,00000	9,41421	9,41421	53	0
124	76	130	69	0,00000	9,48528	9,48528	63	0
126	119	118	108	0,00001	14,31370	14,31371	120	0
86	34	88	46	0,00003	12,82840	12,82843	86	0
38	35	28	45	0,00004	14,14210	14,14214	61	1
30	27	27	39	0,00004	13,24260	13,24264	109	0
44	17	41	31	0,00004	15,24260	15,24264	114	0
73	44	83	37	-0,00001	12,89950	12,89949	99	0
50	107	37	105	0,00003	13,82840	13,82843	101	0
119	112	133	116	-0,00005	15,65690	15,65685	130	0
130	127	131	140	0,00003	14,82840	14,82843	74	0
105	144	97	148	-0,00003	15,07110	15,07107	118	0
112	144	128	135	0,00002	19,72790	19,72792	155	0
44	141	58	135	-0,00002	16,48530	16,48528	142	1
36	42	18	45	0,00004	19,24260	19,24264	159	0
129	122	113	124	0,00003	16,82840	16,82843	129	0
31	26	22	40	0,00002	17,72790	17,72792	159	0
101	138	96	124	-0,00005	16,65690	16,65685	137	0
117	95	126	79	0,00002	19,72790	19,72792	191	0
106	148	103	133	0,00004	16,24260	16,24264	111	0
131	58	124	74	-0,00001	18,89950	18,89949	93	1
36	101	51	105	-0,00005	16,65690	16,65685	142	0
106	141	123	132	0,00001	21,31370	21,31371	116	0
136	92	122	110	-0,00001	23,79900	23,79899	200	0
114	82	128	65	-0,00004	23,97060	23,97056	213	0
44	127	32	146	-0,00004	23,97060	23,97056	176	0
97	96	117	90	-0,00005	23,65690	23,65685	95	1
33	121	22	136	-0,00001	21,89950	21,89949	216	0
19	25	37	37	-0,00004	22,97060	22,97056	208	0
129	137	122	154	-0,00002	20,48530	20,48528	100	0
72	116	59	123	0,00000	20,00000	20,00000	129	0
51	113	28	113	0,00000	23,00000	23,00000	136	0
39	97	37	122	0,00003	25,82840	25,82843	185	0
25	83	39	104	-0,00001	26,79900	26,79899	205	1
33	142	58	143	0,00001	25,41420	25,41421	173	0
120	98	132	120	-0,00004	26,97060	26,97056	298	0
29	123	49	138	0,00000	26,21320	26,21320	234	0
90	140	114	132	0,00001	27,31370	27,31371	241	1
29	18	31	42	0,00003	24,82840	24,82843	190	0
136	116	128	138	0,00001	25,31370	25,31371	229	0
116	94	123	117	-0,00001	25,89950	25,89949	244	0
114	142	130	125	0,00000	24,21320	24,21320	147	0
36	71	37	98	0,00003	30,82840	30,82843	214	1
16	140	27	117	0,00001	29,31370	29,31371	159	0
132	55	125	84	-0,00001	31,89950	31,89949	218	0
109	83	134	75	0,00001	28,31370	28,31371	309	0
59	42	62	35	0,00001	29,41420	29,41421	295	1
111	69	128	57	0,00004	31,24260	31,24264	222	0
130	78	127	51	0,00004	28,24260	28,24264	201	0
114	121	101	145	-0,00002	29,38480	29,38478	301	0
19	27	31	51	-0,00004	28,97060	28,97056	325	0
45	109	28	133	0,00003	31,04160	31,04163	290	1
66	24	56	42	-0,00001	35,89950	35,89949	522	0
28	70	60	64	-0,00002	34,48530	34,48528	335	1
125	79	124	59	-0,00005	34,65690	34,65685	520	1
104	90	132	76	-0,00001	33,79900	33,79899	363	0
34	116	30	83	-0,00005	34,65690	34,65685	272	0
30	141	61	147	-0,00002	33,48530	33,48528	337	1
37	129	65	146	0,00003	35,04160	35,04163	420	0
16	50	43	36	-0,00001	32,79900	32,79899	350	1
119	113	107	142	-0,00004	33,97060	33,97056	350	0
130	111	109	91	0,00003	33,04160	33,04163	453	1
41	71	33	104	-0,00001	36,89950	36,89949	207	0
139	102	110	125	0,00001	38,52690	38,52691	359	0
134	116	131	80	0,00004	37,24260	37,24264	317	1
54	102	88	110	-0,00002	38,48530	38,48528	360	0
31	122	29	85	0,00003	37,82840	37,82843	269	0
89	118	116	134	-0,00001	38,89950	38,89949	291	1
117	78	119	53	0,00004	39,14210	39,14214	478	0
55	41	56	35	0,00000	39,00000	39,00000	427	1
119	88	130	123	0,00005	39,55630	39,55635	524	1
40	76	30	108	-0,00003	39,07110	39,07107	264	0
97	147	122	159	0,00005	42,55630	42,55635	269	0
57	51	56	32	-0,00004	42,97060	42,97056	501	1
40	142	34	104	-0,00003	41,07110	41,07107	478	1
134	133	96	145	-0,00004	42,97060	42,97056	459	0
52	133	33	97	-0,00004	43,87010	43,87006	477	1
122	89	119	128	0,00004	40,24260	40,24264	391	0
138	53	139	83	0,00004	41,14210	41,14214	233	0
115	118	119	78	-0,00005	41,65690	41,65685	367	1
108	87	115	126	-0,00003	43,07110	43,07107	236	0
34	97	19	133	0,00000	42,21320	42,21320	451	0
42	137	68	109	-0,00002	46,38480	46,38478	652	0
43	18	82	35	0,00000	47,21320	47,21320	485	1
59	108	42	144	-0,00002	45,38480	45,38478	326	1
135	147	128	105	-0,00001	44,89950	44,89949	429	0
100	146	115	106	0,00000	46,21320	46,21320	402	1
25	46	56	57	-0,00005	45,65690	45,65685	317	0
134	108	96	130	-0,00000	47,11270	47,11270	580	1
64	28	18	25	0,00004	47,24260	47,24264	451	0
138	119	111	83	-0,00003	47,18380	47,18377	569	1
68	42	40	69	-0,00001	46,79900	46,79899	339	1
55	140	74	98	0,00004	50,45580	50,45584	455	0
87	115	120	140	0,00000	49,21320	49,21320	414	1
81	100	98	142	0,00003	49,04160	49,04163	371	0
99	122	116	157	-0,00002	51,59800	51,59798	545	1
122	112	86	118	-0,00000	51,11270	51,11270	521	0
54	117	24	138	-0,00005	50,65690	50,65685	307	1
34	65	65	40	0,00004	50,14210	50,14214	433	0
35	119	57	112	-0,00003	51,28430	51,28427	1130	2
87	98	107	136	0,00005	51,55630	51,55635	380	1
31	120	55	117	0,00003	49,04160	49,04163	1015	1
28	77	60	46	0,00003	53,04160	53,04163	620	1
100	134	80	96	0,00002	52,72790	52,72792	465	1
49	33	56	58	0,00005	53,55630	53,55635	815	1
112	80	114	132	-0,00005	53,65690	53,65685	357	0
43	139	16	98	0,00003	53,94110	53,94113	760	2
112	132	78	106	0,00001	55,31370	55,31371	461	0
94	139	81	93	0,00002	53,72790	53,72792	447	1
136	119	91	138	-0,00004	52,87010	52,87006	705	1
131	89	138	139	-0,00001	52,89950	52,89949	636	1
126	111	129	57	0,00004	55,24260	55,24264	434	0
39	29	92	39	0,00004	57,14210	57,14214	638	1
131	135	123	81	0,00004	58,14210	58,14214	772	1
28	33	83	41	0,00001	58,31370	58,31371	716	1
122	154	91	117	-0,00002	57,69850	57,69848	688	1
119	127	138	76	-0,00004	58,87010	58,87006	1044	2
69	32	17	43	0,00005	56,55630	56,55635	616	0
137	97	105	142	0,00003	58,25480	58,25483	763	1
50	75	78	31	-0,00000	59,11270	59,11270	523	0
30	146	26	89	-0,00005	58,65690	58,65685	460	1
119	79	106	131	-0,00002	57,38480	57,38478	576	1
54	66	73	18	-0,00001	62,79900	62,79899	646	1
37	116	55	73	-0,00001	62,89950	62,89949	1012	1
29	127	24	67	-0,00003	62,07110	62,07107	688	1
100	147	139	101	0,00003	62,15430	62,15433	390	0
63	108	24	137	0,00004	62,14210	62,14214	432	1
32	123	72	114	-0,00003	63,28430	63,28427	1233	2
35	142	30	81	-0,00001	63,89950	63,89949	669	1
24	113	56	73	-0,00001	63,79900	63,79899	978	1
49	73	20	116	0,00003	62,04160	62,04163	607	1
132	32	131	92	-0,00003	62,07110	62,07107	425	1
117	78	136	137	-0,00004	66,87010	66,87006	1158	2
130	112	127	49	-0,00001	65,89950	65,89949	870	1
22	140	61	107	0,00005	65,55630	65,55635	1432	2
139	133	137	69	0,00003	64,82840	64,82843	353	0
130	78	101	129	0,00004	65,35530	65,35534	908	1
59	117	29	101	-0,00002	67,59800	67,59798	635	1
116	105	139	52	0,00002	66,62740	66,62742	1155	2
31	116	68	111	0,00001	64,42640	64,42641	1337	2
53	73	30	120	0,00001	65,31370	65,31371	487	0
60	74	56	35	0,00002	65,72790	65,72792	750	2
88	128	119	84	0,00000	68,21320	68,21320	625	0
56	72	18	34	-0,00004	70,97060	70,97056	915	2
109	128	60	107	-0,00003	69,07110	69,07107	492	1
125	80	94	132	0,00001	69,52690	69,52691	881	1
