type: da2
name: lt_warehouse_n
algorithm: astarbb
preprossessing [ms]: 5793

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
156	91	162	94	0,00000	7,24264	7,24264	46	0
140	44	145	49	-0,00000	7,07107	7,07107	33	0
49	58	56	58	0,00000	7,00000	7,00000	34	0
100	59	96	55	0,00000	5,65685	5,65685	30	0
100	101	104	102	0,00000	4,41421	4,41421	27	0
131	78	127	72	0,00000	7,65685	7,65685	43	0
158	77	158	73	0,00000	4,00000	4,00000	26	0
125	69	124	73	0,00000	4,41421	4,41421	29	0
122	74	128	70	0,00000	7,65685	7,65685	46	0
117	51	111	50	0,00000	6,41421	6,41421	41	0
102	26	95	23	0,00000	8,24264	8,24264	51	0
164	99	173	99	0,00000	9,00000	9,00000	46	0
99	53	99	44	0,00001	10,41420	10,41421	73	0
124	48	121	55	0,00000	8,24264	8,24264	58	0
136	72	127	74	-0,00000	9,82843	9,82843	47	0
123	50	119	57	0,00000	8,65685	8,65685	53	0
78	62	72	57	-0,00000	8,07107	8,07107	34	0
76	66	75	55	0,00001	11,41420	11,41421	66	0
143	58	152	56	-0,00000	9,82843	9,82843	74	0
138	68	144	59	-0,00002	11,48530	11,48528	85	0
102	7	102	19	0,00000	12,00000	12,00000	73	0
108	36	114	48	-0,00002	14,48530	14,48528	127	0
124	65	128	78	-0,00005	14,65690	14,65685	128	0
90	52	76	54	0,00003	14,82840	14,82843	108	0
77	62	90	58	-0,00005	14,65690	14,65685	116	0
161	97	173	95	0,00003	12,82840	12,82843	98	1
128	52	134	44	0,00003	12,82840	12,82843	110	0
134	73	122	70	0,00004	13,24260	13,24264	83	0
85	48	92	59	-0,00001	13,89950	13,89949	98	0
116	44	123	55	-0,00005	15,65690	15,65685	105	0
110	46	126	43	0,00004	17,24260	17,24264	113	0
126	62	123	47	0,00004	16,24260	16,24264	147	0
127	62	128	44	0,00001	18,41420	18,41421	110	0
177	81	175	100	0,00003	19,82840	19,82843	110	0
121	60	112	46	0,00002	17,72790	17,72792	148	0
92	44	102	59	0,00004	19,14210	19,14214	156	1
171	68	159	75	0,00004	17,24260	17,24264	150	0
172	54	178	68	-0,00002	16,48530	16,48528	140	0
109	82	114	68	-0,00003	16,07110	16,07107	144	0
102	59	91	45	0,00005	18,55630	18,55635	150	0
120	69	140	74	-0,00003	22,07110	22,07107	174	0
126	52	146	56	-0,00005	21,65690	21,65685	200	0
178	72	173	91	-0,00003	21,07110	21,07107	135	1
123	53	110	35	-0,00004	23,97060	23,97056	177	0
126	54	124	76	0,00003	22,82840	22,82843	188	0
94	72	83	55	0,00005	21,55630	21,55635	108	0
92	64	109	54	0,00004	21,14210	21,14214	178	0
92	60	112	59	0,00001	20,41420	20,41421	95	0
133	59	127	79	-0,00002	22,48530	22,48528	174	0
182	70	161	67	0,00004	22,24260	22,24264	161	0
117	51	94	58	-0,00001	25,89950	25,89949	258	1
142	41	125	60	0,00003	26,04160	26,04163	156	0
97	54	114	35	0,00002	26,62740	26,62742	213	0
176	75	160	76	0,00002	25,72790	25,72792	247	0
101	57	110	35	0,00002	25,72790	25,72792	280	1
147	57	122	60	0,00004	26,24260	26,24264	237	0
101	97	105	73	-0,00005	25,65690	25,65685	183	0
141	45	122	61	0,00002	25,62740	25,62742	202	0
138	88	157	76	0,00001	26,31370	26,31371	150	0
92	61	69	66	-0,00003	25,07110	25,07107	245	0
95	64	113	43	0,00004	28,45580	28,45584	233	1
97	79	79	59	0,00005	31,55630	31,55635	216	0
162	56	155	84	-0,00001	30,89950	30,89949	204	0
108	81	98	59	0,00001	31,41420	31,41421	138	0
123	82	133	55	0,00004	31,14210	31,14214	309	1
111	34	133	49	-0,00004	29,97060	29,97056	221	0
175	55	176	85	0,00001	30,41420	30,41421	179	0
121	76	148	67	0,00005	31,55630	31,55635	313	0
109	72	100	97	0,00002	28,72790	28,72792	247	1
122	80	111	56	0,00001	30,31370	30,31371	196	0
110	58	142	66	0,00001	35,31370	35,31371	359	0
92	42	121	51	0,00002	32,72790	32,72792	326	1
170	62	140	74	0,00005	35,55630	35,55635	213	0
127	46	96	39	-0,00001	33,89950	33,89949	317	0
128	63	96	58	-0,00003	34,07110	34,07107	216	0
124	75	151	58	0,00000	35,21320	35,21320	399	1
152	74	158	44	0,00001	35,41420	35,41421	174	0
115	40	142	53	-0,00002	32,38480	32,38478	289	0
98	10	113	33	0,00001	33,31370	33,31371	274	1
133	58	105	48	0,00004	32,14210	32,14214	378	0
99	43	64	54	0,00005	39,55630	39,55635	333	0
