type: da2
name: lt_warehouse_n
algorithm: jpsplus
preprossessing [ms]: 11

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
156	91	162	94	0,00000	7,24264	7,24264	5	0
140	44	145	49	-0,00000	7,07107	7,07107	5	0
49	58	56	58	0,00000	7,00000	7,00000	6	0
100	59	96	55	0,00000	5,65685	5,65685	9	0
100	101	104	102	0,00000	4,41421	4,41421	5	0
131	78	127	72	0,00000	7,65685	7,65685	8	0
158	77	158	73	0,00000	4,00000	4,00000	5	0
125	69	124	73	0,00000	4,41421	4,41421	6	0
122	74	128	70	0,00000	7,65685	7,65685	8	0
117	51	111	50	0,00000	6,41421	6,41421	7	0
102	26	95	23	0,00000	8,24264	8,24264	5	0
164	99	173	99	0,00000	9,00000	9,00000	5	0
99	53	99	44	0,00001	10,41420	10,41421	9	0
124	48	121	55	0,00000	8,24264	8,24264	11	0
136	72	127	74	-0,00000	9,82843	9,82843	9	0
123	50	119	57	0,00000	8,65685	8,65685	8	0
78	62	72	57	-0,00000	8,07107	8,07107	9	0
76	66	75	55	0,00001	11,41420	11,41421	7	0
143	58	152	56	-0,00000	9,82843	9,82843	6	0
138	68	144	59	-0,00002	11,48530	11,48528	6	0
102	7	102	19	0,00000	12,00000	12,00000	3	0
108	36	114	48	-0,00002	14,48530	14,48528	6	0
124	65	128	78	-0,00005	14,65690	14,65685	8	0
90	52	76	54	0,00003	14,82840	14,82843	7	0
77	62	90	58	-0,00005	14,65690	14,65685	9	0
161	97	173	95	0,00003	12,82840	12,82843	6	0
128	52	134	44	0,00003	12,82840	12,82843	12	0
134	73	122	70	0,00004	13,24260	13,24264	9	0
85	48	92	59	-0,00001	13,89950	13,89949	8	0
116	44	123	55	-0,00005	15,65690	15,65685	11	0
110	46	126	43	0,00004	17,24260	17,24264	11	0
126	62	123	47	0,00004	16,24260	16,24264	9	0
127	62	128	44	0,00001	18,41420	18,41421	6	0
177	81	175	100	0,00003	19,82840	19,82843	8	0
121	60	112	46	0,00002	17,72790	17,72792	15	0
92	44	102	59	0,00004	19,14210	19,14214	13	0
171	68	159	75	0,00004	17,24260	17,24264	9	0
172	54	178	68	-0,00002	16,48530	16,48528	8	0
109	82	114	68	-0,00003	16,07110	16,07107	6	0
102	59	91	45	0,00005	18,55630	18,55635	15	0
120	69	140	74	-0,00003	22,07110	22,07107	9	1
126	52	146	56	-0,00005	21,65690	21,65685	10	0
178	72	173	91	-0,00003	21,07110	21,07107	11	0
123	53	110	35	-0,00004	23,97060	23,97056	15	0
126	54	124	76	0,00003	22,82840	22,82843	7	0
94	72	83	55	0,00005	21,55630	21,55635	14	0
92	64	109	54	0,00004	21,14210	21,14214	11	0
92	60	112	59	0,00001	20,41420	20,41421	8	0
133	59	127	79	-0,00002	22,48530	22,48528	15	0
182	70	161	67	0,00004	22,24260	22,24264	8	0
117	51	94	58	-0,00001	25,89950	25,89949	15	0
142	41	125	60	0,00003	26,04160	26,04163	20	0
97	54	114	35	0,00002	26,62740	26,62742	18	0
176	75	160	76	0,00002	25,72790	25,72792	16	0
101	57	110	35	0,00002	25,72790	25,72792	18	0
147	57	122	60	0,00004	26,24260	26,24264	9	0
101	97	105	73	-0,00005	25,65690	25,65685	10	0
141	45	122	61	0,00002	25,62740	25,62742	19	0
138	88	157	76	0,00001	26,31370	26,31371	11	0
92	61	69	66	-0,00003	25,07110	25,07107	10	0
95	64	113	43	0,00004	28,45580	28,45584	19	0
97	79	79	59	0,00005	31,55630	31,55635	12	0
162	56	155	84	-0,00001	30,89950	30,89949	12	0
108	81	98	59	0,00001	31,41420	31,41421	14	0
123	82	133	55	0,00004	31,14210	31,14214	15	0
111	34	133	49	-0,00004	29,97060	29,97056	14	0
175	55	176	85	0,00001	30,41420	30,41421	6	0
121	76	148	67	0,00005	31,55630	31,55635	14	0
109	72	100	97	0,00002	28,72790	28,72792	11	0
122	80	111	56	0,00001	30,31370	30,31371	15	0
110	58	142	66	0,00001	35,31370	35,31371	15	0
92	42	121	51	0,00002	32,72790	32,72792	24	0
170	62	140	74	0,00005	35,55630	35,55635	16	0
127	46	96	39	-0,00001	33,89950	33,89949	16	0
128	63	96	58	-0,00003	34,07110	34,07107	12	0
124	75	151	58	0,00000	35,21320	35,21320	21	0
152	74	158	44	0,00001	35,41420	35,41421	8	0
115	40	142	53	-0,00002	32,38480	32,38478	17	0
98	10	113	33	0,00001	33,31370	33,31371	13	1
133	58	105	48	0,00004	32,14210	32,14214	22	0
99	43	64	54	0,00005	39,55630	39,55635	15	0
173	58	161	40	-0,00001	39,89950	39,89949	15	0
87	80	83	54	0,00005	37,55630	37,55635	17	0
112	45	79	55	0,00004	37,14210	37,14214	21	0
90	80	72	66	0,00001	39,41420	39,41421	14	0
103	105	102	69	0,00000	37,00000	37,00000	7	0
152	77	178	82	-0,00004	37,87010	37,87006	24	0
130	45	93	46	0,00004	38,24260	38,24264	17	0
118	58	83	66	0,00001	38,31370	38,31371	18	0
108	91	88	65	0,00000	37,21320	37,21320	19	0
139	84	161	55	-0,00001	42,79900	42,79899	15	0
102	37	120	73	0,00004	43,45580	43,45584	18	0
89	63	50	62	-0,00001	41,89950	41,89949	12	0
127	64	88	55	0,00002	42,72790	42,72792	17	0
172	51	177	92	-0,00003	43,07110	43,07107	9	0
148	67	111	57	0,00004	41,14210	41,14214	19	0
185	60	177	100	0,00001	43,31370	43,31371	9	0
69	53	105	36	0,00003	43,04160	43,04163	16	0
98	19	94	55	-0,00001	41,79900	41,79899	19	0
127	78	164	67	0,00004	42,14210	42,14214	19	0
94	90	102	55	0,00002	47,72790	47,72792	22	0
105	56	63	51	-0,00003	44,07110	44,07107	16	0
124	82	159	67	0,00002	44,72790	44,72792	15	0
159	98	185	66	0,00004	47,45580	47,45584	17	0
76	53	106	25	-0,00003	46,28430	46,28427	22	0
139	62	97	55	-0,00001	44,89950	44,89949	13	0
75	65	105	89	-0,00004	46,97060	46,97056	20	0
130	70	104	33	-0,00005	47,76960	47,76955	29	0
116	56	102	79	-0,00003	44,07110	44,07107	30	0
93	50	111	84	0,00002	46,72790	46,72792	26	0
128	96	176	90	-0,00002	50,48530	50,48528	12	0
120	65	78	68	0,00004	49,14210	49,14214	23	0
106	76	99	41	-0,00003	49,07110	49,07107	16	0
107	57	109	96	-0,00001	50,79900	50,79899	33	0
80	61	98	95	-0,00004	50,87010	50,87006	28	1
83	63	119	72	-0,00005	48,65690	48,65685	19	0
145	57	151	79	-0,00001	49,79900	49,79899	28	0
153	91	179	64	-0,00002	49,48530	49,48528	15	0
108	94	108	60	0,00004	48,14210	48,14214	22	0
84	55	110	69	-0,00000	49,11270	49,11270	36	0
100	51	100	102	0,00002	55,72790	55,72792	23	0
152	77	151	60	0,00005	53,55630	53,55635	41	0
102	40	149	59	-0,00004	54,87010	54,87006	28	0
158	70	140	56	0,00004	52,14210	52,14214	27	0
135	89	176	66	-0,00003	52,28430	52,28427	23	0
77	67	103	22	-0,00005	55,76960	55,76955	17	0
148	59	152	81	-0,00002	54,38480	54,38478	27	0
110	68	88	49	0,00004	54,45580	54,45584	21	0
138	92	159	52	-0,00004	53,97060	53,97056	21	0
89	84	112	42	-0,00000	52,11270	52,11270	27	0
79	55	132	43	-0,00004	57,97060	57,97056	27	0
127	57	165	65	0,00004	56,14210	56,14214	30	0
72	54	128	55	0,00001	56,41420	56,41421	7	0
64	55	102	76	0,00002	57,62740	57,62742	29	0
119	64	162	58	-0,00002	59,38480	59,38478	38	0
124	61	171	66	-0,00004	58,97060	58,97056	36	0
143	95	175	65	-0,00002	58,48530	58,48528	35	0
94	53	106	107	0,00005	59,55630	59,55635	19	0
96	89	69	63	-0,00004	59,97060	59,97056	21	0
109	44	114	72	-0,00004	59,87010	59,87006	61	0
67	65	125	68	-0,00004	63,97060	63,97056	22	0
171	54	126	67	0,00000	61,21320	61,21320	26	0
85	52	103	106	0,00003	62,04160	62,04163	19	0
64	49	97	27	0,00000	60,21320	60,21320	36	0
132	58	96	11	-0,00004	63,08330	63,08326	38	0
132	53	71	52	0,00001	61,41420	61,41421	6	0
101	7	96	66	0,00002	62,72790	62,72792	26	0
140	67	81	63	0,00004	63,14210	63,14214	20	0
130	76	98	81	-0,00002	61,38480	61,38478	39	0
86	49	104	101	0,00003	60,04160	60,04163	23	0
122	59	107	97	0,00004	65,14210	65,14214	46	0
114	93	68	58	0,00003	66,94110	66,94113	23	0
73	61	131	44	0,00003	65,04160	65,04163	25	0
160	60	144	58	0,00005	65,55630	65,55635	41	0
74	53	104	6	0,00004	66,45580	66,45584	22	0
128	68	175	50	0,00003	65,04160	65,04163	31	0
58	62	102	72	-0,00001	67,79900	67,79899	29	0
123	42	111	84	-0,00000	67,11270	67,11270	67	0
162	70	112	47	-0,00002	66,69850	66,69848	32	0
149	36	178	83	0,00004	65,45580	65,45584	17	0
115	67	123	50	0,00003	70,94110	70,94113	27	0
