type: da2
name: w_bonepit
algorithm: jpsbb
preprossessing [ms]: 44034

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
295	217	294	223	0,00000	6,41421	6,41421	7	0
369	200	374	195	-0,00000	7,07107	7,07107	2	0
217	344	220	348	0,00000	5,24264	5,24264	3	0
202	335	207	339	0,00000	6,65685	6,65685	3	1
411	128	407	128	0,00000	4,00000	4,00000	2	0
335	205	340	201	0,00000	6,65685	6,65685	4	0
171	161	176	162	0,00000	5,41421	5,41421	3	0
328	191	332	189	-0,00000	4,82843	4,82843	4	0
144	161	143	168	0,00000	7,41421	7,41421	3	0
206	334	207	329	0,00000	5,41421	5,41421	3	0
163	164	154	161	0,00004	10,24260	10,24264	3	0
358	190	350	191	0,00000	8,41421	8,41421	4	0
333	205	328	198	-0,00000	9,07107	9,07107	4	0
379	276	374	268	-0,00003	10,07110	10,07107	5	0
275	210	266	207	0,00004	10,24260	10,24264	5	0
190	335	191	325	0,00001	10,41420	10,41421	4	0
196	306	188	308	-0,00000	8,82843	8,82843	3	0
412	134	406	128	0,00000	8,48528	8,48528	2	0
229	352	235	358	0,00000	8,48528	8,48528	2	0
195	294	197	286	-0,00000	8,82843	8,82843	4	0
279	251	290	261	0,00004	15,14210	15,14214	4	0
309	179	294	180	0,00001	15,41420	15,41421	6	0
150	160	146	171	-0,00005	12,65690	12,65685	3	0
191	254	199	263	0,00001	12,31370	12,31371	5	0
261	208	273	203	-0,00003	14,07110	14,07107	5	0
282	172	272	167	-0,00003	12,07110	12,07107	5	0
325	217	314	212	-0,00003	13,07110	13,07107	4	0
178	309	183	320	-0,00003	13,07110	13,07107	3	0
299	213	310	222	0,00002	14,72790	14,72792	4	0
310	218	299	208	0,00004	15,14210	15,14214	6	0
209	356	210	340	0,00001	16,41420	16,41421	4	1
178	329	190	340	0,00005	16,55630	16,55635	3	0
283	250	273	265	0,00004	19,14210	19,14214	7	0
396	234	410	227	-0,00001	16,89950	16,89949	4	0
286	241	297	231	-0,00002	17,48530	17,48528	8	0
407	158	393	171	-0,00002	19,38480	19,38478	5	0
148	171	164	178	-0,00001	18,89950	18,89949	3	0
309	194	304	179	-0,00003	17,07110	17,07107	5	0
300	213	315	203	0,00004	19,14210	19,14214	5	0
382	185	374	198	0,00001	16,31370	16,31371	7	0
275	204	276	226	0,00001	22,41420	22,41421	4	0
276	262	296	261	0,00001	20,41420	20,41421	4	0
326	181	340	198	-0,00001	22,79900	22,79899	4	0
138	156	156	162	-0,00002	20,48530	20,48528	4	1
292	220	273	208	-0,00004	23,97060	23,97056	11	0
404	137	416	155	-0,00004	22,97060	22,97056	6	0
184	289	202	279	0,00004	22,14210	22,14214	5	0
256	223	273	208	0,00000	23,21320	23,21320	5	0
277	211	296	217	0,00004	23,14210	23,14214	7	0
183	322	184	300	0,00001	22,41420	22,41421	4	0
289	198	314	205	-0,00001	27,89950	27,89949	10	0
261	212	269	188	0,00001	27,31370	27,31371	5	0
371	216	366	194	-0,00003	24,07110	24,07107	5	0
328	219	339	197	0,00005	26,55630	26,55635	10	0
308	173	334	169	-0,00005	27,65690	27,65685	4	1
391	189	381	212	0,00004	27,14210	27,14214	8	0
310	168	334	172	-0,00005	25,65690	25,65685	4	0
318	160	295	168	0,00001	26,31370	26,31371	4	0
213	309	207	284	-0,00002	27,48530	27,48528	4	0
277	214	280	239	0,00004	26,24260	26,24264	3	0
210	296	200	322	0,00004	30,14210	30,14214	4	0
306	186	321	210	0,00000	30,21320	30,21320	5	0
202	309	184	285	0,00004	31,45580	31,45584	5	0
197	311	212	288	0,00000	29,21320	29,21320	4	0
174	318	204	322	-0,00005	31,65690	31,65685	3	1
238	355	214	339	0,00002	30,62740	30,62742	15	0
293	200	290	222	0,00005	28,55630	28,55635	20	0
191	320	197	291	-0,00002	31,48530	31,48528	6	0
321	189	294	190	0,00003	28,82840	28,82843	7	0
302	191	332	187	-0,00005	31,65690	31,65685	4	0
362	201	366	231	-0,00004	34,97060	34,97056	11	0
187	324	212	346	-0,00000	34,11270	34,11270	4	0
211	194	198	222	-0,00002	33,38480	33,38478	9	0
302	204	282	231	-0,00003	35,28430	35,28427	13	0
341	174	309	182	0,00001	35,31370	35,31371	9	0
370	198	339	195	0,00004	32,24260	32,24264	5	1
159	151	163	184	-0,00005	34,65690	34,65685	3	0
214	338	181	334	-0,00005	34,65690	34,65685	3	0
304	219	334	212	-0,00001	32,89950	32,89949	4	0
194	262	184	232	0,00002	34,72790	34,72792	11	0
202	351	177	323	0,00004	38,35530	38,35534	8	0
195	342	175	312	-0,00003	38,28430	38,28427	6	0
309	212	279	232	-0,00003	38,28430	38,28427	7	0
208	274	181	302	-0,00003	39,18380	39,18377	4	0
273	210	277	248	-0,00005	39,65690	39,65685	3	1
269	213	298	212	0,00004	36,14210	36,14214	11	0
322	175	287	187	-0,00004	39,97060	39,97056	13	0
290	199	269	227	0,00003	39,04160	39,04163	10	0
196	317	208	285	-0,00004	36,97060	36,97056	5	0
183	297	198	265	0,00000	38,21320	38,21320	6	0
283	242	257	210	-0,00005	42,76960	42,76955	8	0
253	218	221	193	0,00004	42,35530	42,35534	5	0
273	188	237	197	-0,00002	41,38480	41,38478	9	0
324	208	360	199	0,00005	40,55630	40,55635	7	1
273	207	309	210	0,00003	43,04160	43,04163	14	0
204	285	200	324	-0,00005	40,65690	40,65685	3	0
253	209	292	219	0,00004	43,14210	43,14214	4	0
163	193	163	153	0,00000	40,00000	40,00000	2	0
296	230	326	201	-0,00001	42,01220	42,01219	5	0
390	172	423	149	0,00001	42,52690	42,52691	4	0
312	168	275	179	0,00004	47,35530	47,35534	15	0
398	230	371	263	-0,00003	44,18380	44,18377	6	0
279	274	268	233	0,00004	46,14210	46,14214	10	0
381	201	380	241	0,00005	44,55630	44,55635	8	1
268	214	303	189	0,00004	45,35530	45,35534	9	0
368	200	328	210	-0,00001	45,79900	45,79899	8	0
317	179	275	179	-0,00001	47,79900	47,79899	13	0
314	219	281	189	0,00001	45,42640	45,42641	10	0
346	160	324	197	-0,00002	46,69850	46,69848	8	0
299	262	296	229	-0,00003	44,28430	44,28427	12	0
261	196	273	242	-0,00004	50,97060	50,97056	8	0
270	218	321	220	0,00003	51,82840	51,82843	6	0
326	222	318	175	0,00001	50,31370	50,31371	5	1
335	201	381	193	0,00001	49,31370	49,31371	4	0
368	230	358	273	0,00001	50,31370	50,31371	7	0
274	175	258	219	0,00002	50,62740	50,62742	10	0
324	217	283	191	-0,00005	51,76960	51,76955	11	0
314	179	271	175	0,00004	50,45580	50,45584	13	0
197	292	198	342	0,00001	50,41420	50,41421	4	0
283	177	302	219	-0,00004	49,87010	49,87006	15	0
199	337	206	286	-0,00001	53,89950	53,89949	4	0
327	180	279	192	-0,00004	52,97060	52,97056	13	0
194	279	173	323	-0,00002	52,69850	52,69848	7	1
188	237	197	287	0,00002	53,72790	53,72792	7	0
361	186	401	156	0,00004	55,35530	55,35534	10	0
321	213	306	165	0,00000	54,21320	54,21320	5	0
278	219	307	179	0,00003	54,94110	54,94113	16	0
222	195	267	220	0,00004	55,35530	55,35534	14	0
282	230	239	203	-0,00003	54,18380	54,18377	7	0
205	342	209	289	-0,00005	54,65690	54,65685	5	0
197	298	201	354	-0,00005	57,65690	57,65685	4	1
389	188	334	197	0,00002	58,72790	58,72792	7	0
265	217	324	219	0,00003	59,82840	59,82843	6	0
387	193	332	202	0,00002	58,72790	58,72792	8	0
202	326	213	274	0,00005	56,55630	56,55635	4	0
204	201	250	214	-0,00003	57,18380	57,18377	15	0
208	287	197	340	0,00005	57,55630	57,55635	4	0
364	205	323	170	-0,00002	59,59800	59,59798	15	0
269	157	274	211	-0,00003	56,07110	56,07107	6	0
