type: da2
name: w_bonepitmining_a2
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
382	211	380	204	-0,00000	7,82843	7,82843	57	0
277	180	275	173	-0,00000	7,82843	7,82843	57	0
286	261	283	255	0,00000	7,24264	7,24264	52	0
396	172	395	167	0,00000	5,41421	5,41421	37	0
380	216	377	212	0,00000	5,24264	5,24264	30	0
218	352	212	349	0,00000	7,24264	7,24264	52	0
409	230	413	225	0,00000	6,65685	6,65685	42	0
196	224	192	226	-0,00000	4,82843	4,82843	34	0
318	185	318	191	0,00000	6,00000	6,00000	44	0
376	262	370	260	-0,00000	6,82843	6,82843	49	0
195	311	203	309	-0,00000	8,82843	8,82843	68	0
328	166	321	161	-0,00000	9,07107	9,07107	63	0
393	177	397	170	0,00000	8,65685	8,65685	70	0
328	204	321	200	0,00000	8,65685	8,65685	70	1
198	295	193	287	-0,00003	10,07110	10,07107	78	0
280	270	281	279	0,00000	9,41421	9,41421	65	0
189	226	197	222	0,00000	9,65685	9,65685	71	0
293	271	284	275	-0,00005	10,65690	10,65685	80	0
191	310	191	300	0,00000	10,00000	10,00000	72	0
290	197	282	191	-0,00002	10,48530	10,48528	82	0
187	289	199	296	-0,00001	14,89950	14,89949	134	0
186	322	176	329	-0,00001	12,89950	12,89949	114	0
305	201	291	199	0,00001	15,41420	15,41421	89	0
282	232	273	244	0,00002	15,72790	15,72792	134	1
368	196	356	197	0,00001	12,41420	12,41421	86	0
197	276	210	280	-0,00005	14,65690	14,65685	145	0
310	192	305	182	-0,00003	12,07110	12,07107	101	0
322	173	313	185	0,00002	15,72790	15,72792	134	0
397	165	408	159	-0,00002	13,48530	13,48528	127	0
300	221	314	217	-0,00005	15,65690	15,65685	147	0
262	199	247	203	0,00004	17,24260	17,24264	91	0
307	167	322	163	-0,00005	16,65690	16,65685	142	0
301	205	305	189	0,00003	18,82840	18,82843	137	0
180	306	191	321	0,00005	19,55630	19,55635	186	0
372	208	363	195	0,00002	16,72790	16,72792	153	0
394	168	399	153	-0,00003	17,07110	17,07107	173	0
317	224	301	226	0,00003	16,82840	16,82843	142	1
210	341	204	325	-0,00002	18,48530	18,48528	200	0
290	188	274	186	0,00003	16,82840	16,82843	145	0
407	148	414	133	-0,00002	18,48530	18,48528	165	0
344	188	322	188	0,00000	22,00000	22,00000	156	0
375	208	383	189	0,00001	22,31370	22,31371	251	1
209	328	205	306	-0,00005	23,65690	23,65685	230	0
271	250	278	268	0,00004	23,24260	23,24264	172	0
181	305	183	328	0,00003	23,82840	23,82843	218	0
189	296	206	309	-0,00002	22,38480	22,38478	217	1
283	226	286	245	0,00004	20,24260	20,24264	200	0
261	212	270	232	0,00002	23,72790	23,72792	233	0
278	251	294	262	0,00005	20,55630	20,55635	206	0
290	220	281	203	-0,00005	23,65690	23,65685	154	1
245	197	266	201	0,00001	24,31370	24,31371	155	0
194	303	217	315	-0,00004	27,97060	27,97056	355	0
287	196	280	173	-0,00001	25,89950	25,89949	249	1
289	228	312	216	-0,00004	27,97060	27,97056	316	0
285	238	270	219	0,00000	25,21320	25,21320	241	0
385	181	382	204	0,00004	24,24260	24,24264	243	1
199	261	204	286	-0,00003	27,07110	27,07107	312	0
380	196	375	220	-0,00003	26,07110	26,07107	288	1
196	330	176	312	0,00004	27,45580	27,45584	230	0
191	321	205	300	-0,00001	26,79900	26,79899	307	0
200	300	206	328	-0,00002	30,48530	30,48528	380	1
297	181	320	170	-0,00002	28,38480	28,38478	188	0
184	305	191	332	-0,00001	29,89950	29,89949	364	1
326	170	302	180	-0,00001	29,79900	29,79899	389	0
293	224	313	205	0,00000	30,21320	30,21320	276	1
212	316	213	344	-0,00003	30,07110	30,07107	240	0
361	189	374	215	-0,00002	31,38480	31,38478	397	0
205	270	193	244	-0,00004	30,97060	30,97056	423	1
283	199	274	225	0,00002	29,72790	29,72792	324	0
179	328	200	306	-0,00002	30,69850	30,69848	216	0
377	248	381	281	-0,00005	34,65690	34,65685	261	0
384	180	362	203	-0,00000	32,11270	32,11270	156	0
295	259	271	238	-0,00002	32,69850	32,69848	285	0
362	203	332	200	-0,00003	32,07110	32,07107	168	0
208	328	178	314	-0,00001	35,79900	35,79899	506	1
176	320	207	315	-0,00003	33,07110	33,07107	385	0
269	248	290	269	0,00003	32,04160	32,04163	281	0
348	285	377	271	-0,00001	34,79900	34,79899	437	0
194	305	197	272	0,00004	34,24260	34,24264	359	1
206	281	199	248	-0,00001	35,89950	35,89949	445	0
323	158	331	194	0,00001	39,31370	39,31371	486	0
377	233	407	228	-0,00004	39,97060	39,97056	359	0
206	326	231	350	-0,00002	36,69850	36,69848	303	0
283	223	290	188	0,00005	39,55630	39,55635	385	0
360	196	322	195	0,00001	38,41420	38,41421	268	0
284	259	291	222	-0,00001	39,89950	39,89949	457	0
271	171	277	206	-0,00002	37,48530	37,48528	352	1
316	164	340	189	-0,00002	36,69850	36,69848	382	0
277	256	282	219	-0,00003	39,07110	39,07107	426	0
369	248	356	279	-0,00001	37,79900	37,79899	250	0
313	202	349	189	-0,00002	41,38480	41,38478	630	1
317	177	284	194	0,00003	40,04160	40,04163	451	0
199	313	225	343	-0,00002	43,69850	43,69848	501	0
287	189	326	182	-0,00001	41,89950	41,89949	471	1
206	296	195	260	0,00005	40,55630	40,55635	600	0
370	205	379	245	0,00002	43,72790	43,72792	455	1
269	206	308	198	0,00001	42,31370	42,31371	402	0
191	333	188	292	0,00004	42,24260	42,24264	424	0
272	170	271	212	0,00001	42,41420	42,41421	276	0
342	189	302	197	0,00001	43,31370	43,31371	587	1
405	172	382	207	0,00001	44,52690	44,52691	533	0
279	230	264	266	0,00004	45,14210	45,14214	678	1
348	198	341	164	-0,00003	47,18380	47,18377	542	0
355	198	323	220	-0,00004	46,97060	46,97056	455	0
400	183	413	141	-0,00002	47,38480	47,38478	583	1
283	194	325	205	0,00005	46,55630	46,55635	674	0
414	124	395	160	0,00004	44,45580	44,45584	409	1
367	191	320	192	0,00001	47,41420	47,41421	331	0
282	185	259	222	0,00001	46,52690	46,52691	698	0
271	187	309	209	-0,00002	47,69850	47,69848	606	1
215	350	209	304	-0,00002	48,48530	48,48528	437	0
280	187	319	215	-0,00002	50,59800	50,59798	561	0
250	215	294	200	0,00000	50,21320	50,21320	721	1
328	195	369	211	-0,00001	48,79900	48,79899	550	1
354	279	387	244	-0,00002	51,59800	51,59798	501	0
413	143	391	184	-0,00000	50,11270	50,11270	769	1
229	198	197	222	-0,00000	51,11270	51,11270	473	0
375	236	359	192	0,00002	50,62740	50,62742	504	0
195	227	211	272	0,00002	51,62740	51,62742	490	1
297	213	267	208	-0,00001	50,79900	50,79899	470	0
337	203	284	197	-0,00002	55,48530	55,48528	668	0
283	232	313	195	0,00001	53,52690	53,52691	763	1
250	210	300	224	-0,00001	55,79900	55,79899	812	1
