type: da2
name: w_encounter1
algorithm: jpsbb
preprossessing [ms]: 6333

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
106	215	106	210	0,00000	5,00000	5,00000	3	8
134	247	139	246	0,00000	5,41421	5,41421	4	0
133	212	135	207	-0,00000	5,82843	5,82843	4	1
168	311	167	307	0,00000	4,41421	4,41421	4	0
157	287	161	291	0,00000	5,65685	5,65685	2	0
170	311	173	317	0,00000	7,24264	7,24264	3	0
115	210	114	203	0,00000	7,41421	7,41421	3	1
89	220	85	222	-0,00000	4,82843	4,82843	3	0
102	215	99	219	0,00000	5,24264	5,24264	4	0
127	149	120	147	-0,00000	7,82843	7,82843	4	0
143	251	150	244	0,00000	9,89949	9,89949	3	0
188	210	177	211	0,00001	11,41420	11,41421	4	0
98	243	90	236	-0,00001	10,89950	10,89949	3	0
107	231	111	223	0,00000	9,65685	9,65685	3	1
91	226	90	234	0,00000	8,41421	8,41421	3	0
145	198	136	202	-0,00005	10,65690	10,65685	6	0
174	222	167	227	0,00000	9,65685	9,65685	7	0
118	216	107	214	0,00003	11,82840	11,82843	3	0
108	198	106	208	0,00003	10,82840	10,82843	7	0
163	197	154	194	0,00004	10,24260	10,24264	3	0
141	254	155	252	0,00003	14,82840	14,82843	4	0
98	220	107	232	0,00002	15,72790	15,72792	5	0
130	203	137	213	-0,00001	12,89950	12,89949	5	1
97	249	95	262	0,00003	13,82840	13,82843	4	0
127	164	136	173	0,00002	12,72790	12,72792	2	0
155	192	142	194	0,00003	13,82840	13,82843	6	0
129	163	127	151	0,00003	12,82840	12,82843	4	0
168	219	167	206	0,00001	13,41420	13,41421	3	0
106	239	99	249	-0,00001	12,89950	12,89949	4	0
104	223	119	222	0,00001	15,41420	15,41421	4	0
125	144	130	159	-0,00003	17,07110	17,07107	10	1
88	234	103	231	0,00004	16,24260	16,24264	4	0
171	322	165	307	-0,00002	17,48530	17,48528	7	0
158	251	155	234	0,00004	18,24260	18,24264	4	0
118	236	114	221	-0,00005	16,65690	16,65685	4	0
103	268	93	254	0,00004	18,14210	18,14214	5	0
197	213	200	196	0,00004	18,24260	18,24264	3	0
111	222	126	225	0,00004	16,24260	16,24264	4	0
93	252	106	244	0,00001	16,31370	16,31371	4	0
154	195	139	184	0,00005	19,55630	19,55635	6	0
109	227	88	229	0,00003	21,82840	21,82843	3	0
95	239	112	230	0,00002	20,72790	20,72792	3	0
103	266	121	255	0,00005	22,55630	22,55635	6	0
158	195	171	210	-0,00002	20,38480	20,38478	6	1
194	205	172	204	0,00001	22,41420	22,41421	4	0
98	183	109	199	0,00005	20,55630	20,55635	4	0
116	223	125	234	-0,00005	21,65690	21,65685	6	1
135	177	152	187	0,00004	21,14210	21,14214	5	0
176	213	160	196	0,00002	23,62740	23,62742	3	0
131	206	111	212	-0,00002	22,48530	22,48528	3	1
132	239	151	255	0,00002	25,62740	25,62742	5	0
109	212	132	221	0,00002	26,72790	26,72792	6	0
205	204	182	207	0,00004	24,24260	24,24264	4	1
117	217	104	237	-0,00002	25,38480	25,38478	5	0
105	209	86	226	-0,00001	27,79900	27,79899	10	0
164	297	160	272	-0,00002	27,48530	27,48528	5	0
168	210	193	212	0,00003	25,82840	25,82843	3	0
93	249	113	237	-0,00004	24,97060	24,97056	4	0
196	206	174	211	-0,00003	24,07110	24,07107	4	0
113	216	137	215	0,00001	24,41420	24,41421	4	0
119	191	109	215	0,00004	28,14210	28,14214	5	0
163	199	184	216	0,00003	28,04160	28,04163	4	0
160	273	142	252	-0,00004	31,97060	31,97056	9	0
107	191	104	221	0,00004	31,24260	31,24264	8	0
98	225	125	221	-0,00005	28,65690	28,65685	5	0
186	218	161	233	-0,00001	31,79900	31,79899	13	0
168	197	194	202	-0,00005	28,65690	28,65685	5	1
108	242	120	215	-0,00004	31,97060	31,97056	7	0
122	155	139	176	0,00003	28,04160	28,04163	4	0
139	251	115	237	-0,00001	29,79900	29,79899	4	1
133	201	161	202	-0,00002	35,38480	35,38478	10	0
120	250	92	258	0,00004	35,45580	35,45584	11	0
158	193	159	225	-0,00001	34,89950	34,89949	10	0
106	211	136	205	-0,00002	32,48530	32,48528	6	0
156	291	159	260	0,00004	32,24260	32,24264	5	0
107	222	132	239	-0,00001	33,79900	33,79899	7	0
159	224	192	217	-0,00001	35,89950	35,89949	5	0
128	240	102	222	0,00004	33,45580	33,45584	10	1
111	194	99	225	-0,00004	35,97060	35,97056	15	0
157	281	151	250	-0,00002	33,48530	33,48528	11	0
159	225	193	216	0,00002	37,72790	37,72792	5	0
141	178	136	213	-0,00003	37,07110	37,07107	7	1
168	220	154	252	-0,00001	37,79900	37,79899	6	0
129	235	157	233	-0,00001	39,79900	39,79899	13	0
125	151	140	184	0,00000	39,21320	39,21320	15	0
165	225	197	208	0,00003	39,04160	39,04163	4	0
