type: da2
name: w_encounter3
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
115	356	109	353	0,00000	7,24264	7,24264	52	0
152	331	150	326	-0,00000	5,82843	5,82843	38	0
243	164	246	168	0,00000	5,24264	5,24264	35	0
174	207	179	203	0,00000	6,65685	6,65685	43	1
162	210	155	209	0,00000	7,41421	7,41421	51	0
109	284	113	285	0,00000	4,41421	4,41421	24	0
233	176	227	178	-0,00000	6,82843	6,82843	49	0
128	368	132	365	0,00000	5,24264	5,24264	33	0
97	316	92	316	0,00000	5,00000	5,00000	37	0
227	174	224	177	-0,00000	4,82843	4,82843	24	0
156	243	153	252	0,00004	10,24260	10,24264	89	0
149	280	150	271	0,00000	9,41421	9,41421	65	0
200	197	193	190	0,00000	9,89949	9,89949	51	0
167	214	158	209	-0,00003	11,07110	11,07107	90	0
155	312	150	320	-0,00003	10,07110	10,07107	75	0
202	178	210	181	0,00000	9,24264	9,24264	53	0
167	218	177	218	0,00000	10,00000	10,00000	72	0
218	179	226	179	0,00000	8,00000	8,00000	58	0
129	252	133	245	0,00000	8,65685	8,65685	61	0
167	220	161	211	-0,00002	11,48530	11,48528	100	0
106	290	95	301	0,00005	15,55630	15,55635	79	0
129	349	137	340	0,00001	12,31370	12,31371	76	0
171	209	160	212	0,00004	12,24260	12,24264	109	0
186	227	195	215	0,00002	15,72790	15,72792	134	0
143	231	132	228	-0,00005	13,65690	13,65685	112	0
115	359	118	373	0,00004	15,24260	15,24264	141	0
109	225	118	217	0,00001	12,31370	12,31371	86	0
163	238	156	251	-0,00001	15,89950	15,89949	150	0
163	220	176	227	-0,00001	15,89950	15,89949	156	1
198	195	199	207	0,00001	12,41420	12,41421	86	0
130	378	134	394	-0,00005	17,65690	17,65685	173	0
130	271	146	271	0,00000	16,00000	16,00000	114	0
181	224	169	239	-0,00004	19,97060	19,97056	177	0
161	241	148	250	0,00002	16,72790	16,72792	138	0
165	193	179	206	-0,00002	19,38480	19,38478	136	0
178	230	191	217	-0,00002	18,38480	18,38478	93	0
197	215	200	197	0,00004	19,24260	19,24264	149	0
232	174	247	165	0,00002	18,72790	18,72792	138	0
193	219	176	215	-0,00005	18,65690	18,65685	147	0
113	292	98	304	-0,00004	19,97060	19,97056	146	0
125	229	130	247	-0,00003	20,07110	20,07107	175	0
85	299	106	292	-0,00001	23,89950	23,89949	250	1
119	265	139	270	-0,00003	22,07110	22,07107	186	0
170	222	175	201	-0,00003	23,07110	23,07107	237	0
144	229	124	228	0,00004	21,24260	21,24264	154	9
103	304	97	325	-0,00002	23,48530	23,48528	144	0
109	297	93	285	-0,00004	20,97060	20,97056	198	0
130	233	131	255	0,00001	22,41420	22,41421	156	0
201	200	191	218	0,00004	22,14210	22,14214	207	1
135	382	119	371	0,00002	21,72790	21,72792	196	0
133	382	147	403	-0,00002	27,38480	27,38478	227	0
129	261	132	235	0,00004	27,24260	27,24264	263	0
154	218	177	222	-0,00005	24,65690	24,65685	247	1
167	197	168	220	-0,00001	25,89950	25,89949	217	0
169	237	164	213	-0,00003	26,07110	26,07107	281	0
111	284	91	295	0,00005	24,55630	24,55635	239	0
88	310	107	292	0,00004	26,45580	26,45584	186	0
191	227	166	224	0,00004	26,24260	26,24264	244	1
169	229	179	209	0,00004	24,14210	24,14214	278	0
89	313	97	335	0,00001	25,31370	25,31371	230	0
97	324	111	348	-0,00001	29,79900	29,79899	245	1
132	250	139	275	0,00005	29,55630	29,55635	262	0
140	272	143	262	-0,00001	30,89950	30,89949	418	0
99	286	95	316	-0,00005	31,65690	31,65685	353	1
135	257	148	270	0,00001	31,31370	31,31371	373	0
82	314	101	290	-0,00004	31,87010	31,87006	304	0
132	271	149	259	-0,00005	30,65690	30,65685	427	0
151	254	127	265	0,00004	29,14210	29,14214	241	0
94	312	99	339	-0,00003	29,07110	29,07107	266	1
128	277	142	260	0,00004	29,24260	29,24264	439	0
183	223	156	243	-0,00003	35,28430	35,28427	412	1
155	212	164	244	0,00002	35,72790	35,72792	317	0
130	355	121	383	-0,00005	34,65690	34,65685	240	0
150	288	127	279	0,00001	33,31370	33,31371	299	1
169	237	171	205	0,00003	32,82840	32,82843	281	0
102	337	102	306	0,00001	34,31370	34,31371	258	0
126	225	128	260	0,00003	35,82840	35,82843	233	0
149	253	159	223	-0,00004	34,97060	34,97056	251	1
115	223	129	251	-0,00004	34,97060	34,97056	281	0
124	382	145	407	-0,00002	33,69850	33,69848	243	0
128	389	151	415	-0,00002	36,69850	36,69848	273	1
145	345	156	312	0,00005	37,55630	37,55635	319	0
160	234	136	257	0,00003	37,04160	37,04163	255	0
97	331	99	295	0,00003	36,82840	36,82843	293	0
194	218	167	197	0,00000	39,21320	39,21320	388	0
109	223	139	236	-0,00002	39,48530	39,48528	541	1
185	224	157	204	-0,00003	36,28430	36,28427	402	0
95	293	124	273	-0,00003	37,28430	37,28427	362	1
110	349	90	321	-0,00003	36,28430	36,28427	291	0
154	279	123	264	0,00000	37,21320	37,21320	370	1
117	272	92	305	0,00004	43,35530	43,35534	330	0
116	357	137	391	-0,00002	42,69850	42,69848	263	0
132	384	154	415	-0,00000	40,11270	40,11270	314	1
139	346	154	309	0,00000	43,21320	43,21320	387	0
148	281	128	250	0,00000	42,21320	42,21320	395	1
132	375	147	339	0,00000	42,21320	42,21320	255	0
124	263	95	286	0,00002	42,62740	42,62742	376	0
135	260	141	227	0,00004	43,24260	43,24264	495	1
194	216	161	240	0,00003	42,94110	42,94113	471	1
131	257	143	231	-0,00003	43,07110	43,07107	592	0
152	256	168	216	0,00002	46,62740	46,62742	461	1
125	219	128	262	0,00004	44,24260	44,24264	327	0
127	253	111	214	0,00002	45,62740	45,62742	362	0
197	195	170	214	-0,00001	45,79900	45,79899	473	1
129	262	96	293	-0,00002	47,59800	47,59798	457	0
131	276	94	298	-0,00000	46,11270	46,11270	461	0
106	301	107	339	0,00000	46,21320	46,21320	383	0
165	237	127	258	-0,00002	46,69850	46,69848	427	1
160	243	130	241	0,00000	47,21320	47,21320	506	0
126	241	156	244	0,00004	44,45580	44,45584	396	0
111	281	86	319	0,00004	48,35530	48,35534	617	1
117	363	142	403	0,00004	50,35530	50,35534	485	0
143	260	170	220	-0,00003	51,18380	51,18377	542	1
128	255	165	230	-0,00003	50,28430	50,28427	499	0
156	249	190	214	-0,00004	49,08330	49,08326	243	0
177	225	140	257	0,00003	50,25480	50,25483	476	0
88	301	121	269	-0,00002	48,59800	48,59798	534	1
144	348	133	391	0,00001	51,31370	51,31371	337	0
95	296	134	274	-0,00000	48,11270	48,11270	548	0
145	256	113	288	-0,00000	51,11270	51,11270	535	1
203	197	168	231	-0,00001	52,01220	52,01219	462	0
134	260	112	216	-0,00000	53,11270	53,11270	457	1
132	252	159	225	0,00003	52,04160	52,04163	616	0
132	280	157	309	-0,00001	53,79900	53,79899	534	0
172	238	127	258	-0,00003	53,28430	53,28427	469	1
137	342	118	377	0,00005	53,55630	53,55635	470	0
203	179	187	228	0,00002	55,62740	55,62742	549	1
200	197	160	220	0,00000	54,21320	54,21320	517	0
132	259	177	234	0,00004	55,35530	55,35534	536	1
120	376	97	331	0,00001	54,52690	54,52691	477	0
139	271	164	239	-0,00003	59,18380	59,18377	722	1
110	290	148	259	-0,00000	56,11270	56,11270	750	0
90	300	136	270	0,00001	58,42640	58,42641	747	1
124	278	158	241	0,00004	56,35530	56,35534	700	1
87	314	122	270	-0,00003	58,49750	58,49747	696	0
159	208	140	257	0,00004	59,45580	59,45584	587	1
92	303	139	277	-0,00002	58,59800	58,59798	732	0
171	234	126	248	-0,00002	56,59800	56,59798	604	1
140	261	97	282	0,00001	56,52690	56,52691	629	0
166	214	136	257	0,00001	59,52690	59,52691	712	1
177	230	200	178	0,00001	61,52690	61,52691	824	1
159	222	124	255	0,00002	60,62740	60,62742	564	0
149	255	111	293	0,00004	61,35530	61,35534	655	1
93	288	138	256	-0,00001	60,01220	60,01219	595	0
88	305	137	276	-0,00001	61,01220	61,01219	772	1
163	235	125	277	-0,00001	63,01220	63,01219	594	0
140	255	191	224	0,00002	63,84060	63,84062	631	1
150	296	110	284	-0,00002	60,38480	60,38478	620	0
84	313	118	361	-0,00004	62,08330	62,08326	562	1
198	212	151	253	-0,00004	63,98280	63,98276	527	0
178	199	196	182	-0,00002	65,38480	65,38478	806	1
185	226	219	181	-0,00004	67,87010	67,87006	670	0
116	216	138	274	-0,00000	67,11270	67,11270	730	0
244	156	193	185	-0,00002	67,69850	67,69848	626	1
155	319	134	374	0,00004	65,35530	65,35534	521	0
130	243	163	221	-0,00002	66,69850	66,69848	991	1
141	258	96	299	0,00000	64,32590	64,32590	491	0
122	381	100	325	-0,00000	65,11270	65,11270	537	1
88	308	130	258	-0,00003	67,39700	67,39697	775	1
125	268	85	318	0,00004	66,56850	66,56854	784	0
138	339	147	279	0,00001	70,31370	70,31371	516	1
144	274	90	310	0,00005	70,66900	70,66905	719	0
184	226	126	257	0,00002	70,84060	70,84062	794	1
150	311	133	252	0,00004	71,45580	71,45584	653	0
212	182	179	233	0,00003	69,94110	69,94113	708	0
156	246	140	236	-0,00002	70,38480	70,38478	1413	2
120	221	161	247	-0,00002	70,69850	70,69848	952	0
116	272	97	333	-0,00004	68,87010	68,87006	587	1
95	289	112	352	0,00003	70,04160	70,04163	888	1
138	272	106	222	-0,00003	70,28430	70,28427	886	1
150	283	163	240	-0,00001	74,91170	74,91169	862	0
161	243	139	234	0,00000	74,21320	74,21320	1565	2
139	223	165	240	-0,00003	75,28430	75,28427	885	1
132	378	98	325	0,00001	73,42640	73,42641	875	1
128	261	95	321	0,00005	73,66900	73,66905	888	1
120	264	157	216	-0,00003	75,18380	75,18377	1198	1
149	273	114	224	-0,00004	72,87010	72,87006	811	1
160	238	153	278	0,00005	73,66900	73,66905	1028	0
179	227	124	271	0,00004	75,56850	75,56854	805	1
113	286	134	222	-0,00002	72,69850	72,69848	712	1
136	276	101	328	-0,00005	77,76960	77,76955	893	1
113	371	95	300	0,00004	78,45580	78,45584	659	0
148	278	116	218	-0,00005	76,76960	76,76955	845	0
149	416	130	346	-0,00004	77,87010	77,87006	589	1
133	245	191	228	-0,00003	79,18380	79,18377	992	1
97	300	151	295	0,00001	79,42640	79,42641	1290	1
127	275	178	222	-0,00003	79,39700	79,39697	754	0
171	208	126	253	-0,00002	77,59800	77,59798	1236	2
90	295	150	253	0,00003	79,15430	79,15433	1052	1
127	270	177	217	-0,00004	78,98280	78,98276	957	1
156	208	122	262	-0,00005	80,76960	80,76955	928	0
129	266	98	335	0,00002	81,84060	81,84062	901	1
151	309	151	253	0,00003	83,94110	83,94113	906	1
135	256	89	320	0,00002	83,05380	83,05382	1110	1
114	222	164	235	-0,00001	81,91170	81,91169	953	1
97	321	136	381	0,00001	81,42640	81,42641	690	1
98	302	152	296	0,00001	82,42640	82,42641	1364	1
85	304	153	275	-0,00001	80,01220	80,01219	978	1
175	210	133	244	0,00001	80,42640	80,42641	1531	2
114	220	148	283	-0,00001	80,01220	80,01219	1041	1
223	175	172	232	-0,00001	86,91170	86,91169	703	1
103	340	144	408	-0,00004	84,98280	84,98276	754	0
157	313	106	287	0,00001	85,52690	85,52691	875	1
124	274	169	210	-0,00001	87,91170	87,91169	1372	1
155	211	212	179	-0,00005	87,76960	87,76955	1349	2
111	355	113	281	-0,00002	85,59800	85,59798	851	1
117	366	102	288	0,00001	87,52690	87,52691	772	0
122	223	163	224	-0,00001	87,01220	87,01219	1149	1
119	279	158	215	-0,00004	87,08330	87,08326	1386	2
172	194	214	183	0,00004	86,35530	86,35534	1082	1
223	181	161	211	0,00003	91,94110	91,94113	931	1
209	183	157	196	0,00002	90,84060	90,84062	1097	1
148	280	169	221	-0,00002	90,81120	90,81118	1176	1
92	296	116	377	0,00003	90,94110	90,94113	1058	1
173	218	133	227	-0,00001	90,01220	90,01219	1754	2
117	225	174	226	-0,00002	90,81120	90,81118	1009	1
195	208	244	150	-0,00005	91,76960	91,76955	792	1
158	209	140	277	0,00005	90,66900	90,66905	1264	1
107	295	169	239	0,00001	91,63960	91,63961	1213	1
160	232	149	295	-0,00003	91,49750	91,49747	1277	1
152	301	126	379	0,00001	92,52690	92,52691	751	1
134	227	185	223	0,00005	95,66900	95,66905	1312	1
169	210	129	282	0,00002	93,84060	93,84062	1327	2
174	211	144	274	-0,00002	95,81120	95,81118	1680	2
130	229	175	211	0,00005	95,66900	95,66905	1474	1
162	208	144	273	0,00001	93,42640	93,42641	1525	2
99	312	126	228	-0,00003	95,18380	95,18377	1019	1
91	322	154	285	0,00003	95,15430	95,15433	1339	1
121	220	102	301	-0,00001	93,01220	93,01219	1130	1
182	228	136	227	-0,00002	92,59800	92,59798	1876	3
153	276	154	214	0,00000	99,32590	99,32590	1629	1
114	375	112	291	0,00001	96,42640	96,42641	771	1
110	350	154	334	0,00004	96,56850	96,56854	992	1
155	328	117	350	-0,00003	99,49750	99,49747	981	1
90	292	150	312	-0,00002	99,69850	99,69848	1581	1
159	217	148	286	-0,00003	97,49750	97,49747	1589	2
173	195	121	263	-0,00001	98,91170	98,91169	1478	2
151	281	182	229	0,00004	97,46800	97,46804	1207	1
127	254	158	193	-0,00003	99,49750	99,49747	2161	2
168	233	93	282	0,00001	99,53910	99,53911	1123	2
173	233	95	283	-0,00011	102,12500	102,12489	1140	1
154	312	96	302	0,00026	100,08300	100,08326	1116	1
133	272	112	348	-0,00024	100,98300	100,98276	1446	1
162	209	128	219	-0,00030	103,11300	103,11270	1857	2
135	227	86	303	-0,00024	100,98300	100,98276	1187	1
150	322	146	409	-0,00017	100,25500	100,25483	887	1
172	196	231	181	-0,00023	102,18400	102,18377	1287	1
153	202	129	282	0,00019	101,01200	101,01219	1092	1
101	333	144	344	0,00033	103,15400	103,15433	1359	1
173	221	144	233	0,00047	100,49700	100,49747	2060	2
138	229	91	307	-0,00003	104,39700	104,39697	1126	1
129	274	118	356	-0,00039	106,64000	106,63961	1492	2
166	230	238	172	0,00012	107,74000	107,74012	1644	1
109	290	164	212	-0,00018	106,05400	106,05382	1468	2
130	366	150	270	0,00027	104,28400	104,28427	724	0
118	375	153	297	0,00019	106,01200	106,01219	1192	2
165	212	152	285	0,00018	104,81100	104,81118	1758	2
120	228	83	311	0,00004	104,46800	104,46804	908	0
134	260	193	186	-0,00047	107,36800	107,36753	1906	2
193	223	132	224	0,00005	104,66900	104,66905	1918	3
143	276	168	198	-0,00039	108,64000	108,63961	2061	2
125	279	165	194	0,00018	111,81100	111,81118	2255	3
180	218	111	294	-0,00019	109,85300	109,85281	1453	1
154	205	230	179	-0,00017	109,25500	109,25483	1586	2
243	161	175	228	0,00018	109,81100	109,81118	995	1
94	289	176	229	0,00017	108,61000	108,61017	1336	1
142	346	131	249	0,00013	111,94100	111,94113	1026	1
180	214	145	230	0,00033	110,15400	110,15433	2193	3
142	227	190	221	0,00047	109,49700	109,49747	1398	1
171	212	103	288	-0,00004	111,19600	111,19596	1463	2
110	292	176	211	0,00017	113,61000	113,61017	1572	1
191	218	151	286	-0,00040	115,43900	115,43860	1848	2
151	307	146	407	0,00005	113,66900	113,66905	1006	1
90	317	153	307	0,00033	112,15400	112,15433	1879	2
150	287	151	207	-0,00039	112,64000	112,63961	1870	2
146	255	145	345	-0,00045	115,77000	115,76955	1444	1
174	232	90	304	-0,00026	115,58100	115,58074	940	1
95	315	112	226	-0,00010	112,32600	112,32590	1606	2
154	303	102	220	0,00047	114,49700	114,49747	1359	1
153	323	106	346	0,00040	112,22500	112,22540	1198	1
133	354	130	256	-0,00017	116,25500	116,25483	1041	1
199	209	119	228	0,00017	119,61000	119,61017	2123	3
166	194	114	283	0,00032	119,95300	119,95332	1642	2
136	351	94	312	0,00033	116,15400	116,15433	1445	1
161	192	132	227	-0,00031	118,91200	118,91169	1705	2
156	302	144	407	-0,00031	119,91200	119,91169	1024	1
126	275	132	367	0,00013	119,94100	119,94113	2085	3
83	315	157	309	-0,00032	116,71100	116,71068	1904	2
156	323	127	220	0,00013	117,94100	117,94113	1098	1
122	223	152	326	0,00034	118,35500	118,35534	1545	1
152	290	174	202	0,00011	123,53900	123,53911	1844	2
90	293	179	218	-0,00026	123,58100	123,58074	1434	1
96	286	176	211	-0,00040	120,43900	120,43860	1672	2
151	320	103	341	-0,00039	120,64000	120,63961	1328	1
156	323	95	313	-0,00010	123,32600	123,32590	1658	1
205	179	131	250	0,00017	121,61000	121,61017	1639	2
237	172	151	205	0,00033	122,15400	122,15433	1338	1
111	219	193	216	-0,00040	122,43900	122,43860	1522	2
161	219	246	159	-0,00010	123,32600	123,32590	1838	2
152	329	140	229	0,00048	123,69800	123,69848	1366	2
193	196	123	231	0,00017	125,61000	125,61017	2142	2
140	401	150	284	-0,00045	127,77000	127,76955	1014	1
188	218	93	287	0,00010	125,33800	125,33810	1626	2
151	203	106	299	-0,00047	127,36800	127,36753	1455	2
92	313	174	226	-0,00041	126,23800	126,23759	1477	1
173	207	94	286	-0,00004	125,19600	125,19596	1781	2
162	193	152	276	-0,00032	125,71100	125,71068	1907	2
142	237	195	209	-0,00011	127,12500	127,12489	1431	2
193	212	111	216	-0,00012	125,92400	125,92388	2180	2
89	310	173	223	0,00002	127,06600	127,06602	1758	2
84	313	140	341	0,00032	130,95300	130,95332	2022	2
156	311	107	340	-0,00018	131,05400	131,05382	1766	2
137	225	202	198	-0,00025	129,78200	129,78175	1776	2
135	354	106	295	-0,00024	131,98300	131,98276	1974	2
173	221	85	307	0,00044	128,89400	128,89444	1372	1
96	325	107	219	0,00018	129,81100	129,81118	1785	2
107	350	149	253	0,00046	128,29600	128,29646	1656	2
174	200	100	292	0,00045	129,09500	129,09545	1760	2
248	161	158	204	-0,00011	131,12500	131,12489	1236	1
90	307	139	347	-0,00018	128,05400	128,05382	1920	2
159	237	147	340	0,00012	132,74000	132,74012	1686	2
159	210	157	313	0,00040	135,22500	135,22540	2222	2
169	224	152	324	0,00004	133,46800	133,46804	2123	2
