type: da2
name: w_sundermount
algorithm: astarbb
preprossessing [ms]: 255406

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
563	162	557	164	-0,00000	6,82843	6,82843	41	0
328	220	331	216	0,00000	5,24264	5,24264	33	0
280	208	282	204	-0,00000	4,82843	4,82843	24	0
550	183	544	184	0,00000	6,41421	6,41421	43	0
437	171	431	167	0,00000	7,65685	7,65685	44	1
403	422	401	418	-0,00000	4,82843	4,82843	26	0
419	256	416	253	0,00000	4,24264	4,24264	20	0
470	159	464	155	0,00000	7,65685	7,65685	47	0
272	238	274	243	-0,00000	5,82843	5,82843	40	0
280	329	281	334	0,00000	5,41421	5,41421	37	0
298	212	288	214	0,00003	10,82840	10,82843	70	0
333	209	338	201	-0,00003	10,07110	10,07107	76	0
221	272	229	273	0,00000	8,41421	8,41421	57	0
259	290	262	300	0,00004	11,24260	11,24264	90	0
252	239	258	244	-0,00000	8,07107	8,07107	38	0
601	386	602	376	0,00001	10,41420	10,41421	61	0
393	399	383	397	0,00003	10,82840	10,82843	81	0
517	428	524	422	0,00000	9,48528	9,48528	66	0
449	133	446	125	0,00000	9,24264	9,24264	56	0
240	415	233	418	0,00000	8,24264	8,24264	61	0
276	242	264	244	0,00003	12,82840	12,82843	90	0
503	416	514	426	0,00004	15,14210	15,14214	95	0
393	125	406	121	-0,00005	14,65690	14,65685	110	0
383	424	384	410	0,00001	14,41420	14,41421	98	0
310	368	312	356	0,00003	12,82840	12,82843	92	0
443	291	433	296	-0,00003	12,07110	12,07107	95	0
285	215	281	203	-0,00005	13,65690	13,65685	86	0
511	284	511	297	0,00000	13,00000	13,00000	80	0
409	164	411	152	0,00003	12,82840	12,82843	101	0
497	152	499	166	0,00003	14,82840	14,82843	101	0
225	375	237	388	-0,00004	17,97060	17,97056	125	0
453	250	467	236	-0,00001	19,79900	19,79899	80	0
280	432	284	447	-0,00005	16,65690	16,65685	155	1
200	336	214	346	0,00004	18,14210	18,14214	144	0
244	420	243	404	0,00001	16,41420	16,41421	96	0
446	123	440	107	-0,00002	18,48530	18,48528	167	0
331	190	315	190	0,00000	16,00000	16,00000	81	0
368	421	378	435	0,00004	18,14210	18,14214	169	0
430	123	443	135	-0,00004	17,97060	17,97056	112	0
443	280	447	295	0,00001	18,31370	18,31371	128	0
193	283	203	267	0,00004	20,14210	20,14214	169	1
242	242	265	244	0,00003	23,82840	23,82843	178	0
433	352	431	330	0,00003	22,82840	22,82843	94	0
325	252	307	246	-0,00002	20,48530	20,48528	159	0
258	410	255	429	0,00004	20,24260	20,24264	175	0
197	323	215	335	-0,00004	22,97060	22,97056	225	0
397	138	392	158	-0,00003	22,07110	22,07107	194	1
376	424	369	443	-0,00001	21,89950	21,89949	206	0
233	378	216	394	0,00002	23,62740	23,62742	166	0
488	161	495	140	-0,00001	23,89950	23,89949	165	0
251	407	235	388	0,00002	25,62740	25,62742	188	0
319	248	294	244	-0,00002	27,48530	27,48528	218	1
586	382	604	367	0,00000	24,21320	24,21320	201	0
262	225	243	239	-0,00002	25,38480	25,38478	192	0
495	378	515	361	0,00003	27,04160	27,04163	239	0
487	398	506	412	-0,00001	24,79900	24,79899	175	0
271	225	277	249	-0,00002	26,48530	26,48528	314	1
214	334	203	312	0,00005	26,55630	26,55635	273	0
554	164	542	144	-0,00004	24,97060	24,97056	240	0
543	172	521	165	-0,00001	24,89950	24,89949	250	1
261	424	240	404	-0,00003	29,28430	29,28427	163	0
432	269	403	276	-0,00001	31,89950	31,89949	394	0
319	209	314	236	-0,00003	29,07110	29,07107	287	1
189	311	212	324	-0,00002	28,38480	28,38478	334	0
564	380	595	382	0,00003	31,82840	31,82843	266	0
434	273	414	253	-0,00003	28,28430	28,28427	119	0
428	124	451	111	-0,00002	28,38480	28,38478	297	1
158	321	177	341	0,00003	29,04160	29,04163	205	0
449	314	457	290	-0,00003	29,07110	29,07107	320	1
287	234	259	232	0,00003	28,82840	28,82843	213	0
271	274	264	244	-0,00002	35,38480	35,38478	208	0
273	196	302	207	0,00005	33,55630	33,55635	347	1
215	366	215	333	0,00000	33,00000	33,00000	232	0
336	205	325	175	0,00005	34,55630	34,55635	403	0
346	381	363	353	0,00003	35,04160	35,04163	374	1
236	411	268	412	0,00001	32,41420	32,41421	226	0
383	420	350	413	-0,00001	35,89950	35,89949	290	0
517	181	491	160	-0,00002	34,69850	34,69848	310	1
410	162	377	155	-0,00001	35,89950	35,89949	385	1
559	163	528	175	-0,00004	35,97060	35,97056	475	0
347	384	348	347	-0,00003	39,07110	39,07107	310	1
431	255	417	286	-0,00001	36,79900	36,79899	514	0
377	424	409	406	0,00004	39,45580	39,45584	424	1
235	412	212	385	-0,00000	37,11270	37,11270	161	0
514	428	515	392	0,00001	36,41420	36,41421	250	0
302	365	278	337	0,00003	37,94110	37,94113	276	0
405	406	370	415	0,00002	38,72790	38,72792	275	1
320	231	309	265	0,00005	38,55630	38,55635	461	0
552	418	569	386	0,00003	39,04160	39,04163	265	1
338	340	359	371	-0,00002	39,69850	39,69848	428	0
538	176	511	197	-0,00001	41,79900	41,79899	547	1
590	375	556	399	0,00003	43,94110	43,94113	502	1
212	295	210	338	0,00003	43,82840	43,82843	337	0
394	125	378	159	0,00002	40,62740	40,62742	419	1
401	414	360	412	-0,00005	42,65690	42,65685	312	0
507	262	476	238	0,00003	40,94110	40,94113	344	0
290	239	295	201	-0,00003	40,07110	40,07107	408	0
271	335	260	298	0,00005	41,55630	41,55635	355	1
217	343	194	309	0,00001	43,52690	43,52691	515	0
175	352	164	316	0,00005	40,55630	40,55635	386	1
349	329	353	374	-0,00005	46,65690	46,65685	443	0
368	433	399	430	0,00003	44,04160	44,04163	608	1
508	413	546	430	-0,00004	45,87010	45,87006	453	1
517	198	559	187	0,00005	46,55630	46,55635	444	1
377	432	377	389	0,00004	47,14210	47,14214	592	1
233	254	270	235	-0,00004	44,87010	44,87006	617	1
263	228	292	262	-0,00001	46,01220	46,01219	451	0
276	229	314	248	-0,00004	45,87010	45,87006	625	1
198	311	219	274	-0,00002	45,69850	45,69848	546	1
409	260	449	245	0,00000	46,21320	46,21320	553	1
443	167	490	162	-0,00003	49,07110	49,07107	298	1
284	204	330	198	-0,00002	48,48530	48,48528	398	0
405	422	366	444	-0,00005	49,76960	49,76955	292	0
501	379	508	423	0,00003	51,04160	51,04163	342	1
328	252	332	209	0,00004	50,45580	50,45584	484	1
360	413	403	405	0,00002	49,62740	49,62742	818	1
