type: dao
name: arena
algorithm: jpsplus
preprossessing [ms]: 4

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
1	11	1	12	0,00000	1,00000	1,00000	4	0
1	12	1	10	0,00000	2,00000	2,00000	4	0
1	13	4	12	0,00000	3,41421	3,41421	5	0
1	3	3	1	0,00000	3,41421	3,41421	6	0
1	3	4	3	0,00000	3,00000	3,00000	4	0
1	4	4	2	-0,00000	3,82843	3,82843	6	0
1	40	2	39	0,00000	1,41421	1,41421	3	0
1	41	1	39	0,00000	2,00000	2,00000	4	0
1	41	1	44	0,00000	3,00000	3,00000	4	0
1	42	4	43	0,00000	3,41421	3,41421	5	0
1	10	7	10	0,00000	6,00000	6,00000	4	0
1	11	1	4	0,00000	7,00000	7,00000	4	0
1	11	7	14	0,00000	7,24264	7,24264	7	0
1	12	5	7	0,00000	6,65685	6,65685	7	0
1	12	6	15	0,00000	6,24264	6,24264	8	0
1	12	8	11	0,00000	7,41421	7,41421	5	0
1	14	1	9	0,00000	5,00000	5,00000	4	0
1	24	7	26	-0,00000	6,82843	6,82843	6	0
1	25	5	25	0,00000	4,00000	4,00000	5	0
1	35	5	33	-0,00000	4,82843	4,82843	9	0
1	11	4	18	0,00000	8,24264	8,24264	8	0
1	12	12	14	0,00003	11,82840	11,82843	6	0
1	13	4	23	0,00003	11,82840	11,82843	11	0
1	13	5	3	-0,00005	11,65690	11,65685	7	0
1	13	6	7	-0,00000	8,07107	8,07107	7	0
1	13	7	7	0,00000	8,48528	8,48528	5	0
1	23	7	32	-0,00002	11,48530	11,48528	8	0
1	24	11	25	0,00001	10,41420	10,41421	5	0
1	24	6	32	-0,00003	10,07110	10,07107	7	0
1	25	9	24	0,00000	8,41421	8,41421	6	0
1	10	11	19	0,00002	13,72790	13,72792	10	0
1	10	13	11	0,00001	12,41420	12,41421	6	0
1	11	10	2	0,00002	12,72790	12,72792	9	0
1	12	11	21	0,00002	13,72790	13,72792	10	0
1	12	13	13	0,00001	12,41420	12,41421	5	0
1	12	14	12	0,00000	13,00000	13,00000	4	0
1	12	6	25	-0,00003	15,07110	15,07107	10	0
1	13	11	3	0,00004	14,14210	14,14214	7	0
1	13	13	11	0,00003	12,82840	12,82843	6	0
1	14	6	23	0,00004	12,24260	12,24264	10	0
1	10	18	11	0,00001	17,41420	17,41421	6	0
1	11	16	14	0,00004	16,24260	16,24264	9	0
1	12	14	2	0,00004	17,14210	17,14214	10	0
1	12	17	13	0,00001	16,41420	16,41421	5	0
1	12	9	28	0,00001	19,31370	19,31371	12	0
1	13	4	30	0,00003	18,82840	18,82843	11	0
1	13	9	26	-0,00001	16,89950	16,89949	13	0
1	14	14	22	0,00001	16,31370	16,31371	10	0
1	23	10	8	0,00001	19,31370	19,31371	10	0
1	23	14	9	-0,00004	19,97060	19,97056	12	0
1	10	13	29	-0,00004	23,97060	23,97056	14	0
1	10	18	22	-0,00004	21,97060	21,97056	12	0
1	10	19	18	0,00004	22,14210	22,14214	12	0
1	10	21	2	0,00001	23,31370	23,31371	10	0
1	10	5	32	-0,00005	23,65690	23,65685	12	0
1	10	6	29	-0,00003	21,07110	21,07107	13	0
1	11	20	7	-0,00005	20,65690	20,65685	7	0
1	11	21	17	-0,00003	23,07110	23,07107	14	0
1	11	22	16	-0,00003	23,07110	23,07107	14	0
1	11	8	29	-0,00001	20,89950	20,89949	11	0
1	10	22	22	-0,00004	25,97060	25,97056	14	0
1	10	5	33	-0,00005	24,65690	24,65685	13	0
1	11	10	32	0,00002	24,72790	24,72792	14	0
1	11	20	31	-0,00004	27,87010	27,87006	16	0
1	11	21	23	-0,00004	24,97060	24,97056	13	0
1	11	24	14	0,00004	24,24260	24,24264	12	0
1	11	25	4	-0,00001	26,89950	26,89949	11	0
1	11	3	36	0,00003	25,82840	25,82843	9	0
1	12	19	27	0,00000	24,21320	24,21320	12	0
1	12	2	37	0,00004	26,24260	26,24264	12	0
1	10	22	31	-0,00002	29,69850	29,69848	16	0
1	10	24	27	0,00003	30,04160	30,04163	14	0
1	10	28	15	-0,00003	29,07110	29,07107	13	0
1	10	7	39	-0,00002	31,48530	31,48528	14	0
1	11	12	35	0,00005	28,55630	28,55635	16	0
1	11	28	18	-0,00001	29,89950	29,89949	14	0
1	11	5	40	-0,00005	30,65690	30,65685	13	0
1	12	26	3	0,00002	28,72790	28,72792	13	0
1	12	29	14	0,00003	28,82840	28,82843	9	0
1	12	29	6	-0,00002	30,48530	30,48528	13	0
1	10	25	36	0,00003	35,94110	35,94113	18	0
1	10	27	25	0,00000	32,21320	32,21320	16	0
1	10	32	4	-0,00002	33,48530	33,48528	10	0
1	10	33	4	-0,00002	34,48530	34,48528	12	0
1	11	10	42	0,00002	34,72790	34,72792	17	0
1	11	27	28	0,00003	33,04160	33,04163	15	0
1	11	30	2	0,00002	32,72790	32,72792	14	0
1	11	31	3	0,00001	33,31370	33,31371	15	0
1	11	5	42	-0,00005	32,65690	32,65685	13	0
1	12	18	37	-0,00004	32,87010	32,87006	19	0
1	10	15	43	-0,00001	38,79900	38,79899	20	0
1	10	21	41	-0,00003	39,28430	39,28427	20	0
1	10	27	37	-0,00005	37,76960	37,76955	19	0
1	10	29	38	-0,00002	39,59800	39,59798	18	0
1	10	31	25	0,00000	36,21320	36,21320	22	0
1	10	38	13	0,00004	38,24260	38,24264	10	0
1	10	38	6	-0,00005	38,65690	38,65685	11	0
1	10	39	6	-0,00005	39,65690	39,65685	11	0
1	10	40	9	0,00001	39,41420	39,41421	8	0
1	11	11	43	0,00004	36,14210	36,14214	17	0
1	10	12	47	0,00005	41,55630	41,55635	16	0
1	10	14	47	-0,00002	42,38480	42,38478	19	0
1	10	16	46	0,00000	42,21320	42,21320	20	0
1	10	28	41	-0,00003	42,18380	42,18377	19	0
1	10	37	21	0,00005	40,55630	40,55635	19	1
1	10	39	24	-0,00001	43,79900	43,79899	21	0
1	11	16	45	0,00000	40,21320	40,21320	21	0
1	11	21	43	-0,00003	40,28430	40,28427	25	0
1	11	32	39	-0,00002	42,59800	42,59798	18	0
1	11	34	29	0,00004	40,45580	40,45584	23	0
1	10	29	43	-0,00002	44,59800	44,59798	19	0
1	10	43	15	-0,00003	44,07110	44,07107	17	0
1	10	43	17	-0,00001	44,89950	44,89949	17	0
1	10	45	10	0,00000	44,00000	44,00000	7	0
1	10	46	15	-0,00003	47,07110	47,07107	17	0
1	10	46	3	-0,00001	47,89950	47,89949	12	0
1	11	30	45	-0,00001	46,01220	46,01219	19	0
1	11	35	41	0,00001	46,42640	46,42641	18	0
1	11	35	42	0,00002	46,84060	46,84062	18	0
1	11	43	3	0,00001	45,31370	45,31371	18	0
1	10	31	46	0,00001	48,42640	48,42641	19	0
1	10	34	46	0,00005	49,66900	49,66905	19	0
1	10	35	46	-0,00004	50,08330	50,08326	19	0
1	10	36	42	0,00003	48,25480	48,25483	19	0
1	10	38	45	-0,00003	51,49750	51,49747	19	0
1	10	46	18	0,00001	48,31370	48,31371	17	0
1	11	37	44	0,00005	49,66900	49,66905	18	0
1	11	41	35	0,00003	49,94110	49,94113	32	0
1	11	43	27	0,00002	48,62740	48,62742	24	0
1	11	44	25	-0,00001	48,79900	48,79899	22	0
1	10	41	40	0,00001	52,42640	52,42641	22	0
1	10	43	40	0,00001	54,42640	54,42641	22	0
1	11	39	47	-0,00001	52,91170	52,91169	18	0
1	11	42	46	-0,00003	55,49750	55,49747	20	0
1	11	45	33	-0,00000	53,11270	53,11270	30	0
1	12	43	43	0,00002	54,84060	54,84062	23	0
1	12	44	38	-0,00005	53,76960	53,76955	31	0
1	12	46	34	-0,00000	54,11270	54,11270	28	0
1	13	42	40	-0,00003	52,18380	52,18377	22	0
1	14	46	32	0,00004	52,45580	52,45584	28	0
1	14	44	46	0,00003	56,25480	56,25483	18	0
1	14	46	43	-0,00001	57,01220	57,01219	21	0
1	35	46	3	0,00003	58,25480	58,25483	29	0
