type: dao
name: brc203d
algorithm: jps
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
101	176	101	176	0,00000	0,00000	0,00000	1	0
101	53	103	56	-0,00000	3,82843	3,82843	8	0
102	141	102	140	0,00000	1,00000	1,00000	5	0
102	273	100	274	0,00000	2,41421	2,41421	7	0
102	35	100	34	0,00000	2,41421	2,41421	7	0
102	36	103	33	0,00000	3,41421	3,41421	8	0
102	52	101	53	0,00000	1,41421	1,41421	5	0
102	73	104	70	-0,00000	3,82843	3,82843	8	0
102	94	99	95	0,00000	3,41421	3,41421	7	0
103	110	104	112	0,00000	2,41421	2,41421	8	0
100	189	94	188	0,00000	6,41421	6,41421	8	0
100	75	98	82	-0,00000	7,82843	7,82843	8	0
101	120	103	126	-0,00000	6,82843	6,82843	7	0
101	160	103	154	-0,00000	6,82843	6,82843	8	0
101	204	100	209	0,00000	5,41421	5,41421	5	0
101	206	99	212	-0,00000	6,82843	6,82843	7	0
101	208	104	212	0,00000	5,24264	5,24264	6	0
101	47	96	45	-0,00000	5,82843	5,82843	12	0
101	84	99	91	-0,00000	7,82843	7,82843	8	0
102	131	104	135	-0,00000	4,82843	4,82843	9	0
100	139	108	143	0,00000	9,65685	9,65685	9	0
100	141	107	134	0,00000	9,89949	9,89949	8	0
100	146	108	146	0,00000	8,00000	8,00000	5	0
100	164	103	174	0,00004	11,24260	11,24264	12	0
100	171	111	169	0,00003	11,82840	11,82843	14	0
100	186	108	179	-0,00001	10,89950	10,89949	16	0
100	206	101	216	0,00001	10,41420	10,41421	6	0
100	31	92	35	0,00000	9,65685	9,65685	14	0
100	33	90	34	0,00001	10,41420	10,41421	8	0
100	42	107	45	0,00000	8,24264	8,24264	11	0
100	115	109	105	0,00002	13,72790	13,72792	9	0
100	170	98	157	0,00003	13,82840	13,82843	10	0
100	170	99	182	0,00001	12,41420	12,41421	15	1
100	32	111	36	-0,00005	12,65690	12,65685	15	0
100	54	87	48	-0,00002	15,48530	15,48528	15	0
100	91	112	87	-0,00005	13,65690	13,65685	9	0
101	124	110	132	0,00001	12,31370	12,31371	14	0
101	134	99	147	0,00003	13,82840	13,82843	6	0
101	140	107	153	-0,00002	15,48530	15,48528	11	0
101	205	104	218	0,00004	14,24260	14,24264	7	0
100	114	99	130	0,00001	16,41420	16,41421	6	0
100	145	115	152	0,00001	19,31370	19,31371	17	0
100	161	115	164	0,00004	16,24260	16,24264	10	0
100	165	116	159	-0,00002	18,48530	18,48528	11	0
100	174	101	193	0,00001	19,41420	19,41421	13	0
100	184	89	172	0,00005	16,55630	16,55635	12	0
100	189	117	195	-0,00002	19,48530	19,48528	13	0
100	190	105	204	-0,00003	16,07110	16,07107	13	0
100	49	104	64	-0,00005	16,65690	16,65685	15	0
100	57	101	38	0,00001	19,41420	19,41421	7	0
100	124	100	145	0,00000	21,00000	21,00000	6	0
100	143	115	156	0,00004	22,14210	22,14214	19	0
100	169	117	178	-0,00001	21,89950	21,89949	32	0
100	169	90	188	0,00004	23,14210	23,14214	17	0
100	51	96	32	-0,00005	20,65690	20,65685	11	0
100	73	118	62	0,00005	22,55630	22,55635	16	0
100	73	120	76	0,00004	21,24260	21,24264	11	0
100	76	117	60	0,00002	23,62740	23,62742	16	0
100	93	98	111	-0,00002	22,48530	22,48528	19	0
101	143	93	155	-0,00003	21,07110	21,07107	18	0
100	159	99	137	-0,00001	24,89950	24,89949	17	0
100	205	89	194	0,00001	27,31370	27,31371	17	0
100	322	113	331	-0,00003	27,07110	27,07107	19	0
100	44	76	47	0,00004	25,24260	25,24264	13	0
100	60	88	40	-0,00004	24,97060	24,97056	21	0
100	63	91	39	0,00002	27,72790	27,72792	20	0
100	68	124	70	0,00003	24,82840	24,82843	9	0
100	72	102	97	0,00003	25,82840	25,82843	13	0
100	86	101	62	0,00001	24,41420	24,41421	8	0
101	116	102	141	0,00001	25,41420	25,41421	6	0
100	142	92	168	-0,00001	31,79900	31,79899	22	1
100	158	71	159	0,00003	30,82840	30,82843	20	0
100	158	79	181	-0,00002	31,69850	31,69848	17	0
100	311	124	324	-0,00002	29,38480	29,38478	15	0
100	312	114	329	-0,00002	29,38480	29,38478	20	0
100	43	125	51	0,00001	28,31370	28,31371	28	0
100	55	75	46	0,00002	28,72790	28,72792	28	0
100	59	126	50	0,00005	30,55630	30,55635	22	0
100	87	113	64	-0,00002	28,38480	28,38478	15	0
101	142	94	166	0,00005	28,55630	28,55635	19	0
100	115	102	84	-0,00005	32,65690	32,65685	9	0
100	121	109	90	0,00002	34,72790	34,72792	18	0
100	147	102	112	0,00003	35,82840	35,82843	8	0
100	162	105	194	-0,00003	34,07110	34,07107	25	0
100	164	133	160	-0,00005	34,65690	34,65685	12	1
100	168	126	152	0,00000	33,21320	33,21320	20	0
100	175	71	183	0,00001	32,31370	32,31371	12	0
100	34	125	50	0,00000	32,21320	32,21320	38	0
100	84	123	62	-0,00000	32,11270	32,11270	16	0
