type: dao
name: brc502d
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
157	135	156	135	0,00000	1,00000	1,00000	6	0
159	112	159	114	0,00000	2,00000	2,00000	10	0
159	113	160	116	0,00000	3,41421	3,41421	16	0
159	130	161	131	0,00000	2,41421	2,41421	15	0
161	112	164	113	0,00000	3,41421	3,41421	23	0
161	129	163	128	0,00000	2,41421	2,41421	16	0
161	135	163	132	-0,00000	3,82843	3,82843	23	0
161	138	162	141	0,00000	3,41421	3,41421	23	0
162	111	164	112	0,00000	2,41421	2,41421	16	0
162	129	163	126	0,00000	3,41421	3,41421	23	0
156	137	160	134	0,00000	5,24264	5,24264	32	0
158	136	164	136	0,00000	6,00000	6,00000	44	0
159	113	164	114	0,00000	5,41421	5,41421	34	0
159	137	164	134	0,00000	6,24264	6,24264	43	0
159	138	162	144	0,00000	7,24264	7,24264	47	0
160	127	160	132	0,00000	5,00000	5,00000	31	0
160	130	160	135	0,00000	5,00000	5,00000	37	0
160	133	161	138	0,00000	5,41421	5,41421	37	0
160	137	161	144	0,00000	7,41421	7,41421	52	0
160	142	165	137	-0,00000	7,07107	7,07107	37	0
156	135	158	142	0,00000	9,24264	9,24264	47	0
156	135	166	139	-0,00005	11,65690	11,65685	94	0
156	136	160	127	0,00004	11,24260	11,24264	62	0
156	136	162	141	-0,00000	8,07107	8,07107	39	0
156	138	159	128	0,00004	11,24260	11,24264	54	0
158	138	161	129	0,00004	10,24260	10,24264	74	0
158	139	163	145	0,00000	8,65685	8,65685	50	0
159	114	165	121	0,00000	9,48528	9,48528	50	0
159	130	160	140	0,00001	10,41420	10,41421	62	0
159	136	162	145	0,00004	10,24260	10,24264	77	0
156	138	166	127	0,00004	15,14210	15,14214	96	0
158	134	169	142	0,00001	14,31370	14,31371	120	0
158	135	171	131	-0,00005	14,65690	14,65685	133	0
158	135	172	134	0,00001	14,41420	14,41421	99	0
158	137	170	129	0,00001	15,31370	15,31371	135	0
159	111	172	105	-0,00002	15,48530	15,48528	125	1
159	112	172	109	0,00004	14,24260	14,24264	119	0
159	114	166	101	-0,00001	15,89950	15,89949	87	0
159	115	170	105	0,00004	15,14210	15,14214	100	0
159	115	173	118	0,00004	15,24260	15,24264	119	0
156	138	174	142	-0,00005	19,65690	19,65685	174	0
157	135	167	121	0,00002	18,72790	18,72792	152	0
158	131	171	117	-0,00002	19,38480	19,38478	120	0
158	135	175	134	0,00001	17,41420	17,41421	120	0
158	136	175	138	0,00003	17,82840	17,82843	145	0
158	136	177	138	0,00003	19,82840	19,82843	163	0
158	138	174	131	-0,00001	18,89950	18,89949	188	0
159	113	170	127	0,00004	19,14210	19,14214	130	0
159	113	172	105	0,00001	16,31370	16,31371	134	0
159	113	177	114	0,00001	18,41420	18,41421	125	0
156	135	174	142	-0,00001	20,89950	20,89949	208	1
156	138	162	120	-0,00002	20,48530	20,48528	115	0
158	131	174	118	-0,00002	21,38480	21,38478	173	0
158	131	175	140	0,00002	20,72790	20,72792	198	0
158	136	175	127	0,00002	20,72790	20,72792	216	0
158	142	177	137	-0,00003	21,07110	21,07107	196	0
159	114	163	136	-0,00005	23,65690	23,65685	137	0
159	114	170	97	0,00005	21,55630	21,55635	148	0
159	115	163	133	0,00004	20,24260	20,24264	118	0
159	128	168	111	0,00001	21,31370	21,31371	166	0
157	136	183	133	0,00003	27,82840	27,82843	299	1
158	134	183	139	-0,00003	27,07110	27,07107	290	0
158	135	173	116	0,00000	25,21320	25,21320	219	0
158	135	180	121	-0,00001	27,79900	27,79899	292	0
158	138	183	135	0,00004	26,24260	26,24264	253	0
158	139	185	139	0,00000	27,00000	27,00000	175	0
158	142	177	127	0,00000	25,21320	25,21320	212	0
159	111	179	125	-0,00001	25,79900	25,79899	213	0
159	111	180	99	-0,00004	25,97060	25,97056	242	0
159	128	172	107	-0,00004	26,97060	26,97056	250	1
156	138	167	111	0,00005	31,55630	31,55635	276	0
156	138	187	137	0,00001	31,41420	31,41421	210	0
157	135	179	114	-0,00003	31,28430	31,28427	211	0
157	138	181	124	-0,00001	29,79900	29,79899	331	0
158	136	162	109	-0,00005	28,65690	28,65685	180	0
158	137	186	128	0,00002	31,72790	31,72792	390	0
158	138	177	115	-0,00004	30,87010	30,87006	236	1
158	142	168	118	0,00002	28,72790	28,72792	276	0
159	112	169	87	0,00002	29,72790	29,72792	219	0
159	113	167	87	0,00001	29,31370	29,31371	200	0
156	135	182	118	0,00003	33,04160	33,04163	349	0
158	131	187	121	0,00004	33,14210	33,14214	400	0
158	134	181	113	-0,00003	32,28430	32,28427	249	0
158	135	177	108	-0,00004	34,87010	34,87006	349	0
158	138	183	117	-0,00002	33,69850	33,69848	290	0
158	138	189	133	-0,00003	33,07110	33,07107	369	0
159	111	170	83	0,00002	33,72790	33,72792	277	0
159	112	186	99	-0,00002	32,38480	32,38478	378	0
159	112	190	101	0,00005	35,55630	35,55635	444	1
159	114	170	85	0,00005	33,55630	33,55635	271	0
156	137	191	126	0,00005	39,55630	39,55635	505	0
156	138	180	110	0,00003	37,94110	37,94113	302	0
156	138	184	112	0,00003	39,94110	39,94113	432	1
157	136	169	101	-0,00004	39,97060	39,97056	397	0
157	138	193	139	0,00001	36,41420	36,41421	250	0
158	131	176	101	0,00004	37,45580	37,45584	401	0
158	131	186	108	0,00001	37,52690	37,52691	341	0
158	135	195	131	-0,00005	38,65690	38,65685	388	1
158	136	182	107	0,00003	38,94110	38,94113	344	0
158	136	185	112	-0,00000	38,11270	38,11270	508	0
156	138	177	104	-0,00002	42,69850	42,69848	437	0
156	138	196	139	0,00001	40,41420	40,41421	273	0
157	138	190	117	-0,00002	41,69850	41,69848	500	0
158	130	169	94	0,00004	41,14210	41,14214	369	0
158	130	171	94	-0,00004	41,97060	41,97056	418	0
158	135	195	148	-0,00004	42,97060	42,97056	448	1
158	136	195	144	0,00001	40,31370	40,31371	430	0
158	137	190	151	-0,00003	43,07110	43,07107	467	0
158	138	193	120	0,00004	42,45580	42,45584	578	1
158	139	176	103	0,00004	43,45580	43,45584	495	0
156	135	203	133	0,00003	47,82840	47,82843	387	0
156	136	170	95	-0,00002	47,38480	47,38478	460	1
156	136	173	99	0,00002	44,62740	44,62742	492	0
156	136	198	123	-0,00002	47,38480	47,38478	677	1
156	137	167	94	0,00005	47,55630	47,55635	365	0
157	135	198	125	0,00004	45,14210	45,14214	625	0
157	136	185	101	-0,00002	46,59800	46,59798	471	1
157	137	197	121	0,00002	46,62740	46,62742	699	0
158	131	165	90	0,00002	44,72790	44,72792	319	0
158	134	196	119	0,00000	44,21320	44,21320	638	1
156	135	192	154	0,00002	49,72790	49,72792	561	0
156	137	198	116	-0,00002	50,69850	50,69848	768	1
157	135	193	103	0,00002	49,84060	49,84062	464	0
157	135	206	134	0,00004	50,24260	50,24264	469	0
157	137	202	126	0,00005	49,55630	49,55635	730	1
158	130	204	123	-0,00001	48,89950	48,89949	600	0
158	136	199	112	0,00003	50,94110	50,94113	781	1
158	138	178	96	-0,00003	50,28430	50,28427	658	1
158	138	199	114	0,00003	50,94110	50,94113	752	0
158	139	197	112	-0,00003	50,18380	50,18377	668	1
156	136	190	95	0,00005	55,66900	55,66905	595	0
156	136	198	103	0,00005	55,66900	55,66905	655	1
156	137	163	87	-0,00002	55,38480	55,38478	476	0
156	137	187	158	0,00001	53,31370	53,31371	609	0
156	137	198	112	0,00004	52,35530	52,35534	781	1
157	136	207	122	-0,00001	55,79900	55,79899	912	1
