type: dao
name: combat2
algorithm: astar
preprossessing [ms]: 0

start x	start y	goal x	goal y	deviation	origin cost	measured cost	processed points	measured time [ms]
100	32	102	32	0,00000	2,00000	2,00000	16	0
103	21	104	21	0,00000	1,00000	1,00000	9	0
104	158	104	161	0,00000	3,00000	3,00000	23	0
108	167	106	169	-0,00000	2,82843	2,82843	16	0
108	84	107	86	0,00000	2,41421	2,41421	16	0
110	129	111	126	0,00000	3,41421	3,41421	23	0
110	15	109	17	0,00000	2,41421	2,41421	16	0
111	31	110	28	0,00000	3,41421	3,41421	23	0
113	141	111	143	-0,00000	2,82843	2,82843	16	0
113	183	110	182	0,00000	3,41421	3,41421	23	0
0	131	2	137	-0,00000	6,82843	6,82843	40	0
0	188	2	182	-0,00000	6,82843	6,82843	41	0
1	136	1	140	0,00000	4,00000	4,00000	30	0
10	126	6	132	0,00000	7,65685	7,65685	53	0
10	181	16	180	0,00000	6,41421	6,41421	44	0
10	23	4	20	0,00000	7,24264	7,24264	52	0
10	74	4	72	-0,00000	6,82843	6,82843	49	0
10	95	10	102	0,00000	7,00000	7,00000	51	0
100	113	103	108	0,00000	6,24264	6,24264	46	0
100	13	100	20	0,00000	7,00000	7,00000	51	0
0	159	2	168	-0,00000	9,82843	9,82843	52	0
0	162	8	156	-0,00002	10,48530	10,48528	76	0
0	78	4	71	0,00000	8,65685	8,65685	57	0
1	25	7	18	0,00000	9,48528	9,48528	66	0
10	104	1	97	-0,00001	11,89950	11,89949	94	0
10	126	8	137	0,00003	11,82840	11,82843	96	0
10	150	4	142	-0,00002	10,48530	10,48528	82	0
10	151	3	147	0,00000	8,65685	8,65685	70	0
10	181	1	188	-0,00001	11,89950	11,89949	94	0
10	187	13	180	0,00000	8,24264	8,24264	65	0
0	106	13	113	-0,00001	15,89950	15,89949	150	0
0	127	13	126	0,00001	13,41420	13,41421	90	0
0	191	8	182	0,00001	12,31370	12,31371	82	0
0	2	14	0	0,00003	14,82840	14,82843	98	0
0	70	7	80	-0,00001	12,89950	12,89949	101	0
0	72	4	58	-0,00005	15,65690	15,65685	118	0
1	103	0	89	0,00001	14,41420	14,41421	97	0
1	42	11	47	-0,00003	12,07110	12,07107	101	0
1	60	10	70	0,00002	13,72790	13,72792	96	0
1	62	12	52	0,00004	15,14210	15,14214	106	0
0	114	3	130	0,00004	17,24260	17,24264	120	0
0	134	14	122	-0,00004	18,97060	18,97056	148	0
0	181	16	180	0,00001	16,41420	16,41421	111	0
0	183	2	165	0,00003	18,82840	18,82843	97	0
0	76	17	72	-0,00005	18,65690	18,65685	184	0
10	114	29	113	0,00001	19,41420	19,41421	135	0
10	128	15	111	-0,00003	19,07110	19,07107	202	1
10	180	7	162	0,00004	19,24260	19,24264	161	0
100	112	113	98	-0,00002	19,38480	19,38478	135	0
100	129	111	142	0,00005	17,55630	17,55635	142	0
0	131	5	112	-0,00003	21,07110	21,07107	173	0
0	146	20	154	0,00001	23,31370	23,31371	253	0
1	130	21	128	0,00003	20,82840	20,82843	178	0
1	148	6	128	-0,00003	22,07110	22,07107	206	0
1	86	7	67	-0,00002	21,48530	21,48528	205	0
10	123	31	127	-0,00005	22,65690	22,65685	241	1
10	86	28	98	-0,00004	22,97060	22,97056	238	0
10	86	6	106	-0,00005	21,65690	21,65685	229	0
100	118	121	122	-0,00005	22,65690	22,65685	241	0
100	131	117	145	-0,00001	22,79900	22,79899	204	0
0	106	17	125	0,00003	26,04160	26,04163	209	0
0	156	1	182	0,00001	26,41420	26,41421	106	0
0	157	8	136	0,00001	24,31370	24,31371	240	0
0	74	24	70	-0,00005	25,65690	25,65685	253	0
1	109	21	93	0,00002	26,62740	26,62742	256	0
1	127	21	117	0,00004	24,14210	24,14214	285	0
1	51	22	63	-0,00004	25,97060	25,97056	314	0
10	102	11	77	0,00001	25,41420	25,41421	177	0
10	114	22	135	-0,00004	25,97060	25,97056	313	0
10	152	8	127	0,00003	25,82840	25,82843	241	0
0	168	21	160	-0,00001	30,79900	30,79899	371	0
0	64	13	38	-0,00002	31,38480	31,38478	366	0
0	68	13	43	-0,00002	30,38480	30,38478	351	0
1	122	26	107	0,00000	31,21320	31,21320	391	1
1	146	9	119	0,00001	30,31370	30,31371	345	0
